objectid,parentid,title,description,interviewee,lastname,firstname,interviewer,duration,transcriber,release_form,creator,archival_date,date,subject,location,latitude,longitude,source,finding_aid,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid,cdmid,filename,identifier,display_template,object_location,image_small,image_thumb
rwhp127,,Photograph of Lisa Gay Dixon,"Photograph of Eilene Eliza Darling smiling at the camera, holding a dog.","Dixon, Lisa Gay",Dixon,Lisa Gay,,,,,,24 January 1975,1975-01-24,portraits;,"Potlatch, Idaho",46.92153904,-116.8972107,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-77-Lisa-Gay-Dixon.jpg,rwhp,,mg68-2-77-lisa-gay-dixon.jpg,mg68-2-77-lisa-gay-dixon,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-77-lisa-gay-dixon.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-77-lisa-gay-dixon_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-77-lisa-gay-dixon_th.jpg
rwhp161,,Photograph of Harriet Giedl,"Photograph of Myrtle Gallager sitting, smiling at the camera.","Giedl, Harriet",Giedl,Harriet,,,,,Julia P. Betz,20 September 1975,1975-09-20,portraits;,"Lenore, Idaho",46.50921348,-116.5485781,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-78-Harriet-Giedl.jpg,rwhp,,mg68-2-78-harriet-giedl.jpg,mg68-2-78-harriet-giedl,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-78-harriet-giedl.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-78-harriet-giedl_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-78-harriet-giedl_th.jpg
rwhp185,,Photograph of Jessie Hoffman,"Photograph of Jessie Hoffman sitting, smiling at the camera.",,Hoffman,Jessie,,,,,,undated,,portraits;,,,,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-82-Jessie-Hoffman.jpg,rwhp,,mg68-2-82-jessie-hoffman.jpg,mg68-2-82-jessie-hoffman,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-82-jessie-hoffman.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-82-jessie-hoffman_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-82-jessie-hoffman_th.jpg
rwhp192,,Photograph of Belle Isaksen,Black and white photograph of Belle Isaksen in a kitchen.,,Isaksen,Belle,,,,,,,,,,,,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-82-Belle_Isaksen.jpg,rwhp,,mg68-2-82-belle_isaksen.jpg,mg68-2-82-belle_isaksen,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-82-belle_isaksen.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-82-belle_isaksen_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-82-belle_isaksen_th.jpg
rwhp197,,Photograph of Virginia Johnson,Photograph of Virginia Johnson ooking away from the camera.,"Johnson, Virgina",Johnson,Virginia,,,,,,1975-1976,1975,portraits;,"Troy, Idaho",46.73647047,-116.7696666,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-78-Virginia-Johnson.jpg,rwhp,,mg68-2-78-virginia-johnson.jpg,mg68-2-78-virginia-johnson,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-78-virginia-johnson.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-78-virginia-johnson_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-78-virginia-johnson_th.jpg
rwhp215,,Photograph of Patricia Larson,"Photograph of Patricia Larson seated, looking away from the camera.",Patricia Larson,Larson,Patricia,,,,,,1975-1976,1975,portraits;,"Potlatch, Idaho",46.92153904,-116.8972107,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-79-Patricia-Larson.jpg,rwhp,,mg68-2-79-patricia-larson.jpg,mg68-2-79-patricia-larson,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-79-patricia-larson.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-79-patricia-larson_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-79-patricia-larson_th.jpg
rwhp216,,Photograph of Therese I Latshaw,"Photograph of Therese I Latshaw seated, looking away from the camera.",Therese I Latshaw,Latshaw,Therese I,,,,,,06 March 1976,1976-03-06,portraits;,"St. Maries, Idaho",47.31462809,-116.5612835,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-79-Therese-I-Latshaw.jpg,rwhp,,mg68-2-79-therese-i-latshaw.jpg,mg68-2-79-therese-i-latshaw,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-79-therese-i-latshaw.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-79-therese-i-latshaw_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-79-therese-i-latshaw_th.jpg
rwhp217,,Photograph of Ann Layes,"Photograph of  Ann Layes seated, smiling away from the camera.",Ann Layes,Layes,Ann,,,,,,14 February 1976,1976-02-14,portraits;,"Cul de Sac, Idaho",46.37569819,-116.6755869,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-79-Ann-Layes.jpg,rwhp,,mg68-2-79-ann-layes.jpg,mg68-2-79-ann-layes,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-79-ann-layes.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-79-ann-layes_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-79-ann-layes_th.jpg
rwhp254,,Photograph of Tami Lee McKinney & Trudi Lynn McKinney,"Photograph of Tami Lee McKinney & Trudi Lynn McKinney outside, smiling at the camera, with a dog.",Tami Lee McKinney & Trudi Lynn McKinney,McKinney; McKinney,Tami Lee; Trudi Lynn,,,,,,25 January 1975,1975-01-25,portraits;,"Onaway, Idaho",46.92819712,-116.890488,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-79-Tami-Lee-McKinney-and-Trudi-Lynn-McKinney.jpg,rwhp,,mg68-2-79-tami-lee-mckinney-and-trudi-lynn-mckinney.jpg,mg68-2-79-tami-lee-mckinney-and-trudi-lynn-mckinney,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-79-tami-lee-mckinney-and-trudi-lynn-mckinney.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-79-tami-lee-mckinney-and-trudi-lynn-mckinney_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-79-tami-lee-mckinney-and-trudi-lynn-mckinney_th.jpg
rwhp255,,Photograph of Katherine McLean,"Photograph of Katherine McLean seated, smiling away from the camera.",Katherine McLean,McLean,Katherine,,,,,,25 January 1975,1976-05-15,portraits;,"Lewiston, Idaho",46.39857459,-116.9969232,"MG68, Rural Women's History Project, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv42414/,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,MG68-2-79-Katherine-McLean.jpg,rwhp,,mg68-2-79-katherine-mclean.jpg,mg68-2-79-katherine-mclean,image,https://objects.lib.uidaho.edu/rwhp/mg68-2-79-katherine-mclean.jpg,https://objects.lib.uidaho.edu/rwhp/small/mg68-2-79-katherine-mclean_sm.jpg,https://objects.lib.uidaho.edu/rwhp/thumbs/mg68-2-79-katherine-mclean_th.jpg
