speaker,words,tags,timestamp
,SAM SCHRAGER: When you started to work in the woods-,,
,"WILLIAM BURKLAND: Well, I started in the woods when I was a kid, but that was at",,
,"home. I worked for Potlatch in '36- no, wait now- 1910. 1910 I worked",,
,"for Potlatch; summer of 1910. But before that we worked- yeah, we wor",,
,"ked at home, that is, logged to Dahlbergs. So I logged in the woods-",,
,I've worked in the woods all my life.,,
SS,"Well when y°u were young and learning, what did your father have you",,
SS,do?,,
WB,Everything. Everything there was to do. Even skid. I drove horses,,
WB,when I was twelve years old. I started driving horses. From then on,,
WB,"I took over the horses. When I waa around fifteen, sixteen I took over",,
WB,the horses entirely. My father didn't want to drive horses. So I,,
WB,"got that job, and I liked it so I stayed with it. I drove horses for",,
WB,"over forty years. Even owned horses of my own since Iwas around- well,",,
WB,"in the '20's, I think. And I bought two colts, three year olds- no,",,
WB,they were younger than that- I bought one year old colts. I bought two,,
WB,of 'em in 19— When the Fair was in Seattle. The summer when the Fair,,
WB,was in Seattle. I raised them and started working them when they were,,
WB,three years old. And I worked them all the time. I logged with them,,
WB,when they were four years old; I logged with them for a feller down be,,
WB,"low Deary, there. Fellow by the name of Asplund. In fact, he was Philip",,
WB,"Asplund's halfbrother. And he had a contract to log, south of Deary.",,
WB,"And I worked there in 1912 for him; worked all winter, that's the first",,
WB,winter I logged with that team. I worked in the woods ever since I,,
WB,remember. Sawed and swamped and skidded and drayed. Used dray logging.,,
WB,"That was down to the mill., I told you we was at Pete Dahlberg's mill.",,
WB,"We logged down there. And I done that as far back as I can remember,",,
WB,almost.,,
SS,When you say dray logging; what do you mean by that?,,
WB,"One sled. We'd load a log on one sled, that was dray hauling. Drug",,
WB,one end of the log behind. They dray hauled. Potlatch - we done that,,
WB,even with the Potlatch for a long time. They dray hauled in the winter,,
WB,time and dolly hauled in the summertime. Dolly- they had a two wheel,,
WB,"ed- made the wheels out of logs, and ironed 'em with two-",,
SS,bands-,,
WB,Bands around. That was dolly logging. And then they rolled the log,,
WB,"on there and it pretty near balanced it, you see on the bunk. It didn't",,
WB,drag very hard. You could adjust that the way you wanted it. If it,,
WB,was steep downhill you could- roll the log so it was heavier behind and,,
WB,"dragging harder and if you wanted it light on the behind, why, you put",,
WB,the log up ahead and almost balanced it. And they hauled awfully big,,
WB,loads that way. We'd use horses. They logged that way lots of times,,
WB,"in the summertime. Potlatch did, before they started with the donkeys",,
WB,and then they started with the donkeys and then they pulled in the,,
