speaker,words,tags,timestamp
,SAF SCHRAGER: I was shocked to see and I read a government report on immigrat,,
,"ion, which was racist. It was terrible. It was just disgusting to",,
,"read. And when you started telling me about, that there was a law",,
,people couldn't come— I mean the wives couldn't come. I started,,
,seeing that it was bad.,,
,MARIE LEE LEW: The average person don't know about those things.,,
,"ML LEW: They don't, they don't.",,
MLL,"I just read an article in the paper about immigrants, because this is",,
MLL,"year, and they say so many immigrants from Europe, so many",,
MLL,"immigrants from Asia, so many immigrants— altogether, less than half",,
MLL,a million immigrants from China and Asiatic countries. And very lit,,
MLL,tle— and less than that from Japan. And less than that from India;,,
MLL,"has very little, less than one percent, and they give it in millions.",,
MLL,Just the other day I read that article— I forgot whether it's a—,,
ML,Sunday Magazine.,,
MLL,"Yeah, Sunday Magazine, which was telling the truth, you know. Now that's",,
MLL,"for all the years now since the United States, well, like you say, 1776",,
MLL,"or even before, you know. 'Course, I don't think there were any Chin",,
MLL,"ese before that, you know. It's only in the 1800's when people over",,
MLL,here in the West they need the labor and all that before they allowed,,
MLL,them to even come in for that.,,
SS,One thing I was surprised to read about was how hostile the American,,
SS,"labor unions were. Not all, but most, they were",,
SS,right in the forefront trying to keep the people out.,,
MLL,"And they spent a lot of money in Washington, D.C., too, put up these",,
MLL,"laws to force them out. Well, the biggest revolution in allowing Chin",,
MLL,ese immigrants to come in— in allowing the Chinese people to become,,
MLL,citizens was at the time when Pearl Buck was— she was one of the,,
MLL,leaders in pushing through that law.,,
ML,"She was a leader and then the war— the Japanese War combined, see.",,
MLL,"And the Japanese War. That was before the Japanese War, though. 1943",,
MLL,when the law became.,,
ML,"During the war,",,
MLL,1945 before Honolulu.,,
ML,"No. No, it was '40.",,
MLL,"Oh, oh, oh!! Oh, that was in '41, wasn't it?",,
SS,"How much was life in the smaller towns, Like Walla Walla where you",,
SS,"grew up— how much was that like in the city, in the bigger cities,",,
SS,"where they had bigger Chinatowns, like San Francisco or Seattle? Do",,
SS,you think that it was very similar for the people in both places?,,
SS,Or did it make a difference where they worked?,,
ML,"Well, I don't think it makes that much difference. You see San Fran",,
ML,"cisco had the biggest Chinatown, there] no doubt about that. San",,
ML,"Francisco. So, therefore, the people in California are more— there",,
ML,"a lot of Spanish people in there, too and Italian. So I think they",,
ML,are better in California than they were— In Maila Walla it wasn't too,,
ML,"bad, because Walla Walla— years ago we had a caval ry unit there",,
ML,Fort Walla Walla. The Chinese was there when the fort was there first,,
ML,when they start to build the railroad there. They used to have the,,
ML,fcrt'at Walla Walla right west—,,
MLL,One acre.,,
ML,One mile square.,,
MLL,"Oh, one mile square.",,
MLL,Where the fort was.,,
ML,Where the fort was. And the colonels and those guys in the fort,,
ML,they liked the Chinese labor because the Chinese go cook for them and,,
ML,they do all the odd jobs for them. So they protect the Chinese quite,,
ML,abit in Walla Walla. The people didn't bother them too much. There,,
ML,"are a few radical ones did go and beat 'em up and all that stuff, and",,
ML,throw rocks at their windows and all that stuff. But as a general rule-,,
ML,"At one time they try to drive the Chinese out, but I heard the",,
ML,"older Chinese say, the colonel put an order down and helped the Chin",,
ML,ese out because they won't let 'em do that. Because it was really,,
ML,"against the law and so they won't do it,— and the radical guys backed",,
ML,"out, anyway.",,
MLL,They could punish maybe the higher ups they could be punished when they,,
MLL,"do things like that, and then that would stop some of that.",,
SS,Was the fort still there when you were a kid?,,
ML,"There wasn't any cavalry there when I was a kid, but— it wasn't too",,
ML,"long ago when my dad was there, there used to be Fort Walla",,
ML,Walla. Walla Walla is one of the oldest towns in this whole territory.,,
ML,That's when Marcus Whitman first came in there. I don't suppose not,,
ML,too much after the white settlers there's Chinese in there. Along,,
ML,"right in there because I remember must be thirty, forty years ago,",,
ML,"they had at Walla Walla what they called a centennial, or some kind",,
ML,"of a hundredAand fifty years— They had a play, pageant up in the Fair",,
ML,"grounds, and they show where Fort Walla Walla was, and the little",,
ML,"town, where each store was and there was Chinese people there with",,
ML,their little laundry and they were running up and down the street with,,
ML,"all the rest of them. And their, was a pageant— I don't know what",,
ML,they called it now.,,
SS,Do you think the Chinese community had been there continuously from,,
SS,soon after when the fort came?,,
ML,"Yeah, I think so. Chinese was one of the early ones there. Well, as",,
ML,"far as thaconcerned, my father had a chance to buy that— right in",,
ML,"the center of town of Walla Walla on Second Street, and Main Street",,
ML,"where the Baker- Bank is, right there on the corner for six",,
ML,hundred dollars. So it must be quite a while ago before you can do,,
ML,"that, see. You know, where the bank is. At that time— when I was",,
ML,"in Walla Walla about that time the street was still muddy, there wasn't",,
ML,too many paved street very few. We had horses all over the place.,,
ML,And even taxis were horses. They had a carriage with two horses.,,
ML,The fire trucks used to be with horses.,,
ML,"Oh, yes. The firetrucks. It was quite nice.",,
SS,"The Chinatown was, you said, about a block long.",,
ML,About a half a block long. I would say about a hundred and twenty,,
ML,feet deep. It was a quarter of a block.,,
SS,What was it? Were they small houses?,,
ML,Now this is the Chinatown here before that. Chinatown was scattered,,
ML,"all over Walla Walla. Was scattered from two, three blocks around",,
ML,"there. But I think in 1911, I think, the Chinese people got together",,
ML,and bought this little piece of land there and built this building.,,
ML,"Then they had these little stores, of six, eight, and I believe there",,
ML,"were ten or twelve stores there, I think, altogether.",,
SS,Was it all one building?,,
ML,All one building. Then upstairs they had rooming for the people tOC,,
ML,"come through town, the Chinese people that come through lived there.",,
ML,"And then they have some, I think, apartments up there— few apartments",,
ML,that the richer Chinese lived their with their families. They had,,
