speaker,timestamp,End Time,words
Rob Moore:,00;00;00;00,00;00;29;21,"I didn't on this tape. Marvin Long goes into more detail on some of the points touched on in the first interview. These include operation of the brick factory that where the bricks remained rebuilt Kendrick, the Kendrick fire, the Green tramway, ice cutting in the winter and move alongs made down to Kendrick and Cedar Creek country."
Rob Moore:,00;00;31;12,00;00;37;27,"were you here when you, Kendrick, in the 1994 fire happened?"
F. Marvin Long:,00;00;38;00,00;00;53;23,"No, I was living up here on the Potlatch Ridge, and we saw the flow of that coming up. Can you and Brother Knife and."
Rob Moore:,00;00;53;25,00;00;54;29,Going to be getting ready?
F. Marvin Long:,00;00;55;01,00;01;02;14,Yeah. My brother and I the next day had to come back. And you can see the ruins of small.
Unknown,00;01;02;16,00;01;08;21,"Home and everything was great. Oh, believe it or not."
F. Marvin Long:,00;01;08;23,00;01;23;16,"Written memory, everything. And, it's just been doing. Well, and that night and the next day."
Unknown,00;01;23;18,00;01;29;18,"It was Norman's best. You know, every building."
F. Marvin Long:,00;01;29;21,00;01;30;10,On Main Street.
Unknown,00;01;30;10,00;01;35;23,Had to be fireproof. Who we just.
F. Marvin Long:,00;01;35;25,00;01;43;00,Remounted. Made. Used to try to destroyed.
Rob Moore:,00;01;43;03,00;01;48;03,Did they ever find out how that fire started?
F. Marvin Long:,00;01;48;06,00;01;53;28,No. Not exactly.
F. Marvin Long:,00;01;54;01,00;02;06;29,Anyway. Yeah. Got on the move in the summer.
F. Marvin Long:,00;02;07;02,00;02;09;23,I'm not sure. They don't really know how.
Rob Moore:,00;02;09;24,00;02;15;08,"Sure, I. I in one story do. I have no idea about how we live."
F. Marvin Long:,00;02;15;09,00;02;28;00,"I don't know, there was so much, you know, there's many fires and much treasure. We didn't keep things cleaned up. Like you didn't know what to distribute, you know, and it could have been combustion."
Unknown,00;02;28;01,00;02;32;23,Or it could have been shipped back to Richmond.
F. Marvin Long:,00;02;32;25,00;02;44;29,"You know, we were on human. We and you. I remember thinking we weren't going to."
Unknown,00;02;45;01,00;02;48;26,Work with the.
F. Marvin Long:,00;02;48;28,00;03;04;05,"Fires at the time, but that was the only time I remember it burning down entirely to be alone. I mean, the business plan. I tried not to."
