speaker,words,tags,timestamp
,SAM SCHRAGER: The first thing I wanted to ask you was how your,,
,"interest in local history came about, whether it started",,
,when you were a boy or when you were looking back on it?,,
,"JOHN B. MILLER: Well, I think it did start when I was a boy.",,
,I think I really started to be aware of it back in 1928.,,
,"We were back in Wisconsin in '28 and '29, we spent a winter",,
,"back there, and we used to get this Bovill high school paper",,
,"here. And they published it, oh, probably about a two page",,
,resume of the history of Bovill that they'd gotten from,,
,T. P. Jones. And my dad was going through that and pick,,
,"ing out things that he thought were wrong in it, as all oldtimers",,
,do. Every time anybody mentions a history or pub,,
,"lishes a history, why the oldtimers all always start to",,
,"pick it to pieces and then they pick. He started to do that,",,
,plus embellish it with a lot of other things that he said,,
,"ought to have been mentioned. And, of course, I'd always",,
,heard him talking ajfeut the pioneer days and the early things,,
,"and so forth, and had quite a background in it. And I think",,
,at the time I began to get aware of it; plus the fact that I,,
,"was always very much interested in old photographs, they",,
,"always intrigued me. I guess it grew out of that, I don't",,
,know that.,,
SAM,When were you born and how old were you then?,,
JBM,"Well, I was born in 1912. In '28 see I was about sixteen",,
JBM,at that time.,,
SAM,And your folks had moved from.,,
JBM,"They'd moved from Bovill. Well, we'd gone east, we'd",,
JBM,"just gone east to visit some of his folks, and when we got",,
JBM,"there, why his brother talked us into staying over a winter.",,
JBM,He wanted us to spend the winter back there. My folks,,
JBM,decided to stay; they rented a house. Among us we picked,,
JBM,"up work to support ourselves over winter, and spent the",,
JBM,winter there. Moved beck the next year. That's when we,,
JBM,moved from the place there just south of town here. (We,,
JBM,"already owned the meadow, the Little Meadow out here south",,
JBM,"east of town, and we also owned this forty-seven acres south",,
JBM,of the treating plant. And we had a house on that but we'd,,
JBM,"rented that out, so when we came back we moved onto Little",,
JBM,"Meadow out southeast of town here, and built a house there.)",,
SAM,"Do you feel that it just continued to grow, your interest",,
SAM,"in history, as you grew up?",,
JBM,"Oh, yes, I think it did. I suppose I was always interest",,
JBM,"ed in history. History was interesting to me as a small child,",,
JBM,but a small child doesn't quite realize he's living among,,
JBM,"history, and that his own small community has a history too.",,
JBM,This doesn't quite come to you until you suddenly discover,,
