speaker,words,tags,timestamp
,SAM SCHRAGER: Where did come from?,,
,WILLIAM MORGAN: Kansas City. From Kansas.,,
SS,With your folks?,,
WM,Yeah. My folks sold out Kansas. I was born what is now the center,,
WM,"of Fort Riley. We had a homestead there, right in the center of the",,
WM,"present Fort Riley, which is ten miles square. And then we landed up",,
WM,"Kootenay Lake, up on the Kootenay River. And my dad had sold out there",,
WM,Kansas because of a big thunder storm. He had quite a farm,,
WM,and he run stock scales and bought and sold stock. And a big rain storm,,
WM,come up one forenoon when he'd received a carload of hogs and the rain,,
WM,"soaked the ground and the next morning cockleburs came up, which are",,
WM,poison and poisoned practically all of this carload of hogs and he just,,
WM,"sold out his two threshing outfits, everything he had and moved out",,
WM,West here. We landed at Kootenay and stayed there that summer while,,
WM,he looked the reservation over here for a homestead. He finally bought,,
WM,a relinquishment and we moved down here that summer and stayed at what,,
WM,was known at the old De France Hotel. And that's quite a historic spot.,,
SS,Do you remember it at that time?,,
WM,"Oh, yes.",,
SS,Was it quite a place at that time?,,
WM,My mother and my brother and myself stayed there about two months that,,
WM,summer while my dad went over and finished getting ready to move up to,,
WM,"the prairie; Nez Perce Prairie. We moved to Moler, Moler, Idaho. Which",,
WM,at that time became quite a town. There's nothing there but a windmill.,,
SS,Where was this near now?,,
WM,"Moler, Idaho?",,
SS,"Yeah. Well, it s between Craigmont and Nez Perce; about half way.",,
SS,At that time a man by the name of Moler had made arrangements and sur,,
SS,veyed the railroad from the Clearwater up a little canyon- up the Lit,,
SS,"tle Canyon- that's taken off at Peck, right up that way up to Moler.",,
SS,"And built a town there and at that time there was three saloons, one",,
SS,"hotel, a flour mill,a stock receiving station and scales, two general",,
SS,"stores and one hardware, church and school and I don't know what else.",,
SS,But anyhow after the survey was made by Volmer from Lewiston to Grangeville,,
SS,"up the Culdesac and Craigmont area up there, which is",,
SS,"the present road, why he withdrew his building a railroad. It was",,
SS,supposed to be headquartered at Moler. We were three and a half miles,,
SS,north and east of Moler; the ranch.,,
SS,"So it would have been a good location, the railroad would have gone",,
SS,right through there.,,
WM,"Oh, yes. And it would have been the easiest road to travel; the rail",,
WM,"road. But, they'd had to cross another canyon, the Lawyers Canyon to",,
WM,get to Grangeville.,,
SS,Was that a fight between Moler and Volmer to get the railroad by the,,
SS,route that they wanted?,,
WM,"No, it wasn't much of a scrap to it. The Camas Prairie Railroad, I",,
WM,"think it was then the Union Pacific, just decided to build it, that's",,
WM,all there was to it.,,
SS,Volrner happened to be at the right place at the right time there.,,
WM,"Well, he wasn t, because Volmer himself built two or three other tamsites.",,
WM,"None of them survived. He built a townsite, which is now Crai£",,
WM,"mont on the northeast side of the highway, and the highway cut right",,
WM,"through. Then Ilo, which used to be an old town about two miles west",,
WM,"of Craigmont, it folded up and moved to Craigmont, which was later cal",,
WM,"led Craigmont, and then the battle was on who would be the city and",,
WM,"what would be the name of it, whether it'd be Ilo or Volmer. They fin",,
WM,ally decided on the name of Craigmont.,,
SS,Neither one. That happened to Troy; it was originally called Volmer,,
SS,but the people changed the name. I've heard that.,,
WM,"Yes, that's right. And there's a lot of towns up there at that same-finne",,
WM,that Moler was there- there was a town called Frazier. That's due west,,
WM,"of Moler, about four miles. Then there was another town about two",,
WM,miles east of what is now Craigmont called Dublin. And then this side,,
WM,of there; this side of Craigmont was Reubens and a little town called,,
WM,Gifford and a community called Summit and another community called Look,,
WM,"out. They were all in a row between Craigmont and- well, actually and",,
WM,"Peck, and that was called Big Canyon.",,
SS,"Well, when you first moved there, was it all just the beginning of the",,
SS,farming in there.,,
WM,"No big farms; they'd farmed two or three years, I think they had, be",,
WM,"cause we bought- Dad bought the ranch and there was a binder on it, it",,
WM,"wasn't any good but there was a pair of horses, team of horses left",,
WM,there from a runaway on this binder. They killed the other two horses,,
WM,and these two survived. One of 'em was a race horse. He had cut hisbarbed,,
WM,"wire, practically his neck- clear to the cord, you could see",,
WM,his neck. And that horse stayed there and worked on the ranch like,,
WM,any other horse til he was thirty years old. The damndest thing,,
WM,ever saw! He was just a perfect animal. He had a chunk cut out of his,,
WM,shoulder and neck that you could put your hands in it; put a board across,,
WM,and never touch it.,,
WM,"Oh, yes. Lots of cayuse horses; Indian ponies. This wasn't, it was a",,
WM,"half Hamiltonian, got mixed up with the Indians someway. There was",,
WM,"lots of wild horses. In fact, a chum of mine and myself; I was thir",,
WM,"teen and he was twelve, we broke one summer eleven head of wild horses",,
WM,that come from a man named Hunt from a little community called Winona,,
WM,"that's up from Kamiah on the hill. And these were wild horses, actual",,
WM,"ly. One of 'em nine years old, never had a rope on it.",,
SS,You were thirteen?,,
WM,I was thirteen and my chum was twelve. We broke that eleven head that,,
WM,summer to work and about two or three of 'em to ride. We worked 'em,,
WM,that summer. We had three older horses; one of 'em was actually an old,,
WM,horse and the other two was four year olds. So we had quite a crew!,,
SS,Can you tell me how you went about breaking them. The way you did it.,,
WM,"Well, we had no grain, no feed, so we turned 'em out at night, but we",,
WM,"fed 'em grain in the morning. So, we kept one horse to ride and we were",,
WM,"on the Looking Glass Indian Reservation ranch, right on top of the hill",,
WM,"from Kamiah. The Mc Leods were the people that owned the property,",,
WM,"but not the Indian land, this is Indian land. We turned 'em out at",,
WM,night and go drive 'em into this corral and then we'd lasso 'em. We,,
WM,built a corral about eight foot high out of timbers that we'd cut down,,
WM,and we roped these horses and snub 'em up to the posts and then we'd,,
WM,get up on the rail and drop the harness down on top of 'em. We had a,,
WM,"stick with a nail in it, and we'd reach through and get the belly but",,
WM,"ton and pull it through and fasten that, and we had long chains that",,
WM,"we'd put on the butt chains- part of 'em was butt chains, part of 'em",,
WM,wasn't- but they were long tugs that we could get far enough back that,,
WM,we wasn't in too much danger of being kicked. But we treated these,,
WM,"horses very nicely; never had much trouble, only they were wild. Hail",,
WM,storm come up one day while they was in the field and they just turned,,
WM,around with their backs to the storm and they come right over a,,
WM,"still hitched up. Never hurt a one. So, then we worked them that sum",,
WM,"mer on the plow, we had six head on a two bottom gang and three on a",,
WM,"footburner plow. And the two of us changed off, one to the other, get",,
WM,tired walking. And that was in 1910 and '11.,,
SS,How did you come by that in the first place?,,
WM,"Man by the name of Mc Leod that we worked forchis son and me, I was",,
WM,"his neighbor in Nez Perce School, at that time, and he traded a house",,
WM,and lot there in Nez Perce for thirteen head of horses.,,
SS,To a—?,,
WM,Man by the name of Hunt Winona. And we went over there and drove 'em,,
WM,across the canyon and then broke 'em to work that summer. Try that,,
WM,some time!,,
SS,Sounds like you started pretty young.,,
WM,"Well, people were— kids were men those days at that age. Because I",,
WM,started my first threshing run when I was eleven years old. I cut,,
WM,bands on the horse power. Had seven teams on the big three power,,
WM,driven by a tumble rod from the power plant to the thresher. And I,,
WM,worked on that when I was eleven and twelve. And when I was thirteen,,
WM,"I drove bundle wagon for the threshing outfit. And then the next yearno,",,
WM,"two years after that, I drove what they called header box; grain",,
WM,"come out of the binder, you know.",,
SS,"What did you think of that at that time, you know, the threshing out",,
SS,"fit, the whole business? It was quite an operation.",,
WM,"Well, it was. Of course, a kid like me, eleven to thirteen years old-",,
WM,"I was more proud to be in the threshing crew, than if I'd a made ten",,
WM,touchdowns on the football field! Kids at that time were trying to be,,
WM,"grownup men. There was a different atmosphere, different thought about",,
WM,"youngsters; when they got about fifteen years old, those days, as",,
WM,"I remember it, they thought they were men. You know a kid about that",,
WM,"age he thinks he knows a lot, but he finds out later he didn't. And",,
WM,"that's the way I was, tool",,
SS,Was that threshing crew mostly local men from the area?,,
WM,"Oh, yeah, mostly. What they usually done, that was a small rig, a",,
WM,"twenty-eight inch separator, and there was about sixteen or seventeen",,
WM,"in the crew. But it was mostly neighbors and their sons, or nephews",,
WM,or whatever it might be; people lived in the neighborhood. They,,
WM,did hire some outside people.,,
SS,Did you just thresh the neighborhood? Or did they go outside?,,
WM,"Oh, well, probably within a distance of maybe five, six miles.",,
SS,"Did you have a cookwagon with you, or did you go home?",,
WM,"Not at first, not when we had the horsepower rig, we didn't. We had",,
WM,the horsepower rig two years and then we bought an engine and then we,,
WM,had a cookhouse.,,
SS,Why did that make any difference?,,
WM,"Well, first place it was faster and they had more horses to move with.",,
WM,"And the bundle wagons'd usually leave- the bundle wagons, a couple of",,
WM,'em and hook the teams from them onto the cookhouse. That was the,,
WM,"main thing, to get moved. Later on I became. steam rig and it was my job to move the",,
WM,cookhouse and supply water for,,
WM,the threshing outfit; the horses and the steam engines.,,
SS,Did you try to be careful when you moved the cookhouse?,,
WM,"Oh, yes, you had to be careful, because you were going across plowed",,
WM,ground.,,
SS,And all the stuff they had—,,
WM,"Well, they didn't have much to cook with, it was pretty well taken care",,
WM,"of. I never had a bit of trouble, I hauled the cookhouse for three",,
WM,"years, and I never had any trouble at all, except I had an old balky",,
WM,"horse once in a while, that it'd get too heavy he'd balk, but I knew",,
WM,how to handle it so I got moved alright.,,
SS,How much team work was there on a crew like that? Would the guys have,,
SS,"to work very close together to coordinate things real close, to get",,
SS,things done?,,
WM,"Ohhh, yes. Pretty much so. We had five bundle wagons, and that took",,
WM,"from two to three horses on each one, so that'd be ten- about twelve",,
WM,"horses there, and there was fourteen horses on the horsepower, so that",,
WM,"would be twenty-six head there. And the wa|er team was four, that's",,
WM,thirty head. That's quite a bunch of horses on a threshing outfit.,,
WM,"And nobody wanted the threshers when it rained, because they had to",,
WM,feed 'em.,,
SS,As long as it rained?,,
WM,"Well, yeah.",,
SS,Stayed there?,,
WM,Yeah.,,
SS,Did that happen very much?,,
WM,"Oh, yes. In- oh, I forget what year it was- it rained quite a little",,
WM,"bit in the fall, and it cost some of the farmers a little bit of money.",,
WM,"Course, it didn't cost 'em money, only they couldn't make any money,",,
WM,"they couldn't sell it, because the horses ate it up. And then they had",,
WM,"to feed the men. Of course, a lot of 'em went home, but what extras",,
WM,"they did hire, well, they usually drew some of their pay and went to",,
WM,"town, celebrated for a day or two. So, it wasn't too expensive as far",,
WM,"as the feeding of the people, was concerned.",,
SS,Was there much chance for socializing with the neighbors during that,,
SS,time? Like in the evening and that kind of thing.,,
WM,"No. When you got through one of them days, you went to bed right now!",,
WM,"You were just simply worn out, that's all. There was no socializing;",,
WM,very little.,,
SS,So it was real hard work.,,
WM,You just stayed there and slept in the haystacks. Tickled to death,,
WM,to do it.,,
SS,How long a day would that be then?,,
WM,How long a day?,,
SS,"Yeah, of working.",,
WM,"Well, we was up at five. You were supposed to have your horses harnes",,
WM,"sed and fed before you went to the cookhouse for something to eat, or",,
WM,the house where you was working at. And you started the machine at,,
WM,seven; some of 'em got started at six. The horsepower rigs they couldn'tthe,,
WM,horses couldn't take it. They'd usually wait til about seven. The,,
WM,"steam engines, they could get off at about six.",,
SS,Then how long would you go? Would you go right til sunset?,,
WM,"Usually about six o'clock, but that's sunset then.",,
SS,You worked really hard. Hard enough to really do you in by evening.,,
WM,"Well, it was hard work because all your jobs were not simplified.",,
WM,"When you worked sewing sacks on the threshing outfit, you handled every",,
WM,"one of those sacks. You sewed it up, picked it up and carried it over",,
