speaker,words,tags,timestamp
,"This conversation with HELMER RINGSAGE took place at his home in Moscow, Idaho",,
,"on February 12, 1976. The interviewer is SAM SCHRAGER.",,
,"HELMER RINGSAGE: I was the oldest, and I'll tell you the words my mother told",,
,"me on her dying bed. I was just old enough to realize it, that she",,
,"was dying, you know. And them days, they claimed, I don't know why",,
,"they did, but they kind of had the idea that the older one had to",,
,"look after the younger ones. Well, all the rest of 'em was the youngest.",,
,"I was the oldest. And just before she took her last breath, she says,",,
,"""Helmer,"" she says, ""you're the oldest. You look after the children.""",,
,"And then she died, just that way. Boy, I never forgot it neither.",,
,"And so I did, I tried, you know, to help 'em out. Well, here's what",,
,"happened. After Mother died— Well, that Simon, the one that died with",,
,cancer that I was telling you about— he was only a kid seven years old-,,
,"Now, wait now, let's see- no, he wasn't that old then— but I mean when",,
,"he was cooking he was seven— no, he was only about four when she died.",,
SS,But he was cooking when he was seven?,,
HR,"Well, later on— let's see when he was seven, that'd be about— he was",,
HR,"born in, just a minute, he's seven years younger than I am, that'd be",,
HR,"'95 when he was born. Now, we'll figure it out. He was seven, that'd",,
HR,"'95— she died in 1901— now wait a minute, so he was six years",,
HR,"old when she died. Well, I guess Dad learned him that year, so when",,
HR,"he was seven, the year after that— he became the kind of a kitchen",,
HR,"guy, to look after things, 'cause we boys, the older boys, and",,
HR,"I, when it come harvest time, I mean, we had to go out and do the shock",,
HR,ing of them bundles.,,
SS,Could he handle that at seven? Could he take care of the kitchen?,,
HR,"Well, he was a faithful guy. Dad depended on him, he could direct",,
HR,"him, and he was a wonderful kid. But that youngest one then, - no",,
HR,"that wasn't the youngest— that was Julius, he was a mischievous lit",,
HR,"tle devil. He was our rpdio in the home, and he, one time, that was be",,
HR,"fore - yeah, that was before Dad got that house built—and the kitchen",,
HR,part is over there. We had a log house and this kitchen part on the,,
HR,"back of that, and that's where Mother died in. I had a cousin down",,
HR,"here- she lives here in Moscow, her and her brother and his wife and",,
HR,"her husband come up here one day to visit- that was my cousin, seeand",,
HR,I happened to mention that my mother died when she was not quite,,
HR,"thirty-one- or- thirty-two; just past thirty-one, so she was just a",,
HR,"young woman. Then she foolishly asked, made me mad right away, ""Why",,
HR,"didn't she live any longer?"" — Come here and I'll show you what I",,
HR,"showed her— See, that little— Dad used that for a chickenhouseone",,
HR,board thickness of a bedroom and a wood stove to heat it with.,,
HR,"Now, I said, ""I'd like to see you live in something like that, and",,
HR,"raise a family."" That last baby she had was born in that place. And",,
HR,"her jumping onto me like that! Her brother settin' here, and I didn't",,
HR,"give a damn, for her talking like that, you know.",,
SS,Was it a long sickness?,,
HR,"Well, about a year. She had TB for about a whole year. And, oh, boy,",,
HR,"she'd cough sometimes, you know, choke, you'd think she was going to",,
HR,pass out most any time. She pjtnear did. She'd choke and set there,,
HR,"and wheeze a long time before she'd get her breath, you know. Oh, she",,
HR,"really suffered. Then to top it all, by golly, my wife got sugar dia",,
HR,"betes. But she was tough, she raised a family of four— here's my fam",,
HR,"ily—. This is my wife. And, I'd worked in the woods— this was taken",,
HR,"in 1936, before any of 'em was married. This is my youngest daughter",,
HR,she's the one married and she's got three daughters now; but there,,
HR,"she was eleven, and she was sixteen— wait now— yeah, she was sixteen,",,
HR,"no, she was eighteen, and he was twenty. He was born in '16. And she",,
HR,"was born in '18, and she was born in '20, and she wasn't born until",,
HR,"1925, she's five years younger than that one, see. And Grandma, my",,
HR,missus was forty-four and I was thirty-six. I took a good picture,,
HR,"there. Well, we all did, we got a hell of a good picture.",,
SS,A good one.,,
HR,"Anyway, I had worked—",,
SS,You were saying you had worked in the woods.,,
HR,"That year I had been up in the woods, sawing wh-t a crosscut, see.",,
HR,"And I had three pardners. I tell you, that's what's kept me agoing.",,
HR,"I've had good health, strength, and I guess the Good Lord's been on",,
HR,my side all the time. I've had close calls; pretty near git killed.,,
HR,"My brother, Simon, the one that died with cancer, that's the first",,
HR,"year I worked in the woods, 1912. And I was twenty-four years old.",,
HR,"And so he had— we had rode together, I guess he was on the farm with",,
HR,"Dad, you know, but he was seventeen. I was seven years older, he was",,
HR,"seventeen, I was twenty-four, but he was a big man then, already. Good",,
HR,"husky man, and we always did get along good. So, he wanted to get",,
HR,"work too, off the farm in the winter, along in the fall it was after",,
HR,"field work was done. So, I said, ""Ok, come up."" And the first job",,
HR,"we got was sawing out in the woods, falling timber. Well, we was both",,
HR,"greenhorns, the first year, you see, we never knew a damn thing about",,
HR,"it. Well, 'course, in them days, they had what they called an under",,
HR,"cutter to chop the undercut to fall your tree. And so, by golly,—",,
HR,"I got a book, I'll show you the camp I worked at. The kids they bought",,
HR,"it for me, I guess they located it somewhere— Bovill, close to—",,
SS,What camp was that?,,
HR,"Well, that was Camp 8.",,
SS,"Oh, I know about that one. That was right near Collins, there, right?",,
HR,"Well, it was about— I don't remember— it was kind of south east of",,
HR,Bovill.,,
SS,"So OK, so you had to cut this tree down?",,
HR,I was going to tell you about that. I was- be and Simon and,,
HR,I was falling this timber. This undercutter couldn't keep us agoin',,
HR,'cause we was cutting— you cut them forty foot logs and them Swedes,,
HR,"they used to file them saws good, and there was white pine to say, and",,
HR,"God, we just about walked the tailbone off of that poor guy. All he",,
HR,"had to do was undercutting and mark the logs. We didn't have to mark,",,
HR,"we just went along and cut 'em off, see. We shouldn't adone it, we",,
HR,"got two and a half a day; six bits for food a day. But, dammit, we",,
HR,"was interested, enjoyed it, and we was getting good feed in camp, you",,
HR,"know. Potlatch Lumber Company fed good, so we was full of piss and",,
HR,"vinegar, as you call",,
SS,"Did you put in a ten hour day, then?",,
HR,"Ten hours, boy, for two and a half. Two bits an hour. And, so anyway,",,
HR,"here's the deal— I applied for a job at the landing, I didn't want to",,
HR,"stay out in the woods all winter. Goddam snows, get pretty bad! So",,
HR,"I figured it'd be a little nicer down there and I told my brother,",,
HR,"Simon, he's a young kid, only seventeen. I says, ""Simon,"" I says,.,",,
HR,"""you better get a job in the kitchen, you know, waiting on the tables",,
HR,"for the lumberjacks."" And he wouldn't get so much a day, but he got",,
HR,"so much a month; forty dollars. I says, ""That'll be better for you.""",,
HR,"""Yeah, Ok."" He agreed. And that's the way we worked it. We went",,
HR,down there to where this donkey— I'll show you that pretty soon—,,
HR,"And i was loading— no, I wasn't loading— they had a toploader stand",,
HR,"ing on the car placing these logs, and us two guys— them days— now",,
HR,they got one big grapple fork— tongs they call 'em to load. Them,,
HR,"days it was just a crotch chain with a hook, two men, one at each end",,
HR,"of the log. Well, this first hoistman that we had at Camp 8, he was",,
HR,"darn good; he drank like a fish, but he was sober enough to do his work",,
HR,"good. So, then, by golly, it went on and on and on, and getting along",,
HR,"fine and dandy, but Simon, my brother, was in the kitchen doing good.",,
SS,So what was you doing?,,
HR,"Well, I was one of them that was doing the hookin'. 'Nother guy, not",,
HR,"Si, my brother, he got into the kitchen, see. So there— that was fine,",,
