speaker,words,tags,timestamp
,"This fifth conversation with ARTHUR SUNDBERG takes place at his home in Potlatch,",,
,"Idaho on August 7, 1975.",,
,SAM SCHRAGER: I've heard that Corliss engine was really a monster.,,
AS,Yeah. They had two of fem. They had one that drove the sawmill and,,
AS,"they had one that drove the planing mill. Course, the one that drove",,
AS,the sawmill was half again larger than the one that drove the planer.,,
AS,"But the one that drove the sawmill, they kept it in place down there",,
AS,after it was taken out of service for a few years. And there was a,,
AS,lot of different discussions as to what to do with it. And the old,,
AS,"Jew scrapiron dealer, he wanted it for scrap, because it was the highest",,
AS,quality scrap that you could .find. But he wanted to buy it for,,
AS,"so much a ton on board a car. Well, management approached me on it",,
AS,and I discouraged them on that because they wouldn't only give the,,
AS,"engine away but they'd lose money too, because it would cost more",,
AS,money to take it out of there than it would to- for what they'd get,,
AS,"for it for scrap. So it just set there. Well, then finally a man",,
AS,"by the name of Williams up here in Spokane, he's a brother to this",,
AS,"Williams that makes this time and temperature signs, you know. You've",,
AS,"seen these electric signs that change every minute, gives you the",,
AS,"temperatures. He talked them into giving it to him, but he would take",,
AS,"it out, that is, he would pay for taking it out. And he was going to",,
AS,"put it up , up I Spokane, it s out there by Medical Lake along with",,
AS,"a lot of other old sawmill, mining and farm equipment and make a mu",,
AS,"seum, you know, for the public. So they give it to him. And so he",,
AS,"approached me, wanted me to take it out. That was after I'd retired.",,
AS,"And I told him, no way would I take it out, because I said I don't",,
AS,do any lifting or slugging or any of that heavy work.,,
AS,"Well, he said",,
AS,"he didn't want me to do any work, he said he'd get ironworkers from",,
AS,"Spokane to do the work but he wanted me to supervise it. You know,",,
AS,to tell them how to take it apart and then mark all the pi eces so,,
AS,they could be reassembled. So I agreed to that. So I supervised,,
AS,"the taking the engine down and shipping it to Spokane. But, oh, that",,
AS,"thing,it run from the time the mill started- and I'm not entirely",,
AS,certain whether that was a brand new engine when it was installed here.,,
AS,"See, that was built by that Minneapolis Company, and it seems to me",,
AS,like there was only three engines that was ever built ^that size. And,,
AS,"the other two I believe, was installed in big breweries back in Wis",,
AS,"consin, and there's one in Minneapolis and I think there's one in",,
AS,Wisconsin. But at the time that that was dismantled they'd discon^,,
AS,n^cted the big steam pipe. There was a twelve inch steam line that,,
AS,"supplied the engine, but they disconnected that and just hooked up",,
AS,"a two inch airline to it. And there wasn*t any load on it, you know,",,
AS,"so periodically when they had visitors coming through, a bunch of",,
AS,"visitors, why then they'd start up the engine and let them see it run.",,
AS,It was just run on air pressure but no load. But that thing run,,
AS,"just like a jeweled watch. Well, person really should have a pic",,
AS,ture of it to see- to get some idea of the size of it. The flywheel,,
AS,"on it was sixty inches across and twenty-four feet in diameter, And",,
AS,"the spokes on that wheel, you know, the spokes were about like so",,
AS,"you know. Course, they weren*t round, they were kind of flat and it",,
AS,was all castiron. The frame was all castiron. And the only thing,,
AS,that was steel was the connecting rod and of course the bearings^,,
AS,"with babbitt, the inserts. But they had a forty-eight cylinderforty-",,
AS,"eight inches in diameter cylinder,. And gee, I forget the stroke",,
AS,"on it, but anyway it was 1,200 horsepower in one engine. So that was",,
AS,quite a piece of machinery.,,
SS,Would you explain briefly how it worked? The Corliss engine?,,
AS,"Well, it's a little bit difficult to explain unless a person is ac",,
AS,"quainted with engines, stationary engines. I could make you just a",,
AS,"small sketch of the operating mechanism. But anyway, there was ec",,
AS,centrics on the main crankshaft between the main bearing and the fly,,
AS,wheel there was two big eccentrics on the shaft there. Now if you,,
AS,"know what an eccentric is- it's something that runs off center. Well,",,
AS,"then connected these eccentrics was pushrods, steel pushrods.",,
AS,And these rods were about twenty feet long and they d run to,,
AS,"the steamchest. And of course, they worked on the outside of the",,
AS,steamchest. On the steamchest end of these pushrods- they worked an,,
AS,"eccentric there. On the steamchest, this eccentric just back",,
AS,"and forth- like so, you see- one at each end of this cylinder. Well",,
AS,then there was rods that come down from that down they opened and,,
AS,closed valves. Now they had rotary valves that went through. There,,
AS,was an intake and exhaust valve on each end of this cylinder. And,,
AS,"these rods would open and close these alves, you see, so that when",,
AS,the intake valve was open on one end the exhaust valve had to be open,,
AS,"on the opposite end, and then vice versa. And that pushed this cylin",,
AS,der piston back and forth in the cylinder.,,
SS,How was the steam generated?,,
AS,"Well, from the power plant. They had a battery of boilers there.",,
AS,They had twelve return flue boilers and then they had one— of course,,
AS,this big watertube boiler wasn't installed until 192- the beginning,,
AS,"of 1925. But anyway, they burned all their waste from the mill- not",,
AS,all of it- but they burned whatever waste they needed from the mill,,
AS,"to generate the steam, and then the surplus waste went into a big",,
AS,"burner. This burner was, oh, I don't know the exact measurements",,
AS,about sixty feet in diameter and I think it was a hundred and ten,,
AS,feet tall; screen top on it. All the surplus slabs and sawdust and,,
AS,stuff that they went into this burner and it was burned. That,,
AS,"burner it was torn down, oh, maybe it was in the 1940's. I can*t",,
AS,"give you the exact year. But anyway, they quit burning their sur",,
AS,"plus. And then they hogged all their fuel, that is all the slabs",,
AS,"went through a big hog- knife, hog, that chopped it all up into",,
AS,small pieces you know and.whatever wasn t burned in the powerplant,,
AS,they put in a conveyor system and it went across to a big fuel pile,,
AS,where they could store this fuel where they could bring it back in,,
AS,"and burn it on weekends, holidays and times whenever the mill wasn't",,
AS,"running, you see.",,
SS,The Corliss engine provided the power for the entire sawmill?,,
AS,"Everything. Everything, that is the entire sawmill plus the greenchain.",,
AS,I think I told you here before about the belt that they used,,
AS,on that engine- that went from the engine over into the sawmill.,,
AS,"It took 3000 cowhides to make that one belt. Of course, now when",,
AS,"you say a cowhide, in making a belt they don't use the entire hide,",,
AS,because the flank and some of those parts^the hide is too soft. They,,
AS,just use the backs. And they use mostly South American cowhides be,,
AS,cause they said that they were thicker. This thing was all put toge,,
AS,"ther with glue. And whenever this belt would stretch, which it would",,
AS,you know after you put on a new belt then when it ru n about a,,
AS,"year, why, then it had stretched to the point where theyld have to",,
AS,take a piece out of it and reglue it. It takes an experienced man,,
AS,to do that kind of work. Each layer in thickness of this belt has,,
AS,to be separated back for a distance of about three feet on each end,,
AS,of the belt and then each ply has to be separated back and these plies,,
AS,"have to be shaved down to a feather edge, and then they have to be",,
AS,covered with glue and then these plies would go together like soand,,
AS,then they had great big wooden clamps that they clamped on that,,
