speaker,words,tags,timestamp
,"Ed Swenson describes more about the early life of Park—clearing,",,
,"harvesting and other homestead activities, building the Lutheran church",,
,"and celebrating Christmas, playing in the winter. He tells of the",,
,"wilderness country around Park, of fishing with spears, hunting, and",,
,"cougar, and of hauling supplies to an isolated mining camp near Elk",,
,"River, He speaks of troubles he had with drunks in saloons during the",,
,"railroad building days, and of the time of saloons in early Troy.",,
,"Ed also explains how he decided to leave Park in 1910, and how the",,
,area changed.,,
,SAM SCHRAGER: What I was wondering about was just sort of an overall feeling for,,
,what families did to get by in homesteading?,,
,"EDWARD SWENSON: Well, most of fem, the men would work out in harvest out on the",,
,"prairie, you know, through the harvest season. And then in the late fall and",,
,"raise a little grain and hay, They'd keep a few head of cattle and so they'd",,
,"have a few to sell, you know. It took a few years before they got a thrashing",,
,"outfit to thrash their grain, so they cut most of it for hay until that time.",,
,And there were five of the neighbors there that sorta formed a company and,,
,went out and bought a used thrashing outfit out in the Genesee I alley. It,,
,"was a horse power outfit. Brought that home, and they formed a crew for",,
,"thrashing and exchanged work with each other, so nobody had much of a thrash",,
,"bill, you know. And then they would haul wheat out to the flour mills and",,
,"get flour to last through the year, and what more they had they would sell",,
,"then to the warehouse,",,
SAM,Was water much of a problem?,,
ES,"No, no. We had lots of snow in the winter in those times. And there were",,
ES,"springs that towards fall they would get pretty low, but nearly everybody had",,
ES,water fairly close to the buildings. There was only one family I knew of in,,
ES,"there that had to haul water in the summer,",,
SAM,"Go on. They had to haul water,",,
ES,"They had a water tank, and they hauled with wagon and horses, you know, up",,
ES,"to the house, and they had a cistern there that they would empty into. But",,
ES,"during the wet season, why they nearly all had plenty of water,",,
SAM,"Was most of water come from wells, or did it from springs?",,
ES,"Springs, yeah. Or small creeks, you know, that would run through the summer,",,
ES,"the year around. They had to carry it, sometimes they had to carry it maybe",,
ES,"a couple a hundred yards or so, but they were used to hardships, and longs as",,
ES,"there was plenty water there, why...We had to carry water about I'd say one",,
ES,hundred yards or something like that. And we dug a cistern and lined it up,,
ES,"with rocks and hauled water into that, and so we had water close to the house.",,
SAM,You just used the cistern for storing water that you hauled from your spring?,,
ES,"Yes, yeah.",,
SAM,What about the work your mother did? What kind of jobs did she do to keep,,
SAM,the family going?,,
ES,"Oh, she worked, was at home all the time. Did the housework you know. And",,
ES,"we had big gardens and a big orchard, we had oh close to two acres of orchard",,
ES,"there, fruit orchard, so she did a lot of canning. And of course we had plenty",,
ES,"of milk and cream, and she made butter, stored butter for the winter. We had",,
ES,a good cold cellar. And so she put up a lot of fruit and butter and things,,
ES,like that. And they salted meat in a big barrel. When we butchered in the,,
ES,"fall, why we'd have plenty of meat and fruit, and then we had chickens and a",,
ES,"couple of pigs, you know, every fall. So we had plenty meat. And the neighbors",,
ES,"the same way of course. When butchering time came in the fall, why two or",,
ES,three neighbors get together and they'd butcher on one place then they'd go,,
ES,"to the next one, and so they all had their help free of charge. Until the",,
ES,children began to grow up and be a help. I know we boys stayed at home until,,
ES,"we were grown up before we tried to get out on our own any, you know, stayed",,
ES,"up there. I was the youngest of the boys, so I stayed home to do the work",,
ES,there and take care of the folks when they got old.,,
SAM,You mentioned this cooperating several times. I get the idea that there,,
SAM,was a lot of cooperation between...,,
ES,"Oh yes, that was the general rule there. When you needed help, why you'd",,
ES,call on some neighbor that would help. Then you'd go and help him back again.,,
ES,"There was no money exchange on that. No matter what kind of work it was, they",,
ES,"were all familiar with it, and they all had the same kind of work practically,",,
ES,"so...In breaking up land, someone had a good big breaking plow, and then if",,
ES,"more horses were needed, why a neighbor would add on a team, and you'd break",,
ES,awhile on yours and then go break for him.,,
SAM,Was this breaking a very hard work? I was wondering with it being sort of,,
SAM,"meadowy, if that would make it easier then some places to break land?",,
ES,"Well the hard part about it was that by that time, why this servicebrush",,
ES,"have started growing up, and those roots were kind of hard to break through,",,
ES,you know. So it was slow work. And we didn't have a good grade of horses,,
ES,at that time. They were a mixed breed of horses and not very big horses. An,,
ES,average farm horse in those times would be between fehen hundred and twelve,,
ES,hundred pounds. And that isn't a very big horse. Later on they began to get,,
ES,better horses and do better work.,,
SAM,"Your father had horses when he started, did he? Or did he start without them?",,
ES,"No, it took a couple of years before we...The first thing he got was milk",,
ES,"cows, 'cause that was part of our living, you know. And then my oldest brother",,
ES,"had horses, and he would help. And then another neighbor that father exchanged",,
ES,"work with, he had four pretty good horses, so he would come and break land for",,
ES,"us, and then we would help him clear land or something like that, you know,",,
ES,"to pay back, until we had horses of our own.",,
SAM,Can you remember the order of things that were important to your father?,,
SAM,"You said that you built the cabin first, that was the first thing to do. And",,
SAM,"then you wanted to get a milk cow right away,* Then what other things were",,
SAM,the most important things to get done on the homestead?,,
ES,"Well after we got the house up and moved in, then he began to cut logs for",,
ES,"a barn. And there were three or four men., together then to build a barn up,",,
ES,"'cause they were longer and heavier logs, you know. And soon as he got the",,
ES,"barn up and had a place for the cows, then he built a chicken house, and then",,
ES,"was a cellar, and next was a woodshed. So there was a lot of work to do.",,
ES,The first and second year we were there—he didn't have anything broke up,,
ES,"the first year, the second year he got a few acres broke up.",,
ES,And it happened there was an Indian trail through our place from down at,,
ES,Lapwai. They used to come up through the summer and go hunting and fishing,,
ES,"back in the woods, you know, and pick berries and take home. So they would",,
ES,come across there until we had the land fenced in. This trail that they,,
ES,"had across there was quite close to our buildings, probably something like 30",,
ES,"or 40 yards from the house. And they had a camping place there, where they",,
ES,would stop and eat before they went into the mountains. So the second summer,,
ES,"after we moved in, why they came through there and they stopped and camped",,
ES,"there and went on. The third summer we had some land broke up, and that took",,
ES,part of that trail they had through there. And father had sowed some oats then,,
ES,"for hay. The oats were up a few inches, and the Indians came, and they didn't",,
ES,"seem to understand this. They used the same camping place, staked the horses",,
ES,"out in the oat field. Father and the older boys were away that day, and",,
ES,mother was worried about them destroying the oat ground there. So she told,,
ES,me I'd better go over and tell 'em to move their horses. Well I was afraid,,
