speaker,words,tags,timestamp
,This second conversation with KATE SANDERSON WALDRON took place at her home,,
,"in Bovill, Idaho on August 25, 1976. The interviewer is SAM SCHRAGER.",,
SS,What was it like in your family? How your parents raised you.,,
SS,This is something we like to ask people because it's so different,,
SS,it seems nowdays than it used to be,,
SS,"KATE WALDRON: Well, my mother was a devout Chrisitan and my brother, John,",,
SS,was converted - did he ever tell you about his conversion?,,
SS,"Actually I didn't ask him about that, but you talked to me about",,
SS,it when I was here.,,
KW,"He was a Christian, and he's the oldest one in the family. My",,
KW,"father was working as a timber cruiser, I guess it was for the Potlatch,",,
KW,"and of course, he wasn't home too much of the time. He was",,
KW,"home at times, but he was gone most of the time. So, it was Mama",,
KW,"and my brother, John, and we had a Christian home. We were raised",,
KW,in a Christian home. We went to church and Sunday School every,,
KW,"Sunday. And when Dad was home, my dad was just like Byers, he",,
KW,"just loved to cook, and he was a good cook, and he'd always have",,
KW,Sunday dinner and we could always ask company home for Sunday,,
KW,"dinner, because Mama knew that Dad had a good dinner going. MY",,
KW,dad was an awfully nice man. He was raised a Southern gentleman.,,
KW,"His mother died in the Civil War, she had a baby and this baby was",,
KW,only three weeks old and they were crossing a river in the East,,
KW,"there, I don't remember where it was, but in the Civil War and",,
KW,"the bridge was burning at the time they crossed it, and it went",,
KW,down with them. And my grandmother was drowned- or nearly drownedshe,,
KW,"took pneumonia, her baby was only three weeks old and they saved",,
KW,the baby bytmy grandmother died. That was my father's mother.,,
KW,And he was taken by an aunt and raised in the South. And he loved,,
KW,"his dear old Negro Mammy, he just loved her, he said, ""I couldn't",,
KW,"have had a finer mother than that Negro woman."" We were raised to",,
KW,"respect the Negro people. There was no class hatred in our family,",,
KW,because my dad loved the Negro people because he was raised by such,,
KW,"a fine Negro woman. That is, she was the nurse, and the aunt that",,
KW,raised him.,,
SS,Was he Swedish? I thought that he came from Swedish people?,,
KW,"The name indicates that, but that's not so. His father was a full",,
KW,"blooded Englishman and h$$. mother was a fullblooded French woman, she",,
KW,was a French girl. And all during school years there was quite an,,
KW,argument. Every time I was in high school we had a teacher and,,
