speaker,timestamp,"End Time",words

"Sam Schrager","00;00;00;00","00;00;25;12","This conversation with Ruth Olson and Margaret Olson took place at their home in Derry on June 16th, 1976. The interviewer was Sam Schrager. Yes. I would like to invite a."

"Ruth Olson","00;00;25;18","00;00;55;11","Moment of pop of support to have a job here with you as the brakeman on the train. And just before I left for school, I broke his arm so he couldn't do that. And I that I can see the work in the works, cutting up on that, of course. And we were in there. But it was because of Uncle Will's a thinking wire."

"Sam Schrager","00;00;55;14","00;00;57;19","How was that? Well, already here."

"Ruth Olson","00;00;57;27","00;01;27;16","When they were here, they were established there. I mean, they were he had a store there in Kalmar and he and I was wonderful country, of course, new mothers. But they all do a lot of country for us. And they would. And mom was, my mother's mother and father would come through. They didn't come out of the in a little."

"Ruth Olson","00;01;27;19","00;01;34;04","Well, when did Uncle Charlie come? I don't know. That moment. I can't really say."

"Sam Schrager","00;01;34;06","00;01;37;03","Were you were you born by that time?"

"Ruth Olson","00;01;37;05","00;01;44;08","Yes, I. I was just a baby. I was born in 1960."

"Sam Schrager","00;01;44;10","00;01;45;08","And what about you?"

"Ruth Olson","00;01;45;09","00;01;48;20","I was born Homestead."

"Ruth Olson","00;01;48;23","00;02;05;23","They were living out there. And then a little later in the year, they were ordered up during that 1910 fire. So they moved off the homestead. And in return, they treated the dump them and moved in here In February of the next year."

"Sam Schrager","00;02;05;25","00;02;12;08","There were a lot of people who had homesteads right at that time in that country, weren't there? Well, I."

"Ruth Olson","00;02;12;10","00;02;44;16","Think that was a lot, but mostly it was this very land running, this land that they could get, and that's why I brought them. You. When you think of the early people, most of them homestead the land on this isthmus, folks, I imagine they get the burnt limbs down there on Mary Creek. And my sisters. Well, the improvements, folks, the homestead is that virgin part of it."

"Ruth Olson","00;02;44;17","00;02;48;16","And they all moved."

"Margaret Olson","00;02;48;18","00;02;53;15","And the Normans homestead, the."

"Sam Schrager","00;02;53;17","00;03;16;13","I was thinking that that around the people that were homesteading around that area, around Elmer, that was kind of almost right about the edge of where you could farm, wasn't it? Because the idea that I might I mean, it was almost it was pretty much timber that I mean, it's still largely temporary like right where you're."

"Ruth Olson","00;03;16;16","00;03;28;14","Well and right. I mean, when they came, of course, a lot of it was just timber that they cleared. I don't know. They're still planning on some of this. Well these homesteads."

"Margaret Olson","00;03;28;14","00;03;30;06","Around here or timber."

"Ruth Olson","00;03;30;08","00;03;38;19","The right around there, you know."

"Sam Schrager","00;03;38;22","00;03;44;02","The lot were a lot of those sold to, to to Potlatch."

"Ruth Olson","00;03;44;04","00;04;20;12","I think for when I think about it from where you, you had that old county that you know which was all I remember well that atlas that that at home that you know it shows now I know we had some friends over from Potlatch and her sisters are scattered out, but they were up here and they were trying to ask us if we could, if we had any idea where their father's homestead was."

"Ruth Olson","00;04;20;14","00;04;53;02","And we said, well, we didn't know. And so we went out there with a bird. And he told us that it was not by the old city dump. So we'd forgotten about there be another dump farther to the south and west a little bit. This was a yeah, that way when it's with the dump now and we forgot about that and so we told them I was by the dump there."

"Ruth Olson","00;04;53;03","00;05;39;03","And then later someone said, don't remember that one. And we did recall after the progress report, one did recall the regular dump in a previous place. And when you think of some of them of course, or moved away then or something about Peterson's house over there is a person that you ought to talk to. You know, Mike Hooper down here doesn't talk like his sister does he?"

"Ruth Olson","00;05;39;04","00;06;10;19","Is he lives in the north. Cabins from across the bay where those three little ones in a row. But you recall she had a wonderful mind and she recalls she lives in Spokane. Her name is Margaret Hoover. MARGARET Well, no, I they had at one time a store and they were the post office together down there at Albert Cross."

"Ruth Olson","00;06;10;22","00;06;21;26","NORBERT they owned that. And then they moved their store from there over to where the is it belong."

"Sam Schrager","00;06;21;28","00;06;24;17","On your folks at that time?"

"Ruth Olson","00;06;24;20","00;06;30;25","Well, I don't think they had an easy time of it, but I don't they didn't complain. Really. I don't know. I think they enjoyed they."

"Margaret Olson","00;06;30;25","00;06;37;06","Took it just like people in those days. I don't know what hard times are so."

"Ruth Olson","00;06;37;08","00;06;47;27","Well, I mean, of course, not having they have didn't have any modern conveniences really like that. They carried the water, grew spring and things like that. But that was expected. They all."

"Margaret Olson","00;06;47;27","00;06;59;29","Lived. So if they had a horse, they had a horse transportation. If they didn't, they walked. Ruben tells about his dad going to law school and carrying a flower on his back."

"Ruth Olson","00;07;00;04","00;07;20;08","Well, you know, and my mom told about how she went out to begin with and picked up every roosting for firewood. They were used to not having anything back there in Minnesota that way because they just don't have the for. And she said she thought that was such a terrible waste out here last year. She said, Mrs. Grannis, was she mentioned her."

"Ruth Olson","00;07;20;08","00;07;23;12","You know, she did that, too."

"Margaret Olson","00;07;23;14","00;07;34;28","Well, they'd come from Minnesota, where they'd homesteaded back there and their family. So, I mean, it was just another generation doing the same thing."

"Sam Schrager","00;07;35;00","00;07;45;00","Do you think that that your folks had money to live on or or when they came out here that they had saved? Or do you think it was just real subsistence?"

"Ruth Olson","00;07;45;02","00;08;12;14","Well, my mom and I had some you know, I don't know, just say how much, but I would say I've always felt that while we we didn't have a great deal, we certainly were very independent and happy. And I think we had a very happy childhood, you know, and it's certainly didn't bother me."

"Sam Schrager","00;08;12;16","00;08;19;05","Well, tell me a little bit of what being a kid was like, what childhood childhood was like."

"Ruth Olson","00;08;19;07","00;08;44;21","Well, of course, we there was a large family. There were six of us girls and kids nowadays make your own fun in the night, in the evenings and the a whole bunch of us get together and play games and things like that. And we all had our chores or certain things we had to do and we had to do them."

"Ruth Olson","00;08;44;21","00;09;10;07","And to me, advantages, responsibility. And I see so many children now having any responsibilities, whatever. They don't learn due to going out and doing what they're supposed to do. And then my grandfather lived with us and he jumped the woodshop and it was our job to carry the wood. So we have to carry the water, things like that."

"Ruth Olson","00;09;10;07","00;09;32;12","But I never thought that I was really in every one of you. So I should know how many times we get together as a group and we go from one house to the other and help each other do the local hours and do so. We get out and play our game."

"Margaret Olson","00;09;32;14","00;09;34;16","And we could be together doing it."

"Ruth Olson","00;09;34;18","00;09;56;08","Right. We just it was just a matter of that things had to be done. And I know even when lots of times when we were moment moments to, you know, and you know, we had our responsibilities to the table was cleared up and things like that before we went back to school. And no, because the mom had other things that had to be done."

"Ruth Olson","00;09;56;08","00;10;01;06","She had a lot to do therapy. Do you think that those things of."

"Sam Schrager","00;10;01;08","00;10;05;05","You knew what you had to do rather than being told by parents."

"Ruth Olson","00;10;05;07","00;10;21;13","You know, these things had to be done every day or when the time came, we knew that if we didn't get in, a group of why we would have to later in was we might as well. They were done."

"Sam Schrager","00;10;21;15","00;10;27;15","Did you wind up helping your father very much in the outside work at all?"

"Margaret Olson","00;10;27;18","00;10;33;10","He wasn't home to do it. I mean, he worked out in the woods."

"Ruth Olson","00;10;33;12","00;10;35;05","And he was in the office that."

"Margaret Olson","00;10;35;12","00;10;38;23","We have. We do have a thousand moms and help with that kind of stuff."

"Ruth Olson","00;10;38;23","00;10;44;01","That's all we had because we and a little garden, we help with that."

"Sam Schrager","00;10;44;03","00;10;49;23","So mostly he was working out in the in the woods after dinner."

