speaker,words,tags,timestamp
FB,"Oh, not an awful lot.",,
FB,"Picked peas,you know what the picking peas was? You know Moscow was a pea town",,
FB,years ago. Sort of a center. That's when they first begtfn raisin1 peas.,,
SS,About when was that that people started going in town? Was it in the,,
SS,Depression?,,
FB,"About after. I don't know when I did pick, butjof course, they picked peas",,
FB,lonq before I did. Ny kids were grown up and my youngest boy was in the war,,
FB,"when I went to work picking peas. But they'd done it many years before, ^ashburn-",,
FB,"Wilson Seed Company and several others. I don't know, every woman pretnear",,
FB,that had boys she put 'em through University sortin' peas. We always called,,
FB,"it picking peas but we sort. ^Had great big, Iexpect around town you d see",,
FB,some yet. They don't pick peas any more but they still sort the peas by,,
FB,"machinery. You set, like a great, long schoolroom and you had your individual",,
FB,"desk and the peas come down on a belt, you know and you set there and pick",,
FB,out the,,
SS,The belt stop or was it moving?,,
FB,It was moving all the time and somebody down below was a hopper tender that,,
FB,"emptied em, let 'em down ithe bin below when it got full. And old ladies",,
FB,"seemed to, not old ladies, old girls and mirried women all worked at pea",,
FB,pickin'. And they sold 'em for seed Iguess. Shipped 'em overseas. I don't,,
FB,know just what they did do with all of it,,
SS,"So each girl got her own peas. Nobody else would check yours, you had to...",,
FB,"No, just the hopper down below. And if you let too many, well probably the",,
FB,next year you wouldn't get called back if you didn't do apretty good job.(chuckles),,
SS,Idas it hard?,,
FB,"No. Not after you got, it was a little bit, oh you get a litte dizzy when you",,
FB,"first start, the first year? But afteryou got immuned to that and you could",,
FB,"just set there and you didn't dare talk, it was like school, you know. Every",,
FB,thing was quiet. You didn't dare go to sleep or anything on the job.,,
SS,I bet it was tempting to go to sleep,,
FB,"Yes, sometimes for some of them it was. If they'd been up late or something.",,
FB,But there was always a floor boss going around that would talk to ya if she,,
FB,"thought you was gettin' sleepy. One woman who's passed away now^ she was, what",,
FB,"didthey call her? We just called her boss but she was a floorwalker, Mrs. Lailock",,
FB,for 31 years at one place. And so she seen lots of people come and go. 60,,
FB,women sometimes worked there. At the head of full crew there was 60 women.,,
SS,All women working on the crew?,,
FB,"Yeah, the men worked in the warehouse and they had to keep the bins full in",,
FB,"order to keep those places for us to pick. Yeah, it was all pretty fine and",,
FB,pretty good method.,,
FB,"It was a woman's job, I guess.",,
FB,"Yeah, never any men picked peas that I know of.",,
SS,What kind of pay?,,
FB,"Pretty good pay. Course it wasn't, started out at probably 25 cents an trour",,
FB,"when the pea houses started. And then it got up to about, I don't know what",,
FB,"at the last, what we did get. Probably oh nothing like thay get now, not 2",,
FB,"and 3 dollars, but probably up to a dollar. I can't just remember.",,
SS,8 hours a day?,,
FB,Um-hm.,,
SS,"How many days, 6,5?",,
FB,"Yes. If it was in season, why it would be 5 days, 6, 5 days a week didn't",,
FB,very often work Saturday and Sunday although sometimes they'd have a rush,,
FB,order and ' they'd ask whoever would come back could come back on,,
FB,Saturday.,,
SS,Did bhey give you overtime?,,
FB,Oh yes. Overtime was always time and a half you know. Them days and like it,,
FB,"is now, I guess, I don't work enough to know, but I'm sure it was overtime.",,
FB,"But those days are all gone now. I don't know, well, there's other jobs, I",,
FB,"guess. I tell you now they all get a job up at the university, secretaries",,
FB,"and file clerks and what have you. That's where all the, not the same bunch",,
FB,"of paa pickers, they're?! dead, but this new bunch of young ones that want",,
FB,"to work,that's where they do and that's what they always said about the farmers",,
FB,"when they got too old to do the hard work and milk cows and things, why they",,
FB,moved to town and went to work up to the university.,,
FB,"There's more men too, up the university.",,
