speaker,words,tags,timestamp
,SAM SCHRAGER: What's the story?,,
,"WILLA CURINGS CARLSON: Well she was buried up there in the Burnt Ridge Cemetery,",,
,"the girl was. Well why in the wide world they decided to move her, that's",,
,something I don't remember.,,
,"MAVIS LEE UTLEY: Well they moved the whole cemetery, didn't they?",,
,W C: I don't think so.,,
NLU,"I was thinking they were moving all the cemetery, everybody that'd been",,
NLU,buried there.,,
NLU,"UCi I don't think so. 3ust their lot, or something like that. But anyway, there",,
NLU,was some reason why they were going to move her from where she was to where,,
NLU,"she wasn't. And they took it out, and they wanted to open the casket. And",,
NLU,I remember—,,
MLU,What Iwas saying was her father insisted on opening the casket. There,,
MLU,were several men working out there.,,
WC,"Well it seemed to me it was Old Grandpa Larsen, as they called him...",,
WC,Anyway it was agirl by the name of Larsen would be as far as I'd dare go.,,
WC,I wouldn't dare tell which family she belonged to...Anyway they opened the,,
WC,casket—,,
MLU,She'd been dead for a couple of years.,,
WC,"Idon't remember just how long she'd been dead, but she'd been dead quite",,
WC,along while. And had wintered out there anyway. Idon't know but what it,,
WC,"was more than two years. And my goodness, her cheeks were pink and she looked",,
WC,"so natural. And my goodness, they were all startled to death.",,
MLU,The men didn't want him to open the casket—,,
MLU,W C: No.,,
MLU,"- The father. And they tried to keep him from doing it, just move the",,
MLU,"casket. And he insisted on prying it open, and then they found her in this",,
MLU,"perfect condition. 'Cause they thought it would be too frightening, you",,
MLU,"know, he really couldn't stand seeing her all decayed and everything.",,
SAM,So what did they think?,,
WC,"Yes, Iremember different theories expressed. Somebody said, well they",,
WC,"thought she died of this tubercular condition, and that that left them with",,
WC,"ared cheek and sncw-white skin. Of course that was also Scandinavian, you",,
WC,"know. There were very blond, the Larsens were. And that she must have been",,
WC,"alive. And of course I, knowing now what Iknow, why Idon't believe that",,
WC,"at all of course. But they thought that she'd been buried alive, well, some",,
WC,"an had sense enough to say no, anything like that, there would have been",,
WC,"gasses, you know, naturally. Where they are alive when they're buried, the",,
WC,natural gasses just simply burst the coffin. It does happen. Sometimes a,,
WC,"Person is buried alive, but there's all kinds of destruction brought about",,
WC,"by it. That was pointed out by people who happened to know, Paul said.",,
WC,"Daddy knew, he heard all about this. Idon't know but what he was there.",,
MLU,It seems to me like maybe Daddy was there helping move this cemetery.,,
MLU,"WC I'm not sure but what he was too. But as soon as the air got to her, she",,
MLU,"fell to pieces. So they went and opened the casket again, and of course",,
MLU,she fell to dust. That's what happens.,,
MLU,But then they kind of decided though that she'd been buried next to awater,,
MLU,vein or something?,,
MLU,"WC Yeah, there was avein of water that ran right past it, and that was ice",,
MLU,"cold water, because it ran off of ahill back of it. It was terribly cold.",,
MLU,"And it-d kept it in perfect condition, being underground and no air getting",,
MLU,"to it. But as soon as they opened the casket and air entered it, the second",,
MLU,time they looked at it she was just nothing. Ifd just all fallen to dust,,
MLU,around the bones.,,
SAM,Oid this shake the father up a lot?,,
WC,"Oh they were all shaken up, Ishould say.",,
MLU,Well I thought that he almost went nuts.,,
WC,"No, I didn't know that. It takes a lot to put a Swede nuts.",,
MLU,"I don't know why, but it seems to me like I remember that—",,
WC,"Idon't remember that. Idon't know. Of course he was shaken, they all",,
WC,were all shaken. Some of them didn't want to prowl around the cemetery any,,
WC,"more,",,
WLU,"Idon't know. As Iremember the experience as akid, Ithought it was a",,
WLU,fascinating story.,,
WLU,UCi They used to always be telling stories. Iheard several stories about,,
WLU,"people being buried alive, but Iknow now, as agrown person and know about",,
WLU,"conditions, Iknow it couldn't have been true, they were just fanciful tales.",,
WLU,"Well Ididn't get that idea about that story, that she'd been buried alive.",,
WLU,But what Igot was that the father took it as asign from God though that she,,
WLU,had been chosen and was select and special.,,
WC,"know, Wavis, but Inever heard that. No,",,
WC,it was the buried-alive theory. And that was what Paul's mother was always,,
WC,"talking about. She wondered. She wondered because whe was alittle susceptible,",,
WC,was. She wondered if she could have been buried alive.,,
SAW,How had she died?,,
SAW,"WCi Well as Helen (Johnson) said here today, if it weren't tuberculosis, it",,
SAW,was—she had her funny way of saying TB...,,
SAW,"Since we're talking about death, that reminds me of you telling me about",,
SAW,Wrs. Eliot's account of Winnie Booth's leaving her. Would you tell me that?,,
SAW,IK C: Would I tell you that? I did tell you that.,,
SAW,"Yeah, but we didn't take it down, it was just when we were talking along",,
SAW,time ago.,,
SAW,"UCi Well first Eliot was always saying, ""Well you be careful about who you",,
SAW,"leave and go to American Ridge with, or go over home with, when you leave here.",,
SAW,Because we think too much of you to have the same thing happen to you that,,
SAW,"happened to Winnie Booth when she stayed down here on this bench."" No other",,
SAW,teacher Iguess had ever boarded down there since Winnie had. Because you,,
SAW,"like me to stay there, at the Waite's, but my goodness, Inever was better,",,
SAW,"I mean healthier, year, and I loved it there.",,
SAW,"hill. And Wrs. Eliot was not my landlady, but she lived close there. And",,
SAW,it was when she came up there to see how Iwas getting along with it when they,,
SAW,"Iknew how to do afew things. Ieven baked bread for 'em on Saturday, you",,
SAW,"know, and Icooked for them. They didn't need much to eat. They were all",,
SAW,"sick with flu. But she said that that day Winnie had-I don't remember this,",,
SAW,here's alink that I've left out. Idon't know whether she was going to,,
SAW,"come back down and had intended to in the beginning, come back down there be",,
SAW,"fore she left, or-no, she didn't know she was going to leave, that was it.",,
SAW,"That was it, because here she said came Winnie down in the evening after her",,
SAW,school was out with this old doctor...Well he looked like ahypnotist. (I've,,
SAW,"seen his picture, it used to hang in the old Gritman Hospital before they",,
SAW,built this new one. Ijust wonder if that picture is preserved. !imagine,,
SAW,"it is. I'll bet it's up in the Wuseum.) Ican't think of his name now, but",,
SAW,"he looked like ahypnotist-big old dark eyes, bul^ out. But anyway here",,
SAW,he came in a rubber-tired . He came,,
SAW,driving Winnie down to her boarding place. And she said she wanted to pick,,
SAW,"up afew things, that she was going away for the weekend. Wrs. Eliot thought",,
SAW,she was going home for the weekend. So she got these few things and went.,,
SAW,"in things after she heard what happened. She might have read thing into it,",,
SAW,but it seemed to her that Winnie was alittle sad when she told her goodby.,,
SAW,"Oh they just thought the world of Winnie, she was the sweetest girl they'd",,
SAW,"ever known. And she said she just felt bad after they'd gone off, and she",,
SAW,"said to her husband that she didn't like the looks of that man abit. ""No,""",,
SAW,"he said, he didn't either. He understood it was married man that'd come out",,
SAW,"here after Winnie, and he didn't like it at all.",,
SAW,"And the next day the news was out. They didn't go to Woscow at all,",,
SAW,they went to Orofino. Took aroom at the hotel-Wr. and Wrs. something-or-,,
SAW,"°ther, Ithink under his name. And they left notes. She left anote to her",,
SAW,"father. And she said that this was the only way out, she was sorry it had",,
SAW,"to be this way. They had taken poison, had drinks and he'd poisoned 'em.",,
SAW,And that was standing beside the bed; and they were both dead. Well that,,
SAW,"was a nine-day sensation, don't forget that. Around here everybody talked",,
SAW,about it. And again it was Wr. Roberts that came up and told my folks. And,,
SAW,"don't forget, Iwas standing around, Iwas just like Wavis, Iwas taking in",,
SAW,everything (chuckles). Wavis was very samll when she's taking in alot of,,
SAW,the stories that she's heard. And I was the same way about all of those,,
SAW,stories. I never forgot the name of Winnie Booth. Then my goodness after,,
SAW,"I was married, Paul told about Winnie Booth had been his Sunday school",,
SAW,"teacher. And he and all the other little boys, they talked about when they",,
SAW,got big they were going to marry agirl that looked like Winnie Booth. And,,
SAW,Winifred was his favorite name. Wavis came almost being Winifred.,,
SAW,PlLUi I certainly wish I had been.,,
SAW,So she was rather pretty.,,
SAW,«C: According to Paul she was abeautiful girl. Inever saw her picture even.,,
SAW,Did Wrs. Eliot say that Winnie said anything to her when she said goodby?,,
SAW,"WC Nothing that would indicate what she was going to do, but she did say that",,
SAW,"she acted kind of sad. And she told her goodby, and she gave her something.",,
