speaker,words,tags,timestamp
,HELMER RINGSAGE: — Years and the crop would a spoiled over there. And I,,
,woulda been sunk worse over there than I did get over here. Here I,,
,only owed a thousand to Deary Bank and I had forty-four head of cattle,,
,"to offset'. They got their money's worth, or would have if they could",,
,"have sold 'em. 1932, manwent down to two bits, over there to Park.",,
,And the only man that saved me was old President Roosevelt. Delano,,
,Roosevelt. He made the stipulation that any family man that had—,,
,"regardless, if he was farmin' and had — he was exempt fifty-five acres",,
,of crop for his family. No mortgage could take it. So that's what I,,
,"done. I had a little oats, two, three hundred dollar's worfk probably",,
,is all I had. I sold; pocketed the money every time I come in. Old,,
,"Harsh was a nice banker, I didn't want to go borrow that much money to",,
,start with. I only wanted five hundred. Here was the deal; I didn't,,
,"tell you— I'd boughtstate land on terms, eighty acres right there in",,
,"Park, close to this Noland place. Well, it'd be west of where Gellaburg",,
,"is, up in the mountain there. Just about as soon as you enter",,
,"into Park, over the top of the grade. Well, anyway, I got that four",,
,"teen hundred dollars and my brother, Simon» the one that died with can",,
,"cer, he lent me the cash to make the downpayment. And when I got to",,
,"farmin' on the Ridge, you see, the first few years I was making pretqood",,
,"ty good; some of it, that is, one year, I mean I made— I raised some",,
,beans on forty-four acres of ground that my dad had. And I got thir,,
,teen hundred pounds to the acre and I come pretty near missing it like,,
,"some of 'em. One of the neighbors there he tried to WK me, ""Oh,""",,
,"he says, ""don't sell yet."" Says, ""They're retailing in Spokane-Kirye.",,
,"Well, I coulda got nine cents. I speculated a little bit. Could have",,
,"got nine cents. But, old Guernsey, had to haul clear on the other side",,
,"then, — Old Guernsey he says, ""You want to sell this morning, Ringsage?""",,
,"""Well, I don't know, what's the price?"" He says, ""Nine cents."" And",,
,"he was laughing kinda, you know. Him and Magill was in partnership.",,
,"And, I thought, ""Goddam,""that smile, maybe he had got something up his",,
,"sleeve, I could get a little more, I said, ""How about a dime?"" ""No,""",,
,"he said, ""nine cents is pretty good."" Well, it was. I was a damn fool",,
,"not to take it, see. Well, I held that doggone crop til pretty soon",,
,the thresher man command he wanted his money. He wanted it RIGHT NOW.,,
,"Old Ned . I said, ""Okay, I'll call up Magill."" I wasn't gonna",,
,"fight him, he come and threshed when I asked him to; he wanted his money, by God,",,
,he had a right to get it. He said he had to pay his crew.,,
,Which was nothin' more than right.,,
SS,"How long after the crop was in, was this?",,
HR,I had it hauled down to the warehouse.,,
SS,Was it very long after he'd threshed it?,,
HR,"Well, not too long. I don't know. Maybe it was a month or two, I",,
HR,"can't remember. But anyway, I called up Magill. I says, ""How much",,
HR,"are beans?"" And he was kinda of a squeaky voiced guy, he says, ""Beans",,
HR,"are comin' down,"" he says, ""they're still seven and a half cents/( and",,
HR,"you better sell."" And, I said, ""I'll sell my share."" But my dad had",,
HR,"told me not to sell his share, til I let him know. Now, he was a dang",,
HR,"fool for not letting Magill know. He could have told Magill, ""Here when",,
HR,"that price is suitable; sell."" What he shoulda done. He didn't do it.",,
HR,By the time I wrote to Dad and he finally piddled around like some of,,
HR,"the rest of the farmers, he left it to Magill then, and he got five",,
HR,cents. The rest of the farmers' beans laid in the warehouse. They,,
HR,couldn't sell 'em. I was dang lucky I got that seven and a half cents.,,
SS,Your father sold for five cents?,,
HR,"He sold for five. This third share. And I sold mine in the fall, you",,
HR,know for the seven and a half.,,
