speaker,words,tags,timestamp
,"ADA CYLEAR SCHOEFFLER:  had some education, but sbe got college down there.",,
,"KAREN PURTEE: Well, then they all came over from Oregon?",,
,"ADA CYLEAR SCHOEFFLER: Well, they started out in Missouri. She was born in Wisconsin",,
,"but she was the only one, Ithink, the rest settled in Missouri",,
,and she-they settled in she went to college,,
,there. And then they heard about land being open here and they,,
,came here to settle. And I don't know how they got up on this,,
,ridge. It was up on this ridge over here.,,
KP,What you call Potlatch?,,
AS,"Yes, this is Potlatch.",,
KP,About what year would this be?,,
AS,"That was in 1880 when they came, to here, anyway.",,
KP,And there was still land open to homestead?,,
AS,"Yes. This was all open, they were just starting in to settle up",,
AS,"there then. It hadn't been farmed, the Indians had hunted and",,
AS,so on here; but there hadn't ever been any farming done. And,,
AS,"about that time, I guess after it opened up and they could take",,
AS,"out 160 acres, that's what you could homestead, but you had to",,
AS,"live on it and show that you were making improvements, trying,",,
AS,"you know, to do something about it. Why then, my father had came",,
AS,here from-they started out from Iowa. He was born in Missouri,,
AS,but they Iowa and my grandfather heard about the gold,,
AS,"strike in California; well, he thought that was for him. They",,
AS,"got there and he didn't find the gold, so he had 120 acres of",,
AS,"farm land in Iowa and he went to California and foiled around,",,
AS,"and he didn't make anything, then they come on up here and set",,
AS,"tled on 160 acres he homesteaded up on-over Fix Ridge, it's on",,
AS,"what they called the Little Potlatch thirteen miles, this side",,
AS,"of Moscow. And so then, why, my grandmother, which Inever did",,
AS,"see, she died before Iwas born, she had heard about some school",,
AS,"teachers that was over here-heard about the Welkers, which was",,
AS,my mother's maiden name-so she took ahorse to ride and one to,,
AS,"lead, so she decided to go back with her to teach school, they",,
AS,"were going to open up aschool. So, that's how she met my fa",,
AS,"ther, and he went to school to her only she was older than he",,
AS,was-and finally he got the-,,
AS,"He got the schoolmarm, huh?",,
AS,"Yeah, he got the schoolmarm and the ranch with it, she had.",,
AS,"Oh, yes, you were telling me. Your grandparents homesteaded up",,
AS,there then?,,
AS,"And an uncle of mine and my mother, they were the ones that were",,
AS,old enough-I think you had to be twenty-one before you could,,
AS,"homestead. They were of course, beyond twenty-one.",,
AS,They all three took homesteads.,,
AS,"They all three adjoined, they were right close together.",,
AS,Was this unusual for awoman to take ahomestead?,,
AS,"No, Idon't think necessarily; they were entitled to it, so I",,
AS,don't know. But I don't think-there was one family there that,,
AS,"we know the name of Hepler, that the man and both",,
AS,homesteaded. Iknow the others kind,,
AS,"think it was right, but that's all I know about it. Course, I",,
AS,"know the people; I remember the people, but that was before my",,
AS,time.,,
KP,"Yeah.  Well, the whole thing is very interesting because of the im",,
KP,provements and things. Did your mother do her own work?,,
AS,"Well, see, she done all of her own work, but she only taught for",,
AS,"a little while and then after she married, why, the year after",,
AS,"she was married she had her first daughter, well, then-her first",,
AS,"child, she never taught after. And there wasn't such a thing as",,
AS,"a doctor anywhere around there, there wasn't a doctor. And my",,
AS,mother had eight children; she never had a doctor for any of,,
AS,sent and got .... 'em. And my grandmother had A some sort of a book on child,,
AS,"birth and she was what they called a midwife, and it was just",,
AS,what she read and my dad talked like that wasn't anything. Mo,,
AS,"ther having those children, because her mother was a midwife.",,
AS,"Well, I'd like to saw him have one or two of 'em.(Chuckles)",,
KP,You say your grandmother served as a midwife?,,
AS,And she'd ride a horse-people'they knew of her then and people,,
AS,would hear about her-and she had two older girls at home who,,
AS,"could do the work at home and so they'd see 'em coming riding,",,
AS,they knew it was getting about that time and they'd go get her,,
AS,and she'd stay there and take care of the baby and do the work,,
AS,"and cook for them. Of course, it's such a long way to go ahorse",,
AS,back. Up on Cedar Creek for miles around she'd stay and take,,
AS,care of women when they had their babies.,,
KP,"Now, what was her name?",,
AS,Welker.,,
KP,She was-,,
AS,"Yeah. That's the one my grandfather homesteaded. And of course,",,
AS,my father's name was Cylear. He lived up on Little Potlatch.,,
AS,"There was aJess Oyiear that used to live near Moscow, he got",,
AS,"the homeplace, but he was by the second wife. My grandfather",,
AS,"had ten children by the first wife, and then she died and then",,
AS,"he married awoman much, much younger than him and he was in his",,
AS,sixties and he raised-had four more children. He was busy! He,,
AS,was asoldier in the Civil War. Ihave apicture of him over,,
