speaker,words,tags,timestamp
,This interview with Nellie Wood Smith took place at her home at Bovill on,,
,"September 10, 1975. The interviewer is Sam Schrager.",,
,SAM SCHRAGER:  Do you remember much of what Bovill was like in that very first days,,
,that you were,,
,here? What were the first impressions you had?,,
,"NELLIE WOOD:  Well, I think about the first thing I remember then why I said, ""What's",,
,that they're,,
,"building?"" ""Well, that's the depot."" So, the road used to come in instead of coming",,
,"right straight up this hill from Main Street on from this street, I mean, straight",,
,up,,
,"the hill across the track, why it used to make a turn up there just - oh, - just not",,
,"far from the bridge, about even with that cedar mill, you know, across the road there.",,
,The road used to turn to the left and go over almost to those big barns there.,,
,And then it came right straight down Main Street coming into town. The road has been,,
,"changed since that. And when it came into there right straight across the meadow,",,
,you,,
,see. The first good look you got of what was supposed to be the town was - they were,,
,"just building the depot. It was, oh, there was a barber shop here and there was a",,
,men's clothing store - it was a little bit of everything - but it was supposed to,,
,be,,
,lumberjacks' supplies mostly. They had their logging boots and things of that sort,,
,and,,
,"tin pans. Mr. Parker had his - E.K. Parker from Princeton - had his store, that",,
,"men's clothing, and then A.A.Anderson, he was from Tennessee. And he was",,
,"running the barber shop. Well, there was a restaurant; I think the restaurant was",,
,in working order at that time. He was one of the early ones anyway. But I don't know,,
,for sure. By the name of Lester Smith was running the eating place.,,
SS,You went to school there in 1907 ?,,
NS,Here?,,
SS,"Yes, in Bovill.",,
NS,"Well, it was a room a little bigger than - well, they made it as long as this",,
NS,area,,
NS,"into the kitchen, too. And it was one room and it wasn't any wider than this. And",,
NS,that,,
NS,was our school. We had a lady teacher and her name was Mame Rodner. She was a,,
NS,Moscow girl. She died just a few years ago. I went to see her when she was in the,,
NS,"hospital. But that at the time was - well, - oh, I don't know - there might of been",,
NS,18 or 20 children here at that time. But they - the school building was right over,,
NS,there,,
NS,at the foot of that hill where it starts up the hill. And the people over there by,,
NS,the,,
NS,name of Malorey - they've lived there for years now. The people that lived there,,
NS,"before that too, yes, and those people that you want to know about There was a",,
NS,"fellow, by the name of Hughes.",,
SS,Bert Hughes?,,
NS,"No, it was Shadduck.",,
SS,Another Hughes? Um-hum.,,
SS,"Shadduck and Hughes, I've heard about them. They had a meat market.",,
NS,They had a meat - and Mr. - I think - Shadduck bought our school house from,,
NS,there,,
NS,"and moved it over here kinda by this ways a littleAand kinda behind the school house,",,
NS,where the schoolhouse presently is. And then this teacher was Mama Rodner and,,
NS,that's the kids had. She had charge of-,,
NS,What was the school like compared to going to school in Troy?,,
NS,It didn't compare. I hate to have these things go down in record because -,,
NS,"Well, it's the truth.",,
NS,"But I was going to say that she didn't have - this girl, I don't know if she",,
NS,was a new,,
NS,teacher or what - and she didn't have any control of the kids and she just wasn't,,
NS,cut,,
NS,"out for school teacher, I guess. Because well, we did as we pleased mostly, then",,
NS,"the kids played around. And if she told you to do something you didn't want to, why",,
NS,they didn't do it. And so you know what you learn in a school like that. Not very,,
NS,"much. A little mischief probably. And anyway, in the long run, why - and then I",,
NS,"was taking 8th grade at that time,I had been taking sixth grade at Troy. And well,",,
NS,I,,
NS,"was doing 8th grade work - with the 8th grade, too. mixed 6th and 8th. There",,
NS,wasn't anybody in the 7th so I had came there with the intention of being in the 6th,,
NS,"grade, but when I got to it I was part 6th and part 8th. And whan I came up here then",,
NS,"I started the 8th grade and went through that first year. At the end of the year,",,
NS,you,,
NS,"know, they used to send out their examination papers with questions all came from",,
NS,Boise from the State Superintendent. You had to take that exam from the state of the,,
NS,"county - whichever - the state, I think i t was at that time. So when we took the",,
NS,"examination, there was not one of the class that passed. So you can see what they",,
NS,learned. And I was always a way ahead of the things everywhere else. And we had,,
NS,"good schools. And believe you me, the one we had in Troy just before that, we didn't",,
NS,"play around. Boy, your nose was right in your book.",,
SS,Did you not pass it either?,,
NS,"No, not up here. No, I didn't pass it! I didn't know nothing.",,
SS,Were you real disappointed about it?,,
NS,Disappointed! I was disgusted because I knew that I could do better than that.,,
NS,But,,
NS,"the kids all played and well, I fell in line and acted - well, I didn't do so much",,
NS,but,,
NS,we just didn't study. But it was some of the kids - couple of the girls that were,,
NS,"pets of the teacher . She'd gotten a week or two start with them. Well, no, she",,
NS,"had a couple of months because we didn't move in until October, the end of October.",,
NS,"But she just thought those girlsijwere the cleverest things that she'd found. Oh,",,
NS,they,,
NS,"just were so wonderful. And the best little spellers, they would just shock her, you",,
NS,"know, that they were so - And I kinda got on the ball crossways with her right off",,
NS,the,,
NS,"bat because she was raving about those girls, and my sister and I were just about",,
NS,the,,
NS,"same ages as those two girls she was talking about. And I told her - and I said,",,
NS,"""Well, I like spelling too, very much."" Well, I said, ""In fact I just got through""",,
NS,- of,,
NS,"course, the teacher had let me out because I was ready for passing anyhow, you know,",,
NS,had,,
NS,let me out the first - another month more of school I was suppose to have there,,
NS,before I left. But she gave me my pass and said I had fully qualified and so -,,
SS,But she was playing favorites.,,
NS,"Yes, so when I got to her she was bragging them and I said, ""I just finished",,
NS,school,,
NS,"down there and,"" I said, ""The teacher offered a prize for the one who won the spelling",,
NS,"contest."" Usually about every other Friday he'd have spelling and then the odd Friday",,
NS,"in between, he'd have some sort of entertainment of games or something like that.",,
NS,And,,
NS,so he offered a prize for the one that had the best spelling. He had marks for over,,
NS,the,,
NS,"whole term, we had marks for spelling. And whoever was ahead at the end of the day,",,
NS,"why he got the head mark for that time. Well, there was another boy and I that were",,
NS,"running a hot race - the rest of them didn't quite keep up. It was just tit for tat,",,
NS,just,,
NS,"he and I. And then when we got to the end, he liked me pretty well anyway, and I thinly,",,
NS,"and it was rather. And he was just a fine kid and I think, he politely kinda",,
NS,missed a word let me have it the last day. 'Cause we were just first one ahead and,,
NS,then the next. I don't know whether he did that or not but I always thought maybe,,
NS,"he did to favor me. But he was awfully good. But I told her - I told this teacher,",,
NS,I,,
NS,just got through with it and I said I had won the spelling contest there three years,,
NS,in,,
NS,succession. And I thought that I would just hit hard as I was so vixed at her for,,
NS,"bragging and then let her show what they can do. ""Well, all right. That would be a",,
NS,"good idea,"" she said. She would give a prize too, she said, for the head marks and",,
NS,"she was going to put me in my place, I guess. So that pleased me too. So we started.",,
NS,"I came horn e with the prize that year too, over her pets.",,
SS,Did you miss a year of school when you were on the homestead?,,
NS,"Um,hum. At the homestead.",,
SS,Did you regret it - not going that year or was there enough to compensate for,,
SS,it so,,
