speaker,words,tags,timestamp
,Edward Swenson came to the Park valley with his parents in 1891,,
,at the age of eight. They were one of the first families to settle in,,
,"this little Norwegian community, a remote clearing surrounded by",,
,"wilderness until Potlatch logging came in the teens, Ed describes",,
,"their first trip from Moscow to Park, building their homestead cabin",,
,"and the first survey, the appearance of the valley and its first two",,
,"settlers, experiences with neighbors and Indians, and the tribulations",,
,of building a road which would connect Park with the world outside.,,
,SAM SCHRAGER: Do you know why your parents decided to leave Norway and to come,,
,to here?,,
,"EDWARD SUENSON: Yes, My father's older brother came before they did and found",,
,"land in Minnesota, you know. And to the people back in Norway, a hundred and",,
,sixty acres of land would be a big farm. And they had heard they could get,,
,"land on a homestead here, so they decided to go. They saved up enough money",,
,"for the voyage, you know, and came, and his brother met them in New York,",,
,and they came on through. They lived three years in Uisconsin to get a start,,
,"for homesteading, you know, and then moved into Minnesota and located there",,
,"with his brother as a neighbor. So they worked together in building up, you",,
,"know, and got started there. They lived there about 19 years, I believe it",,
,"was, before they came to Idaho,",,
SAM,Did you ever hear about what the conditions were like in Norway? Uas it,,
SAM,pretty hard in Norway?,,
ES,"Uell, so for as I learned from the folks, it was not bad at all at that",,
ES,"time. But of course for a young man to get started there wasn't so easy, be",,
ES,"cause the land was all taken up pretty well, you know, and father wanted to",,
ES,be a farmer—that was what hefd learned there. So that's how they came then.,,
ES,"And the ship that they came on was a sailship, of course, and it was the maiden",,
ES,voyage for that ship—it had never been on the ocean before. Uhen they got,,
ES,"pretty well out on the ocean, why they run into a storm, and for three days",,
ES,"they had to tackle back and forth against it to keep from going back, you",,
ES,"know. And it was pretty rough. Father got seasick, but not so bad but he",,
ES,"got over it. And mother had the two children, you know, to take care of.",,
ES,"She said it didn't bother her so much,",,
SAM,"So then they went to Uisconsin for a few years, and then Minnesota for",,
SAM,"quite a while, but then they decided to leave Minnesota, Why did they decide",,
SAM,to come to Idaho?,,
ES,"Well, the storms were so bad there. They lost two crops of grain two years",,
ES,in succession and that discouraged them pretty much. They had heard about,,
ES,"this Idaho country, you know, and they decided they wanted to come Uest. My",,
ES,"oldest brother went first. He went in the fall of 1890, And then we came",,
ES,"in the spring of '91, and settled there together, and built up again. So",,
ES,"the folks had quite an experience in pioneering,",,
SAM,"They did it more than once,",,
