speaker,words,tags,timestamp
,This conversation with Anna Bengston Thomason and Oscar Thomason took place,,
,"at their home on Dry Ridge, Idaho on March 19,1976, The interviewer is Sam Schrager.",,
,SAM SCHRAGER: What do you feel when you go back and see the places where you,,
,were born and grew up? Does that make you feel...?,,
,"ANNA Thomason: Homesick? no, not exactly. We have been to my home. People are",,
,"friendly and nice. But I tell you, I had neighb^ps, we had the closest neighbors.",,
,"We were back and forth so much. And they had kids and they had died, all",,
,"except one. Young I called them, young, they're my age and so, but I mean,",,
,I can't see they were strong people. Real strong people. We just heard lately,,
,"here, I have a letter here today that so and so was buried. And another",,
,"time, so and so of them had died. And I will miss that. They had a girl, the",,
,youngest she come with us to America. And she have died here in America. In,,
,"Seattle. And then a brother, that was a younger one of hers, he died here in",,
,"America too. But then the others at home, like I say, the oldest of them all",,
,is my age and he is the one that's living and I will miss them because it,,
,was like coming home when I come to that place. So those I will miss. But,,
,"I guess that's the time. We have to go, when we be called. That's all.",,
SS,I was gonna ask you about the time in Sweden when(break in tape) are these,,
SS,Sweden? (They are looking at an old Swedish food rationing bood.),,
AT,"Yeah, we got those to buy our food. You see, we were rationed to so much and",,
AT,then we had to have that to get it.,,
Oscar Thomason,Get food.,,
SS,"Tell some of what it was like during WWI in Sweden,",,
OT,"The last year, 1917 and '18 then it was harder to get stuff. And the rationing",,
OT,"was pretty hard. You had to buy everything on the book, you know. Rationing",,
OT,"book, see. And then I was in Norway in 1918 but it was no better there then",,
OT,"it was in Sweden probably. Just about the same, We don't get enough on the",,
OT,"tationing cards, so they don't have it. And we used to work, you know, and",,
OT,"well, we was a big family home when we was home. There were five of us. My",,
OT,"brothers and I used to be in Seattle, he came home too, When rationing was,",,
OT,"you know. And we don't work on the same place, we worked here and there, you",,
OT,know. So it was kind of hard to make it. We couldn't work every day. We couldn't,,
OT,"get enough to eat. And it was hard work, to work in the woods,",,
SS,Where did you get the food from? You.didn't have money to buy food or there,,
SS,wasn't any food to buy?,,
OT,"We had money, but there was no food to buy. It was all you could get on the",,
OT,"rationing card, that book, you know, it wasn't enough, We had money. There was",,
OT,"pretty good, the work paid pretty good, you know.",,
AT,"We never had trouble at home because one of our, we had cows and we had our",,
AT,"meat and we had things, but we could go and buy what we wanted there, but we",,
AT,"had to have the book for that, But I mean as far as food, we had plenty food,",,
SS,"But you didn't have enough food to work,",,
OT,"No, We don't have nothing, see. We had a little place and the place belong",,
OT,"to the company and there was kind of north in Sweden, and a lot of rocks and",,
OT,"things so we don't grew very much. Like barley, we could raise barley. But",,
OT,"oats, there was early fall, so they don't get ripe, Then they come and",,
OT,"measure the land there, and then they took summers off so it would be one",,
OT,"or two months we couldn't buy nothing,",,
SS,Summer's what?,,
OT,"They took on the rationing, see. We had so much you know and then we couldn't",,
