speaker,words,tags,timestamp
,"This conversation with MAMIE SISK WURMAN, MARY WEST LYND, and MAMIE GARDAM",,
,"MUNDEN, took place at the home of Mrs. Lynd on June 24, 1975. GLEN GILDER al",,
,"so took part in this conversation, and the interviewer was SAM SCHRAGER.",,
,"MAHIE MUNDEN:, '— was her father's brother.",,
,MAMIE WURMAN:   And my father came out here and stayed quite a while and then he,,
,went back for my mother and us kids. There was five of 'em. And so,,
,"we come. We landed here the 21st day of July, in that old apartment",,
,house that burnt down.,,
,MARY: Down here at Palouse?,,
,"MAMIE W:   Well, that was a hotel. And that's where we stayed all night the first",,
,night.,,
,MARY:  What year was that?,,
,MAMIE:   It's been eighty-seven years ago.,,
,MAJlIE W: It would be about eighty-six years.,,
,SAM SCHRAGER: What do you remmmber the country being like then? That goes back,,
,so far.,,
,"MAMIE W:   Well, we didn't stay right here, we went up above Princeton. We had a",,
,"homestead up there; in Idyho. But my uncle lived there, we was always",,
,"down there with him. Well, you just lookfas far as you wanted",,
,to and you never saw nothing. Lot of the land wasn't even broke up.,,
,It was just sod. Course I remember^by hearsay. And then later when I,,
,"was about six, we moved off of the homestead and down on the prai",,
,"rie, and then we was down here from then on. But they had set out or",,
,"chards then; built homes around, you know. Some of the land wasn't",,
,"taken up yet. You could take a homestead, 160 acres, and then you could",,
,take a prsmption 160. And that's what my uncle did. He took a homestead and built,,
,on it and then he got this preemption and he didn't,,
,"build on it. And well, Rhody's folks had a big orchard when we moved",,
,down of the homestead.,,
SS,Do you know why they decided to move down? Leave Princeton?,,
SS,"MAMIE W:   Yes, because we didn't like to live up there. Nothin' up there. Just",,
SS,"timber, you know. Oh, we had some cleared up, but my dad went up",,
SS,"and took it up for the timber. And then when we proved up on it, why,",,
SS,"we moved down out of there. Nobody else in there hardly for miles,but",,
SS,"us. They were so far apart. They was people up in there, but they",,
SS,"was miles apart. And I know one night my mother heard, she thought a",,
SS,"woman ascreamin' and she said, ""I'm going to leave you kids now here",,
SS,"and I'm going up and see what's the matter with her."" We had a neigh",,
SS,bor up the gulch about two miles and she wasn't going to leave us kids,,
SS,"noplace1 (Laughter) And the older one began to bawl and all of us, I",,
SS,"guess, and you get five of us started- she didn't go. And so the next",,
SS,morning they was a fella come by and stopped and was talkin' to us and,,
SS,"she told him about it and he said, ""You're a mighty lucky woman you",,
SS,"didn't go,"" he said, ""that was a cougar screamin'. They just sound",,
SS,"like a person.""",,
SS,GLEN G:   Yeah.,,
SS,"MAMIE W:   So she was mighty lucky she didn't go, and that just scared us kids",,
SS,half to death. We could see the bears around once in a while. One,,
SS,"time my oldest, she was just a little over a year older than I was,",,
SS,always made us go out and clean out the mangers. They had broke up,,
SS,"the land you know, and left the roots in the hay, and so we went up",,
SS,"there and when we come out, why, we heard a cougar andAlooked over",,
SS,and he was way over yonder on the hill. But I just jumped up and down,,
SS,and started to scream. Gertie took off for the house and I just stood,,
SS,"there a screamin'!! I couldn't a walked to save me, you know. I knowed",,
SS,he was agoin' a get mel But he was away over there and he didn't come,,
SS,"toward us. And my mother come and got me. Boy, I was scared to in a",,
SS,inch of my life!,,
SS,MvMfAl: Tell him how big you said it was. (Laughter),,
SS,"MAMIE W:   Oh, that was astretchin' it too much.",,
SS,"No, how big?",,
SS,"MAMIE W:   When my mother said, ""Well, honey, how big was the cougar?"" I said,",,
SS,"""Oh, it's so big, it's so big. I said it's every bit as big as old",,
SS,"John."" And he weighed 2,000 pounds!! (Laughter) I said it was every",,
SS,bit as big as old John!,,
SS,"MARY L:   You had something to fear, didn't you?",,
SS,"MAMIE W:   Well, he looked awful big to me!",,
SS,Do you remember much what keeping house was like for your mother in,,
SS,those days?,,
SS,MAMIE W:   Yes. You just didn't have anything to keep house with and you just,,
SS,done the best you could. You had an old iron cookstove and you had a,,
SS,"fireplace, and that was it. And you had some benches to set on and",,
SS,you had a table. And my father madeA bedsteads and we filled ticks,,
SS,with straw. And we had a feather bed.,,
SS,"Yes, I remember those. Yeah.",,
SS,Got new straw every year after harvest.,,
SS,"MARY L:   And oh, how nice we slept til we got it all wore out.",,
SS,MAMIE M:   And never had springs on the bed. It was all flat.,,
SS,"MARY L:   eah, uh-huh.",,
SS,What about food?,,
SS,"MAMIE W:   Well, you didn't have sugar. And you didn't have much fruit. But",,
SS,"other food, we raised it. Our vegetables. And coffee,we bought at Arbuckles and we",,
SS,got it at ten cents a pound. And you ground it.,,
SS,MAMIE W:   You had to grind it. You never saw any ground coffee. And lots of,,
SS,"times they'd get what you call green coffee, and you'd put it in your",,
SS,bread pan and put it in the oven and turn the oven on and then shake,,
SS,"it once in a while, brown it, and that's the way you cooked it. That",,
SS,"is the and then you had to grxnd it, too, to make cortee.",,
SS,What kind of variety was there? Did you have a diet that was- I mean,,
SS,was it different food all the time or was it—?,,
SS,"Well, we did, because we always raised a big garden. But we put what",,
SS,"was raised on the ranch, let's put it that way.",,
SS,Even the meat.,,
SS,"MAMIE W:   Yes, if you had meat, you raised it. And if you had milk and butter,",,
SS,"why, you had a cow. If not, you didn't. Some people would say, ""Well,",,
SS,"I lived so close to my neighbor I can get some milk once in a while.""",,
SS,But then we always had a cow and we always had a beef to butcher in,,
SS,the fall. And we always had our pork to butcher. And I've heard 'em,,
SS,"say, ""Oh, if we could go back to the'good old days'!"" I don't want",,
SS,to go back there! (Laughter) And you washed on a washboard. You,,
SS,didn't know there was such a thing as a washing machine. AndA used,,
SS,"an old board. I suppose you've seen a washingboard, haven't you?",,
SS,"Oh, yes.",,
SS,"MAMIE W:   Well, that's what we washed our clothes on. Made our own soap.",,
SS,And our motners worked from daylight til dark.,,
SS,MAMIE W:   Yes they did.,,
SS,They worked all day. They don't do that nowdays.,,
SS,What would the different kinds of work be that your mother would have,,
SS,to do that would keep her working day in and day out?,,
SS,"Well, we'd churn this way.",,
SS,"MAMIE W:   Yeah, you churned with a dasher. You put your cream in a big jar and then",,
SS,"you had homemade dasher. It was made this-a-way, you know. Two",,
SS,pieces.,,
SS,Yeah. Cross each other.,,
SS,MAMIE W:   Just doubled it up and down til you got butter. (Laughter),,
SS,Took a long time.,,
SS,"MAMIE W:   Yes, sometimes.",,
SS,"LYND, M:   You know, you'd spend most- well, all morning washing on the board",,
SS,for a family.,,
SS,"MAMIE W:   Well, yes.",,
SS,I used to come home from sch°o1 in the evenin§ sometimes and mama,,
SS,wouldn't be through washing.,,
SS,And You hunS your clotnes out on a clotnes line DUt xnever saw a,,
SS,clothes pin til I was- I don't know how old I was before I saw a,,
SS,clothespin.,,
SS,I can't remember not having clothes pins. Old fashioned ones you know,,
SS,They just spraddled out.,,
SS,It would take her all day to do the washing. You start in the morning.,,
SS,"WURMAN:   Well, sometimes. But she'd have to stop and get dinner for the hired",,
SS,men.,,
SS,"LYND:   Yes, we always had hired men. My dad was quite a big farmer and he",,
SS,worked in the garden. always had men. And we had six cows to milk. And us girls- a,,
SS,and did the milking.,,
SS,WURMAN:   The men never did.,,
SS,WURMAN:  The women planted the garden and raised it. They worked in it.,,
SS,And pumped water for all that stock.,,
SS,Yeah. We didn't. We took ours to the crick.,,
SS,"We didn't have no pump, even.",,
SS,We had to pump it.,,
SS,We didn't. We just took ours down to the creek. We didn't have a pump.,,
SS,"WURMAN:  But all day! All day, every day.",,
SS,"Well, they had other things they had to do.",,
SS,"Well, not every day.",,
SS,You wouldn't wash every day.,,
SS,"No, but I mean others Every week.",,
SS,"Well, you had all your baking to do. You had to bake your bread.",,
SS,You never bought anything that was ready to eat.,,
SS,You had to fix it.,,
SS,"If you eat it, you cooked it! It isn't like it is now.",,
SS,"And then you had to iron . . And you didn't have no electric iron,",,
SS,"of course, you put the flatirons on the stove and got 'em hot and then",,
SS,"you ironed it, and took it back and got another one and ironed. And",,
SS,that took quite a while.,,
SS,"The clothes they wore then were so big, you know, the ladies' clothes. A",,
SS,Wasn't like- sssssp- up and down and getting our's done now! (Laughs),,
SS,And six petticoats!,,
SS,"Yes, all those petticoats. I remember my mother ironing and ironing",,
SS,those petticoats.,,
SS,And they'd be this wide.,,
SS,Yeah.,,
SS,"Lace and ruffles and tucks. A0h, yes, everything had to have a ruffle.",,
SS,Do you remember Mamie Lewis?,,
SS,Yes.,,
SS,"She was an old maid here for so many years, you know. And she told",,
SS,Mama one time that she had on six petticoats! (Laughter),,
SS,Would a person wear that for just everyday wear?,,
SS,"Oh, I guess that was when she was dressed up.",,
SS,They generally wore one.,,
SS,"Yes, but they were all starched, and that's a big job to iron.",,
SS,LYND:   And then„ 'knit.,,
SS,"WURMAN:   Oh, yes, they knit all of our stockings and mittens. Stockings and mitts.",,
SS,WURMAN:   Everything. And they made all their clothes. You couldn't buy anything,,
SS,readymade.,,
SS,Sounds like the women worked as hard as the men did. When you do that,,
SS,all day. Day in and day out. .,,
SS,Well they Probably did.,,
SS,Put in more hours.,,
SS,"GILDER:   Driving the team wasn't hard for us.By golly, you know a bakin' and And",,
SS,they milked cows.,,
SS,"LYND9:  But I was always.in trouble, I never could stay out of trouble!",,
SS,You wasn't!,,
SS,"Well, I was a good child! (Laughter) I was scared not to be.",,
SS,"I know one time I was out with my father and we had a great, big cur",,
SS,"rant bush. Great big one. And he was mowin' the hay, and so he just",,
SS,"come right up to that and he stopped and he said, Well, you sit",,
SS,"down a little while and I'll go get me a drink."" And I thought why",,
SS,waste time to sit down? I climbed up on the mower and told 'em to go,,
SS,on and I just whittled that currant bush right off to the ground!,,
SS,"And I thought, now, he'll use one of them on me, but I guess he was",,
SS,"so disgusted with me he didn't. He said, ""I think you'd better go to",,
SS,"the house and see your mother."" (Laughter) But I never could leave",,
SS,"things alone. But, I just wanted to help!",,
SS,Did your wife remember to tell you that Reuben's folks sold out to the,,
SS,Potlatch?,,
SS,What is the story? Is that where they had the place?,,
SS,"Yes. They lived there. Reuben wasn't born there, but his younger",,
SS,"brother and sister were born there. Well, Reuben's folks came out here",,
SS,from Kansas in 1884 and the grandparents had come the year before.,,
SS,"And they had settled there where Potlatch is now. Well, Reuben's folks",,
SS,bought a farm right out of here about two miles and they lived there,,
SS,"for ten or eleven years, then when the grandfather died, why, Reuben's",,
SS,"parents and the kids went to live at Potlatch, and Reuben's father",,
SS,sold out to the Potlatch Company and that's when Potlatch became- came,,
SS,"into being, in about 1905.",,
SS,They built the railroad there in 1904.,,
SS,"Yeah, they started it.",,
SS,Did Reuben say who it was that came to his father to buy that land?,,
SS,"Oh, they was, let's see—",,
SS,"Who did he say? Well, it came through the bank anyway. Belveal. You",,
SS,remember old man Belveal? He came out there and he wanted to buy that,,
SS,land for twenty-five dollars an acre. You see he was trying to make,,
SS,a profit. He said he was buying it for a company that wanted to start,,
SS,a dairy up there and Reuben's father got wind of it. And then he sold,,
SS,it to the Potlatch Company for $100 an acre.,,
SS,How much did he have there to sell them?,,
SS,"Well, one contract says 170 and one says 160, so I'm not sure which",,
SS,"they settled on. But that was unheard of in those days, $100 an acre.",,
SS,"Yeah, I've heard other stories about how Potlatch came in. One story",,
SS,"I heard is that a guy came and said he was buying it for a mink farm,",,
SS,but I guess that's just not true.,,
SS,"LYND:   Well, it could have been, I don't know. But I do know about this other,",,
SS,because Reuben had told me several times about Belveal coming up there.,,
SS,And he knew that it was Potlatch that was going to buy it?,,
SS,"Yes, he did. Just trying to make a profit on it, you see.",,
SS,"Well, my father had passed away, but Mother sold her place up there,",,
SS,"the homestead, to Potlatch.",,
SS,"Well, that was above Potlatch, wasn't it?",,
SS,We lived four miles right up toward Bear Creek.,,
SS,Would you know what they bought it for from her at that time?,,
SS,"Yes, I think it was fifty dollars an acre, what they bought her's for.",,
SS,"That was about 1950, because my father passed away in '49. That",,
SS,was much later.,,
SS,"Well, they built these two railroads you know, after we came here.",,
SS,I remember standing up on a hill here and watching 'em work,,
SS,.Potlatch railroad . And now they've all been abandoned. We don't,,
SS,have any transportation on the at all,,
SS,There must have been an awful lot of activity all of a sudden here,,
SS,when they came here.,,
SS,"Well, before they came there was a sawmill here. We came here in",,
SS,"1904. And I went through the sawmill, that was here in Palouse. . It",,
SS,was just when you go out toward Colfax. It was just above the bridge,,
SS,"on the right hand side there, that's where the sawmill was. . "".",,
SS,Yeah.,,
SS,Course that was all,,
SS,Of course that helped the country a lot when Potlatch came in. Gave,,
SS,"a lot of work, work for the men.",,
SS,"There were a lot of people came in then, too.",,
SS,"Oh, yes.",,
SS,People coding to work from other places.,,
SS,"They used to drive the logs down the driver, you know, for the sawmill.",,
SS,Cut 'em way up above here and drive 'em down the river.,,
SS,Did you see those log drives?,,
SS,"LYND:   Oh, yes.",,
SS,My dad and my brother would go on those log drives every year.,,
SS,Uh-huh.,,
SS,Did they think that was very dangerous work?,,
SS,"No, I don't think so. It just had to be done and they done it.",,
SS,For how long would they go? Do you know? For how long a drive would,,
SS,last?,,
SS,"Well, it lasted all spring. Started early and then til the river",,
SS,would go down. But we had lots more water then than we do now.,,
SS,"Well, the river was always high, to a certain extent then. But when",,
SS,"Potlatch built the dam up there, we don't have so much water, that's",,
SS,"what makes our river low down here. No, they used to go there and",,
SS,my brother-in-law went on the log drives.,,
SS,They'd be right in the river?,,
