speaker,words,tags,timestamp
IO,"a homestead between Bovill and Collins, just about half-way",,
IO,between Bovill and Collins. And we started.going out on the homestead when,,
IO,we were in high school. That was always our summer trip. They took us out,,
IO,"to the homstead and settled us up, and there we were for the rest of the",,
IO,summer. It wa a very nice trip. Wehad plenty of company around us. I,,
IO,"always looked forward to the trip. My two little sisters, Bernadine and",,
IO,"Marjorie, Marjorie was right around three years old. Bernadine was just",,
IO,dress them in what we'd say our pantsuits nowadays. That's the only way you can say,,
IO,it. I stopped to think,,
IO,"""What would happen if some of the old church goers that went to the",,
IO,Methodist church and to the Presbyterian church and the Episcopalian,,
IO,church would s;tep out on their front steps some morning and see these,,
IO,"congregations coming down dressed up in pantsuits"" Would that be a surprise",,
IO,to them?,,
SAM,It would be,,
IA,"It would be a surprise to them. My father put us on saddles, stride-saddles,",,
IA,"as sooi e were large enough to ride a horse, hie always had horses. We wore divided",,
IA,skirts we went out one time with a man,,
IA,the name of from Clarkia run train from Clarkia. out.,,
IA,into the Forty-flfine Meadow country and back into the Grand Mother country,,
IA,and all of that part of the country over in Avery and we stopped and,,
IA,had a meal at what was called White Rocks Springs. It was a very pretty,,
IA,little place. The white rocks I suppose were granite. It was.that white,,
IA,rock that was all through this section of the country. We had one,,
IA,horse that had this idea that when it was given something to eat he,,
IA,could do exactly as he pleased. So the first thing he did was to start,,
IA,up-hill bucking the pack off just as hard as he could buck. And he bucked,,
IA,"and he bucked. started after him, but he couldn't catch up with him.",,
IA,"The horse was always ahead of him. He tried and finally he said,""I guess we're",,
IA,"going to have to use your skirts ,this time, gal.' Father took the back part",,
IA,"of my divided skirt, and McPefC took the front part of my divided skirt and",,
IA,"and we walked the trail following the horse,-we caught up with the horse,",,
IA,"and unloaded my ""cargo"" back onto the old horse again. This time, he wasn't",,
IA,"given anything to eat.iil he got through. Oh, they were mean things, those",,
IA,"horses. We had one that we called... it was this old, what was the one that",,
IA,"you wrote, the story about(askir)g her sister)",,
BAC,Bob.,,
IA,Bob. Bob was the story of an Indian pony. McPefelkhad bought him from the,,
IA,Indiansjust for a jack horse. The Indians had run a race with him just,,
IA,"a short time before that and lost. And the Indian, so disgusted with",,
IA,"horse, that I bobbed his ears and bobbed his tail. Now, you know",,
IA,what that would mean to a pack horse. Bobbed his ears and bobbed his tail.,,
IA,"Now, unfortunately,it he one that was chosen to ride the old pack horse",,
IA,out to Clarkia the next day when we came out and it rained hard. And a.,,
IA,if you know how rain on a horse's ears could go when he had no ears you,,
IA,"could just imagine how-ft-horse's ears would work with that rain, trying to",,
IA,keep it out of his ears. It was awful. ... . And his tail was bobbed,,
IA,right short to his body so he was an uncomfortable horse. But he did take,,
IA,"They  aid not allow me to walk up the hill, me up the hill.",,
IA,"So I had to stay on my horse, regardless of what happened. But Bob took",,
IA,me up.,,
SAM,Why would they bob the horse like that?,,
IA,"The Indians liked their horses. But when a horse betrayed them, when",,
IA,"betting on him with a bet ftf he didn't keep up his end of the line,",,
IA,"he for it. That was old Bob. He was a strawberry roan, and",,
IA,"a beautiful animal. Dust a beautiful animal.. And sure-footed, fortunately",,
IA,"for mecthat he was sure-footed,because it was raining that day and the",,
IA,"wood as trails just got very, very slippery.",,
SAM,Did you have much control over a horse when you were riding side-saddle?,,
IA,"I didn't use side-saddles. We used stride-saddles. Dad said,""If you were",,
IA,"going to ride horses, you're going to ride horses like men ride horses.",,
IA,"You're not going to run any chances of any means."" He said,""If you're going",,
IA,"to ride horses with and go with me to the places I go, you're going to ride",,
IA,"stride-saddles."" So we all had stride-saddles and we all divided skirts.",,
IA,And the first people that saw us riding in town thought daddy was a little,,
IA,bit off to have his daughters riding around town on a stride-saddle.,,
IA,"No one was riding stride-saddle. My .ther, she had a horse in Kansas and",,
IA,she had a horse when she came west. But she rode side. She was used to,,
IA,"the side-saddle and she rode""'side-saddle. But mother had too many house",,
IA,duties to take care of on the homestead to do very much riding. We took,,
IA,"some little side-trips around over the country, but she didn't ride the",,
IA,stride-saddle.,,
BAC,"She was a good shot, though.",,
SAM,Your mother?,,
IA,"Mother was a good shot. Daddy got her a,single barrel shot-gun and there",,
IA,used to be so manywild pheasant up in-that section of the country. Dust,,
IA,the wd bird. And she could pop one those birds off at any time.,,
IA,"Always get a bird come in with a string of birds and fish. At that time,",,
IA,the fish were coming above Elk River. Elk River was the town that was,,
IA,put in after Mr. CO. Trumbull's father took up the homestead up at Elk,,
IA,River as a homestead and took his family out mAthat part of the country,,
IA,"to live. And when he first went out there, there were no fish in the",,
IA,"upper portion of the stream. See, there are two falls down below. Have",,
IA,"you been down there, falls?",,
SAM,"I' ve never seen the falls, just pictures of it.",,
IA,"You have seen the pictures of The upper falls is much.higher, and it",,
IA,"has worn out as it goes down, worn out a very deep basin underneath where",,
IA,"the water hits it. And here about, oh, I imagine ten- twelve years ;ago,",,
IA,there were a couple of youngsters from Lewiston were up in that part of the,,
IA,"country, and one of them decided he was going bathing in that pool, not",,
