speaker,timestamp,words,End Time
Sam Schrager,00:00:00,"This conversation with Iona there took place at her home in Moscow on November 16th, 1976. Her sister, Bernadine Adair Cornelison, also took part in the conversation. The interviewer was Sam Schrager.",00:00:21
Ione Adair,00:00:21,"Uncle Sam, I'm that used to run the Times Democrat here in Moscow years and years ago. And, he was love fishing and he wanted to go fishing with us. So we went fishing. So my sister and I decided we'd break down once and take it with us. We took him up to Elk River, and he cut side of the bridge.",00:00:48
Ione Adair,00:00:48,"You know, bridge over the river. And he sat down with this pole, over that bridge and fish like you would for catfish in Carolina. That's where he was from. And he sat there all afternoon and fished in that bridge, and marginally fished up and down the stream, and we had a nice basket full of fish between us when they got through.",00:01:14
Ione Adair,00:01:14,"Coming in, Uncle Sam decided he'd sing for us, and we'd rather have him sing than smoke those old cigars that he smoked. So we told him to sing for us. We asked him if he knew any songs. Oh, yes, he said, I know a song. So we started in before we left Bovill to sing. And he sang verse after verse after verse till we landed down here and put him on the lot where the, employment agency is now.",00:01:49
Ione Adair,00:01:49,"That was their, their home. And we let him out there with an empty basket and song from Bovill.",00:02:01
Bernadine Cornelison,00:02:01,What was the song? You told me that once.,00:02:04
Ione Adair,00:02:04,"I told you once, but I can't remember the name of this song.",00:02:08
Bernadine Cornelison,00:02:08,So it had verse after person.,00:02:13
Ione Adair,00:02:13,But verse after verse. I think he must have made it out before they went along. He didn't even know someone that long.,00:02:19
Sam Schrager,00:02:19,He didn't catch any fish on there.,00:02:21
Bernadine Cornelison,00:02:21,"Now, just that old cousin where.",00:02:22
Sam Schrager,00:02:22,"You didn't catch any fish sitting on the,",00:02:24
Ione Adair,00:02:24,"No, I didn't catch any fish.",00:02:26
Sam Schrager,00:02:26,You think he learned from you how to do it? He'd want to go up and down.,00:02:30
Bernadine Cornelison,00:02:30,The street every. He like to move around like he.,00:02:34
Ione Adair,00:02:34,"Well, he, smoked in Carolina, and he knew. He knew how to fish in Carolina. For though they were catfish. I think. And you had to fish there that he didn't know anything about going up and down the stream and watching the hose and watching for the fish and catching them when they got on. Didn't know a thing about that.",00:02:58
Ione Adair,00:02:58,You just waited for the fish to come and take his bait. And it they got on. They got caught like he had a page.,00:03:06
Sam Schrager,00:03:06,Could you usually catch as many as you wanted to when you went fishing?,00:03:10
Ione Adair,00:03:10,Yes. Always. No limit. Always where we had our limit. If we didn't have some others tucked in underneath somewhere.,00:03:19
Bernadine Cornelison,00:03:19,"I mean, was there a limit?",00:03:20
Sam Schrager,00:03:20,"No, I don't think it was their limit in.",00:03:23
Ione Adair,00:03:23,"The 15 fish. And there was no size limit. You could have any size you wanted, any size you could catch. There was no, no limit to fishing.",00:03:34
Sam Schrager,00:03:34,Was it your father that taught you how to fish out there?,00:03:38
Ione Adair,00:03:38,Yes.,00:03:39
Sam Schrager,00:03:39,"Because you'd mentioned to me that you went on the stream with him, right?",00:03:42
Ione Adair,00:03:43,"I always went with him. Why do you. When you want to go fishing, I go with him. Whether I know the rest of them would go or not. That always went with my father fishing. And we always covered all of our fish that we needed. And then. And doctor had field fish for years up and down the.",00:04:02
Bernadine Cornelison,00:04:02,Road.,00:04:03
Ione Adair,00:04:03,"Elk River stream. They knew every hole, and I think they knew all lake trout by name. And if he caught John, he did. They will catch James tomorrow that we drive up. We leave here early in the morning. So to get up there just about daybreak, about the time the sun was up and we'd start fishing and we were always through early.",00:04:30
Ione Adair,00:04:30,"And then we had great times fishing up and down there. My father had an, waist, waders, and they came up on the of the rubber and came up above his waist line. And then he got a penny and he'd take one hole and I'd take another. Or if was a big one, we'd both take the whole.",00:04:57
Ione Adair,00:04:57,"But the disturbance in two places would cause the fish to bite a little lower, a little farther down. And when we were fishing with angle worms, we did it that way and went fishing as grasshoppers. We had to get out and thank our grasshoppers while it was down in the morning, before they began to get lively. They're always very stupid at night, and as soon as it gets cold, the grasshopper will pull up his wings and stay right down there next to the ground where it's warmer.",00:05:32
Ione Adair,00:05:32,"And then they spring as it comes up and the warm air comes on. Then they get up and climb up on the on the grass, and you take a flat piece of shingle. And a wrap or a flyswatter if you have one there. The best thing is to catch them. Well, and we shot those grasshoppers and put them in our bacon, and then brought the next one and put them in the barn.",00:06:00
Bernadine Cornelison,00:06:00,The raise worms.,00:06:01
Sam Schrager,00:06:02,You did.,00:06:03
Bernadine Cornelison,00:06:03,A mulch down here. He raised his fishing worm.,00:06:06
Ione Adair,00:06:06,"Under those, old willow trees. He put manure and leaves, and then he would put coffee grounds and, let us within minutes, leaves on top of that and then keep it covered so that nothing could get in and catch his worms. You can screen it went over the top of the tub, and he kept all of his worms in.",00:06:35
Ione Adair,00:06:35,"They in the tub for going fishing. And when he went in the spring, when they were before the grasshoppers got lively. Which is your name? The worm. Late in the fall, if they start again with anger, worms, and during the summer you face the grasshoppers and.",00:06:54
Sam Schrager,00:06:54,What kind of pole did you fishing gear did you use? Was it.,00:06:59
Ione Adair,00:07:00,Well.,00:07:00
Sam Schrager,00:07:00,Yes.,00:07:01
Ione Adair,00:07:02,"I had a collapsing pole. Then he had. Well, he got me one and then he got one because he thought that I was catching as many fish as he did, and maybe he had 12 on right. And so he got himself and collapsible pole. They're the ones they slide down one section inside the other. And when you pull them out you have the long alongside, better prepared.",00:07:31
Sam Schrager,00:07:31,Easy for carrying.,00:07:32
Ione Adair,00:07:32,"Yes, easy for carrying when you're in the car or when you're going to the fishing ground.",00:07:39
Sam Schrager,00:07:39,Did you use a spinning reel or what kind of real did you use.,00:07:43
Ione Adair,00:07:43,"When you, I you does no ordinary ten cent spinning wheel from the from the Tri-State. Oh, it's just anything to wind your, line up on up and getting tangled. And then he had a long one. His was, had a, a ratchet that will wind it up and the a handle on it that you could wind it up, and it was a real, a real spinning wheel.",00:08:17
Ione Adair,00:08:17,"And mine was just an ordinary ten minute, but I caught just as many fish just dead.",00:08:23
Bernadine Cornelison,00:08:23,Caught more or less.,00:08:25
Sam Schrager,00:08:25,"With it about, big then with the trout. Big, then with the trout big.",00:08:32
Ione Adair,00:08:32,"Then they were much larger than they were in later because they were, the later ones were younger and the ones that hadn't been caught the year before, you would manage to go up. We were the first people that fished in Elk River. And that's the on thing.",00:08:52
