speaker,timestamp,words

Sam Schrager,0:00:00,This conversation with James Bacca and Amelia Odorizzi Bacca took place at their home in Onaway on September 24th 1976. The interviewer was Sam Schrager. Where exactly did you come from in Italy? What was it?
James Bacca or Amelia Odorizzi Bacca,0:00:31,Did you ever hear about Trento?
Sam Schrager,0:00:34,I've heard that name I think.
James Bacca or Amelia Odorizzi Bacca,0:00:35,That's right. The Trento is a big city in all the little towns around. Our town is Nano. We really are in the Waldino. Did you ever heard of that?
Sam Schrager,0:00:50,I don't think that name. No. What is that?
James Bacca or Amelia Odorizzi Bacca,0:00:53,"Well that's right where we come from. Right there we're close to Visciano. You used to come to Nuevale, you know? If you had down in Nuevale, then it would mount you around. Nuevale, yeah. Almost a hundred towns in the Waldo. It's a really town, you know, smaller than Nuevale."
Sam Schrager,0:01:16,Did you both come from the same town? Yeah. You knew each other when you were growing up?
James Bacca or Amelia Odorizzi Bacca,0:01:24,"No, very much, no? You know more my brother because my brother was the same age. The name, I was very, very young."
Sam Schrager,0:01:34,"Well let me ask you, what made you decide to come to the States in the first place to leave Italy?"
James Bacca or Amelia Odorizzi Bacca,0:01:43,"Well, you see, my brother, we had three brothers here in Wyoming. My sister, after World War I, and my sister is the one that got the... she was older than I, see, and was college there. Well I'll tell you why they come in the old country in the short-run. See, they were six brothers, one sister, and one over there, you know, over there. They're very poor people, you know? That's all you leave. However you raise, like you raise your garden, you already raised a little bit better than the garden. And wherever you raise, you eat, and that's it, you know? So it's that day when he was about seven years old. So we left her mother with all this big family, and so they didn't have any support for the little kids. So just as soon as he was the age, they start coming to America. So the older brother comes first, and now he's in California. He's 84 years old. And then another brother, he died, he was up to Wyoming, and he died there. And after the three brothers, then the sister comes over, and he married an Italian boy too. And then they called for him, you know? They send him on, so he can come over."
Sam Schrager,0:03:21,"Where were they in Wyoming, Jim? Where were they in there?"
James Bacca or Amelia Odorizzi Bacca,0:03:25,"Rock Street. Rock Street, Wyoming. That's where they, because town mine."
Sam Schrager,0:03:34,What kind of mining were they doing?
James Bacca or Amelia Odorizzi Bacca,0:03:38,"That's all there is there. Just coal mines. And they got mines, on the mine, oh, I don't know how many rain there is there, you know? And they get through one line, and they go down in the deeper, in the heavens. Another mine, like that. I don't know, just the antiques, they can't go down, you know? They, a lot of coal out there."
Sam Schrager,0:04:12,"Did your brothers plan to go back to Italy when they first came over here, or did they see it as a permanent move?"
James Bacca or Amelia Odorizzi Bacca,0:04:25,"Well, one brother went back to Italy. The other got killed, and the other two, one in California and myself, they're still here. Yeah, they're always two, one in California. I'm the youngest one, see?"
Sam Schrager,0:04:46,"How rough, how rough was it in where you grew up? How rough was it to make a living in Italy? To make a living when you grew up in Italy, was it? Oh, how rough was it?"
