speaker,words,tags,timestamp
,"SAM SCHRAGER: The first thing I wanted to ask ya, is do you know why your folks",,
,decided to come out here from Nebraska?,,
,"DICK BENGE: Yes sir, I do. You know, dad had poor health, and the doctor told",,
,him that he,,
DB,etter come to a higher climate. We lived at that time in Nebraska. And that's how,,
DB,he come to come out here. We all moved out on,,
DB,"dad's account of his health, see. Well, he lived several years after we",,
DB,"came out here. After he come out here and got in this higher climate, why...",,
SAM,Why'd they pick Idaho?,,
DB,"j Well, now that's another question. Because there's other families that",,
DB,"come from right in there that we knew, that lived here at Princeton. McFarlands",,
DB,"was one of 'era, Bains, McVeys was another one. We knew them there.",,
DB,"So it was just like moving into, they all knew one another. Been raised",,
DB,together in Missouri was the idea. So that's how that come about (chuckles).,,
SAM,"What do you remember from when you were a kid there, what it was like farming",,
SAM,in Nebraska and in Missouri?,,
DB,"I don't remember farming any in Missouri, but in Nebraska it was, well,",,
DB,"dry. And the grasshoppers was pretty hard, and when the grasshoppers didn't",,
DB,get ya sometimes the hailstorms would (chuckles). That's just the way it,,
DB,"was. Boy I'll tell a man, that was a hard country to farm in. Sometime",,
DB,"you raised good crops, sometime you didn't raise much. No.",,
SAM,How do you'think it'd compare with out here?,,
DB,Oh this is altogether a different country. Altogether different from what,,
DB,"it was there. You know, we had wind, lightining storms, hailstorms, and",,
DB,"everything (chuckles). Boy I'll tell ya—you know we come out here, and we",,
DB,"hadn't been here very long, and Eldon Tribble (that was Hershiel's brother),",,
DB,"they lived right close to us there. Come up a little windstorm, blowed down",,
DB,"a tree or two, that was before it was logged out. They come up after the",,
DB,"windstorm was over, talking about how the win",,
DB,"lowed. Well, we didn't notice it a-blowin', 'cause the win",,
DB,"lowed that hard every day there (chuckles). And we had a clap or two of thunder,",,
DB,"you know, and well, we",,
DB,"didn't pay much attention to that. They come up and they's talkin' about it,",,
DB,"and we told 'em, ""Well that was nothing. We didn't notice it."" We was just",,
DB,"joshing, you know. So we told Shorty and Hershiel (Dick's brother-in-law)",,
DB,"both, they was talking, why there was four or five pretty sharp lightning",,
DB,"flashes and claps of thunder, and we told *em, we said that ""You oughta go",,
DB,"back to Nebraska and Iowa and Missouri and through that country, if you want",,
DB,"to see electric storm."" And I told Shorty, I said ""Eldon,"" I said, ""I've",,
DB,"seen it lightning there you almost read rewspaper by it."" ""Noooo!,"" he says.",,
DB,"""Well,"" I said, ""all right."" So he went back to Iowa, him and his cousin",,
DB,"on a visit, they had some relatives in Iowa. He come back and he come up and",,
DB,"he said, ""Dick, I apologize."" ""What are ya apologizing fer?""",,
DB,"He said, ""I thought you was lying about lightning, but,"" he said, ""we",,
DB,"had one while we was there,"" and he said, ""I figured you didn't give it quite",,
DB,"strong enough!"" (Laughs.) I'll tell a man they did have some storms there,",,
DB,"lightning and thunder, y'know. I've seen it almost just one flash right after",,
DB,"another one, of thunder y'know, it-d just upset the house there, nearly seemed",,
DB,like. But we's always used to it. We never paid no attention (chuckles). Yah.,,
SAM,Do you remember anything about the trip out here?,,
DB,"Dh yeah. Yeah, I come out here, I was on crutches when I come.",,
SAM,You was on crutches?,,
DB,"Yeah, a horse fell on me an",,
DB,"roke my leg in four places. I was on crutches when we come out here. We left Waymore,",,
DB,"Nebraska, and we come to",,
