speaker,timestamp,words
Sam Schrager,0:00:00,"The first part of this interview was with Dick Benge. The second with his wife Ella Mae Arden Benge and her daughter Peggy Shott. And the interview took place at their home on Hattercreek near Princeton on April 27th, 1976."
Sam Schrager,0:00:24,How your parents raised you?
John (Dick) Benge,0:00:26,I had one up at Hanover.
Sam Schrager,0:00:27,"Yeah, how they raised you?"
John (Dick) Benge,0:00:28,"I was raised in Nebraska on a farm. Well, you told me that, but I was wondering about how they did. I mean, what they wanted, whether they were strict with you or lenient, whether they made you toe the line. But, I had work. He read that. He wasn't very healthy."
John (Dick) Benge,0:00:55,Bell and Pat.
John (Dick) Benge,0:01:00,Them days they called it consumption.
John (Dick) Benge,0:01:06,"Well, your old father, you know, he seen an advertisement in a paper and so he longed their mind."
Sam Schrager,0:01:16,What?
John (Dick) Benge,0:01:17,"Long German. Made in Germany. Medicine. He had to send it to Germany to get it. We took that for six months. And the glass, everywhere he took it up to, in four weeks, it just crumbled that glass. So it must have been pretty powerful. Well, he got all right."
Sam Schrager,0:01:42,That did it for him? That cured him?
John (Dick) Benge,0:01:46,"Well, it got him a lot better anyhow. So then his doctor told him, he said, we were down and he was talking to him and he said, I believe you ought to go get out of here. I said, you might be good for a long time yet. Well, he did. We come out here."
John (Dick) Benge,0:02:25,And that's how we come to come.
John (Dick) Benge,0:02:30,"Oh, Dad, he was very lenient. Of course he made me mind. Yes. I had work six days a week. I think I bet Saturday night and Sunday was mine. I had a horse to ride. Got a little older. I had a buggy. Got a brand new buggy for me and a good driving horse."
Sam Schrager,0:02:58,"Well, what more could you ask?"
John (Dick) Benge,0:03:02,"Nowadays, they get them an automobile. What was the work that he was having you do when you were..."
Sam Schrager,0:03:10,All farm work?
John (Dick) Benge,0:03:12,All farm work. First part of farming.
John (Dick) Benge,0:03:26,"I'll tell you, I'll give you the layout. He had ten milk cows. He had eleven broodmares. And he had fifteen sows for pigs. And he bred them all every year."
John (Dick) Benge,0:03:45,Well... That's when the tractor first come out.
John (Dick) Benge,0:03:57,"So... He had five good teams to sell. First, they run them one year. And the next year, they run them on the fence corner. And the next year, they all went back to horses and mules. Yeah, they wouldn't monkey the damn thing. They couldn't get them started with a cold morning."
Sam Schrager,0:04:18,You said they run them in a fence corner? What do you mean?
John (Dick) Benge,0:04:22,They just quit them.
Sam Schrager,0:04:26,Was this Nebraska?
John (Dick) Benge,0:04:30,"Mm -hmm. Yeah, we was sixty -five miles south of Lincoln. We'd ride down the hall with only, what, about twelve or thirteen miles down the campus line."
Sam Schrager,0:04:44,"Did you have many neighbors there, like here? Did you have many neighbors there?"
John (Dick) Benge,0:04:49,"Oh, that was thickly settled, you know. There's a house on every well. It has section 160 acres anyhow."
John (Dick) Benge,0:05:04,"So... I was back there last fall, a year ago. This fall. Well... Now there's a mile through there that there was... Well, I'll have to count up and see now. There's one, two... three, four... five, six, seven, eight houses at that time. Well, when I was back there, there was three."
John (Dick) Benge,0:05:39,"The house that we lived in when we left there. Nothing there. And a nice ten -inch orchard, it was gone. Nice maple grove, it was gone."
John (Dick) Benge,0:05:56,"Barman! So, this house is set up on a little raise, that is. Well, there was a year they called it, I don't know what they would call it. Just kind of a level place. So, I just walked off over the hill where the house used to be from where it was. Just off over a little slope. I don't know how to say there, it's set at two million and a half dollars worth of farm machinery."
John (Dick) Benge,0:06:30,"Corn planters, corn huskers. Everything. Five tractors. Wires."
Sam Schrager,0:06:43,"No wonder the country's into it, is it?"
John (Dick) Benge,0:06:48,"No,"
John (Dick) Benge,0:06:53,"no wonder they're gone belly up. This automobile's machinery's put them into it, too. Well, alright, we're put this way. You know, when I was growing up, we tried to get a hold of a piece of land or something. We'd get a job, but now the kids get a job, they stop on the road home after they get the job. Buy us a car."
John (Dick) Benge,0:07:30,So.
Sam Schrager,0:07:32,"Were the people there, your neighbors there, were they at all different? Was the neighborhood any different from the way it was over here?"
John (Dick) Benge,0:07:43,"Yes, it was. There was more of a clam."
Sam Schrager,0:07:49,"Over there? What was that, what was it?"
