speaker,timestamp,words
Rob Moore,0:00:00,"Walt Benscoter was born and raised on American Ridge and still lives within a mile of his father's homestead. He has farmed all his life, growing up with the increasing mechanization of farming procedures. Since bigger equipment enables a single man to farm more land, many of Walt's neighbors have left and their yards been plowed over. He tells stories about thrashing crews, socials, the farmers union, the depression, horse drawn equipment, and many other phases of a vanishing way of life."
Walter Benscoter,0:00:36,When I was a kid I used to work for four bits a day.
Rob Moore,0:00:39,Four bits a day?
Walter Benscoter,0:00:41,Yeah.
Rob Moore,0:00:42,Doing what kind of stuff?
Walter Benscoter,0:00:43,"Oh, that was in horse and buggy days, you know, and things weren't very well mechanized and they even planted beans with it. You know, in these old stab planters? Well, I got one out here in the shop, I'll show you. And they planted, with these stab planters, one row or two rows at a time, whichever you were capable of doing, you know."
Rob Moore,0:01:11,Is it something you carry one with you?
Walter Benscoter,0:01:12,"Yeah, you just carry it, you stab it in the ground and go through it, you know, plant a hen at a time. And I used to do that in the spring, hoeing beans. Then it got up to a dollar a day when I got bigger. Then we used to have pile of beans, you know, that was kind of a kid's job, you know what I mean? A man could do a lot more, but a kid could do it too."
Rob Moore,0:01:45,Pile of beans?
Walter Benscoter,0:01:46,"Pile of beans, you know, they were all planted in rows and the cutter would bring two rows together and then the side delivery rake would rake six rows together and then put them in piles so they could be picked up, you know, and hauled to a machine."
Rob Moore,0:02:04,"Oh, a machine to get the beans out?"
Walter Benscoter,0:02:05,"Yeah, a thresher machine. And I used to pile of beans and all that kind of farm work, but we used to raise a lot of beans here, believe it or not. But, well, the price got to where we couldn't afford to raise them. To get what I mean, we wasn't getting enough out of them to pay because there was so much labor concern. You can see why that was, it was all hand labor, you know. cultivating, you cultivate a team of horses, some people have two row cultivators, most of them are single row. And then they should be hoed, a lot of people didn't, but if you didn't, you got your ground cicada and you couldn't raise them. Then wages didn't amount to much. Harvest wages were usually pretty good. I think, of course, those were mighty long hours and it was hard work. Pitching bundles, I think we used to get two and a half. I never did pitch bundles, but when I got big enough, I drove a bundle wagon. And we used to get four dollars for that, that included the team and the wagon and the man. I hauled a lot of bundles."
Rob Moore,0:03:36,Was this a good bean growing country?
Walter Benscoter,0:03:40,"Well, not really, you know, and it depended a lot on the season. You know, a good season with good rent and everything. I believe they did raise beans here that made eight, nine sacks to the acreage."
Rob Moore,0:03:57,How many pounds is that?
Walter Benscoter,0:03:59,"About 150 pounds in a sack of beans. They're quite heavy, you know… but, uh,… then other years, we wouldn't get over four sacks. You know, a year like this, you wouldn't get over four sacks. I remember one year that we planted beans and it was drizzling rain when we planted them. And we never got another rain until those beans were harvested. But we did have winter moisture, something we don't happen to have this year. And we got, if I remember, we got about four sacks that year."
Rob Moore,0:04:47,What was the price of beans?
Walter Benscoter,0:04:48,"Well, around a nickel."
Rob Moore,0:04:53,Nickels for how much?
Walter Benscoter,0:04:54,"A nickel a pound, yeah. And of course that varied too. Just, you know, if there happened to be a shortage, I remember one year that the Navy bought up a whole slug of beans that was going to make a trip around the world, which I'm sure they did. And the price went up. But I can't remember now to just what point. It seemed like it was about ten cents or so. But that was just temporary. After the harvest it was gone, you know. That was my brother. Then Southern Idaho, we got to producing beans and they were irrigated, you see, and they could raise so many more pounds for the acre and we couldn't, well, they just kind of run us out of business."
Rob Moore,0:05:49,About when was that? About when did you stop?
Walter Benscoter,0:05:52,"Well, let's see. That was,… i remember pollen beans from about twelve years old in the morning. So that would be about 1910, twelve, following in there. That's when I was a kid. I don't know. We raised beans even after I got married. I remember one year we had 125 acres of beans and the whole cock-eyed orch got wet. It got rained in the fall. Got them wet and we hauled them and stacked them after they froze dry. And we threshed them and hauled them to Troy. And if my recollection serves me right, we got two and a half cents for them. But they were damaged. They all had to go through a picker, you know, or they picked by hand. They used to pick a lot of beans by hand."
Rob Moore,0:06:56,"Select them? Huh? Select the good ones, you mean?"
Walter Benscoter,0:06:58,"Yeah, you know, they had to, well, in these warehouses, I don't know just how they did do it, I never did visit one when they were picking beans, but they had some sort of a conveyor belt and a whole lot of people sat along that belt and picked the dirt and the colored beans out. And of course that cost 22, but not very much because wages were only about a buck a day. But even after I got the farming for myself, wages weren't anything I remember. Well, that was during the Depression. That was in the 30s, the dirty 30s. Best man I ever had on the place. I paid a dollar and a half a day and that was top wages. A lot of guys were only getting a buck. But he was a good one. He was a farmer that had, well, I shouldn't say he was the only good man I had, but I had several. But this one I remember in particular, he was from the Dakotas. He froze out in the dust bowl back then. He told me how many years he'd gone without a crop. I think it was five years he'd gone without a crop. Something like that. How I get the bank carried him, I don't know what else. And he came out here busted. He didn't have a centroid name. He was hitchhiking on the railroad."
Rob Moore,0:08:31,That was in the 30s?
Walter Benscoter,0:08:32,"Yeah… 30s, I think that was 30s. Yeah, 32 or 33, I can't remember quick. Anyway, he went to work for me just before haying. I can't remember now what we were doing. But I remember when we got ready to hay that it rained. Putting air every day there for a week or ten days. And we just built some feed racks and went around. Probably built some fence too. Yeah, I know we built some fence. And then he worked for me all through haying. And harvest, I believe. But I don't know. You could hire men then that knew something about farming. And now all the labor you can get on the farm now is mostly high school kids. Most of them don't know means about farming. Have to educate them about it. And of course you know what wages are."
Rob Moore,0:09:44,"Hey, did they ever get that minimum wage raised to, what was it, 220 or something like that?"
Walter Benscoter,0:09:50,"The Congress passed it but they haven't sent it to the President yet. They're still waiting on it. Boy, I'm getting more and more than we used to in a whole day."
Rob Moore,0:10:07,What did you do during the Depression? Did you keep farming during the Depression?
Walter Benscoter,0:10:10,"Oh, I was farming, yeah. I had to borrow all my life insurance to feed my family, pay my grocery bill. And at that time we raised a terrific garden. And I would say at least half or maybe more of our living expense came out of the garden. Of course we had our own meat. Had our own hogs and meat. And that helped a lot. And milk and butter and eggs. But hell, we sold grain for 25 cents a bushel and that didn't even pay expenses. Sold hay for $8 a ton baled. I remember it cost $4 a ton to bale it. And $4 and I spent, at that time I spent $4 a acre for rent. And a lot of times I had to make over something so you could see where I was. Pretty tough titty, I tell you. It sounds like it was. Well, it really was."
Rob Moore,0:11:30,Were you farming with machinery then or still using horses?
Walter Benscoter,0:11:35,"No, at that time we still had horses. I think we got our first combine in 1938. I remember right. Well, we had a little old wheel tractor. We didn't use it much for farming. We run a chop mill with it and we did some farming with it. That's chopping grain. We had a little chop mill that we chopped our grain with. Feed our horses and our pigs and our cows. Well, we had milk cows. I didn't keep many milk cows. Five I think is the most I ever had at one time. But I always had about at least three. So we sold cream but there was no money in that either. But there was no money in anything no matter what you done. Eggs. I sold eggs for 8 cents a dozen. Boy, that's cheap eggs. They're 80 now or better."
Rob Moore,0:12:47,"When you were farming with horses, how much land did you farm then?"
Walter Benscoter,0:12:56,"Well, I was farming with my brothers. The place I lived on had 330 acres. And Frankie's place had about 200. And Pete's was on the old home place. He had 160 and then we rented. Well, we was renting 40 acres at the old Jacob's place and then we bought it. Well, that would be over 700 acres the three of us was farming."
Rob Moore,0:13:38,How many men did you have to have working for you?
