speaker,timestamp,words
Sam Schrager,0:00:02,"Oh, there was a story about Lou and Perry from Colorado. There was a story about Lou and Perry from Colorado, about a cat in a stove."
Sam Schrager,0:00:20,Would you tell me that story?
Arthur Bjerke,0:00:23,"Well, you know, that snow has been pretty deep and the cold, you know, and finally I got so that they could get outside their shutdown for three days in the bed because the water was so deep in the house that they couldn't get out. And they left a cat in and then she jumped off and over on the oven door and went into the leg down in the oven. Well, when they come in, they shut the oven door and never thought about it and built up a fire and then they roasted the cat in."
Arthur Bjerke,0:01:19,So they burnt the feet off from her and they had to kill the cat.
Sam Schrager,0:01:27,How did they find out the cat was in there?
Arthur Bjerke,0:01:31,Because it got a stick in the bad cabin and they would go to look all over and see what was burning up and it was the cat that they roasted the hair off from.
Sam Schrager,0:01:56,How come it was flooding? Did it flood here much? Huh? Did it flood much in those days?
Arthur Bjerke,0:02:05,"Hell, in our house, the house stood down there on the flat. By God, the water come in the house so it went right up again the mattress in the bed."
Arthur Bjerke,0:02:29,"Hell, I've seen that flat in there after it was cleared up, a regular skating rink."
Arthur Bjerke,0:02:42,"Hell, you could skate all over that mattress."
Sam Schrager,0:02:47,How long would it flood for?
Arthur Bjerke,0:02:53,"Oh, several days."
Sam Schrager,0:02:57,What month? What month would be the high month?
Arthur Bjerke,0:03:02,"Well, it would generally be along in March when the snow started going bad and it started raining and snow up here six feet deep and the mud got full of water and started breaking through. By God, there would be water all over."
Sam Schrager,0:03:29,How high above the creek was your place?
Arthur Bjerke,0:03:34,"Well, it was just put right down the level of the bank."
Arthur Bjerke,0:03:45,It was there for three years and then moved up on the hillside here.
Sam Schrager,0:03:56,Why did you move it? Huh? Why did your father move it?
Arthur Bjerke,0:04:01,Because it was too wet down there.
Arthur Bjerke,0:04:11,All the neighbors got together and tore the house down and moved it and set it up again in one day.
Sam Schrager,0:04:28,Everybody just pitched in help like that?
Arthur Bjerke,0:04:32,"You're damn right. And by God, there were neighbors two days. It ain't like it is now."
Arthur Bjerke,0:04:45,"And by God, put in here every Saturday night they'd all get together and they'd have a good time."
Arthur Bjerke,0:04:57,"And when they'd meet on the road, they'd always stop and talk. Now, when you meet your neighbor, they just drive faster and look the other way."
Arthur Bjerke,0:05:14,Neighbors are called anymore.
Sam Schrager,0:05:18,Did you exchange work a lot with your neighbors?
Arthur Bjerke,0:05:24,"Yes, quite a little."
Sam Schrager,0:05:42,What did you do?
Arthur Bjerke,0:05:45,"I did that because I was too young to begin with. But, well, I've had this place since 1911."
Arthur Bjerke,0:06:03,So I've been here quite a while too.
Arthur Bjerke,0:06:13,"And of course,"
Arthur Bjerke,0:06:20,the folks moved on the first 1891.
Sam Schrager,0:06:30,"These winners, were there heavy snow winners that you remember?"
Arthur Bjerke,0:06:36,"Yes. Hell, there was nothing to see six and seven feet of snow here."
Arthur Bjerke,0:06:50,"By God, Boper had nine. Elkhiver had 13 feet of snow."
Sam Schrager,0:07:07,How did you get by when the snow was so deep?
Arthur Bjerke,0:07:13,"Well, mostly stay home and if you wanted to go on your horse, it was mostly skis or web shoes."
Arthur Bjerke,0:07:35,"Well, all the... Boudinie all got a few sheaves and they cut the wool off from them and spin and make join. And the women, they'd never go to a neighbor unless there'd be a knitting socks or something."
Arthur Bjerke,0:08:00,"When they knit, there was five needles in the knitting needles for... To knit on, there was one extra that they thread the loops on and over on the main needle."
Arthur Bjerke,0:08:27,"And the Americans, they generally used a crochet hook and crocheted sweaters for the kids."
Arthur Bjerke,0:08:49,"Now, I've seen good many hard times and I hope some of these kids now, they'll never see anything like it."
Arthur Bjerke,0:09:10,But I've lived through it.
Sam Schrager,0:09:24,Do you remember the cabin that Joe Wells had?
Arthur Bjerke,0:09:32,"Yeah, it was just a little old cabin."
Arthur Bjerke,0:09:39,"With the bicon, it was... I'm now excited with the little awful little I'm being said."
Arthur Bjerke,0:09:54,"The Indian kids, I wasn't a bit afraid of them, but the nigger kids, they were too damn polite. I was a little spooky of them, but they got damn good friends of mine."
Sam Schrager,0:10:21,Did Roy and Chuck used to play pranks a lot?
Arthur Bjerke,0:10:26,"Roy, yeah, Chuck, he used to play the harp, mouse harp. And boy, he liked to dance too."
Arthur Bjerke,0:10:44,"And that was from an egg. Well,"
Arthur Bjerke,0:10:51,"the white girls around here, they wasn't a better master. They'd dance with them nigger boys just as well as anybody else. And boy, we'd just as soon dance with them nigger girls as any other."
Sam Schrager,0:11:11,What kind of music did he play with his mouth harp?
Arthur Bjerke,0:11:15,"Yeah, it was waltzes and cadreels and stuff like that."
Arthur Bjerke,0:11:26,He played at the dances.
Arthur Bjerke,0:11:29,"Oh yeah, and then the loins just come in and they all... there was four boys and they all played the fiddle a little and the girls had played the banjo and the guitar."
Arthur Bjerke,0:11:53,"Oh heck, I'll tell you, it was lots of fun too, and by god, they were all nervous."
Sam Schrager,0:12:03,Would you dance in the schoolhouse? Is that where you'd dance?
Arthur Bjerke,0:12:08,"Oh yeah, there were a good many dancers in the old nigger schoolhouse. And old Joe Wells, he couldn't dance, but boy, he'd get up and dance a jig."
