speaker,timestamp,words,End Time
Sam Schrager,00:00:00,"This conversation with Violet Frei Boag took place at her home near Deary on October 15th, 1976. The interviewer was Sam Schrager.",00:00:20
Sam Schrager,00:00:20,"And of course, in the area.",00:00:25
Violet Frei Boag,00:00:25,Where we just homesteaded.,00:00:27
Sam Schrager,00:00:27,"Do you know how they got out here? I was,",00:00:31
Violet Frei Boag,00:00:31,"Oh, no. I don't know how they got here to see their father and mother lived here during. But they of course, they weren't up there. They lived around. Oh, they lived at Bovver for a while and then out at Winfield,",00:00:50
Sam Schrager,00:00:50,They seemed to be remembered as. That's about the first people who were in the Collins area is prominent people as well.,00:01:02
Violet Frei Boag,00:01:02,I wouldn't doubt that.,00:01:04
Sam Schrager,00:01:04,"And then they, Did they put in that sawmill as a together? No, they have a little mill.",00:01:10
Violet Frei Boag,00:01:10,"No, my dad had a sawmill and what they call camp eight.",00:01:14
Sam Schrager,00:01:14,Or slab.,00:01:15
Violet Frei Boag,00:01:15,"Or Slab Town or previous to that is the, call that. and I never heard of this. That that was before my time politics.",00:01:26
Sam Schrager,00:01:26,"There, there. You there.",00:01:29
Violet Frei Boag,00:01:29,I think that's.,00:01:30
Sam Schrager,00:01:30,"That sounds and sounds like. Well, I remember Fairview.",00:01:34
Violet Frei Boag,00:01:34,"Well, I think that's right, but I never remember that. That was long before my time.",00:01:44
Violet Frei Boag,00:01:44,"You've seen this? I spoke only a hundred million times. But the previous. Oh, no. It's in here. Fairview. Is it?",00:01:56
Sam Schrager,00:01:56,"I think that's right. Well, so did you. Did you grow up right out here by when you were little kid?",00:02:03
Violet Frei Boag,00:02:03,"Oh, yeah. See, my dad had a grocery store and the post office, and then we lived in the same building.",00:02:13
Sam Schrager,00:02:13,And we went.,00:02:14
Violet Frei Boag,00:02:14,"Well, we walked to school, my sister and I, they belonged now, to Cambridge to school. Our first. Oh, I just don't remember how many years.",00:02:29
Sam Schrager,00:02:29,The school was. Right.,00:02:30
Violet Frei Boag,00:02:30,"There you come and then you ride home on them train at night, sometimes bad weather. But I remember walking one time. I didn't want to be, like a tardy, you know, and we were going to get a prize or something that meant so much to kids in those days. And it was 36 below zero. And, we went with the school teacher, you know, because she lived in our house and her name was Tilly Halverson.",00:03:11
Violet Frei Boag,00:03:11,"And then the next year it got to 40. And my dad said, no, no school. But we spent half the time going, now, those are the things I remember. We'd be bundled up, you know, and they had these flanges that we walk through and track flanges that we take the snow from the track, you know, and we turn our back when they come and we'd just be covered with snow foam.",00:03:39
Violet Frei Boag,00:03:39,"Those were the days. And I used to ask mother, we always have. Had you ever stand to let us go, you know, like that? And she said, well, I had no choice. I just had to.",00:03:51
Sam Schrager,00:03:52,"When you get to school, you were soaking wet.",00:03:54
Violet Frei Boag,00:03:54,"Yeah, we're soaking wet and have cold, you know.",00:03:58
Sam Schrager,00:03:58,Real cold was the school room.,00:04:00
Violet Frei Boag,00:04:00,"Oh, yeah. yes. Oh, yes. but those were really rough days.",00:04:08
Sam Schrager,00:04:08,Or.,00:04:08
Violet Frei Boag,00:04:09,"So. I was about two and a half months. Oh, really?",00:04:12
Sam Schrager,00:04:12,"you just probably pretty blue, I mean, seven.",00:04:15
Violet Frei Boag,00:04:15,"Well, I was six. But it was fun. I guess that's what made it so tough. We all seem to be pretty healthy.",00:04:29
Sam Schrager,00:04:29,"You know many kids who are in that school, you remember.",00:04:32
Violet Frei Boag,00:04:32,"No not the exact amount. I think there's a c there was the most of them was Briggs's. There was a big family, Francis. And then there was the Hill. And, I would say there was about the first year I went, it wasn't over 6 or 7.",00:04:56
