speaker,words,tags,timestamp
Rob Moore,How was it that the REA worked?,,
Henry Brammer,"yell, the government, they went to work and it cost us, I think, I'm",,
Henry Brammer,pretty,,
Henry Brammer,"sure, five dollars a piece if we was willing to go in on it and make that",,
Henry Brammer,way. So we had to get so many signers of these farmers here before they would,,
Henry Brammer,build it. And I worked on that awful hard. And so I got a write-up here on,,
Henry Brammer,"it in one paper, REA paper and my name u my picture in there and everything.",,
RM,Yeah. Like you said the farmers would object. You said they wouldn't want,,
RM,"to mortgage their fasm to the government, why would they think they had",,
RM,to do that?,,
HB,"Well, they figured the government was gonna take over. They was scared",,
HB,of the government to ever get in on this. It was one of the finest things,,
HB,that ever happened that's why we got our electricity and so on and all,,
HB,"over in the farms, you see, and that was in 1937 or 8 when in the fall",,
HB,of the year we got it. After we got that all built and we got it started,,
HB,"and had it built, then the farmers couldn't get it fast enough , they all",,
HB,wanted to be first.(chuckles) And so we got that built and I think it was,,
HB,one of the finest things we ever had}what we done there. And they still,,
HB,"got it, you know, we supposed, at that time they said in twenty years and",,
HB,"we would be paid out on it. But that thing never materialized, the govern",,
HB,ment still does it. They lend money out to the REA and so on and put franchise,,
HB,out and so on. Because it was complicated to the farmer because we had,,
HB,"farmer lines and phone lines and the, well, you know how they keep it up,",,
HB,brush and everything and long fences and so on. And half ofthe time we,,
HB,"only could get somebody and then we had the centrals, one in Cameron and",,
HB,one in Leland.,,
RM,Centrals?,,
HB,"Yeah, centrals, you know. Where they had the...Rffi: Centrals.",,
HB,Urn hm.,,
HB,Mrs. Brammer: Well they had people there that if you wanted to move places they had,,
HB,to,,
HB,get 'em from 'em.,,
HB,You had to call those centrals and in these towns. So that's the way that,,
HB,"started out any way. And so of course when:this 'lectric line came in, they",,
HB,"had to get a metallic system in it, double wires you know and up to date",,
HB,and it all cost us fifty dollars a piece and that was the hardest. Still,,
HB,some people at Southwick that I couldn't get out in it back toward the,,
HB,"mountains there. I'd bag those boys, I'd been over there times and times",,
HB,"again, they are ail dead now.But they still haven't got their telephones.",,
HB,"They've just got the telephone between themselves, that's all. They never",,
HB,did get it. And I tried my darndest to get it in there. It was complicated.,,
HB,"And 1 was in my early years on the mail route, when they delivered our",,
HB,"mail to us. Always our post office, Cameron, so on, for awhile and we'd",,
HB,"have our mail carriers later on, we didn't have 'em at first, we had to",,
HB,go to the post office to get our mail here. So I was sure that we could,,
HB,"rule her out some. And they thought on that. Most of 'em didn't want it,",,
HB,"they wanted to leave everything the way it was. But we finally got it,",,
HB,so our post office went out and we g et our mail direct every day and so,,
HB,"on. Otherwise it was maybe once or twice a week, some on the upper end",,
HB,"of the south end,, they would get it about once a week and so on.",,
RM,Were you an early mail carrier too?,,
HB,"No, I was no mail carrier. That was just, onee there was three of us. There",,
HB,was Roy Salsik and myself and Clark McKeeMer's dad. What was his name?,,
HB,Charlie McKeeV/er? Let's see.,,
HB,"Mrs. Brammer: Yehh, his name was Charlie.",,
HB,"Yeah, I think it was. We three was the ones that started out on it. And",,
HB,"when got up to Cameron, why they was gonna mob us.(chuklesj They",,
HB,thought it was awful for us people to say that we would get the mail out,,
HB,"and tend it everyday. They couldn't figure that out. So, but it progressed",,
HB,"you couldn't stop it, just go ahead and we got it finally but it took thirty",,
HB,"years. Oh, I always admired the thing on the road business, buildin' that",,
HB,"road up here, the Governor Ross that was in at that time of Idaho here.",,
HB,I mafeie three trips to Boise with the delegation. And we were supposed to,,
HB,get a A Number one road up on the the branch of that road now between Kendrick,,
HB,and Southwick. Highway #7. But then these people down here jumped in and,,
HB,they got the Bear Ridge Road which they needed more than we did. They,,
HB,had really a rough grade from down in that area. You've never been over,,
HB,that old...,,
RM,Yes I have.,,
HB,That used to be twist around and around and you didn't have no turnouts,,
HB,once in awhile and then you happened to be in between turnouts and you,,
HB,didn't know where to go.(chuckles) Ue had to back up and push our yagons,,
HB,"over, or we didn't have cars then. So then they started in and they took",,
HB,the Govenor he came up here and took fem over that road there and,,
HB,it was muddy and everything else. And he really saw what they needed so,,
HB,he give that one up there and then we came back again for to build one,,
HB,"up there, why they didn't have too much money left and so on. So the first",,
HB,"thing they done, the county helped us because we were in bad shape up on",,
HB,Southwick here.,,
RM,Which county was that?,,
HB,"Well, Nez Perce county and we had a road district see, good road districts",,
HB,like they used to have here. And we had our crossroad and us above the,,
HB,"upper?end of the county at Southwick. We was on the county. See, there",,
HB,"was a friction there. We couldn't do nothing with the lower end here, thoy",,
HB,"do nothing, they said they didn't have no money. Well, they didn't.",,
HB,"They was organized too .small, didn't have enough variation there, you see.",,
HB,Well then finally we started to cross up at Southwick. We took it out from,,
HB,"the town to the crossroad and then we asked if we aould donate, we donated",,
HB,"everything we had, we didn't get paid. I hauled rock on that road with",,
HB,"four horses for days. And after we got that finished, we said to this district",,
HB,"here,""We'll help you gravel this road, so we can, get out when it's wet.""",,
HB,Because the cars were in then. I had a car already then.Finally got a truck,,
HB,"and everything. So we started and we worked two days and made,oh, quite",,
HB,a stretch down here. You think we got just one out of this district that,,
HB,would he^p us? Not one. So we all dropped it. We went down to the county,,
HB,"here, and we told 'em what happened. We'd like to have this. So they finally",,
HB,got up the money and they...,,
RM,Were you still living then in the place you were raised up in Southwick?,,
HB,"No, see, I, where I was raised, I was raised in Cameron. And then I farmed",,
HB,"there at Cameron for three years. Then we went to Canada, my brother,",,
HB,and myself. And we bought a half a section of land seventeen miles from. And then,,
HB,we had a snowstorm the second of September.,,
RM,What year was that?,,
HB,"In 1906 or 5, or 5. Six, I think it was because in 1906 we pulled out for",,
HB,"Montana. And everything snowed under, we didn't get no crop at all. So",,
HB,"we pulled out of there, I think I told you this story once. But section",,
HB,"we sold after awhile to a real estate man, Noble was his name. And Palmer",,
HB,"Noble is on that half section now. The, railroad came right through it you",,
HB,see. So if we'd hung onto it maybe we'd been all right. But we didn't.,,
HB,"We sold out and homesteaded in Montana. And so we come back here, I did,",,
HB,my brother and Igot back here in 1913 we came back. And Ibought the,,
HB,And after awhile I sold that and the First World War was on. And then I,,
HB,"bought up at Southwick. A hundred and sixty acres. So quite a bit,  Icould of got",,
HB,alot more,,
HB,and so on tii we made progress here with our own food. There were rough,,
HB,"times, hard times, depressions. In 1932 the depression hit there, nobody",,
HB,"could work. And farmers, they lost their places. Her brother lost every",,
HB,"thing he had. My brother, he had lost everything in Montana, you know.",,
RM,In the depression?,,
HB,"Well no, it was drought. I still raised a crop in '13 in Montana but I was",,
HB,"out here already and I had bought, as I said, a hundred and sixty acres",,
HB,right above his half section. I sold my half section but we were in together,,
HB,on it and we didn't want to sell and we figured we could get more out of,,
HB,if for a thousand dollars an acres. I figured it was a good buy so I sold,,
HB,"mine and then bought the state land right north of, no south end, south",,
HB,"end "" .In the Three Fork, a hundred and sixty right in the",,
HB,road. So I sold that for forty dollars an acre and I have plowed up half,,
HB,of it. afref-nwer I~aaks-a hundred dollars out of it. That,,
HB,was the last crop they raised. And that year I had that crop. His corn,,
HB,came through there and cut ten foot off of :just the corner of my field.,,
HB,Everything down and straight a half a mile down throught my,,
HB,"brother's and took everything. No, he didn't raise nothin' and from there",,
HB,on that was it. So he finally sold out and got three thousand,,
HB,"dollars out of it. And then the rest of it never was paid. Shocked, so.",,
HB,So he came here and he bought hundred and sixty up there at that time and,,
HB,"he still paid his war prices. Twenty thousand dollars for that eighty oh, hundred",,
HB,"and sixty, way out of line. And so he didn't have any money and so I went",,
HB,"in with him, I bought half in with him. Well, he said,""I can't keep up",,
HB,"my, I haven't got no stsiney anymore."" So I bought him out and then the .",,
HB,"depression struck again. That depression. And those 30*s there, from '29",,
HB,"on into the 30's,'34 or 5, those were hard times. There was '^no money.",,
HB,That's when I sold wheat down here for 21 cents a bushel. Beans wasn't,,
HB,"quite a cent a pound. Why you couldn't come out on it, I was farming four",,
HB,"hundred acres, I lost seven hundred and twenty dollars ' because",,
HB,"I was hiring help in the beans. We used to do it the hard way then, we'd",,
HB,"cut 'em and we'd have a bunch of kids, ten or twelve of 'em piling or",,
HB,"hoeing or something, all of that. And, well you just, we didn't have .the",,
HB,"that they do now, but it was just enough for that whole business",,
HB,"they had that it was my expenses. Seven hundred and fifty dollars, it didn't",,
HB,come out in the crop and couldn't get it. And then wheat of course was,,
HB,"sixty cents, fifty, seventy cents, and so on. And we didn't make much money.",,
HB,"It just wasn't enough. Then, when the second war.popped up again, we got",,
HB,"along pretty good, for awhile that is. And so in *41 we quit, and I had",,
HB,"arthritis so bad I couldn't farm anymore. I was only 60 years old, I could",,
HB,"have gone on, but she just couldn't make enough. Then we spent quite a",,
HB,"little lot so I... But after that, why the thing when it improved and things",,
HB,"went *on , well I made more money by not farming than by farming. So that's",,
HB,the way it worked.,,
RM,What was it like in Cameron when you were a kid?,,
HB,"My life? Oh, the only thing, we were living on a five acre tract",,
HB,"and we raised all our own garden and so on, and father, he was gone most",,
HB,"of the time. Like I said, went to Genesee and everywhere else, he was",,
HB,"a carpenter, building. And there was lots of building going on. He could",,
HB,"build, of course, he built cheap there. Now you take our first church.",,
HB,My father built that at Cameron and I think it cost somewhere around oh,,
HB,"five or six hundred dollars. Because it was a small church, 24 by, I don't",,
HB,"know, by 16, or maybe it was a little bit more. And then the second church",,
HB,was built and we built a pretty good thing. And it was fourteen hundred.,,
HB,"And then after that, they built a new one here and this one was built in",,
HB,"1903, that second church, that was fourteen hundred dollars. We go back",,
HB,"to Southwick there, there were r mills in there, two or three of 'em,",,
HB,"little ones and we'd buy^for eight dollars a thousand. And some of it,",,
HB,"it was a little off grade, we maybe get it for four or five dollars a thousand.",,
HB,"So no wonder we could build cheap. Not big, big church, they build now,",,
HB,why that costs juisfc right around a hundred thousand dollars. Too bad it,,
HB,"change, the things from where we came up. Labor, like our ckjjQ^en here",,
HB,"I worked for 25 cents a day, hoeing all day long, the bean fields or we",,
HB,"raised lots of flax at that time. And us kids, they'd hire a bunch",,
HB,"of us kids here, we'd go through there day and night, they had a foreman",,
HB,"there and he said,""Go ahead, go ahead."" And we got 35 cents a day.",,
RM,What were you doing in the flat?,,
RM,"HBi Pulling out weeds. Have to weed it out you know, couldn't leave weeds in",,
RM,"it. We had lots of wild oats at that time, all over, you know. Pick weeds",,
RM,"out and whatever there was. We'd take a strip though there and maybe 20""~3O",,
RM,"feet or more, how many kids there was, you know, and go through one and",,
RM,then the other. Up and down til we get a field cleaned and then we go to,,
RM,the next one. So that was our wages. Then after I got older ancKalso my,,
RM,"brother, I started to work out by the year, not the year, ifhe first job",,
RM,I hired out for 9 months for 160 dollars that 9 months. That was through,,
RM,"harvest and all. So there was another fella, he was a pal of mine and he",,
RM,"hired out to a fella and he gave him 150 for 9 months, and he was awful",,
RM,"mad about it.But he suck it out, he at least s^yed in there. But that",,
RM,"was our wages at that time. So of course when *93, "".yeah, 1893, you asked",,
RM,"when we came here when we had that depression, there was no money. Absolutely",,
RM,"no money. My father worked out, he never saw the money and so on. We'd",,
RM,"get wheat, flour or bacon or something like that was butchered and so on Dust something",,
RM,"to eat, that was all. No money.",,
RM,So that J The reservation°up here. And part of 'em moved away,,
RM,and moved over on the reservation and the ridge and so on. Most of 'em,,
RM,needed food out there. Some of 'em went broke when that depression hit.,,
RM,Did the reservation opening up help bring the depression here?,,
HB,"No, well, yes. That helped quite a lot. See': that was all new buildings",,
HB,"going up in there, euery farm had buildings and so on. And these people",,
HB,"were here, have their homes, we had to haul 'em over. I hauled many a loads",,
HB,"a four horse team load over from Gamdron to Gifford, I'd go down this Clear",,
HB,water hill through Leland and then down off of the point and then of course,,
HB,I'd roll just a little this way an around. Then there was places to go,,
HB,on steep and people go down there the dry grade. So I roughlocked my load,,
HB,"and so on, so the brakes wouldn't hold it, I was afraid. with the",,
HB,"fpurhorse team, down I go.Straightdown off the edge and I hauled a good",,
HB,"many loads over there, that say. So it gave us work there and that was",,
HB,"the ways money circulated then, that was a little maybe. Well it wouldn't",,
HB,"be much, it'd be a dollar. Just like I did those hauls there of course,",,
HB,"that wasn't much, that was small, I would think. I was only fifteen. I",,
HB,"drove those hogs over here, it took us two or three days and then have",,
HB,to stay there a whole week and he gave me a 6 or 8 bits.,,
RM,That was when you drove some hogs to Nez Perce?,,
HB,Yeah.,,
RM,How many hogs did you take over there?,,
HB,"Fourteen. And we had butchered fourteen. See, he, they traded in smoked",,
HB,hams and bacon and so on and he hauled those over there but didn't keep,,
HB,it behind over there. Because that was the farthest reservation opened.,,
HB,"But nevertheless, people were getting ready, they know it was going to",,
HB,opertm a year or so. They was getting ready and picking out their land,,
HB,already so they could know where they would go and they file on it see?,,
HB,"But they'd get in first, whoever got in first, why he was it because lots",,
HB,of times they have fellas figured they had a place there and go in and,,
HB,try to file on it and it was on already. That's the way it worked.,,
HB,That's about the life we went through here in Cameron.,,
RM,What was that little rhyme you told me about Cameron during the '93,,
RM,depression? Do you remember?,,
HB,"Oh yeah, that one of Cameron there. It said,""Cameron town, the grimmest",,
HB,"street. And the Royalty Hotel and nothin' to eat."" I've got to take a drink",,
HB,of water.,,
RM,"How wouldnyour dad get from, you said he was building in Genessee, how",,
RM,would he get over to Genesee from Cameron?,,
HB,"Well, we didnt have a chance til somebody go over the team and it was",,
HB,"most horseback. The roads, they was poor and at someplace there was no",,
HB,"roads, you mitjht call it. And the so you  got by. Because if you meot somebody lots",,
HB,"of times, uhy you",,
HB,had to sit your rig over or down off of the hillsido to kaep from hitting,,
HB,and our hubs would rub together and if we happened to see one another and,,
HB,"we had to turn out, uhy we'd turn out and stop so the other fellow come",,
HB,"go by. That's the way it was. But we walked,now my daddy and myself, I",,
HB,"walked over with him many times, oarried, we'd some down here and stop",,
HB,here for dinner. Then maybe spend the afternnon and we'd walk over. Boy,,
HB,"when I'd get over there and then see the town of Genesee, was Iglad by",,
HB,that tiee!,,
RM,Uere you carrying his tools over too?,,
HB,"Oh yes, had his tools. Because we had asack and we put the tools in there.",,
HB,"Uhen we built our home in Cameron, that was asecond home, that was the",,
HB,"last home we had, that building is still there. And it's been moved though.",,
HB,It was sold. And it's been moved but it's still there. Bust about the way,,
HB,"we built it.And as far es nails and stuff, we had to get hard stuff, what",,
HB,"ever it was, we walked downtown and carried it home and I'd help out, nails",,
HB,and what have you. And we'd put it on our shoulders and away we'd go.,,
HB,RPIS That was sort of different than when you were in Kansas. Because there,,
HB,wasn't much wood to build with there.,,
HB,"Wo, in Kansas, that was prairie. The only place that was on along the little",,
HB,"streams and so on, and it was poplar. Poplar and some",,
HB,"Where the water was, But the prairie was absoutely prairie. Buffalo",,
HB,"trails And the buffalos that roamed there, they had trails from there clear",,
HB,into Canada. I follwed Ifcem clear up into Candada. We used to go up there,,
HB,back and forth from Montana and western Kansas and Iknow we went clear,,
HB,up to the Dakotas and in there. Buffalo trails all along. And then the,,
HB,"Hudson Bay came in there "" from the north, they was after",,
HB,"the Wind that was all the Indians, they had their hunt there, you know,",,
HB,"had that meat and so on. And it was all right, in there",,
HB,andfsiaughtered them by the thousands to get their fur.,,
RM,Do you remember those times when they were slaughtering buffalo?,,
HB,Well...,,
RM,Were you there then?,,
HB,"No, the buffalo were all gone by that time. We got in there 4o then when",,
HB,"we got in there, what we saw of it, you could look over the prairie when",,
HB,the sun was shining and the white bones were just glittering all over^,,
HB,"slaughter,. And we had no wood. We had that as our firewood. We'd",,
HB,pick up those bo nes and burn them in the winter and the buffalo chips.,,
HB,That was our...,,
RM,Buffalo bones burned?,,
RM,"H3: Oh yeah, they burned. If you had these buffalo chips in with it,you see.",,
RM,Then you could/put them together and they burned. You bet your life. That,,
RM,"was all we had. And maybe we, sometimes a fellow that had a team out there",,
RM,"then why he'd bring a load of these willowfand stuffy you know, and so on.",,
RM,"long the creek,we'd have the little, no those weren't...",,
RM,What was~ayour house built of?,,
RM,"HBi Out of a dugout, dug into the hillside. And then you could pile that buffalo",,
RM,"grass up and you had the finest sods, you know. They stick together and",,
RM,"build up in froht just with the; . sod' here. All we had, we had door on",,
RM,the one way and two little windows. The rest of it was all dark.,,
RM,And then in winter...,,
RM,The place was down in the draw?,,
HB,And it was in the draa^and then lots of snow would drift right over it.,,
