speaker,timestamp,words
Rob Moore,0:00:02,"On this tape, Henry Brammer recalls early farm techniques and practices. He tells stories of his boyhood on Potlatch Ridge and compares the local effect of the two depressions. As he grew up, he spoke mostly German, and this created some problems for him and his community during the First World War. He also talks about Roosevelt's farm program, the IWW, and starting his own farm."
Henry Brammer,0:00:52,"They would just jump in the slack and cut the heads off of that fur. That was it. Then they would come along with dirt tables and forks and they would hold on to feed the machine. That's the way it went. That year, every stack that hadn't been trashed, it just all grew out. There was none in there. They cut it. They took it nice and cut it open and threw the stuff all back and they had a little maybe in the center, but that wheat was all just black. It just kind of burned when it got hot."
Rob Moore,0:01:30,Were they eating it growing out?
Henry Brammer,0:01:32,"Yeah, no, from the wetness. So, it was all spoiled. Wheat just looked black, but I know we fed it to our chickens. I don't know if they've done them any good."
Rob Moore,0:01:51,"Well, how was that 1893 Depression to get through? Was that a rough one to get through?"
Henry Brammer,0:01:59,"Oh, yeah, that was bad. Of course, we figured that we just forgot about money and stuff and father went out and we worked. We made the living. We did our meats and everything, beans or what they have, garden stuff and so on. We raised garden stuff there. That was good. And flour and stuff, we get it from the pharmacy. We worked for no money. It would be something to eat. At least he kept his family going. It wasn't only with us. It was everybody was doing the same thing."
Henry Brammer,0:02:43,"And of course, we had a lot of game, chicken, prairie chickens. They were so thick. I used to go out hunting then already and kid a 14 -year -old, I guess before then. And actually, when these stubbles here, they were in there and they go up, you could get the whole sky was full of mutinecane. You just go ahead and pull the trigger and shoot into them and down they come. So, oh, they were prairie chickens. Then everybody, I guess, got to using them and all of them once they were gone. There was none left, I guess. The last ones I heard of, and I still believe there's a few of them, over on Cream Ridge they claim, prairie chickens. But I haven't saw any for years. Then the blue grouse, they came in. They was awful thick in here. Well, we finally got rid of all of those, disappeared."
Henry Brammer,0:03:49,"And of course, we had deer. But nobody ever went out hunting. For those in there, once in a while one fell a killer deer right close to his home."
Henry Brammer,0:04:07,"Because they were busy otherwise, but the prairie chickens and grouse we used to embed the brush fads and lots of them, which we still have back in the temples."
Henry Brammer,0:04:24,"But that was it. We had a, my father had an old muzzleloader. You know what they are. I used to load those things. Now, you had that ramrod, you pound down there, and you put the powder in it. And then put your water, paper, stuff on top. You had to pound that down so hard so the ramrod jumped clear out on top. And then your shot, you just put in and just shove it down loose, you see on it. So, I used that gun till I found. And I had dogs, they had so many dogs, and they got in my beans here, then they romp all over their heads. And I got mad at them one day, and so I grabbed the old shotgun and I shoved another load into it and there was one in there. And you know, I blazed away at that dog and that gun went clear up in there and flew clear back and he was twelve feet. And it had a crack in it that long. It's the one that didn't explode all together."
Rob Moore,0:05:41,"Well, using those guns, did you, since the shot was just packed loose, did you tilt the gun down, did the shot just roll out?"
Henry Brammer,0:05:49,"Oh no, you put a wad in on top of the shot. Yeah, on top of the shot."
Henry Brammer,0:05:53,"And then go ahead and get that, but don't, if you pound it down like you did, that gun would kick something terrific. So, my dad, he learned me how to do that. He said not to ever get that shot down there like that. He said, it'll kick you, it'll knock you clear over."
Rob Moore,0:06:22,How do you think the 1893 Depression compared to the 1930 Depression?
Henry Brammer,0:06:31,"Well, it was a lot harder with 1930. Why, we had everything here, plenty to eat and there was some money there, at least you could get to. It didn't amount to much, just like I told you, eggs, seven cents a dozen and butter. They could go ahead and they just put it up, they didn't have any molds or nothing, they put it up in great big chunks. And the source would just cut off what they want from it. So that's the way we used to put it up, but finally we had to quit it because the law also wouldn't allow it anymore. But, butter, same way, we wouldn't hardly get anything for it. We was on the farm there, well, now you take your out cream, we'd nut nine cows there. And have a five gallon cream every once in a while and we'd send it down with a mail carrier. We could carry that stuff. And we'd get about a dollar and a half, that's two dollars, for a whole can of cream like that. That was all, well, at least we got some money now in 1993,"
Henry Brammer,0:07:55,"we didn't get that, there was no money. They just didn't have any. Those who did have it, they kept it so tight that it didn't get out in the country at least. The stores, I suppose, and places, they had to have a little, but we never saw any of it."
Henry Brammer,0:08:16,"And of course that, the 29th and 31th there, it took a lot of farmers, they went broke. Lots of places."
Henry Brammer,0:08:38,"But practically you take the potlatch ridge there, when we came here, well there were all the first settlers. They all disappeared, everyone of them sold out for a little or nothing. And they didn't make nothing here. I don't think there was hardly one that stayed until the second ones came in and that's the ones that made it. Well it happened the same way in Montana, the first ones that got in there, they all went broke. Excepting I didn't, I got out in town just by nip and tuck. Because we had a cycle in there, the years were good, but when they came, they hadn't gone back in places, in some places, they were making alright, but you take that guys at the last town we've seen, they hadn't came back."
Rob Moore,0:09:41,That was in Montana?
Rob Moore,0:09:58,"During the 93 depression, did you quit school or anything to help work and support the family? When?"
Henry Brammer,0:10:07,"In 93. Oh 93, yeah I was only a kid, I was, see I was born in 81, so I was about 11, 12 years old at the cause, I had to have to help work, sure. We had to do something, like I told you, we'd be in a flax field pulling weeds, or we'd be a hole in the beach for some farmer, I worked two bits all day long, and then they had flax there as kids, the old string maybe 8 or 10 of them kids could even hang. And they'd go through that flax field and pull the weeds, and we'd work from 7 o 'clock till 6 at night, that was our, and we got 35 cents a day."
Rob Moore,0:10:56,Did you get it in cash or did you get it in?
Henry Brammer,0:10:58,"Well sometimes we'd take a trade, we'd want some meat or maybe something else, fruit they had, we'd take that, but otherwise we'd get some in cash, but we wouldn't see any of us, the kids, the parents, they'd take that. We wouldn't know how to spend money."
Henry Brammer,0:11:23,"Well we didn't have a chance to spend it. We had a store there, yes, but kept the little stuff, little groceries and stuff in the post office, that was all, so, but we didn't know, we always knew about if we could get a little bit of candy, and we generally got that when we took the eggs and butter to Leland, but then we'd get a nigger's worth of candy between us. There was two and three of them, the girls and then us two boys. We'd go in and carry the eggs and butter down there."
Rob Moore,0:12:08,What did you do for fun as a kid? What did you do for fun in those days?
Henry Brammer,0:12:15,"Well, there was no fun there, like, we'd get together, just around the neighborhood, because we had no way of getting out unless we walked the door, but we never mixed with the kids downtown here and so on. We, like Hendrick was strange town to us as kids, we just didn't get there enough. If I did get there, I'd be scared to death, I'd stick right on the father's wings, because I wouldn't mix with no kids."
Henry Brammer,0:12:52,"Then we were in our neighborhood, we did it together, that was all, and we had a little old, we played baseball, us big kids and so on, and that was about getting out as far as seeing anything, like surfaces or shows or something like that."
Rob Moore,0:13:21,Were you scared to go to Hendrick because it was a rough town or just because it was a town at all?
Henry Brammer,0:13:26,"I didn't like the kids, they knew so much more and were too smart for me, I thought. I just kind of ducked out, you know, we didn't mix. If it was in our neighborhood, the ones we know, we was fine, we'd get along alright. We'd take it from town there. I know we went down one time down on the creek, we used to go fishing in Poplitz, and we got clear into Hendrick and then the kids came in there, boy they got awful smart, they was going to lick us, you know. Boy, since that time I wouldn't go anywhere."
Rob Moore,0:14:06,"Well, did they lick you or did you get away?"
Henry Brammer,0:14:08,"No, we got away, but there was one of them, especially, it was a Christusen kid, I believe they called him, and he wanted to fight us, he wanted to beat us up. I got scared of him."
Rob Moore,0:14:23,Did you ever go to the farm?
Henry Brammer,0:14:29,"No, we just didn't, and when we were going around, we never had a team of horses until I went to farming. And my boss, he did have horses."
Henry Brammer,0:14:47,"But, we couldn't make anything at farming either because slow as it was, with a foot burning, you know, you didn't still have cloud fire ground. I had hay, some hay ground, I seared that, and wild oats took practically a couple of weeks, so I mowed it and baled it up, and hauled the kenrick for nine dollars a ton. Well, that was pretty big money at that, those babies. But, you had to pay two dollars or two and a half for bailing at the time."
Henry Brammer,0:15:28,"And then we had run all the way from fifty to seventy cents, that's about the price we got. We saw worse prices during the Depression then, I sold wheat for twenty one cents."
Rob Moore,0:15:46,During the Second Depression?
Henry Brammer,0:15:47,"Yeah, in the Kertie, from the Iron Kertie there."
Henry Brammer,0:15:52,"That's when we went back in the hole. I lost, I was farming pretty good and big then already. I lost seven hundred and fifty dollars, that's a good money."
Rob Moore,0:16:10,How?
Henry Brammer,0:16:12,"Yeah, that hurt."
Rob Moore,0:16:14,How did you lose that money?
