speaker,timestamp,words
Sam Schrager,0:00:01,"The following is a recording made by Carol Ryrie Brink at her home in Pacific Beach, California in June 1975. This was done in response to the questions recorded at the beginning of the tape by Sam Schrager. I think it might be interesting for you to discuss, but please don't feel bound to these in any way if they don't strike your fancy. And please feel free to discuss anything that you'd like to. Now in your letter you say it might be good to get down for posterity that your books are not real history and that they're just fictionalized to a great extent. I think it would be interesting for you to discuss this in general and also with regard to some specific plots and characters. What are some of the sources that you've drawn from and events and people in the history of this area and how did you choose to transform them and use them in your fiction?"
Sam Schrager,0:01:06,"One particular instance that comes to my mind is the case of Winnie Booth and Dr. Ledbroke who were clearly models for Jenny Walden and Hugh Allerton and Buffalo Coat. This remains a most puzzling occurrence in Moscow history and I'm curious about what you heard about the double suicide and what you regard as the factual content of your account. Your explanation of how it happened is very plausible. Of course your grandmother, Mrs. Watkins, figures very prominently in a number of your books. And I think it would be very interesting if you discuss her importance to you and the kind of person she was. Buffalo Coat, Snow in the River, and Caddy Woodlawn too, she's an exceptionally strong, wise, and kind person. One of the most provocative passages in Caddy Woodlawn for me is when Caddy's father comforts her that night when she's planning to run away, telling her that as a woman her task will be to teach gentleness and courtesy and love and kindness. And I'd like to ask you about your view of women's roles in pioneer society. And of course I know that this can only be in general terms."
Sam Schrager,0:02:31,"But were women and men on anything like an equal footing? Was Caddy's free life as a tomboy an unusual exception to the rule? Do you think that many women had difficulty finding fulfillment as wives and mothers? Or did they find this, did many find this restrictive? Also do you think women do play the civilizing role that Mr. Woodlawn describes to Caddy? Do you think there was a great deal of difference between the East and the pioneer West in the roles of women? And do you know how people looked at the question of women's rights to vote in this area? I know that's quite a few questions, but here's another aspect that I think is interesting. And that's the question of status in pioneer Moscow. And this is a hard thing I think to get at. I'm wondering if there was much of a dividing line between let's say the ladies' aid and the ordinary housewives. Between the people who were rather well off and those who were just struggling to get by."
Sam Schrager,0:03:58,"And I'm wondering, do you think status depended more on a person's accomplishments in this country or more on his background before coming here? Now, as I read your books I see a real conflict in many places between the opportunities and freedom of this country on one hand. And its limitations and the reversals people experience here on the other. And this seems especially strong to me in Snow on the River. And I'm wondering if you'd be interested in discussing that. Now, one historical question I think is interesting and we have a hard time finding out a lot about is that of homesteading east of Clarkia towards the Clearwater. I've read that your aunt homesteaded there. I think it's especially interesting that a significant number of women took homesteads there. Now, the conflict that you present in Strangers in the Forest, which is the ethics of homesteading with the purpose of selling to the timber company, was that a real issue of the time in this area, do you think?"
Sam Schrager,0:05:20,"I also think it would be most interesting if you would discuss how you became interested in writing and how it relates to your personal background. Do you have strong feelings about why this area has given you inspiration and has been a setting for a number of your books? And one more question, do you feel that as a woman you've been helped or hindered by society in your writing career? Okay, those are just some things that I'm throwing out to you and I hope you really enjoy sitting down and making a tape. And I very much look forward to hearing it when you send it back to us. So thanks very much."
Carol Ryrie Brink,0:06:12,"Good morning, Mr. Schrager. You've asked me a lot of very good questions and you may find that you've got a monster by the tail when I get started talking why there's no way of stopping me, especially about Moscow in the old days. I think first I might say, tell you a little bit about how I started writing and why I like to use Idaho as a source of material. I lost both of my parents by the time I was eight years old and I went to live with this very wonderful grandmother and aunt. We were three lone women in a big house. I had a, often was very lonely as a child, although I had a happy childhood really. But I had to make my own amusements. I had a pony and I rode all over the Idaho countryside on my pony, usually making up stories for myself as I went along. Incidentally, my grandmother and aunt both were very good storytellers. They liked to recount the stories of the things that had happened in the small town. And I listened and took it all in. Then I liked to make up my own stories. I had to amuse myself in various ways. I read a great deal, liked books. I decided I wanted to be a writer and at that time I thought I'd like to be an illustrator too. But that ambition fell by the wayside, although I do still like to draw and paint. But I think sometimes that if I had been born into a big, lively, jolly family, I might never have become a writer. It's one of those things that, well, lonely children make their own amusements and often it's very valuable to them in later life. Also, if you have a feeling of being different from the other children that you know, it's likely to make either a criminal or a genius out of you. And I've fallen sort of between the two benches. I don't think I qualify in either respect. But it has influenced my writing very much. And of course the fact that I had a very observant but lonely childhood in a small town where everybody knew about everybody else. So I think although I've used other backgrounds in my books, the dominant source of material has always been my experiences as a child in Idaho. I'm working on a book now that may never see the light of day, but it's important to me. I'm calling it Unimportant People. And they're people that I knew in the small town where I grew up and some of the true stories rather than the fictionalized ones. Because I have fictionalized many of the familiar stories of Moscow in my books."
Carol Ryrie Brink,0:09:36,"I don't have total recall by any means, but I do have a very good memory as my grandmother had, especially of my early childhood. As I say, I've used that very much in my books. It might be well here to point out some of the differences between the real facts and the fiction in my books. For instance, the story of my grandfather and his assassination, and that's part of Moscow history now. But many people feel that Buffalo Coat exactly describes that, and that's not true. Much of it is fact, but it's fictionized to a great extent. I have notes, for instance, on my grandfather's office. This was a small building just off Main Street, and it was occupied by a number of different doctors. I might just give you a bit of that history as it really occurred. My grandfather built the building, I believe. It was a very small building, brick building, and I'm not sure that it still exists. For a long time, he was assisted by a French doctor named Dr. Delapin. Dr. Delapin was one of the first specialists in Moscow. He specialized in diseases of the eye, ear, nose, and throat. He had been married to an English woman and had practiced in England. It's rather interesting to me, and it has been hard for me to understand how so many people from far away came to Idaho in those days. But it was the days when everybody was going west, and we had many Scandinavians and people from England, people from France, people from all parts of the world. I suppose people from Russia. Well, at least I imagine that's how the town got its name, although I've never known any of them. Well, Dr. Delapin, as I said, was French, but he had practiced in England and had been married to an English woman who died when, I believe, when his son was born. He had twin girls and a little boy, and for a while he brought them to Moscow, and they lived with my grandparents and were almost like their own children. They all thought a great deal of Dr. Delapin. But before Dr. Watkins, my grandfather, was killed, Dr. Delapin left Moscow and returned to England with his family. And then there was, of course, the killing of Dr. Watkins, and there were other men in town who were either wounded or lost their lives at the same time. And that, as I've described it in Buffalo code, I believe is very nearly correct. But I'm going on with the notes on Dr. Watkins' office now just to keep the historical order proper. So after my grandfather's death, his office was rented by another doctor who had just come from England, and this was Dr. Francis J. Leadbrooke. He came and brought his English wife with him. As you know, of course, in history, on May 12, 1902, Dr. Leadbrooke and Winifred Booth, the daughter of the Methodist minister, died together in a suicide pact at Orofino, Idaho. Now, there have been very many accounts of this double tragedy, and the newspapers of the time were full of the fact that Dr. Leadbrooke had a malign hypnotic influence over his victim, and that he was really a villain who murdered this beautiful girl, and people didn't quite understand it all. This all happened after my grandfather's death. Now, in Buffalo code, I make these two men contemporaries and rivals. So, you see, the book is fictionized very much to that extent. Mrs. Leadbrooke, the wife of the doctor, lived for many years with my grandmother. My grandmother was a wonderful person for taking in people who needed help and making them part of her family. And I loved Leddy, as I called her, very much as a child. She was one of the plainest, ugliest is a bad word, because she had a good disposition, but she was not a beautiful woman in any way. And I think that my interpretation of the double suicide is perhaps about as nearly as you can come to the truth of the matter. I think that Dr. Leadbrooke and Winnie Booth were very much infatuated with each other. At that time, living in sin was one of the things that religious people did not do."
Carol Ryrie Brink,0:15:43,"So, what did they do but decide that if they couldn't live together, they couldn't live at all? I think that's the real explanation of it. And my grandmother, I'm sure, felt that way. Nobody in our family felt that Dr. Leadbrooke had any malign, hypnotic influence over his victim, as the newspapers would like to have had you believe. I think it was purely an unfortunate love affair, a sort of Romeo and Juliet effect, but Romeo was married and that made things very difficult in those days. Nowadays, I'm sure people would have had a divorce, would have taken it all much more lightly and felt that death was the only solution. As I say, I loved Mrs. Leadbrooke very much. She was an eccentric character, but a very dear person. In fact, she used to read aloud to me when anything that anybody would read aloud to me was so much fun that I would sit at her feet on a footstool. She had a friend who owned the complete set of Elsie Dinsmore books. They're horrible books. And I knew it at the time, but the fact that she would read them aloud to me was so delightful that I would sit for the hour and eat her peppermints that she kept in the tin box. And, well, listen to Elsie Dinsmore just because it was so delightful to have somebody read aloud to me. She used to, we always had dogs, and she used to rattle her tin box of candies and the dogs would rush to her room barking and wanting a treat and then she would take them for a walk. Altogether, she was quite a delightful character and I have not really made the best of her in Buffalo coat. But all of this, of course, happened after my grandfather's death rather than at the same time that he was living. Then after Dr. Ledbroke's tragedy, Dr. C .D. Parsons moved into the office. And on a day in May in 1903, he fell from a pack horse while he was on a camping trip and he died from a fractured skull. Well, by that time, people in Moscow were sure that there was a hoodoo on Dr. Watkins' office and no one would rent it. My poor grandmother really needed the rent because just before her husband's death, he had canceled all of his insurance policies because he felt that he was so husky and strong that there was no use paying out these foolish premiums. So that she had to live pretty much on the rents of a few small pieces of property that she owned. And the doctor's office stood empty for a long time because it seemed to be hoodooed. Nobody wanted to rent it. But then Dr. Delapin came back again to Moscow. He was the French doctor who had assisted my grandfather years before. And he had no superstitions apparently about the office. He rented it again and apparently did very well for a great many years. And many people, I'm sure, of the older generation may remember him as a successful and good doctor. I have somewhat maligned him in Buffalo Coat too because while I'm sure that there was a slight romantic interest between him and my grandmother, he was not a complete drunkard as I have sort of suggested in the book. So you see that one takes what is, well, what's at hand and makes it into a story. I might say that I first wrote a novel based on the doctor's office. It was, well, it followed somewhat the lines of this little resume that I have just given you. And I sent it in to my publisher. It was the first novel I'd done. I'd done children's books before that. And they sent it back saying, well, you have good material here, but this is not a novel. It's three short stories and you kill off the most interesting character at the end of the first short story, meaning my grandfather. So after that I decided that in order to make a novel of it, I had to make these men contemporaries and had to weave the whole plot together as it appears in the book Buffalo Coat. And that's why people should not take my books as genuine history. They are based on history and some of it is very real. But in order to make a good story of it, a novelist starts with what's real and goes on and uses his imagination to build up a story that will interest people who are wanting to read a good story."
Carol Ryrie Brink,0:21:27,"Well, I'm on the subject of my grandfather. I might give you a few notes, factual notes on his life. You may have these in other places. I'm not sure how the records go, but William Woodbury Watkins was born in Warner, New Hampshire on August 3, 1846. His father was of Welch background and his mother was a cousin of, her name was Phoebe Abbott. She was a cousin of Jacob Abbott and John S .C. Abbott who were both best -selling authors of their day. And Lyman Abbott, the celebrated New England preacher, was his second cousin and Emma Abbott the singer was a close connection. So that he had a good background on his mother's side. I'm not so sure about his father who was apparently a rather cantankerous old man. My grandfather, William Watkins, was the youngest of a large family of children and his mother, probably worn out by the time he arrived, died when he was quite small and he was reared by older sisters. His father was either unable or unwilling to give him financial assistance with his education and he never went to high school as my aunt used to tell me at least. But somehow he went south and there a man named Duke became very much interested in him and financed his medical education. He was accepted at the St. Louis Medical University without high school credits and he apparently graduated there in good standing and later served for a while on the faculty as a lecturer on women's and children's diseases. He was a dark,… had flashing black eyes and usually a mutton chop, sideburns or walrus mustache. He was a very vigorous man. People who were interested in horoscopes would say that he was a perfect Leo. He was born in August, early August and he was a very dominant, vigorous character. People reacted quite strongly toward him. Either they adored him or they disliked him very much."
Carol Ryrie Brink,0:24:18,"The final tragedy was caused by the fact that he had been asked to reprimand a young man named William Steffens for beating his mother. They both belonged to the Masons Lodge and the Masons had asked my grandfather to go out and tell this young man that it wasn't nice to beat his mother and apparently he did so. That was one reason why he was put on the list of people that Steffens wanted to shoot on the day he came in town. He was the first one that Steffens met on his way in town and he was shot and instantly killed. He married my grandmother, Caroline Augusta Woodhouse in St. Louis when they were young people. My grandmother used to tell me that she was shelling peas on the side porch at their house when he proposed to her. It was rather ironical that when they came to tell her of his death, she was sitting on the side porch of her house in Idaho shelling peas into a pan. They had eight children, two boys and six girls, but only three survived to adulthood. This also is ironical because my grandfather was a doctor of women's and children's diseases. But in those days, nobody, even the best of doctors, knew how to cope with diphtheria and scarlet fever and some of the scourges of childhood. While he delivered many babies and was a perfectly successful doctor as far as his knowledge went in those days, he was still unable to save his two little boys and three little girls."
