speaker,words,tags,timestamp
SAM,"SCHRAGER: When we stopped we just brought you up to where you got started workin for the bank here, and I was wondering what the policies were like when you first came here—what the Bank of Troy was doing.",,
FRANK BROCKE,"Well, that was in 1926 and the policy was alenient policy. I noted in particular.as I stayed and learned the people and the policies, wnyjthere^very much of a tendency to pay the interest on the notes or the renta^they called it—the Swedish people called it rentfy which was interest. And they would pay the rento^on the note with the idea that it was going to be automatically extended for another year. And to pay a loan off, especially a mortgage was a rare thing because they never paid on the principle, they only paid the rent or the interest. And of coifre that went on up into the thirties after the Depression and the management more or less changed, and the policies changed. Why, we wilt to apolicy of making'em pay so much a year on the principle, and eventually they had their mortgages paid off. But it was adormant—during the twenties and obviously in the early thirties it was acase of never payin the note. And sometimes you wondered if they actually felt they probably didn't owe the principle as long as they paid the rent.",,
SAM,:  Well why was there that policy in the twenties?,,
FB,Well it was a tradition; it was a policy of the bank. And of course it probably was hard to pay it. A% especially amortgage because they got that money for the purpose o,,
FB,"uying land or building ahouse and the margin of profit from which it had to be paid from was8very little that the farmer was not necessarily prosperous and consequently if he paid his interest probably was doin'^about as well as he could do, and nobody thought anything about it. But I can remember our banking department used to tell us thatjdon't you realize that this^armer may think that someday he may never owe this, that he's payin'his interest, why that's all he's gotta pay. And it wat a poor policy, there's no doubt about that.",,
SAM,: Did it welcen the bank financially?,,
FB,"No, no, no. They were so good and they were values of land--values was creepin upward.Especially during the Depression of course there was no way to value a land because of the fact that there was no money to buy and land values went down. But that was no sign that it wasn't goiig to Come back. As a banker you always felt that well, it's not going to be this way forever. And anything that goes down, as a rule, comes back up. And anything that goes up often comes down. But during the Depression values of land was unreasonably low, just as it is right now. The last three years they've been unreasonably high. And where we could see in the Depression of the thirties that we had to make a recovery and that landowners was going to be the first people to gain from it because of the fact that total the values were too low. And ©^course everybody improved their land; they improved their improtfame-ts and that all added to values. And oVeEhe period of time as we look ahead now, land that was valued at fifty, seventy-five and hundred dollars an acre now is valued at four to six to eight hundred ^fclars an acre. So part of that is But the result of inflation of course, in those days it was just strictly the as demand became greater ^people became more prosperous and had money, why that's what made the land values raise and go back up where they belonged.",,
SAM,You know when you talk about the twenties usually of» if you read about the twenties it sounds like a time when there was a lot of properity. I mean the twenties were supposed to have been ahigh living time and then everything went boom. What happened here? it,,
FB,"Well, if you measure^by the times and the condition under which you lived, it 2-3 probably was good times under the twenties. However, it didn't take near the money to create prosperity. A man that was worth a couple hundred thousand dollars in those days was considered fabulous wealth. In other words, he was wealthy. And today in Latah County alone we have many, many millionaires. the And so you've got tocompare conditions of the twenties and the conditions of the sixties or the seventies. And sure they lived, that dollar which is worth, what is it—forty-nine cents totfy and was worth a dollar at that time, all plays our in valuations. And now certainly are prosperous, they live very welf* they have fine homes, j»st as modern as it is. In those days a farmer If was not considered as such. !*u saw floe rAdences, they were usually in the towns or the cities. Moscow had fine residentials, but the average farm, he put his wealth in his equipment, in his farm machinery, in his horses and sometimes we used to say that the barn was far better than the house because that was his pride and joy was his barn or his outbuilding8. And of course, yosir equipment, you didn't buy a plow maybe once in eve'y twenty years. And certainly a walking plow was something you kept for a lifetime. Virtually that lasted and never wore out. The binder even more so. The life of a binder would probably never exceed more than eight to ten years—it used to last that long. And now a combiite, the turnover on a combine is about four years. So a drill was a lifetime as a rule. They took care of it, and of course they never abused it in any way,shape or form.",,
SAM,":  What would you say that the situation of the average farmers around hre was in the twenties? Did they have a lot of land cleared up? Were they doing well? Were they prosperous or just getting by? tv course B: Getting by. that was enough. If you got by, made a living, and paid your debts, you were considered as a 8ucessful operation. Amd of course, those, as a rule were landowner* To me, as I recall, the man that rented and had to pay a third of his crop for renting it, and pay all expenses, if as a rule, he had a poor crop he did not make it. In other words he lost money-maybe one year he would gainJt back and the next year. But if he as a rule had one bad year, or two bad years in a row,, it took him five to recover if it was possible at all to recover because of the fact that his machinery was wearing out, his horses were getting older, and yet his expenses went right on5 (fcnd consequently his chance**, Setting back to the landowners and and the morfagers, as a rule I would say at least sixty percent of the farmers' land was mortgaged those days, in the twenties, even though it was good years, they still had mortgages on their farms. The Federal Land Bank played a prominent role in mortgages. The Prudential Life Insurance Company was active. Hancock was active in those days. And individuals: the Olson brothers, Nick and John Olson helped finance, and the bank of course carried a few real estate mortgages* But many, many farms were mortaged, and you thought nothing of it. That was just taken for granted. And it was a slow process to get over that debt",,
SAM,:  What were the terms of the morge in those days.,,
FB,"V'liy in tffse days the terms would be twenty years. The bank could not go on a ten yearat a time. But it was made for ten years. There was nothing stated about that they were to pay so much a year. The interest was due each year, but the principle, many mortgages, if they took em out in 1920 and they^ran for ten years, they were the",,
SAM,"e in 1930. There was no arrangements made for people to pay on the principle which was a bad policy because of the fact that the farmer, if he was struggling, if fce was breaking even, well all he had to do was to pay the interesr!fthat's all he did do because there was maybe three places for every dollar and that would be the last place he would put it because of the fact there was nothing forcing him to pay on his principle. And however, mortage companies—Federal Loan—and those companies always, they gave you a thirty or forty year mortgage, but they gave you a payment and that included some on principle. So you were liquidating that. But if you had a bad year, it was not unusual to send the interest and say will you extend the principle. And of course they were glad to do it in those days. Nobody wanted to foreclose if you were an honest, hard working person, and you got by.",,
SAM,:  What was the interest rate?,,
