speaker,timestamp,End Time,words
Rob Moore,00:00:00:00,00:00:26:28,"Well, Ben Scotter and Nola Coulson have been farmers all their lives. They hopped over clods behind the foot river and years later rode over the same dirt in a tractor. Their perspective is that of men who have stayed in one place, done the same job and watch the place and the job change. On this tape, they reminisce with each other about the old one room school."
Rob Moore,00:00:27:00,00:00:41:24,"Weather and crop changes, Halloween tricks, hill raising, chivalry. Sneak thieves in prohibition."
Norla Callison,00:00:41:26,00:00:47:01,And sugar. We've had lottery winners that we never.
Norla Callison,00:00:47:01,00:00:51:00,Got to know until Christmas.
Norla Callison,00:00:51:02,00:01:11:02,"Well, one thing we do, we can think about that started early. Like this. Maybe we'll have an early spring with that. That's so. Don't want a phone call for lower rec. It used to. And there's another thing that we used to have that we don't have anymore. We have one a year or two ago. And that's January, whole January."
Norla Callison,00:01:11:05,00:01:31:14,"So when I was a kid, we would get snow needy and people say, oh, I want to get to January and take it off. And it was here to hear a different tack. Yeah, we got that January. I thought we never missed. But we don't get in January. So we have one here. Two, two years ago a small but that's the 1st January."
Norla Callison,00:01:31:16,00:01:59:06,"Oh, we had new. Our winter is a change. I don't know what it cutting off the timber. It changed things cannot. I know back on in Cedar Creek and the crashing country, since they cut the timber off their, if not near frosty in there. And that's the air currents in there. It's it's a lot warmer. But there seasons are changing."
Norla Callison,00:01:59:08,00:01:59:29,But don't you.
Norla Callison,00:02:00:02,00:02:03:22,Think the whole thing is changed? I think for.
Norla Callison,00:02:03:24,00:02:16:12,"Us, you can remember years ago when we used to farm reversion, we had to get in the field early in order to get our work done, and we did. We were able to get out there."
Norla Callison,00:02:16:14,00:02:34:28,"Well, we're right there now. Advent. And for my Lord. It took a week or so to get your stuff in any. You got it. That's right. Why? You won't get first base. No resources. Now. We're just about a week now, then set to work. Yeah, we need to let them know. There's about a week and fit to work an inch to dry."
Norla Callison,00:02:35:00,00:02:37:13,And we worked with horses. It wasn't that way. You know.
Norla Callison,00:02:37:16,00:02:42:28,With better plow for days.
Norla Callison,00:02:43:01,00:03:08:14,"I remember the spring of 1934. I remember very distinctly out of the spring after we bought our first okay in the fall of 33, and it was a mild winter. And I found this piece of ground had a cross over here in February, and it was a warm and going to have an afternoon going along at North Slope."
Norla Callison,00:03:08:14,00:03:17:02,I did look down this way and the ground clubs and the ground was covered with cobwebs and a little net there from November.
Norla Callison,00:03:17:02,00:03:18:13,And it's like going to fall here.
Norla Callison,00:03:18:14,00:03:22:01,That's right. Just like whole year and then come back and then that's the air before.
Rob Moore,00:03:22:08,00:03:23:20,You be plowing that soon in.
Norla Callison,00:03:23:20,00:03:32:04,"February. I did that year now, and that's the last time I went back in February 1934. And I know you're after about the cat. That's why I know I've got a lot of the fall 33."
Norla Callison,00:03:32:07,00:03:48:03,"That in spring, but I think it was down to pressure from. We went to work in February and we never quit until everything was done. We never had a, you know, didn't have any more bad weather or have any more water at all."
Norla Callison,00:03:48:03,00:04:03:29,"When I was going to school here, I couldn't tell who we are. In 1918. And, you know, no, it was more than one year. When I go in the pool, there, but class near would see you in February and I put you early on that canyon."
Norla Callison,00:04:04:02,00:04:04:10,"Yeah, I."
Norla Callison,00:04:04:12,00:04:17:10,"Went down there, but I know not to have more than one. And a class. A kid did come through out that season in February. Yeah, well, you get the see right now it's April."
Rob Moore,00:04:17:13,00:04:19:15,"Well, January and February now is usually."
Norla Callison,00:04:19:15,00:04:20:15,When when we have.
Rob Moore,00:04:20:16,00:04:21:16,More snow.
Norla Callison,00:04:21:18,00:04:26:12,The hardest months. Yeah. So I think the whole thing.
Norla Callison,00:04:26:14,00:04:29:11,How they our water I think our weather pattern has changed.
Norla Callison,00:04:29:14,00:04:32:26,Yeah. I don't think again I don't know.
Rob Moore,00:04:32:28,00:04:37:15,Does that made a difference in the crops that people put in.
Norla Callison,00:04:37:18,00:04:50:05,Well yeah. No. We used to be able to grow spring wheat here. We grow real good. Spring break. I don't think you get your money back now. If you tried.
Norla Callison,00:04:50:07,00:04:54:25,"You know, I've tried to get."
Norla Callison,00:04:54:27,00:05:19:06,"A lot of cover water one time, and I can't think of a year. It's any of that. After a month, the cap, the fall of 33. And after that, several years, we had the worst time. Place. Fall wheat. And by going to that after me when I got married, we got married for 34. And my God had that."
Norla Callison,00:05:19:06,00:05:29:23,"She did before we. We literally had to Peter tell you about Rebecca? Yeah. You know, if no one cared."
Norla Callison,00:05:29:25,00:05:33:00,And 1 or 2 over in the fall of the.
