speaker,timestamp,words
Sam or Laura Schrager,0:00:01,"Willa Cummings Carlson has had a lifelong interest in local life, especially that of Troy and her Native American Ridge. As a child she heard and remembered the adults' conversations and she passed many of the stories on to her children, including Mavis Lee Utley, who takes part in several of these talks. Mrs. Carlson speaks of the strange disappearance of a buttermaker in early Troy, of the strange appearance in Troy of a tall veiled woman, of church socials, and of some of her experiences with predicting the future."
Willa Cummings Carlson or Mavis Lee Utley,0:00:34,"Well, I don't know. Sometimes I wondered if that didn't originate in the mind of my husband, but then of course it didn't. I think it didn't. My husband was not given to fantasizing or hallucinating, and he'd have a fit, a real -life fit. In case you heard me, could hear me saying that he might have fantasized this. But nobody else ever knew anything about it or ever said anything about it, except of course that every time, or for a little while after that, he did tease Shirley Michael Buss about it. Shirley Michael Buss still lives. And if I could see him, I might ask him, but then you know so. A lot of people forget all those things. They can't even remember. Oh yeah, they got a dim recollection. And some things, you know, that were just absolute. Now just for example, I had a friend that was ten years older than I. Well, there weren't any little girls around me, and there were no girls her age around her. And still we were neighbors, very close neighbors. Of course, practically. Of course we lived in the country, but practically next door. So we went together a lot to school and different places. I mean to Sunday school, not school. To Sunday school and different places, and went together. And it made me appear a lot older than what I was at being an older company. But she ran with a younger company altogether, because she went with more, they were more my friends than they were her friends. Well, the minister, the parsonage, was quite a gathering place for the young people in the neighborhood. And we had a little church, a little country church. That's where I learned my first Sunday school lessons. And I think it's where I first learned my lessons, although I did not learn the Bible like I should have. And I didn't get that until later, until I had taught myself. And found that inside I was a very religious person, but it dates back to many things that happened out there in that little church. And, but the, when there was a minister there living in the parsonage, the parsonage would be quite a gathering place, excuse me. He ate too many cookies. And so one Sunday, they were having revival meetings. I don't know whether you were used to them or not, though. This Methodist church was a South Methodist church, and they had gone past, far past the Holy Roller stage and all that sort of thing, with which the early Methodist church had been associated in some communities, but never in that one. And, but they did do a little shouting, and some people went to those meetings just in case somebody got warmed up enough. They said it, that's the way they expressed it. I wouldn't want to be quoted on that, though. To get up and shout. I would not want that, given that was my quotation. But, there'd always be big crowds at these, and the little church was just overcrowded. So we went down there Sunday, and they'd had the people up at the morning's bench, and the meeting had extended far into the afternoon, really, you know, about toward two o 'clock or something like that. And here we were supposed to come back that evening early at six. They'd move the Ephrata League, or the Young People's Meeting, up to six o 'clock so that it would be over with before the services began, and we'd have double services, you see, another service. During revivals, we didn't have that ordinarily. So, Thurman was the name, I'll never forget him. And he was a great, big, portly fellow. Thurman was the name of the presiding elder. And of course, we always had a presiding elder around, you know. Always came to the revival. The name of the minister was the party. And he was not an educated man. He was self -educated, and I don't know how far he'd gone to school, maybe through grade school, I imagine. I don't suppose he'd even had high school, but I never questioned it at that time. But he had a big family, and I liked his family. And his daughter, one of his daughters, Maude, married a man on the lower end of America named Darity. Parents, Darity. And they had no children of their own."
Willa Cummings Carlson or Mavis Lee Utley,0:05:09,"There had been six departees. There's a quotation of hers recording one of the meetings, one of the church meetings, in the manuscript."
Sam or Laura Schrager,0:05:18,Is there?
Willa Cummings Carlson or Mavis Lee Utley,0:05:19,Yeah.
Sam or Laura Schrager,0:05:20,In mine?
Willa Cummings Carlson or Mavis Lee Utley,0:05:20,Yeah.
Sam or Laura Schrager,0:05:21,"Oh, is that right?"
Willa Cummings Carlson or Mavis Lee Utley,0:05:22,"Well, I suppose so, because Maude was, I knew Maude quite well."
Sam or Laura Schrager,0:05:25,So what happened?
Willa Cummings Carlson or Mavis Lee Utley,0:05:27,"They're real good friends. Maude and I are, yeah."
Willa Cummings Carlson or Mavis Lee Utley,0:05:30,"I'd like to go to see her. You know, by the way, Maude, I could tell you something. And I'd like to go over here to see Maude, down in Juvie Adams sometime."
Sam or Laura Schrager,0:05:43,Where do you think we can?
Willa Cummings Carlson or Mavis Lee Utley,0:05:45,"I think I can draw Maude out for a lot of things. But, I can stimulate her memory. But, so, yesterday's party was a very genial man, and he said, well, we can accommodate them. He hurried up and had a conference with his wife, and she was a pleasant thing."
