speaker,words,tags,timestamp
,"MARIE CLARK: that old bachelors  and they mined, Idon't know",,
,what else they did living out in the woods. I remember there were,,
,two brothers that were twins lived in there. And the University of,,
,Idaho has acopy of every drop of the news that was ever printed,,
,and their names might be in there.,,
,SAM SCHMAGER: So people picnicked a lot in there?,,
MC,"Oh, yes, that was the place to go, oh, yes, and you could play around",,
MC,in the water if it wasn't too  Particularly $mday School and,,
MC,"Church picnics were there. Idon't remember how many cabins, but",,
MC,"there were quite a few, and there was a road, it was made with a",,
MC,"scoop shovel, you probably never saw that, you're too young, with a",,
MC,"horse pulling and then aman guiding^ 'behind, and that's the",,
MC,way they made their roads then.,,
SS,And so this dam was taken out eventually?,,
SS,"I don't think you can see any bit of it anymore, when Les comes I'll",,
SS,Now did you go into the bar up there and see that picture?,,
SS,Of the mill?,,
SS,No. I haven't seen that one.,,
SS,"You mustn't miss it. You must not miss that, that is wonderful. And",,
SS,this is what my husband could foresee from this what apicture it,,
SS,"if would make. hangs there in the bar, belongs to Mr. Lamb I",,
SS,"wish he had done one for us at the same time, but it's one foot by",,
SS,"four and all in colors. Iwouldn't have seen that atall, but he",,
SS,"did and it attracted so much attention and of course, the company",,
SS,"would like to buy it, but it isn't for sale.",,
SS,"This is a good picture, too.",,
SS,That was the third largest electric mill in the world. In the paper,,
SS,"Ithink Virginia had the first, but it was the third, and oh, there",,
SS,was a few other things in there that the dates and things had been,,
SS,changed. But that was abig industry and we used to play in the,,
SS,lumber piles around there. And this little railway they had with,,
SS,these machines that just pulled the lumber,,
SS,"stacks or the lumber, rather, It was just like alittle city, they",,
SS,"would get all over ,and the young men got those jobs and they",,
SS,"delivered astack of lumber, would be high, -well, you would call",,
SS,"it a trailer today, Iguess, to the spot that they were ordered to",,
SS,"take it, and then it was stacked by the lumber pilerf who made real",,
SS,"good money. And the same way to deliver it, if there was asale",,
SS,"of that particular lumber, this is the way they dried it, they would",,
SS,take it out and when it was ready for shipping and it was stacked,,
SS,at arailroad that went around the back by the planer to pick this,,
SS,up. In fact I sat with the man that had charge of that I think to,,
SS,day at the funeral.,,
SS,Wio's funeral was it?,,
SS,Mr. Pettigrew. Do you remember seeing the story or do you take,,
SS,the Tribune?,,
SS,"Not now, we used to but not now.",,
SS,"This is aman that- you might have read of it in your paper, though,",,
SS,"that had the eye transplant afew weeks ago, in April, right after",,
SS,"This is the one, this is  they were talking about",,
SS,and that's his wife and this is his mother and baby. And my brother,,
SS,»as in Japan and he called- he went to see them and they sent those,,
SS,"back to me because I in school. And here In Southern California with his family, Idon't",,
SS,know whether the,,
SS,name is on the back or not.,,
SS,George Pika?(Peeka),,
SS,"Oh, this shows the little railroad tracks they had in there.",,
SS,Did you know Charley Segarl?,,
SS,"Yes, I knew all of 'em and his daughter.",,
SS,What do you remember of them being like?,,
MC,Gay?,,
SS,"Yes, folks.",,
MC,"Oh, very nice, but they stayed to themselves. They would attend",,
MC,"any civic programs and anything done by the school, they'd always",,
MC,attend. But they did not mix with the people. I don't know whether,,
MC,"they wereA supposed to then, but they did not. They were treated",,
MC,well and respected. That little was the cutest thing.,,
MC,"There's so much in alot of places, they did come up against a lot",,
MC,"of dislike, Imean Oriental people, in the West, in alot of places",,
MC,"they did. I don't imagine they did in Elk River, but Iwould think",,
MC,maybe they would be pretty reluctant to get too much involved in,,
MC,He worked- Here's the mother and father and the girl that live in,,
MC,"Japan now. He worked in the planer, Ithink, and Ithink Mr. Segar",,
MC,"did, too. But Kowakani^ they owned alaundry, if Iremember right",,
MC,ly. Now somebody brought her name up and that may have been Virginia,,
MC,too. Homburgs had a store there and they lived in an apartment,,
MC,"There was some suspicion that Charlie Sega, was working for the Japanese",,
MC,government while he was there.,,
MC,"Could have been, but-",,
MC,You know they wanted to know what the K was like and the layout.,,
MC,"Inever heard it. And Idon't know whether Les ever did or not, he",,
MC,"boy and worked for Bill,who had the paper then. Too bad Bill is not mentally able",,
MC,to- was shaking my brother in the hallway of the school there,,
MC,"by the third and fourth grade room, and he hit his head on ahook",,
MC,and Ihappened to come around the corner and saw him do that; what,,
MC,"would Ibe? Nine years old, Iguess. Then, several years lgter ^",,
MC,"for afire escape, they had one of these canvas slides, abrand new",,
MC,"one, they got to hook in the window on the second story on the right",,
MC,"hand side as you go into the building. And this CalklnS didn,t",,
MC,"like- this family of Martins and this one boy, Ican't remember his",,
MC,"first name, Ithink the last name was Martin, and he boosted him up",,
MC,"to this slide to go down ahead of „, a?d do you know that man actually",,
MC,took that boy's foot and twisted it? Ican remember that so well.,,
MC,And I know Calkins was there before Newland.,,
MC,What was he like as a teacher?,,
MC,"Idon't know, because he had the upper grade as a",,
MC,teacher.,,
MC,You obviously didn't like him.,,
MC,Thank God he was gone. And this Newman was very sweet to me all the,,
MC,time. There's some beautiful pictures in here. I'll have to go down,,
MC,"and get that other old one. See, this is one building that's standing.",,
MC,What Dad built when he was there. When Icame down here to school,,
MC,"and this mill was being built. This is my brother, Fred seven",,
MC,"on the comer as you go into Elk River, as you enter, by the school",,
MC,"crossing, if you just look right straight ahead where that green",,
MC,"house, well.my folks owned that place, but that front porch was not",,
MC,"enclosed then. Let me see, there is one reason why Ihave this up",,
MC,"here, I want to show you what it looked like. This is the sunken",,
MC,garden.,,
SS,That's really pretty.,,
SS,"Um-huh, it was ashow place and my mother did all that work, but",,
SS,it's amess now. She took pictures in the winter and summer and all,,
SS,times. This gives you an idea how people at that time took care of,,
SS,Ann their yards. You met up there and she has abeautlful,,
SS,yard.,,
SS,What happened to your little sister that she died?,,
SS,Meningitis. Meningitis; three days and she was gone. She had the,,
SS,"non-contagious kind, which is fatal. If you live through it, it is",,
SS,"contagious, and Ididn't know that until we owned anewspaper down",,
SS,in California and became acquainted with some parents and Marv's,,
SS,"husband had had meningitis as aman^and oh, Iwas real interested",,
SS,"because it was arare thing to live through that, and that's when",,
