speaker,words,tags,timestamp
,"SAM SCHPAGER: And I thought perhaps one at a time, I was thinking of",,
,"starting with Polly Bemis, and who she was awhatfs important",,
,to remember.,,
,"LOLA GAMBLE:CLYDE: Well, Polly Bemis was Idahos little China doll. She",,
,was born in the caves of Hong Kong and at fifteen she was sold into,,
,slavery to the great King Kong of San Francisco's Chinatown,,
,"and the Barbary Coast. And after a short session there, it was",,
,Warrens diggings and the mining saloons of north Idaho. They,,
,settled fc at Warren's and Here King Kong ran a saloon with,,
,Pdlly as the cook and as the chief attraction and as a chief supplier,,
,of all the comforts of nne to the early day miners. And she was only,,
,"four feet about five inches tall, weighed about eighty-five rounds.",,
,And one of her favorite gags was to grab up a great big cleaver and,,
,"come out into the saloon and say Anyone here no likey ray chop suey?""",,
,And of course they all liked it very much.,,
,Now also mining in this country and running a saloon was a,,
,"gentleman named Charlie Bemis, and he too was a gambler. So one",,
,"night the great King Hong, the Chinese riddle, Chinese puzzle King Hong",,
,"and Charlie sat down for a little friendly game of poker. Well, they",,
,gambled away at pretty high stakes. And Charlie had a little sack,,
,of gold nuggets that had picked up out on hii claim out on the,,
,"Salmon Fiver. And alongtoward morning with all the chips down, it",,
,"was the sack of gold nuggets against little Polly Bemis , te China",,
,doll herself. They played nd the great King Feng lost. But he still,,
,"had one trump up is sleeve. Ke whipped out his gun, shot Charlie",,
,"in the eye, grabbed the bag of gold nuggets and/ran out the door into",,
,oblivion. But that was the way the great Chinese fortune cookie crumbled.,,
,"And the story tells it that while the bullet went into the eye, it",,
,"went under the eyeball snd Polly took her crochet hook, dug out the",,
,"bullet, packed the eyeball with herbs and nursed Charlie back to health.",,
,fnd then Charlie Bemis done right by that gal. He married her and gave,,
,her a'wedding certificate that she could hang up oveTJ-Vhertmutual bed,,
,stating the fact to all the world that they were married. An. this,,
,marriage certificate can still be seen up at the museum among the,,
,good sisters at St. Gertrudes Academy on the Camas Prairie. Polly,,
,lived out on the gold diggings with Charlie for many years. And there,,
,"a creek there to this day that flows into the Salmon River, and it's",,
,called Polly Creek in her honor. She held open house there for all the,,
,river men. There was always food to eat nnd great kindness shown.,,
,"After twenty-eight years of married life Charlie Bemisvied «""d was",,
,buried at Grangeville. Bolly made two trips to the outside world. She,,
,went to Grangeville to get her teeth fixed one time and she went to,,
,Boise at one time. And the rest of her life was spent there. They had,,
,"fifteen acres on Polly Creek and this she gave to her neighbors, the",,
,Shep and people who had a great cattle spread there in the,,
,country. And it was understood that they were to take care of her,,
,till she died. And they did. They put% telephone line into her,,
,house so they could talk to her everyday and see how she was,,
,getting along. And she finally got sick and they took her out to,,
,Grangeville were she died. And the people from tha Shepimd,,
,ranch weren't there so they gave her a pauper burial in the,,
,Grangeville Cemetery. And the land passed into the Shep spread.,,
,And Moscow always feals that it has an interest in the great Shep,,
,ranch out there because in later years our own Bill went,,
,to Alaska and organized a group of millionaire mining people and they,,
,bought out all of the Shep land for about six million dollars. And it,,
,"belonged to that corporation for many, many years, and of course it's",,
,doubled and tripled in value since then. it's one of the Mstoric,,
,places of Idaho. Polly also left another museum piece. It was ablue,,
,silk dress. The silk had come from Hong Kong and it was lined with,,
,flour sacks that had held flour made at the Grmpeville flour Mill.,,
,All down the front were little two and a half and five dollar gold,,
,pieces that formed tve buttons on dress. But the Polly Creek,,
,"that's still flowing is in honor of our own Uttle Folly Bemis,",,
,the little China doll.,,
SAM,That's very interesting. What do you know about this King Fong fellow?,,
