speaker,timestamp,words
Sam Schrager,0:00:01,Did Sly just come out and give himself up or did the people go up and reason with him? Do you remember about that?
Glenn Corrin,0:00:08,"No, I don't."
Glenn Corrin,0:00:11,"I don't remember just exactly how that was. But I think it, I really think that he gave himself up, is what I think. Because if he hadn't, there wouldn't have been anybody going up there against that rifle."
Sam Schrager,0:00:34,"And the business there with his wife and daughter, was that a real fight?"
Glenn Corrin,0:00:42,"Well, I don't know. I didn't see it, but I had my guesses. I kind of thought that that was put on to get him up there."
Sam Schrager,0:00:54,Where were you standing when this was going on in town? Where were you?
Glenn Corrin,0:00:59,"Well, I was down there, but there used to be a fruit house there. I don't know, there isn't anything there anymore. Down there by the railroad track, there used to be a fruit house there. Now I'm just standing out from the edge of that. Down there by the depot."
Sam Schrager,0:01:19,"And was Hayes, where was Hayes when he heard the fight between the breaking out with the girl screaming?"
Glenn Corrin,0:01:27,"Well, I don't know where he was when he heard it, but he came running up there anyway."
Glenn Corrin,0:01:36,"And, you know, Phil had not said anything that they heard, just what you see."
Glenn Corrin,0:01:41,"Yeah, but even so, most of the people that talked about it, they're all gone now. So what they said, what you heard, I mean, that's important too. What people said, you can say it's not what you said, what you saw, but what you heard."
Glenn Corrin,0:02:01,"Well, I heard that this slide and Hayes had had his argument uptown. And this slide told him, I said, I'll get you. I've heard that. But I didn't hear it myself, I just heard that people said that."
Glenn Corrin,0:02:27,This Hayes was always a shooting around town.
Glenn Corrin,0:02:34,Didn't seem like he was always kind of a trigger happy.
Sam Schrager,0:02:40,You liked to fire his gun?
Glenn Corrin,0:02:43,Yeah. He just seemed like he kind of liked to use a gun.
Sam Schrager,0:02:51,Do you remember any times when he pushed people around?
Glenn Corrin,0:03:00,"Well, he tried to."
Sam Schrager,0:03:01,Or hearing about times? What? Or hearing about times when he did?
Glenn Corrin,0:03:04,"Well, there was one time they had an ordinance there in town that you couldn't ride in a drive faster than a walk through Main Street. And he was out there and grabbed everybody he could. And there was one guy that was going down the street. He had an old scrappy bridle on his horse that didn't amount to anything. He was riding a little too fast and old Hayes come out there and stop him, grabbed a hold of bridle. And old Hayes slipped it over the horse, er, the guy slipped it over. Don't remember who it was. But he slipped the bridle off over the horse's head and so dispersed the horse and run over the top of the old bad Hayes."
Sam Schrager,0:03:49,Come pretty near what?
Glenn Corrin,0:03:51,Come pretty near getting him.
Sam Schrager,0:03:56,"He went down in the mud, huh?"
Glenn Corrin,0:03:58,Yeah. Oh.
Sam Schrager,0:04:03,What?
Glenn Corrin,0:04:03,"He was always looking for something like that, you know. And he'd holler and he was always shooting. One time my aunt thought that she got scared. She thought she was going to get hit. She was going up the street from the old man that started shooting. He was shooting at somebody. I don't know who it was now. He was a character, that guy."
Glenn Corrin,0:04:35,"I got one more question about that business, the shootout there."
Sam Schrager,0:04:40,How far above the railroad depot was Sly's house?
Glenn Corrin,0:04:48,"Well, I don't know just exactly. Well, the house, I think, is still there. It's a house sitting up on the hillside there. That used to be outside of the city limits."
Glenn Corrin,0:05:03,And it was at that time. It was outside the city limits.
Sam Schrager,0:05:12,Does that mean that Hayes had no right to go out there?
Glenn Corrin,0:05:15,"Well, I don't know whether he did or not."
Glenn Corrin,0:05:18,I don't know what the rulings was on that family.
Glenn Corrin,0:05:26,"But this... I always figured that Sly was a pretty decent sort of a guy. But you know, a lot of people can be pushed just a little too far."
Glenn Corrin,0:05:39,You know that.
Glenn Corrin,0:05:44,You told me that there were a couple of times that Hayes had run -ins with Joe Wells.
Glenn Corrin,0:05:51,"Yes, he did. Well, he didn't just... Well, he did have a run -in, too. The time that he came out there to get that Benson that used to live up there, he came out to get him. And this guy saw... This Benson saw him coming, and he slipped out and came up to Joe Wells' place. And Hayes knew that they were good friends, so he just took a hunch that this Benson was up there, and he came up to get him."
Glenn Corrin,0:06:30,"And Joe Wells told him... He was going to come in and search the place to get him. Joe Wells said, you've got to search for it."
Glenn Corrin,0:06:44,"He didn't have to have one or something similar to that. He was going to come in. But when this Benson came up there, Joe Wells gave the boys and his wife a rifle apiece and had a place where he wanted them. And he told the old man, Hayes, that he wasn't going to come in there."
Glenn Corrin,0:07:11,"And they were waiting for him. If he had tried to come in there, he'd get there and would have shot him."
Glenn Corrin,0:07:20,"And another time, this Benson and him was in town."
Glenn Corrin,0:07:25,Benson and Joe Wells. Yeah.
Glenn Corrin,0:07:29,"And they'd been drinking a little bit. They drank pretty heavy, both of them. And they got ready and started to go home. And his other horses were going home, and the old man, Hayes, jumped onto his horse and took after him. Got out there and he got started. One of them stopped and started shooting. And Benson got scared and stopped. Old Joe Wells was laying over on the side of his horse, heading for home. But when Benson quit and went back, well, he went back too and made old Hayes turn loose."
Sam Schrager,0:08:11,"He made old Hayes turn loose, huh?"
Glenn Corrin,0:08:13,Yeah.
Glenn Corrin,0:08:16,I wonder how he did that. I don't know.
Glenn Corrin,0:08:21,"Old Joe Wells had the kind of way of when he said things, they could tell that he meant it."
Sam Schrager,0:08:34,Was this Benson? Are you talking about John Benson?
Glenn Corrin,0:08:37,"I don't know what his given name was. He lived up there, Deary, up there, down over the hill there from where Joe Wells lived."
Sam Schrager,0:08:51,What kind of a guy was Joe Wells?
Glenn Corrin,0:08:54,"Well, my way of booking him, he was a first -class guy. He was a good guy."
Glenn Corrin,0:09:05,"And he had been a slave one time. He was freed. His old master gave him the name of Wells. That was his name. He gave it to Joe Wells. The name was Wells. And then there was, in a matter of years, there was a couple of those Wells boys, lived up there by Deary. And old Joe Wells and them were great friends. Bitch sit back and forth all the time."
Glenn Corrin,0:09:43,"Old Hayes had a habit of drinking with guys until he'd get him drink a little bit, and then he'd rest him for being drunk."
Sam Schrager,0:09:55,"Some of them asked him if he, when he went to the restroom, what's the matter, you need another sack of flour?"
Glenn Corrin,0:10:06,"He was drinking with old Dick Shandler on there one time, this old one, when they had those long -handled goblets. And the old man had drank with him ever since he'd been in there, all he'd drank, and then he was going to rest him for being drunk. And old Dick Shandler, when he hit him over the head with one of those goblets, knocked him down, and he'd drug him outside. There was a living party right next to it, and they had a well there. And he took the lid off the well and shoved the old man down in there, and hold his head under. It was just about drowned, and he just pulled him off."
Glenn Corrin,0:10:58,"It sounds like for Hayes being such a tough guy, it sounds like he got his quite a bit."
Glenn Corrin,0:11:06,"Oh, there's some tough guys around Troy too."
Sam Schrager,0:11:15,"Did you ever hear tell of times when Hayes really beat up people, Marshall Hayes himself did?"
Glenn Corrin,0:11:23,"Well, I don't know if I ever heard of him beating anybody. I think he's too big a coward for that. He'd shoot him if he got a chance."
Glenn Corrin,0:11:35,"So that's the kind of a guy he was. That's why you don't hear much about him taking on people, because you didn't think he could take them unless he shot them."
Sam Schrager,0:11:56,"Well, what about Lou Wells, Joe Wells' wife? What do you remember about her?"
Glenn Corrin,0:12:05,"Well, I don't remember very much about her in a way. Well, in a way too. They had sheep up there, and she would take that wool and wash that wool, card it, make yarn, and knit socks for men. She'd knit them great big and then shrink them, and she'd sell them for 50 cents a pair out of that wool, pure wool. I don't know. I think you should get a poured water and no socks in it to handle."
Sam Schrager,0:12:44,"Can I turn this down a little bit, this heater?"
Glenn Corrin,0:12:46,"Yeah. Well, no. Here, over there is a place to turn it down."
Sam Schrager,0:12:53,"Why is it too warm in here, huh?"
Glenn Corrin,0:12:56,"Well, just pull it over toward you."
Glenn Corrin,0:13:02,That'll cool her down.
Sam Schrager,0:13:09,You told me that she liked to beat on her washtub?
Glenn Corrin,0:13:19,"No, it was a dishpan. You know, they didn't have waterworks up there then, and they just had the water, and then they'd go out and throw the water out, you see. And she'd come back and beat on the bottom of the dishpan. And there was a fellow with me up there when I was driving that mail route by the name of Marvin Froman, and she'd come back and beat on the bottom of the dishpan, and he got up and started to step on her off in the middle of the floor up there. She got to laugh at it. She'd pound it on that dishpan, and she'd put her not to all the skin off her fingers."
Sam Schrager,0:13:56,Laugh?
Glenn Corrin,0:13:58,She's laughing every minute of the time.
Glenn Corrin,0:14:01,She laughed a lot.
Glenn Corrin,0:14:04,"But when she was beating on that dishpan, she was laughing when he was stepping her off out there."
Sam Schrager,0:14:09,"So he started to dance, huh?"
Glenn Corrin,0:14:11,"Yeah, he was jigging, you know."
Glenn Corrin,0:14:18,"And she was giving the time to beat for it, you know, and he was just having the time, and so was she."
Sam Schrager,0:14:32,Did you ever hear—did you ever see her chewing tobacco?
Glenn Corrin,0:14:37,"No, I never noticed her doing that. I guess she did, though, with all those Southern women did. I don't know for sure about her."
Sam Schrager,0:14:49,"Do you remember what the house—what their house looked like, what the house was like?"
Glenn Corrin,0:14:55,"Oh, the log house."
Glenn Corrin,0:14:59,"Built the logs, you know. The old fashion way of building it."
Sam Schrager,0:15:09,"It was also a lodging house, right?"
Glenn Corrin,0:15:12,"Well, I don't think that they stayed there for a long time. They were there at night so much, but, you see, they always served meals there at noon, I know, because when I was driving that mail route up there, that was our halfway house. We stopped there for dinner every day, going and coming."
Sam Schrager,0:15:39,"Would they have many people there for the noon meal, or just be just you?"
Glenn Corrin,0:15:43,"Well, everybody that's riding the mail route was me. See, all passengers, too, and they all got to stop there to eat."
Sam Schrager,0:15:59,"Oh, what would one of the lunches be? What would you have for lunch there? Be very big?"
Glenn Corrin,0:16:04,"Oh, it would have all we could eat, that's all. I could say I couldn't remember just what it was. It was good cooking, too."
