speaker,timestamp,words
Sam Schrager,0:00:02,"This conversation with John Eikum took place at his Lewiston home on December 8, 1975. The interviewer is Sam Schrager."
Sam Schrager,0:00:16,"I'm going to ask you, what year were you born?"
John Eikum,0:00:21,I was born in 1888.
Sam Schrager,0:00:24,Were you born here or back in the old country?
John Eikum,0:00:27,"Back in Norway. I was born in Norway, October 28, 1888."
Sam Schrager,0:00:34,How old were you when folks came over here?
John Eikum,0:00:39,"Well, I lacked three months of being five years. We came to Tennessee in 1893, the fifth day of August."
Sam Schrager,0:00:50,Do you remember anything about that trip over here from Norway?
John Eikum,0:01:03,"I was four and a half years old. I remember coming to Montana. My mother bought a Kern pie, and she opened it up and looked for it, to see what was inside of it, and she just threw it out the car window."
John Eikum,0:01:29,"Then she saw some Indians outside along the platform, and she got so scared we just hid under the seats in the train. We heard so many Indian stories about the atrocities that the Indians..."
Sam Schrager,0:01:49,"Did your mother hide too, or just hid the kids?"
John Eikum,0:01:52,Hid the kids.
Sam Schrager,0:01:54,"Tell me, why did she throw the pie out the window?"
John Eikum,0:01:57,"Well, she didn't know what it was."
John Eikum,0:02:02,She said she wasn't about to eat anything like that.
Sam Schrager,0:02:10,Do you know how your parents happened to wind up going to Genesee instead of someplace else?
John Eikum,0:02:19,"Well, yes. You see, there was four or five bachelors from the same place in Norway as my folks, and they came over here before, and they wrote back what nice country it was out here. Dad came over first. He came over in April of 1893, and then he sent back and brought the family over. My mother had quite a time on the trip. She got one of her sisters and another girl that was going to Alma, Wisconsin, and they both got to help care for the babies, you know. She had a four -month -old baby to take care of, and they got so seasick that they couldn't do a thing. So she had four children and her sister and this other girl to take care of. She didn't get seasick at all, so I guess that was a pretty good thing."
John Eikum,0:03:43,"On August 5th, we landed in Genesee."
Sam Schrager,0:03:57,"Did your father have a place ready for you, a home?"
John Eikum,0:04:02,"Well, he had bought 80 acres, but then he had been hired out to warn the neighbors up there. So it was November before we moved into the place that he bought. That was after a wet year, you know, when they couldn't get their harvesting done."
John Eikum,0:04:33,"Where did you live in the meantime, while you waited for the house to be... Well, we lived at the family where my dad was working. I see. She had a baby about that time, and she had a baby the first part of October, so mother took care of the baby."
John Eikum,0:04:56,"And he was such a... He cried a lot, you know, and mother fixed that. She mashed potatoes and butter together. She just fed that to two -week -old baby all the potatoes and butter he could eat. Then he seemed satisfied. And he's still living up there. He's 82 years old."
Sam Schrager,0:05:30,What do you remember about that wet harvest? That year of the wet harvest? What did they tell you about that?
