speaker,timestamp,words
Laura Schrager,0:00:01,"On this tape, Alfred Erickson recalls his parents' arrival at hog meadows from Minnesota in the early homesteaders in the area. He describes their first home, the Janesville Post Office's moves, the naming of hog meadows, hardships in the early years and killing a bear. His two sisters, Lena Erickson Justice and Mae Erickson -Lamar, mention some of their experiences helping around the home and farm and flunking at the logging camps."
Alfred Erickson or Lena Justice or May LeMarr, 0:00:39,My folks come from Minnesota in the year of 1892.
Alfred Erickson or Lena Justice or May LeMarr, 0:00:49,"They come out because my mother had sent out money to her nephew to buy this place, which belonged to a fellow by the name of Con. I don't remember his first name. Con was a Civil War veteran, and he didn't care to stay back there in that snow belt. He wanted to get out of there, so he said he wanted to sell. Well, John Berg, my mother's nephew, had a place right beside the hog meadows on the east side of the hog meadows. John Berg's place. Well, he made the deal. My dad didn't have a cent in that property. It was all my mother's money."
Alfred Erickson or Lena Justice or May LeMarr, 0:01:47,"Anyway,"
Alfred Erickson or Lena Justice or May LeMarr, 0:01:50,"the old man, he was just about to leave Moore at the station. No, on the train. He was about to jump off of the train after the train got started, coming out west."
Alfred Erickson or Lena Justice or May LeMarr, 0:02:11,Moore had to talk to him and get him kind of cooled down. So she finally got him cooled down enough that he went and sat down in the seat and sat there to try. I didn't know that.
Alfred Erickson or Lena Justice or May LeMarr, 0:02:30,"Yeah, well, of course, I wasn't born yet. At that time, I was born 1893. They'd been there a year."
Alfred Erickson or Lena Justice or May LeMarr, 0:02:45,"Then they had to—the house that I was born in, it was sitting way over on the north side and on the west side, northwest side of the place. They had a fireplace in the back. I remember that log house. They had a fireplace just like that right over there. All the road that was made out of rock."
Alfred Erickson or Lena Justice or May LeMarr, 0:03:23,"Then they had their big room here. This is the big end. Then in between, the next end was the barn. They had a place there big enough for two horses and a couple of cows. Then they had a haymow right up over. Well, they used this middle place to pile up wood in to keep it dry. It was built something like what they had up at Beauvel. They had a warns built on that meadow up there. It was a building here, you know, log house. Then over here, another log house."
Alfred Erickson or Lena Justice or May LeMarr, 0:04:04,"Then they had the full roof over the both places, don't you see?"
