speaker,timestamp,words

Willis Estes,0:00:00,"I made notations here. I didn't know just what you would ask, but I can tell you quite a little about it. Okay. You know, after so many years, something will flip your mind. And you don't remember exactly what all happened, and then sometimes something can come back to you. Yeah, I took the examination here in Moscow when there was eleven of us took it. I found out afterwards that I had the highest grade of any of them. And the post -loss department notified the acting postmaster of Biola to write to the three highest and see if one of them would take the mail route out there. And as soon as I got the letter, why, see the inland train was running from Moscow to Spokane. It was making three trips a day each way at that time. And I went out on the morning train and went to the post office and went out with the carrier. He wasn't a regular carrier, he was a substitute that had been carrying the mail after the main carrier had moved. He left there, didn't like it. And I went around the route with him. When I come back, I told the postmaster I'd take it. They said, I want to be out, and I said, I'll be out a week from that day. He gave me a week to trade through the horse trade and the team I had wouldn't do for on the mail route at that time. So I went out ahead of time, was there, and I started carrying on May the 6th, 1914."
Laura Schrager,0:02:03,How old were you?
Willis Estes,0:02:04,"You were pretty young then. I was twenty. I would be twenty -one that fall, but I was twenty then."
Laura Schrager,0:02:13,"What kind of, did you have to trade workhorses in for a different kind of team?"
Willis Estes,0:02:21,"Is that... Yes, a team I had wouldn't do for on the road. I wanted to get travelers, smaller horse. And one that I had wasn't any good on the road at all, but she had good workhorses. So, and I didn't want horses, so I went out with one on a broke horse and one that was broke. I soon broke the other one and used those two for quite a while."
Laura Schrager,0:02:55,"That one that wasn't broke, was it, you mean it had never been in a harness before?"
Willis Estes,0:03:02,"No. No, it never had anything but a hauler on it when I got it. Of course I was used to horses, used to riding, and a fellow wanted this. I was looking for a horse and I heard he had one. I went and talked with him and he said he had one and told me where it was. And I says, well if it's gentle enough I can get a hold of it. He says yes. And he says you can probably lead it in. So I don't know, I took something out that I knew the horse would like. And I didn't place a stake in the hall before I took a riding ride on him. And boy that horse knew that I had that riding ride on him before he was even on it. And I rode him down, bareback. I never had any trouble with him. Of course I knew I could ride before I got on him. But I didn't know, I didn't think he told me. Anyway, I worked him for four or five years and then I got a hold of another one. I traded horses different times. I had one horse that I traded for after, I don't know, let's see, it was about three or four years. I traded for a full -bodied Hamilton with him. I worked him for fourteen years and he was still a good horse at that time."
Willis Estes,0:04:46,But when it started that was the days of the two cent letter mail postage. One cent for the government postal card with a stamp on it. And I used one horse on the cart one day and the other horse the next. Changed horses that way. That way each horse made three trips a week.
Willis Estes,0:05:13,"And the third day that I started I went out, fine looking day, same as the other had been. And about ten o 'clock it clouded up fast and pretty soon it just poured rain. And I really got soaked so I got initiated."
Willis Estes,0:05:37,I stayed with it anyway.
Willis Estes,0:05:42,You just had an open cart.
Willis Estes,0:05:48,As later on I got a little heavier axle cart and I built a box and put a canvas on it that I could push ahead and lay down over the dashboard and pull it back open half in the mail. And I had my feet and legs inside. And then if the horses wasn't afraid of the umbrella I could carry a number out of it. Lots of times they had to jerk that umbrella down. And then get scared that I'd start running. But then I soon got them used to it. If it wasn't too windy like I'd hold the umbrella and it wouldn't get sweat. And then I soon got a raincoat and put it in the cart. Scrapped it on the underneath side of the seat. Scrapped it in there. And the box that I had was about as long as this table and almost as wide. So I had lots of room in my feet and had a lot of room in back under the seat for packages.
Willis Estes,0:07:14,"And the papers that came, I forgot for sure which there was two papers part of the time published here in Moscow. And one of them I think was what they called the Idaho Post. I thought about Emma Fields. I knew him. But whether that was right on the start or not I don't remember. Anyway,"
Willis Estes,0:07:47,they were two papers and I don't know which one was the first. And of course they carried the Daily Star mirror and this Idaho Post. I knew it was in. And one time there was one up and published what they called the News Review. And the spokesman was a twice a week spokesman of you delivered on Tuesdays and Fridays. And it was quite a while before they started the Daily Spokesman. Or at least it was quite a while before any of them on the route took the Daily Spokesman.
Laura Schrager,0:08:28,Did a lot of people take the newspapers?
Willis Estes,0:08:31,"Quite a few of them did. But there was more took the twice a week than there was that took the daily later on. There was, oh it must have been better than half more took the twice a week than they did when they started the daily because that's more expensive and they just dropped it."
Willis Estes,0:09:15,Do you have any more questions or should I just go ahead and tell you?
Laura Schrager,0:09:21,I'm interested to hear some of what you have done.
Laura Schrager,0:09:25,I have more questions.
