speaker,words,tags,timestamp
,"ELMER FLODIN: When he come here, a fellow by the name of Nastrum, there in Minn",,
,"esota, he knew him. And he wrote to this old couple and he got",,
,finish up his military training there in Sweden. And then he wrote,,
,"to them and then they told about the United States, so he went to",,
,Minnesota to them. And then he started working on the railroad.,,
,That's what he was in Sweden. There was working in timber and he,,
,was a great with a broadaxe and so then he got a job hing,,
,timber for the bridges on the railroad.,,
,SAM SCHRAGER: Was that Northern Pacific?,,
EF,"Un huh.Yeoh, he went to Northern Pacific Rock Minnesota to",,
EF,"Moscow. You see, awhile there, at one ways you go the Canadian Pacific.",,
EF,That's North Pacific that goes into Canada and called Canadian Pacific,,
EF,in there.,,
SS,So he wound up coming to Moscow because he was working on the railroad.,,
EF,"Yeah, well before they got there, it was way up north there. Because",,
EF,they'd walk. He had his log cabin here. He'd spend the winter when,,
EF,they wasn't working at home. Then they had walk all the way from,,
EF,"Plummer. That's where they were, they catch a train to Plummer.",,
EF,Take their pack on their back and to Plummer.,,
SS,Do you know how he wound up coming to Dry Ridge country?,,
EF,"That I don't know. I think one reason was Henry and Ao^tft>T Anderson,",,
EF,"they wereKhere.And he got acquainted with them, , back",,
EF,"east.See, Henry Anderson, he homesteaded this place up here.",,
EF,"And Anderson, he homestead on a big farm down there",,
EF,below what is now Dan McKenzie's place.,,
SS,So...,,
EF,"Anderson, he, that's the place that Ted Kreyi got.That",,
EF,was Limos. There were three brothers here. At the time.,,
SS,he probably came out here and found this land open. Had it been,,
SS,surveyed?,,
EF,"They surveyed it. Hammond, they used to live on the west 80",,
EF,"right across the creek. Ynu know, coming down from Little Bear Ridge,",,
EF,"you know, when you come, you see that little place on the flat down there.",,
EF,Well that used to be the old Hammond place. He wgs the surveryor.,,
EF,"Him and Ed surveyed through this country.Ed Sandberg up here,",,
EF,"Dan Tallson, the place just across the road,",,
EF,"a hundred sixty east and west.And Sandberg and Alffced Johnson, he's the",,
EF,"one, you know, where they tore down this house. Well, that was my",,
EF,dad's first brother in law. His wife passed away. In '96. And all,,
EF,them come together. They all worked the railroad.,,
SS,So they all took up the land here about the same time.,,
EF,They all took up land here together. Homestead in here. And,,
EF,"then Olsons, they come in. Emil wasn't certain, they would talk a",,
EF,"lot. Carl, did he ever tell you what time...?",,
SS,"I think he said it was the late '80's, but it was close to '90,",,
SS,maybe '88.,,
EF,I know they come in late to that.,,
SS,What's this about he worked out on the railroad when he was first,,
SS,homesteading. He had built a cabin and he would leave it?,,
EF,"Built the cabin so he'd have a home. You see, you had to build on",,
EF,it. YOu had to make an improvement and you had to spend so many,,
EF,"months out of the year you had to spen^on the land. To file your,",,
EF,to put your claim in.,,
SS,So when would he leave to go work on the railroad?,,
EF,Well that would been in the spring of the year when they broke,,
EF,"up so they could go to work again. See, that was all abne like grading,",,
EF,"all done with horses. And they had to have it when it was tall ground,",,
EF,not too wet.,,
SS,He just left the place here?,,
SS,"I guess so. When they left in fh„ xn the sprxng of the year, they'd work",,
SS,a plot around the cabin. Get all grass and that away. Safe for fire.,,
SS,"Come home the fall, why the Indians had all",,
SS,"So they kept, took better care of their land then the white men",,
SS,"doing. There was no brush, all found was just a big yellow",,
SS,pines. No little timber in between.Dad had trees out there that,,
SS,was better than four foot on the stump but he sawed down and burnt,,
SS,for to make field. And he could stand on the top of the hill over,,
SS,"there and the line back the field there,he could",,
SS,"look right through the trees,see the whole farm. That's little",,
SS,better than half a mile.Just open pine country. And then there was,,
SS,"some sheep men come in here too, and late I think, come in here",,
SS,with their sheep. Down on the creek bottom-down here in the ty,,
SS,that used to be a big sheep corral. And there used to be a sheep,,
SS,corral up on Olson's place.I heard they come up from Washington,,
SS,with their sheep.,,
SS,"Yeah, I know there were some guys I know, from around the big Bend",,
SS,country that were grazers. They just came through here and used,,
SS,it as they wanted to. Was there any trouble with the sheep eating,,
SS,up the land.,,
EF,"Well, you see, there was no population. It was just grass. It was",,
EF,"free, open range. All over. They could go up to Elk River, they",,
EF,"could go any place they wanted to, you see. That's what they did.",,
EF,They went back in there and all back of Helmer. You see you come,,
EF,where that shop is there east of Helmer. Well you go straight,,
EF,there to Potlatch and there used to be a corral. That I remember,,
EF,"not so far back when we used to go fishing, you could still see",,
EF,that sheep corcal there. And old cabin.,,
SS,Did your father actually have to walk out to get to Plummer?,,
EF,"They didn't have no horses. N0 transportation, no railroad. They",,
EF,just had to walk. that bunch that went together like Dan,,
EF,"Tallson,Sandberg, they all figured when they were ready to go to",,
EF,"work, why, they'd all hit out for Plummer."" And uhen they wanted groceries",,
EF,"they would walk. Walk out. After Moscow got started, why then they",,
EF,just take a pack on their back and pack it home.He said he packed more,,
EF,thao one sack of flaur from Moscow out.,,
SS,Must have taken him a day or two to get any where walking.,,
EF,It took him a couple of days. A good day to come in and back. They said,,
EF,"they had to put the packs, they had a sack of flour and they",,
EF,"had some coffee and stuff. needed to pack out. Then after a few,",,
EF,"I forget what year he said it was, he said he was working for Tomer there",,
EF,in Moscow and he bought him a little saddle horse..He had a saddle horse,,
EF,to ride.,,
SS,And there was no Troy then.,,
EF,"No Moscow. At first..Lewiston, I see the picture of Lewiston, it just oas",,
EF,a square front like the old building. That's the picture of Lewiston.,,
EF,That picture there told where the>| file on the land. Land Office. That's,,
EF,where they all had to go to file on their land was Lewiston.,,
SS,Do you know when he stopped going out to work and just stayed here? Was,,
SS,it a long time?,,
EF,"Yes, he worked out for quite a few years. While he was clearing land.",,
EF,"Now, like in the wintertime when he was home, then he fall timber and -for",,
SS,Did that timber get to the sawmills or ©as that before there were mills?,,
EF,Burnt it. Burnt all them big wood. No sawmills. I forget what year that,,
EF,"there Bohman mill started. Johanson, he smarted the first mill",,
EF,right there where Bendel's Meat Market meats is? On the creek bottom.That's,,
EF,"where they hauled their first logs. And that Bohman, he started a sawmill",,
EF,"right, you know where they took out that big cut down there that house",,
EF,"is Bendel's, they fixed up on that new road there? On the left if you",,
EF,it still kind of shows where the millpondiwas.Bohman started that.,,
EF,That was Bohman's mill.,,
SS,Did these other's come in about the same time too?,,
EF,"Oh, that come way later.Yeah, that come in later than that. That did, it",,
EF,"was after 1900 when O.k' got in here, I guess.Little after in 1900.",,
SS,What about right around here? Where were mills in this area around Dry Creek?,,
EF,"Well, Troy Lumber Company, they had one mill right fiere where you made",,
EF,the turn. That was Standard Mill. Then they had the White Pine mill and,,
EF,the Old White Pine. And then Ole Bohman had one mill on,,
SS,Was there a mill called the Dry Creek or the Dry Ridge mill?,,
EF,"Dry Uh huh. That was up there, right back up there where the stock pile is, rock.",,
EF,That was the Dry Creek mill.,,
SS,Did it take him a long time to clear up the land?,,
EF,Oh yes.,,
SS,Real slow?,,
EF,"Yeah. Yeah, they didn't have much feed for quite a while. You see, they",,
EF,had to get work up so they'd have enough so they could afford to feed,,
EF,"a team of horses. And there wasn't much, very big horses.Hundred pound",,
EF,cayuses to break up the land with. I remember the first team he had. That,,
EF,"was 22, 24 years old. I remember them.",,
SS,What was it like for you as a kid growing up out here?,,
EF,"Great. Better than, we had more fun and better times then. they  now.",,
EF,You can talk jso any like Carl Olson. They'll tell you that the,,
EF,"kids today, they don't have the enjoyment we did. We'd all get together",,
EF,and always have ridge parties. Schoolhouse dances. So we didn't have like,,
EF,"they have nowadays, wherever they go. Take the car and take off.",,
EF,"No, we had,I'11 say, me had a lot of fun as kids. And one thing you don't",,
EF,"have, what we had thenNis good hunting and fishing I know. All I had to",,
EF,go down here to patrfure and in an^ Come back with 18-20 fish.,,
EF,"Nice trout. And if we went down to Bear Creek, we jis t down to the",,
EF,"old mine up here and go down Bear Creek,Ncome home with over a hundred",,
EF,"fish. No limit, those days and blue grouse, by the hundred.",,
EF,"Great, big bunches of 'em. I never knew how, the mountain grouse get up",,
EF,"like that. You catch them up to 6-8 pounders. I 'mem ber, after dad got",,
EF,"me the first .22, we had alot of birds, My brother bought",,
EF,a 16 guage shotgun and after that we had to get bird meat to eat all,,
EF,through the summer. So.,,
