speaker,timestamp,End Time,words
Sam Schrager,00:00:00:00,00;00;19;02,"This conversation with Roy Glen and his wife Mabel Richardson. Glen took place at their home in Kendrick on November 18th, 1976. The interviewer was Sam Schrager."
Sam Schrager,00:00:19:04,00;00;23;07,"Well, were you still a little kid?"
Roy Glenn,00:00:23:09,00;00;48;24,"I was one year old. That was one year old. When we come to Juilliard. That's where we landed. And, yes, we stopped on American Ridge up there for a few years, and then we moved over on the Potlatch, and I spent all the rest of the year. I'll be 74 years old on New Year's Day. We've been here ever since."
Sam Schrager,00:00:48:27,00;00;54;28,"You know why it was they they picked, this part of the country to come to our work."
Roy Glenn,00:00:55:00,00;01;22;07,"Well, some of my folks earlier, my mother's folks, I had come west and settled it. An American region. And, so that's why we followed it. We actually, there's a better country out here, they figured. And so they had been back. They'd been out here, and then they'd been back to North Carolina and told us about it."
Roy Glenn,00:01:22:07,00;01;24;11,So we come west.
Sam Schrager,00:01:24:13,00;01;26;03,Who were they? Their name.
Roy Glenn,00:01:26:06,00;02;02;06,"Well, Woody and then also Martin. Thomas used to be the big banker here. He is related to my mother, too. So he had, he had been back there. So we all come west, and now let's see my my mother and then my my grandparents and, and the father, of course. And and, Welch came home, my mother's brother came, too."
Roy Glenn,00:02:02:08,00;02;24;10,"And so we all arrived out here, and we've been here ever since, and, my folks just passed on, and, and, Yes, I. Of course, was all passed on and it came."
Sam Schrager,00:02:24:13,00;02;27;05,"Hey, your father farmed back there in Carolina?"
Roy Glenn,00:02:27:08,00;02;52;01,"No, he worked in the woods most of the time. And, he was a tell me he's a he won a that he also worked for the government. And he worked in a government distillery when they made whiskey in North Carolina. And he worked for the Government Distillery Company. Yeah. Now she was born on fake trade. She's been here all her life."
Roy Glenn,00:02:52:02,00;02;53;04,"Oh, I didn't know."
Sam Schrager,00:02:53:04,00;02;55;02,What was your maiden name?
Mabel Glenn,00:02:55:04,00;02;58;04,"Richardson. Oh, right. Right."
Roy Glenn,00:02:58:07,00;02;59;10,Yeah.
Mabel Glenn,00:02:59:13,00;03;23;13,"My folks come here from Oregon in 1893, and, my grandmother, I guess, of from there for a little while. I like your chances of of this kind of situation. There was born and raised there to that. And then a lot of Texas range."
Sam Schrager,00:03:23:15,00;03;41;07,"Was that land of Dix Ridge. Was that naturally prairie land at the time or was that clear? Do you know where they were? Oh. Well, I was wondering whether you knew of that land, fixed ridge where they were. It was cleared land. Or if it just never had any trees on it."
Mabel Glenn,00:03:41:09,00;03;51;03,"Oh, the one that came, it was they bought it from the people, the name of do. And they had it was cleared land, but it I had a great big orchard."
Roy Glenn,00:03:51:06,00;03;58;09,"Then he's a mean and wasn't prairie land or family man. Yeah, it's a prairie now."
Sam Schrager,00:03:58:12,00;04;00;25,"A lot of that fixed ridge was, wasn't it? Yeah."
Roy Glenn,00:04:00:26,00;04;01;25,"Oh, bear."
Mabel Glenn,00:04:01:28,00;04;03;00,"Bushcraft, they always."
Roy Glenn,00:04:03:00,00;04;38;11,"Call it an American Ridge was two until you get up towards Troy and, that was prairie land. And that's why old Martin Thomas homesteaded up on the American ridge. And, so he, You could have a another hundred and 60 if you had a, preemption of trees. So he set out five acres of, of, trees to to get another 160 with the homestead."
Sam Schrager,00:04:38:14,00;04;41;07,Wasn't he about the biggest farmer there for a while?
Roy Glenn,00:04:41:07,00;04;47;15,"Oh, yeah. Then he was also president of the Kendrick State Bank here for years and years."
Sam Schrager,00:04:47:17,00;04;50;25,How did he do so. Well? It was it just he was here earlier.
Roy Glenn,00:04:50:25,00;05;01;26,Yeah. It was it gave him the leg up use this year early to start with. Me that's where he got started. Yeah.
Sam Schrager,00:05:01:28,00;05;08;10,And your parents owned land at Jefferson when they lived there? No idea. They were kind of looking for a place.
Mabel Glenn,00:05:08:10,00;05;13;08,Looking for a place. So they created this. They had a place.
Mabel Glenn,00:05:13:08,00;05;21;00,"To park and have a place, and they had hunting. So now."
Sam Schrager,00:05:21:02,00;05;28;21,"Was it was it, did your parents would think about that? They have much money to start out with. They just have to start from scratch."
Roy Glenn,00:05:28:21,00;05;57;11,"Yeah. Hum. Yes. You're right. My dad worked on farms and he is also a carpenter, and he got lots of carpenter work and stuff. And that's how he survived for years and years, and of course, us in the family that he had a family up. They have five boys and three years in the family, and they raised all of us, you know."
Roy Glenn,00:05:57:14,00;06;00;04,He that's that we.
Sam Schrager,00:06:00:06,00;06;03;26,So where was the farm then that you grew up on? Where was it at.
Roy Glenn,00:06:04:02,00;06;37;17,"In it over here on the Potlatch Ridge. Here in it. Wasn't too big a place. And we lived there and, and earn a small place. Then they they rented a farm there and, a bigger farm. And we grew up there and went to school and, and then, after I got grown, all I got to thinking about going to arm in at in your arm is all that thinking about getting married."
Roy Glenn,00:06:37:17,00;07;01;20,"And I met her, and we've been married for 48 years, and, we live on Texas Ridge up here. All right. And she's up on takes you through eight. We go back and forth here. And I'm the reason we're here is we just had girls and they was in school. This was the school. But we had the same two bad years."
Roy Glenn,00:07:01:22,00;07;25;05,Get me in and out for the snow. Lots of snow up there. So we got to hold this place and they've all they've all been through school and and then we're here by ourselves now. But we still there was no school here than it was up on the hill in town. So they bought this land and we don't know how that land come off of this place.
Roy Glenn,00:07:25:05,00;07;33;10,But it was before we bought the place that they'd got the land off for the. The school was here.
Sam Schrager,00:07:33:13,00;07;37;21,"Well, we're on Potlatch Ridge. Was that. Were you near Leland or."
Roy Glenn,00:07:37:24,00;07;44;20,"We as a ridge West and Leland, about four miles."
Roy Glenn,00:07:44:22,00;07;51;25,"From. Yeah, he's about four miles west. And later."
Sam Schrager,00:07:51:27,00;07;57;04,So what? What was it like when you were when you were growing up here? When you just a kid.
Roy Glenn,00:07:57:06,00;08;24;15,"I mean. Oh, you know, it it was quite different out there. Yeah. We had horses and and we had all stock on the ranches, you know, of the Hamlin and, now it's about four miles to Leland. That used to be a little town up there. And at one time we just read in the paper here, not long ago that, at one time, 600 people got their mail at Lee."
Roy Glenn,00:08:24:17,00;08;46;06,"I had a just a small bird. But we you. They had to believe that you had good stores and blacksmith shop. Of course, that was one of the great things in early. They was a blacksmith shop, you know, community. Because that's the way you kept things rolling. If you had a good Samaritan in the country, you know why they don't."
Roy Glenn,00:08:46:06,00;09;07;09,"Most of our work for the machinery and everything and yeah, him and his, his old horses at that time, we were just talking a few days ago. When they go to plow now, they don't make any difference where it's dry or what it is they can plow. But them days when you had the horse, you had to wait till you had more."
Roy Glenn,00:09:07:09,00;09;29;05,"Sure enough, the horses could pull it. You know, and the plows wasn't made to stay in the ground like they are now. Oh, that was that way. And and our grain up used to be a crown up the region. They had all the grain over to this tram, and they were owned by cable and had relationship buckets on it."
Roy Glenn,00:09:29:05,00;09;56;13,"And they'd put their they'd put their grain on these buckets in the sacks and they'd take them all down at the bottom. Well, and Julietta and I had a certain other tram but that run on cars, they had two cars and cables and three of rode on into many a time and they had three, three rails, but right in the middle of it used four rail."
Roy Glenn,00:09:56:13,00;10;18;06,"So these, they just to pass, they just one ride, a little wire, well laid part of your grain on that and, and and run it down to Julietta and put it down there. Crane down there. They had a warehouse there. They didn't haul too much down the grade at that time, you know. And the old roads was rough and rocky and, you know, the whole loan."
Roy Glenn,00:10:18:06,00;10;26;07,"And if they could get it run down that way. Why, that's the way they got a lot of their grain to the terminal down here."
Sam Schrager,00:10:26:10,00;10;30;13,Was it really dangerous to to use them roads for hauling at that time?
Roy Glenn,00:10:30:13,00;10;55;25,"Oh, well, no. You knew when it was too much like their horses then is if your old trucks. It started here and first them was, was solid tires. You know, we had a few of them coming in and, and a few years later, then they started getting small trucks and, and, we used to look at one at Julietta or they got one down."
Roy Glenn,00:10:55:25,00;11;19;07,"Julietta. There now is a relic I believe is 19 and 22 or something like that in his boat. That was about one of the first, pneumatic tires they had, you know, and somebody picked it up out of the junk, and they they had it running down there the other day. And so think that stuff like yet we had one."
Roy Glenn,00:11:19:10,00;11;48;05,"Well, when we got married, why we have the folks enough, I had one and we an old timer and and we got the third edition is the same kind and you'd haul 27 sacks of grain town, you know, I had a pretty good row, but it sure has changed that way. But everybody had horses and everybody had cows in there and had a huge survival at that time."
Roy Glenn,00:11:48:05,00;12;23;06,"It took about a fourth of 160 to feed the cows and and the horses. You do what you raised on it so that that's what took up a lot of the stuff, which nowadays it's all run by big machinery and that's put on the market, you know it and that's, that's, of course the population is, is, increased a lot, but still, that's what makes your overproduction at the present time is because it's all it's all put on the market instead of, like it used to be."
Sam Schrager,00:12:23:09,00;12;33;09,"What kind of crops were would you be getting on Potlatch Ridge or in those earlier years? Well, we they, we did a good yield then."
Roy Glenn,00:12:33:16,00;12;57;08,"Oh, yes. Now, one of the things they raised was beans. You know, we cultivated and hold them, you know, and, that was a good crop. But then on this ground, you would get a real good drop of grain. After beans, you would get a lot better crop on beans ground than you would feed ground. And your ground was always clean."
Roy Glenn,00:12:57:11,00;13;23;20,"You had to cultivate beans in rows, you know, and you cultivate them. And then you'd also whole. And, it took a lot of the young folks this time did it is always it always people were kids on the whole beans. You know, I get a little money in the summer, but their livelihood for, you know, for the family to help with the kids, you get a little job, a hole and beans here and there."
Mabel Glenn,00:13:23:22,00;13;27;11,"We have to cut them, that they'd have to fill them."
Roy Glenn,00:13:27:14,00;13;39;04,"You know, in kind of an environment. And when they mature, then we'd haul them out with the wagons, you know? And I mean, that's right. That took a lot of work. There's a lot of work."
Mabel Glenn,00:13:39:04,00;14;03;12,"The fresh machines come and have a deal with horses, and they crap them out. And you'd bring those beans and and, these horses and have more flat surfaces faster to go around, craft all these things, and we pick up your, strong throw out. Then you pick up the beans for her."
Roy Glenn,00:14:03:15,00;14;06;13,There is a lot of ways to eat them. They.
Sam Schrager,00:14:06:15,00;14;11;24,"Well, how come the, the beans, were they better? And peas at that time?"
Roy Glenn,00:14:11:28,00;14;46;02,"Well, yeah, they were. We had better ground after after the after beans. But here come the peas along. And, they wasn't so much work to harvest them. That and then our machinery change. Here come the, combines, you know well in the beans most of the time. Until the last few years, you had Harlem and farming and operation machine like they like the early grain, you know, make rice, beans."
Roy Glenn,00:14:46:04,00;15;12;08,"They. I mean, just like the grain. Only in your in your machine. You said you just about all you done this year slowed your cylinder down. So you didn't crack the beans and rice. Them were that same size machine. Yeah. They used to take 30 and 35 days. Beans, rice, you know, take care. But like on the average up there and then."
Sam Schrager,00:15:12:10,00;15;16;14,So that was enough to make. Was that enough to make them give up beans.
Roy Glenn,00:15:16:17,00;15;44;03,"Well it seemed like that they, they went to that more because they didn't have to, to have as much work to it. And then, they here combines, you know, these later ones, they could just one man could cut a whole field of peas, which the other way, you had a lot of people working. And that's why, I used to think that's why it makes unemployed."
Roy Glenn,00:15:44:04,00;15;46;15,But the kids didn't have anything to do.
