speaker,words,tags,timestamp
,SAM SCHRAGER: Can you tell us what booze fighting was like in the early years,,
,when you were involved in the WCTU yourself?,,
,"CLARA PAYNE GROVE: Well, to go back much earlier than that, back to the very",,
,early days after it was organized; the women met in prayer meetings and,,
,"then marched together to the saloons to talk with the saloonkeeper. And,",,
,"we didn't have fancy named for the saloons,Athey didn't at that time.",,
,A saloon was a saloon! And women did not visit them. That was almost,,
,unknown. But they would go to the saloons and talk with the saloonkeep,,
,"er, and some of the saloonkeepers did go out of business; not all of",,
,"them, but some of them did. But, at the time that I remember about Grand",,
,"mother, her family worship every day always included, ""And put down the",,
,"wickedness of the saloons everywhere."" Her family devotion never omitted",,
,"that. And, I presume there were many other people with the same thought.",,
,"And, I do not know, when I was a child, much about the working of it. But",,
,I know that my mother was jail visitor. That's one of our projects.,,
SS,You told me about your jail visiting.,,
CG,"I was jail visitor, also.",,
SS,As your mother was in her years.,,
CG,Mother was a jail visitor. That was a project. And we have a number of,,
CG,"projects. For one thing, we have as allies, a group known as the Loyal",,
CG,"Temperance Legion for children of grade school age. And at present, we",,
CG,are not having a Loyal Temperance Legion in Moscow because the woman who,,
CG,was leading it died a year or two ago and we have been unable since to,,
CG,find anyone who would take it on. And we also have a Youth Temperance,,
CG,"Council for the high school age. And Moscow never had that group, but",,
CG,a great many places do have that group. And in one place in Oklahoma,,
CG,"at one time, we had an extremely active National Director of the Youth",,
CG,"Temperance Council work. And Oklahoma was dry and wanted to stay dry,",,
CG,"but, of course, there was agreat deal of agitation to make it wet, and",,
CG,this woman went to Oklahoma and she would go to a Youth Temperance Coun,,
CG,"cil group and tell them what to do, which they did, and Oklahoma went",,
CG,dry that year. And it was dry for sometime afterward. She had hand,,
CG,"written stickers saying, ""We cannot vote. Will you vote dry for us?""",,
CG,And there was a string in each one of them to hang them on the doorknob.,,
CG,And they hung them on every doorknob in the town after the town would,,
CG,"be dark for the night And Oklahoma went dry that year, unexpectedly.",,
CG,That was one actual thing they did.,,
SS,That's interesting. When you went and talked to the saloonkeepers—,,
SS,"I wonder what they could use, what kind of arguments they had, or how",,
SS,"they would deal with the saloonkeepers, when they'd go in. Would they",,
SS,"go in as a protest only, or were they going in to try to persuade them",,
SS,"that they were wrong to sell liquor, or what was the thinking going into",,
SS,saloons?,,
CG,They would try to persuade them to not sell liquor. They would tell the,,
CG,"men who were in there— try to get them to go home where they belonged,",,
CG,instead of sitting around in the saloon. They talked with everybody in,,
CG,"the place trying to get them to run straight. And, we dabbled in pol",,
CG,"itics quite a bit, because politics are partly what is doing everything",,
CG,"that is done. So, we put push on our state to— well on our localcounty",,
CG,and state and national heads to work and vote and influence to,,
CG,"rid the place of liquor. And, one congressman, — I think it was a letter",,
CG,"to Maan (?) when she sent it, I frequently — in fact, just now I",,
CG,was reading a letter from Mc Clure— I think it was in a letter to,,
CG,"me, I'm sure it was, that this congressman, and I don't remember which",,
CG,"one it was, but it was of my state wherever I was at the time, said,",,
CG,"""People may think it is no use to write to a congressman what their",,
CG,"views on.anything may be, but it J^s, because before election, and before",,
CG,"the vote on that comes up, he counts up how many were on the Yes",,
CG,"and how many on the No side, and he is quite apt to vote with the maj",,
CG,"ority. So, he said, ""It is some use to write to your congressman, be",,
CG,"cause you do force him to vote as you please."" So, we do a great deal",,
CG,of that. I haven't kept very much touch with our legislators the last,,
CG,"two or three years just because of inability to do it. But, formerly I",,
CG,was writing almost continuously to some legislator or head of a depart,,
CG,ment or a mayor or somebody; I was in touch with them all around a great,,
CG,deal.,,
SS,"May I ask you, how much of a role do you think the WCTU played?",,
CG,What's that?,,
SS,How much of a role do you think the WCTU played in bringing about Pro,,
SS,"hibition, in the first place?",,
CG,When we pray about it?,,
SS,"No, no. How important was the WCTU in bringing about Prohobition in the",,
SS,first place? Did the organization have a lot to do with the enaction of,,
SS,that legislation?,,
CG,The WCTU was formed to work on the legislation of liquor; to work on it,,
CG,"from every angle they could, from the individual in the gutter clear up",,
CG,"to the President of the United States. At one time, the WCTU got up",,
CG,what was known as the Polyglot Petition. That was from all over the,,
CG,"world signatures of individuals. I don't know how many there were, but",,
CG,I know that they bought a whole bolt of white muslin and they pasted,,
CG,"all of these names, one after another, on that bolt of white muslin",,
CG,and rolled it again! (Chuckles) And two women in their surrey with their,,
CG,"driver, drove to the Capitol to see the President. I wish I could rem",,
CG,"ember which president, but I don't. But, anyway, at that time, anybody",,
CG,could see the President. You just simply went and rang the bell and said,,
CG,"you wanted to see the President, and you got to see the President; that's",,
CG,"all there was to it! Well, these women went to see the President and",,
CG,"leaving the driver with the surrey, they went into see the President, and",,
CG,"they told him that they had brought a petition to him. ""Well, where was",,
CG,"it?"" And they said, ""Would you please send a man out to get it?"" Well,",,
CG,"that seemed a strange request, but he sent a man out, and after a bit the",,
CG,"man came back and he said to the President, ""Would you please send an",,
CG,"other man to help me? I can't carry it alone."" And those two men came",,
CG,in carrying this roll of white muslin that had become immense. They,,
CG,said it was about the size of a big sheep! And they carried it in and,,
CG,presented it to the President with those hundreds of thousands of names,,
CG,"on it! And, everybody all over the United States was writing to the",,
CG,"President about the very matter, I do not recall what the legislation",,
CG,"was that they were after, the exact piece of legislation. And, after a",,
CG,"time, with women all over the United States writing constantly to the",,
CG,"President And at that time, if you had a dozen letters you had a lot of",,
CG,letters. But he was getting them by the hundred and he didn't know how,,
CG,"to manage it, how he could handle it, what he would do with it, and he",,
CG,"finally called the President of the WCTU and he said to her, ""Madam, if",,
CG,"you will call off your women I will grant you anything you ask for!""",,
CG,"(Laughter) So, you can see that we did have power! Well, Frances Willard",,
CG,lasted only so long.,,
SS,She was the founder?,,
CG,"She was the founder, and the pusher, and the big IT of the whole thing",,
CG,as long as she lived.,,
SS,Do you know what she was like as a person? Frances Willard.,,
CG,"She was small. And, as a child she was quite individual and quite active",,
CG,"and always on the move and thinking of something. For instance, she had",,
CG,"an older brother and he rode a horse, of course, the young men of that",,
CG,"time, of course, had a horse and saddle as much as they do a car now,",,
CG,"well, he rode and so she wanted to ride. And her father said, ""No, lad",,
