speaker,timestamp,words
Sam Schrager,0:00:04,"Clay Gustin grew up on a wood ranch in the foothills of Moscow Mountain. He worked as a young man in Moscow at various jobs. In this interview, he discusses the park's sleigh hall, fatal accidents in the woods, the McGarry Butte fire, advantages of horse logging,"
Sam Schrager,0:00:29,the few moonshine stories. The first thing I thought I'd ask you about the ranch on the wood ranch on the Coomerun Creek.
Sam Schrager,0:00:47,"You were just a kid there, huh?"
Clay Gustin,0:00:51,That's where you were born.
Clay Gustin,0:00:52,I was born right before the mountain.
Sam Schrager,0:00:56,"And when that, was it just a wood ranch? I mean, it's just for cutting wood and there's no farming at all?"
Clay Gustin,0:01:04,No farming.
Clay Gustin,0:01:05,"No. We just had a wood ranch up there. Dad worked out in harvest, you know, during harvest. We went to school there at the end of the mountain. No, we didn't have a farm. All we'd done up in there was cut wood in the wintertime and then we'd haul it in the summer, you know, haul it to Moscow."
Clay Gustin,0:01:34,For firewood.
Sam Schrager,0:01:39,Where did you have to go to go to school?
Clay Gustin,0:01:42,"It was about three miles from there down, they called it the Evergreen School, just part of the Moscow Mountains there before you start into them. It's still there, I guess. I haven't been out there for years. Oh, there's quite a bunch of kids went to school there."
Clay Gustin,0:02:04,There's Becks. I seen him the other day. He's talking about the school. He's about my new school.
Clay Gustin,0:02:14,You had a lot of brothers and sisters.
Clay Gustin,0:02:16,"Yeah, I had, let me see, I think there's six boys and four girls."
Clay Gustin,0:02:30,"They're all dead except two or three of us, one girl and my brother in Moscow."
Sam Schrager,0:02:40,Did you have many neighbors out there or was it?
Clay Gustin,0:02:43,I was a little around through the country there at that time when we was kids.
Clay Gustin,0:02:50,"I can't think of all the names. There's some Coles lived there, Gid Cole,"
Clay Gustin,0:02:58,"Erikson, Dahlberg, and there's some other people the name of Stratton, Homer Burr's family,"
Clay Gustin,0:03:18,"Haddon, Coopers, and Hart. Oh, there's quite a bunch of them. That isn't about, you know, two or three miles around the country there."
Sam Schrager,0:03:34,Were they wood ranches too or were they fires?
Clay Gustin,0:03:37,"Well, most of them was in the timber. I guess some of them had little land cleared and stuff like that to farm on, raise hay for the stock. It wasn't really farmers, but then after you got a little further down, then it was all farmers."
Sam Schrager,0:03:58,Do you know how your father came about getting the place?
Clay Gustin,0:04:03,"No, I don't. He had it on out of... He probably bought it. He didn't. Homesteaded. No, I don't think he homesteaded. I think he bought it."
Sam Schrager,0:04:12,Was most of the timber still on it when you were a kid?
Clay Gustin,0:04:18,"It was still there when he got rid of it except what we cut for wood. I see they've logged it though since then. I don't know, maybe several times. Well, how old were you when you..."
Sam Schrager,0:04:32,"When you remember starting to work out there and cutting, helping, right?"
Clay Gustin,0:04:38,"Well, it was about time after I got going to school, you know, as kids we worked all the time when we were home. Soon as we got big enough to hang on to the saw, we was cutting wood."
Sam Schrager,0:04:54,What was the operation like there?
Clay Gustin,0:04:58,I figure it was really small.
Clay Gustin,0:05:01,"I mean, just with a family. Well, we'd just go out there and they'd fall the tree and we'd saw them in the four -foot blocks. Then the bigger ones, they'd split them. God, I don't remember when it did start, but I remember being there, you know, from... growed up. I was about 14 years old. Well, we moved to Moscow there. I went to school there for a little while, and then I quit school and took off up there and went and been here."
Sam Schrager,0:05:41,"Do you remember anything about Evergreen School, what it was like going there?"
Clay Gustin,0:05:46,I remember when the teachers used to bounce you around on the seats to make you mine.
Clay Gustin,0:05:55,I seen them pick them up and set them down there quite a few times.
Clay Gustin,0:06:03,"It's a lot different than it is now. They used to make you mine, but now they don't dare to. They'd hang the teacher. They'd take some of the kids. No, I don't... It's been so long ago, I forgot. I know there used to be some great big kids there, you know, being, I suppose, sixth, seventh grade. They used to... The teachers, they'd hold their hand up and want something, you know, just for meaningless. She had a big platform up there, and she'd make them come up there and lay down on the... to punish them. I remember a lot of times, they had that thing full of them. They'd just do it for honest reasons. They wanted something, and then when she'd ask them what they wanted, they didn't know what it was. She'd take them up there. That's the way she... They'd stand in the corner someplace."
Clay Gustin,0:07:12,"But they was having grown men in there at them days, you know, trying to get an education. Didn't want one either, I guess. Didn't act like it."
Clay Gustin,0:07:24,"I mean, they hadn't had a chance to go to school before that, and they wanted to go and learn."
Clay Gustin,0:07:33,"Oh, we didn't get to... We'd suffer from school there. You know, when the snow gets so deep, sometimes you wouldn't get to school."
Clay Gustin,0:07:44,"But you used to have to hike, and by the time you get there, you'd be late. There wasn't no set time. We were supposed to have been there on time, but we couldn't get there. It didn't seem to make much difference as long as you got there and back. That was the main thing. What kind of house did you..."
Sam Schrager,0:08:02,"I don't know, it was just a little log cabin?"
Clay Gustin,0:08:04,"No, it was a lumber house they'd built. It ain't there no more. It wasn't the last time I was in that country. They'd logged it, and they'd tore down everything that was there."
Sam Schrager,0:08:16,Did you get along pretty good with all that brothers and sisters?
Clay Gustin,0:08:19,"Oh, yeah. They'd fight once in a while, but that didn't make any difference. No, they had a pretty good house there at some time."
Clay Gustin,0:08:33,"Then my mother's folks, they lived there too. They lived up in the little boughs in there. Her brother and her mother. Of course, they're all dead now, a whole bunch of them."
Sam Schrager,0:08:49,What did you do in Moscow when you went there? What were the jobs? What was it?
Clay Gustin,0:08:55,"Oh, I drove the drey team there for Williamson for a while. Then I worked on this paving the streets there. You know, had a vat down there to cook oil in. I worked at that. Then I worked in that harvester there at Moscow. And they had the harvester there where that big store is, out on North Main. The Rosauers. Rosauers. Worked in there. Then when I was going to school, I used to split wood for them. That fella used to run the penny store. You know, split it into cook, wood firm. Had all kinds of jobs around there."
Sam Schrager,0:09:41,What did you pull on the drey team? What did you deliver?
Clay Gustin,0:09:45,"Oh, we delivered coal and trunks and furniture. I didn't get in on much of that furniture because I was too rough with it. They didn't like that. I didn't like the mood. Them old ladies would stand out there with a broom and hit you over the head if you scratched something."
Sam Schrager,0:10:05,What about the coal? Where did you deliver that?
Clay Gustin,0:10:07,"I delivered that up at the university. A lot of it. And then around town, you know, different ones. They'd order it and you'd have to take it out. But the university had most of it. Flat car gondolas come in there and we'd load them out of them, shovel it out, take it up there, and dump it into that furnace to keep that heating plant going. They could just about burn a load while I was getting one too."
Clay Gustin,0:10:38,Then they finally put the railroad up there. I don't know. They ain't got the railroad there now. I don't know what the hell they get it up there. Maybe they don't use coal anymore.
Sam Schrager,0:10:52,You told me that you delivered flour too?
Clay Gustin,0:10:55,"Yeah, to the bakeries. That's the first job I had of a morning. Go down there and get about 10 sacks, 100 pound sacks of flour and take it up to that Third Street bakery. I forget who owned that now. I knew him well then too. It's the same building. Yeah, same place. But I can't think of the color of his name. It was run with them. Then I'd go overnight the last thing and get that bread and deliver it out there where that road is. And then take a bunch of it to the university up there. They had two places for them. Boy, there's a lot of bread and a thousand pounds of that flour when you get it mixed up."
Sam Schrager,0:11:43,"What was it, the Rose Hours place?"
Clay Gustin,0:11:45,They had an army camp there at the time. And one at the university.
Sam Schrager,0:11:55,Did you take it to other stores too to sell?
Clay Gustin,0:11:57,No.
Clay Gustin,0:11:57,Just those two places. Them two places. The only place I'd been.
Sam Schrager,0:12:03,What was the army camp like?
Clay Gustin,0:12:06,"I didn't know that there was one. Oh, this mess hall and stuff like that where the pheasant went there. Big long building."
Sam Schrager,0:12:18,And then you worked later in that harvester plant on that same site?
Clay Gustin,0:12:24,That was before that I worked in there. They got that for the army out there.
Clay Gustin,0:12:36,Used to haul scrap iron out there and they'd melt it. We'd pour it into these molds. That was a hot job too.
Clay Gustin,0:12:50,Gov. Bixley was in on that I think. He was lieutenant governor later on. I don't think he was at the time. Later on.
Sam Schrager,0:13:02,Why was it such a hot job? Was it a foundry?
Clay Gustin,0:13:10,"Well, that iron, you know, you had to catch it in them kittles. And then pack it around the port and use your molds they had to fix it for you."
Clay Gustin,0:13:23,You could sweat pretty easy in there without doing any work.
Sam Schrager,0:13:30,What did they make the molds out of?
Clay Gustin,0:13:33,They used sand mostly. Some kind of sand. They'd make the molds whatever they wanted to make. And they'd pour this stuff in and let it set. Cool it off.
Sam Schrager,0:13:51,You know if they used harvesters right around here in this area?
Clay Gustin,0:13:58,They used them there at Moscow. I don't know. I don't think they used them too long or stood up too long. They used to make these car wheels for these railroads.
Clay Gustin,0:14:17,"So you came out, you left Moscow pretty young. I left there when I was 14, come up here and then I went back different times and worked there in Moscow. When there wasn't nothing around the woods too much to go back down there and get a job. Stay a while and then I'd take back to the woods. I never did. I don't know. I never did like a town. I'd rather be out here."
Clay Gustin,0:14:52,"So when you came out here you were still just a punk kid but you weren't all green about logging. I'd been in the woods all my life. I knew about the woods. If I could tell one tree from another I'd know that. Yeah. Oh, I swamped. When I first came down here, along the railroad track, an old feller was with me. We worked together there quite a while. Went sawing and stuff like that. Got on them high lines. Just kept moving around wherever they'd job them up."
Sam Schrager,0:15:37,Do you remember what they first had you do? They had you swamping at the start?
Clay Gustin,0:15:42,"Yeah, I was swamping down here at Camp 7. They'd fall in trees along the right -hand side and saw them up and then we'd go on and cut the limbs off."
Clay Gustin,0:15:57,And then the motors came in and loaded them up.
Sam Schrager,0:16:06,Do you remember the Beals Butte fire?
Clay Gustin,0:16:09,"That was in 1914, which I guess was the same."
Sam Schrager,0:16:12,"1910, wasn't it?"
Clay Gustin,0:16:14,I thought it was a little bit later. I thought it was after the... I know this one over here because I was on it. The McGarry Mountain.
Clay Gustin,0:16:25,That was quite a bit later.
Clay Gustin,0:16:27,"Well, that was after they built the railroad in the park over there. We was working at the camp. Camp 1 over there at the time. The fire was starting to put us out on this. But I don't remember this one here. It must have been 31 or 32."
Sam Schrager,0:16:47,What was that fire like? The McGarry fire? Huh? What was the McGarry fire like?
Clay Gustin,0:16:54,It was pretty hot. It burnt that whole mountain back here. We had to stop down at the river in there.
Sam Schrager,0:17:05,What did you do on the fire?
Clay Gustin,0:17:07,Make trails. I had a crew out there myself making trails. Had to watch them all the time. See where they were at and whether they stayed out of the fire or not. And see if they got their lunches at noon.
Clay Gustin,0:17:26,"Then we backfired from the river back the other way when it got coming down over the hill there because I figured it jumped across on this side. So we'd go along the other side and backfire and let it run up into there. I know we went up Boulder Creek in there one time, a bunch of us, and we were going to put a trail in. Heck, that fire was going clear over us. You know, and lighting down. So we had to take them all out of there then. Then we went back to the river and started backfiring the other way. They'd have stayed in there. That fire got blown there. They'd have had an awful time getting out of there. And they had a lot of green kids on us. They'd have been brought out from Moscow. They didn't know what a fire was or what to do. You just had to watch them all the time."
Clay Gustin,0:18:21,"If you got lost in the brush, you might have got burned up. But most of them were pretty good workers. They'd do what they told them to do."
Clay Gustin,0:18:36,"Oh, I don't know. Them fires, I don't think much of them. I still think they said it."
Sam Schrager,0:18:42,Who said it?
Clay Gustin,0:18:44,I always will think so.
Sam Schrager,0:18:47,What? For what?
Clay Gustin,0:18:49,"Say it burns, Royce. Cheaper that way than it would be to hire crews to go out and burn, I think."
Sam Schrager,0:18:57,Do you think they thought it was going to get out of hand like it did?
Clay Gustin,0:19:00,"Well, it did get out of hand, but I think they said it in the first place. I couldn't swear for it."
Sam Schrager,0:19:08,What about the fire over by Floodwood? Were you on that one?
Clay Gustin,0:19:12,No.
Sam Schrager,0:19:13,Are there any others that you fought?
Clay Gustin,0:19:15,"I was on one at Princeton one time down here. A bunch of us went down there to fight that. I found out that one was set too, and I didn't do much fire fighting either. I watched some of them skidways so they wouldn't catch fire."
Sam Schrager,0:19:32,Set by who?
Clay Gustin,0:19:34,The company.
Clay Gustin,0:19:36,"Well, it seems like that happens. The Forest Service, they'll set them now. And when they're burning and brushing now, they'll burn off another 50 acres or so."
Clay Gustin,0:19:46,"It's called a slop over. Yeah, they get away from them and they holler because somebody else set it. But they used to have to pile that brush and burn it, and it would cost a lot of money to get that burnt."
Sam Schrager,0:20:01,You mean in the old days?
Clay Gustin,0:20:02,"Yeah, when they had to pile it all, and they'd get a fire going like this and they'd get burnt pretty cheap. But putting the fire out after it got the brush and burn it. Some of them get away from them and they burn up a lot of timber. That 1910 fire, I wasn't up here then. But that burnt, oh, I don't know, all over. It burnt Bovill up, I guess. Butte, Butte, all through that country. I don't know how much further. A lot of people got burnt up in that, I guess."
Sam Schrager,0:20:40,Was Bovill a pretty rough town back there?
Clay Gustin,0:20:45,"No, I don't think it was too rough. Clarkia was a rougher town, I think, than Bovill, I bet."
Sam Schrager,0:20:59,What was it like in Clarkia?
Clay Gustin,0:21:03,"Oh, they had all kinds of things going over there. Tootle -Eggin', I don't know."
Clay Gustin,0:21:09,"I've heard about that around here, too. Yeah, they've had some of that here, too, I guess."
Clay Gustin,0:21:14,"Not too much of it, as I even know of. Of course, they can get bootlegged whiskey in here, but they hauled it in, I guess. First I'm making it, I don't think too many made it."
Clay Gustin,0:21:34,"No, I forget half of what used to go on around here."
Clay Gustin,0:21:38,"Well, it's been a pretty long time."
Clay Gustin,0:21:42,"Well, there are never things about what's going to happen later on or nothing, you know."
Clay Gustin,0:21:47,"Heck, that stuff's 50 years ago that we're talking about."
Clay Gustin,0:22:06,"I know dairy was a lot different when I first came up here. Old shacks and I don't know. Now they've got it fixed up pretty good. They used to have saloons. They used to have one right down the road here. That's Russ Lawrence, I showed you that picture. He was on a saloon right down here on the road when they built this railroad."
Clay Gustin,0:22:36,"That was before my time when they built the railroad, but he had it after I came up here, too."
Clay Gustin,0:22:49,"I guess it's kind of rough on the one that built the railroad in here, kind of tough on some of them."
Sam Schrager,0:22:57,How do you mean?
Clay Gustin,0:23:01,"Building the railroad, they'd get drunk and some of them would get killed and everything. They had most of them bow hunts, they called them. On the road."
Sam Schrager,0:23:13,Would you say that in the camps it was mostly foreigners that were working the camps when you were first out here? Was it mostly regular?
Clay Gustin,0:23:25,"Well, it was just about half and half, I'd say. Maybe more of them were foreigners. Because they come in here and they built the camps and then they built railroads all over for the potlatch. No fella had a whole camp full of them guys."
Clay Gustin,0:23:44,"Foreigners, I mean. Of course, they were good railroad workers. About all they knew, I guess."
Sam Schrager,0:23:56,"Well, would you say that when the labor activity started, changed conditions that came mostly from them, or did it come as much from the guys that lived around here?"
Clay Gustin,0:24:16,"Well, when it first started, I think there was more of them WAPs in on it. But afterwards, I think it got, well, the rest of them was in on it, too. That's what they gathered up with them WAPs when they come in after them that time. WABL, they called them. Afterwards, there's quite a few of the other guys got in on it."
Sam Schrager,0:24:41,"And the other guys, I mean, the guys that lived around here?"
Clay Gustin,0:24:44,"Yeah, it worked for the potlatch."
Clay Gustin,0:24:46,They'd get up for more money and different things.
Clay Gustin,0:24:54,"And then the potlatch had a union of their own, four Ls. Oh, another union, I forget what they called that. But the potlatch wrote it and you lived up to it."
Clay Gustin,0:25:08,"So it didn't help you, any?"
Clay Gustin,0:25:10,"You done this what they want you to do, or you didn't stay. No, the union wouldn't stick up for you, so it must have been the potlatch that wrote it."
Sam Schrager,0:25:23,Did many guys join that one?
Clay Gustin,0:25:25,"Oh, you had to join if you worked, you know. They wouldn't let you work unless you belonged to it. Finally, it got to them. Everybody found out it was a potlatch union, so they finally quit paying in on it and they still stayed and worked. And then I guess that other union, CIO or AFL got in. And that was a little different. They'd take your money and it wouldn't get you no more wages either."
