speaker,words,tags,timestamp
,INTERVIEWER: This conversation with Alben Halen took place at his home,,
,"in Deary on February 20, 1976. The interviewer is Sam Schrager.",,
AH,"I could just - in a few days, why I didn't care for cigarettes—",,
AH,"I had Copenhagen, why that's good enough. But, he used Copenhagen",,
AH,and his sinuses just like I've got. He quit for over a year -,,
AH,"he could see a post down there and he said, ""Give me a little",,
AH,"of that, and I let him take some and it wasn't more than an",,
AH,"hour afterwards he said, ""You got to give me another pinch of",,
AH,"this Copenhagen."" Then on the way coming back home in the car,",,
AH,"he says, he was going up to his place and I went to mine - he",,
AH,"says, ""Bring me a box tomorrow morning."" Well, I said, ""As far",,
AH,"as for that well, take the one I've got here."" He said the",,
AH,habit was back just like when he quit; as soon as he took one.,,
SS,"Well, that's the same way with cigarettes.",,
AH,"I suppose,,",,
SS,I know people that stopped for years; one cigarette does it all,,
SS,over again.,,
AH,"Well, alcohol I guess is about the same way. You take a real",,
AH,"alcoholic, if they take one drink they know why - they're cured,",,
AH,well one drink will start them off again. And I know two or three,,
AH,guys-that way - they quit. Just one little swallow and it will,,
AH,put them right back.,,
SS,Were lumberjacks as hard drinkers as they say? Did they drink,,
SS,a lot?,,
AH,"Well, there was bell drinkers in those -they'd get thdir paychecks -",,
AH,"why, then there was drinking, then after that, why sobered up and",,
AH,went back on the job. There wasn't much drinking. I never knew,,
AH,"of anybody when Iworked in camp, 'cept, that carried any liquor",,
AH,"in. But, most of them used Copenhagen or some cigarettes, of",,
AH,"course. If it was a dry summer, you wasn't allowed to smoke in",,
AH,the woods. You could go and sit down on alog and smoke acigarette,,
AH,if you was sure it wasn't hanging in your mouth when you was sawing,,
AH,or swamping or anything. Scared of fire in those days.,,
SS,Do you remember the fire that they had here -the one in 1923 that,,
SS,burned down a town?,,
AH,"Oh, yeah, I remember that.",,
SS,How did it start - what do...,,
AH,I wasn't working in camp at that time but Iremember the fire all,,
AH,"right. My brother, Oscar, was working up there. Started just",,
AH,a little ways off from the camp there in the driest part of the,,
AH,"summer. I didn't work there, but at that time I was out in the",,
AH,farm in the summer. It was that harvest anyway. I remember when,,
AH,"they had the big fire and Idon't know, in Coeur d'Alene and all",,
AH,"the way down. That was 1919, and the air up in here was - you",,
AH,could stand and look at the sun and then it wouldn't hurt your,,
AH,eyes for .days from the smoke. Iguess that's the worst part we,,
AH,had at the time. I don't think they had any fires when I was,,
AH,"right around close here, though. They had the fires afew times",,
AH,"started up above. Up in that country, of course, but in here,",,
