speaker,timestamp,words
Sam Schrager,0:00:02,"This conversation with Beulah Dollar Herman took place at her home in Troy on November 9, 1976. The interviewer was Sam Schrager."
Beulah Dollar Herrmann,0:00:20,I guess it was 28 and we've lived in Moscow and here all this time.
Sam Schrager,0:00:32,"When you came, where were you coming from?"
Beulah Dollar Herrmann,0:00:35,We came from Colorado out here.
Sam Schrager,0:00:37,What was it that made you decide?
Beulah Dollar Herrmann,0:00:40,"Well, my husband wanted to get out on a farm someplace. We were living on a farm in Colorado. They had so many windstorms there. It was hard on the crops and he wanted to get out here. He knew some people that lived in Moscow, the Bongarars, years and years ago. I didn't know them. He came out here and looked around and he liked the country. The following year we moved out and we've been here ever since. As I said, I can't remember just when I started to work for Psychiana. I see it was, must have been about 1943 or four that I worked there."
Sam Schrager,0:01:30,Had you worked before you worked there? Had you worked around in Moscow?
Beulah Dollar Herrmann,0:01:34,No. I just worked there.
Beulah Dollar Herrmann,0:01:37,"Because it was a type of work, about the only type of work they had around Moscow for women was working, sorting the peas. So many people couldn't do that because they run on a belt and you couldn't do it."
Sam Schrager,0:01:50,Working with - Why? They couldn't do it because it was hard?
Beulah Dollar Herrmann,0:01:53,"It made them sick. It was a movement all the time, you see. That's why so many of them worked for Dr. Roberson because it was a type of work they could do and it wasn't hard. It was a little bit confining and sometimes monotonous. But then it was a job. As I said, he was very nice to work for. Of course, he very seldom ever come around to pay too much attention about the work. Of course, we always saw him. His office was in the building where I worked. As I said, I saw Dr. Bach when he was there. He was there two or three times while he was in Moscow and Dr. Roberson brought him out and introduced him to all of us. Then after this book came out, he gave each other the book."
Beulah Dollar Herrmann,0:02:43,I think that you got - I'm pretty saying that most of the people that worked there had a very positive impression of him. He thought he was a very good person.
Beulah Dollar Herrmann,0:02:56,"Well, all of us that worked there definitely thought - and as I said, he was very nice. It was more of the town people that were more or less down on him, but he never hurt anyone. He never did and he done a lot of good for the town. He is the one that put the post office on first -class rate. He did that with all of his mailing. You see, I worked in the mailing department. All of our building was advertisement that we sent out the mail for these lessons. Then when the lessons - anyone that wanted to fill in the cards and send them back, they went to the other building and then they mailed the lessons out. Any time there was a fundraising deal in Moscow and they were short, Dr. Robinson filled it out. It was never published because he didn't care for that publicity. As I said, most of us knew it, but the people in town never giving credit for anything. They were a lot of people in town."
Beulah Dollar Herrmann,0:04:12,"Probably in this one drug store there, he mentions him in one of his books in the corner drug. He helped him when he first began getting started there. There was a few of them that put money in that had a little interest in it and they cut their money back and everything. But his time went on while he didn't need any help. This was when he first started. But as I said, Dr. Robinson never hurt anybody. You could get a lot of good out of his lessons if you wanted to follow through with him. Of course, now none of us working there ever had them because that was one regulation."
Beulah Dollar Herrmann,0:05:00,"Very seldom did any of us ever read the advertisements. Of course, they changed from time to time. In the hours that we worked, we weren't allowed to be reading it. We were supposed to be working. If some of us wanted to take some of it home, we did. I used to take some of it home, but it's been so long ago, I don't even remember what it was."
Sam Schrager,0:05:23,But you couldn't take the lessons home and look at them?
Beulah Dollar Herrmann,0:05:27,"Well, now the lessons were put out from the other building."
Beulah Dollar Herrmann,0:05:30,Were there any of them ever taking any of them home?
Beulah Dollar Herrmann,0:05:31,"I wouldn't know. But in our mail, it was a regulation because we mailed thousands and thousands of letters a day. We'd see we had to sort them just like they do in the post office. And if there was any from Moscow, we threw them out. Moscow to Poland, town, we threw them out. That was a regulation. Because, you see, he knew that the people of Moscow didn't go along with him on his beliefs, so he didn't bother him."
Beulah Dollar Herrmann,0:06:05,"Well, I guess one thing that I had heard was that he was afraid that he would be accused of trying to take people away from the other denominations. Yes, yes, that was part of it."
Beulah Dollar Herrmann,0:06:18,"As I said, he never interfered with any of the churches up there or anything else. But as I said, he just didn't bother him at all. But they were a well -fought -of family, and I knew all of the family very well."
Beulah Dollar Herrmann,0:06:39,"But he discouraged you, the people that worked with him, from looking at his lessons or looking at him from being a part of the religion, too. He didn't really want the people. Of course, he never did tell us that."
Beulah Dollar Herrmann,0:06:51,"But then the supervisors, you know, over it, they always, when they heard anyone, as a rule, lots of the girls would come in there. I knew when they heard them, that sometimes they didn't tell them that, but every once in a while you'd see them reading it. And any of us that had worked there for a while, we'd just go and tell them to go ahead with their business in hand, what they're supposed to do, that they weren't supposed to. If they wanted to read them, they'd take them home whether or not it's while it's working. And of course, if one of the supervisors had seen it, she'd always come over and lull them out. And the rest of us would do this on the slide to keep them from getting a bowling out."
Sam Schrager,0:07:35,So how were the supervisors to work for? What were the working conditions like? How much was expected of all of you as far as output and all that?
Beulah Dollar Herrmann,0:07:48,They expected us to do an awful lot.
Beulah Dollar Herrmann,0:07:52,"That is, if we put out 35 ,000 a day, they thought we should put out 40 or 50 a day. And of course, that always depended on how many of us was working on the mailers, because you could only do so much of that. But then, now one of the supervisors is still living. She lives there in Moscow on Hay Street, Jenny Nesbeth. Yeah, if you wanted to, of course, her husband isn't very well. And so I don't know if you stopped there some time. But then she is still living, and she's the one that I worked under all the time I worked there. Of course, there were some others that worked closer to her, too, you see. If she couldn't be there, there were others supervisors taking it over."
Sam Schrager,0:08:36,She was in charge of how many of the whole operation in the building?
Beulah Dollar Herrmann,0:08:42,"No, she was in charge of our building."
Sam Schrager,0:08:45,Which was?
Beulah Dollar Herrmann,0:08:45,"See, in the back of our building was where all the machines were, where they had done all the printing and the folding. And then they were brought in from there into our part of the building. And we had to, oh, most of the time we had four or five different folding things that we put in an envelope. And then you see they were put in these envelopes that already had the names on them. And then when we got so many hundreds and hundreds of them, part of us had to go and work on the mailers and sort them all out. And it had to be done and got to the post office each day so they could be sent out. And we run them through those mailers, as I said, as lots of times said, I know that we mailed as high as 65 ,000 and 75 ,000 a day. Of course, we really had to work fast to do it. But then, lots of times, we didn't put that many out because sometimes when we had to change, each group of names went by numbers. And when you got those filled, well, you started in on another group and they all had to be kept separate, you see, until they were put into the mailer. So that way, when the cards were numbered that were put in there, they'd come back to the other building and they could tell what percent of a certain group of advertising names, what percent they got back."
Sam Schrager,0:10:15,What was your own job there? What were you doing?
Beulah Dollar Herrmann,0:10:19,"Well, I did a little bit of all in that part because none of us ever worked in the part of the building where the machinery was. We had, I stamped cards, as I said, they had these cards that you filled out. But each group of advertising names that you got, like they come from this company in New York, this company in Chicago, or someplace else, they were kept separate. And if there was 40 ,000 of them names, you stamped 40 ,000 cards with that number on them. And that was one of my jobs. But you see, you would get tired of doing that because there was only a few of us that could stamp those cards because you had to do it fast. Well, and then, as I said, we had these stacks of folded material in front of us. Sometimes it was three or four and then a card. And you'd put them together like this and put them in an envelope. And then we'd put them in these boxes. And when you got these boxes full, they were about this size, but they went to the mailer and then they had to be run through the mailer."
Beulah Dollar Herrmann,0:11:26,"And the information in those envelopes would be just a general, mostly in advertisements for course, IKEA. And the card then, if you wanted the lessons, you filled the card out and mailed them back. And then they went up to the other building. And they sent the lessons out to the other building."
Sam Schrager,0:11:44,"These lists that he got, were they from, how did he get them? Were they from organizations or where were they from?"
Beulah Dollar Herrmann,0:11:56,Yes.
Beulah Dollar Herrmann,0:11:57,"A lot of people yet today wonder how they get an advertisement in the mail. Well, it's very easy for me to know because that was one of my jobs. I opened up those boxes by the hundreds and hundreds. One advertisement company will sell them to maybe 5 ,000 other companies. Like if there's an ad in a paper for something, regardless of what it is, and you know how many people may send in for it. They've got your name on the mailing list. They sell that list of names."
Beulah Dollar Herrmann,0:12:30,"I said, if there's 5 ,000 other companies that want them, they sell them."
Sam Schrager,0:12:35,"Well, do you have any idea of where his lists were coming from?"
Beulah Dollar Herrmann,0:12:39,"Yes, I know where they all came from. But of course, as I said, it was just everywhere. Maybe it was somebody that was advertising some foolish, ridiculous thing to sell. It's like I said, Dr. Robison's, what Dr. Robison put out didn't hurt anybody with some of this stuff, where they got the names at. Well, I wonder if he got a list from seed companies or something like that. Anyplace. Anywhere he could, that really. Any advertisement that you see in any magazine, they have the right to sell those names. And they do sell them. They sell them to hundreds and hundreds of advertising. And yet today, you know, like you can get something in the mail that you didn't send for or anything, and you wonder where it come from. That's where it come from. It was sold from some place that has your name."
Sam Schrager,0:13:31,"Well, you, when we talked a little bit about the kind of people who would be interested in the lessons, did you have any idea yourself on who would be the people who were asking for the psychiatric?"
Beulah Dollar Herrmann,0:13:46,"Well, I never met any of them, no. As I said, they were from every place else in the United States and in the world. You see, we had, we mailed a lot of them to different places in Europe, different islands. And, as I said, no, I've never met any of the people."
Sam Schrager,0:14:07,Do you think that a great part of the people who were getting the material were saved from the big cities? Was what? Were saved from the big cities? Do you think many of them?
Beulah Dollar Herrmann,0:14:18,"An awful lot of them, yes. An awful lot of them."
Beulah Dollar Herrmann,0:14:21,"But, of course, not all. But they had to be, we could tell that, because now, like, when we went through the list of New York City names, you know, that part of the mailer would be full. Five, six times a day. There's Chicago or San Francisco, or all like that. But then, of course, they were little towns, too, because in sorting your mail, unless you had ten from one town, they had to go separately, you know. So, as I said, but it's been a good many years since I worked there, a lot of it I forgot."
Sam Schrager,0:15:00,"Well, what makes you think that the lessons, what's your own personal knowledge to feel that the lessons were good for people?"
Beulah Dollar Herrmann,0:15:10,"I think so, because it's like I said, they wouldn't hurt anybody if you wanted to follow through with them. And, there was a course of lessons, I can't remember any more how many, they were set, and then they were followed up. And, any time, if they wanted to discontinue, if they could, or if they wanted their money back, they got it back. That is, if they hadn't got all the lessons. But then, outside of that, that's all I really know about the lessons, because that wasn't in our department."
Sam Schrager,0:15:42,Do you know what the cost of them?
