speaker,words,tags,timestamp
,The following tape was made with Florence Liney Ingle in her home on Bear,,
,"Ridge in Idaho.She grew up on Little Bear Ridge, and knew almost all of the",,
,people in the Troy and Kendrick area in the early days. Her father was a farmer,,
,"and she married a farmer, King Ingle, and many of her memories and stories",,
,"are on this tape of the days of horse farming, thrashing crews, fruit",,
,"growing, early schools and cattle rustlers. The interviewer is Rob Moore.",,
,ROB MOORE: When did you come to the county?,,
,"FLORENCE LINEY INGLE: In 1884. I mean we came by train. From Wigley, California. That",,
,area. Any,,
,"way, was our county seat at that time and they called it an immigrant",,
,"train. They were mostly immigrants on it. It wasnft very fancy, you know. Our",,
,seats weren't really They put new seats in there. They had,,
,"stoves, you know, I guess in the immigrant trains they always had the stoves",,
,in they heating in those days. Anyway I was only two years old. One,,
,thing I remembered on that train was seeing these strange people.,,
,"They were always interesting to me. I'd go from one seat to another, I",,
,suppose... I'd gaze up in their faces. One lady just across the aisle from,,
,"where we were setting, she handed me out an orange. I didn't know it was",,
,"an orange. Ir heard of lemons, but I didn't know about oranges. I was",,
,"only two years old, And I took it over to my folks. Mother took",,
,"it and It's an orange."" she said.(laughs) That the first time I ever",,
,"seen an orange, (laughs) I don't know whether it was growing in California",,
,at that time or not. That was way back in 1884. I doubt very much that,,
,"they were growing, they might have been trying some orchard^ out but the",,
,oranges came later. They grew lemons That's why I thought it was a lemon.,,
,It was yellow I'd never seen an orange before.,,
RM,Uhy did your father leave the area down there?,,
FI,Father had grown up in Missouri. And they he was interested,,
FI,"in stock back there. And, this Feather River in California",,
FI,"it was rich farm land. And father, I forget how many acres he had there.",,
FI,It was a large area the farming was quite heavy and he had to do,,
FI,"it with all horses in those days, And he did raise good crops. But out of",,
FI,"7 crops he lost 3. The river came down from Orville you know, down through",,
FI,"there. Down past Griddley, we were about 8 miles from Griddley. And that",,
FI,was all a nice valley through there. Well father's land was just in the,,
FI,right place for the wat to wherethe leva would break up there 1the miners,,
FI,up levees and they'd break and let the water down on our farm land.,,
FI,Se father lost 3 crops out of 7. And that was a little discouraging to,,
FI,"him. Our crops were heavy though, he raised very good grain. And very",,
FI,"heavy I mean,This was advertised...he up in",,
FI,"the stock country, he wanted to get in the stock business.",,
FI,"So Idaho, he",,
FI,was Idaho had been advertised even down there as a,,
FI,"new stock country. So he had a brother in law, my mother's brother had moved",,
FI,"into that section on Little Bear Ridge there, where we moved. And they'd",,
FI,been living there 3 years before we went there. So they were quite,,
FI,"well established and that was one reason why we went there, Qecause this",,
FI,"brother of hers, we knew him very well. And she thought a great deal of",,
FI,him. He'd been a Civil War veteran. But I should go on with my story.,,
FI,"liie found it all right there on Little Bear Ridge. We settled, we came to",,
FI,Moscow and stayed overnight there. We perhaps stayed several days there.,,
FI,And then we moved out to our homestead on Little Bear Ridge.,,
RM,What was the name of this brother in law?,,
FI,My brother...,,
RM,He'd be your...,,
FI,He was my uncle. His name was Porter. Lidow Porter. His name... he'd come,,
FI,from Tennessee where my mother had lived in Tennessee. And they lived in,,
FI,"Tennessee, but they had come west and they were living down here at Dayton.",,
FI,But they bad moved up here before wis came from California. So he was one,,
FI,of the earliest of the settlers on Little Bear Ridge. I have a list of,,
