speaker,timestamp,words
Rob Moore,0:00:30,Is that alright?
Alice Henry Jackson,0:00:32,Sure. (sings)
Rob Moore,0:01:25,It's very nice.
Rob Moore,0:01:28,What is that?
Alice Henry Jackson,0:01:29,That's when the roll is called up.
Rob Moore,0:01:31,"Oh, when the roll is called? What do the words mean? End it?"
Alice Henry Jackson,0:01:38,Yes.
Alice Henry Jackson,0:01:39,"That means when that man comes and sins, preacher."
Alice Henry Jackson,0:01:49,Lord.
Rob Moore,0:01:56,What does it mean to that? What have you said so far?
Alice Henry Jackson,0:02:05,"When the roll is called up, there will be no more living."
Alice Henry Jackson,0:02:11,"Oh, okay."
Rob Moore,0:02:13,What comes next?
Alice Henry Jackson,0:02:16,"Then next is they call them people across, and then they call them from there. That's the way it is."
Rob Moore,0:02:30,Do you know any others? Songs?
Alice Henry Jackson,0:03:06,The Lord is with you. The Lord is with you. The Lord is with you.
Alice Henry Jackson,0:03:37,"The Lord is with you. Oh, they create with me."
Rob Moore,0:03:53,Can you catch that? What does that one mean?
Alice Henry Jackson,0:03:58,"That's, uh, don't let the cross."
Rob Moore,0:04:00,That's what?
Alice Henry Jackson,0:04:01,Down at the cross. Down at the cross.
Rob Moore,0:04:05,"Who wrote the Nez Perce words for these? A lot of these are hymns in English, too, aren't they?"
Alice Henry Jackson,0:04:12,Yeah.
Rob Moore,0:04:13,Do you know who wrote the Nez Perce words for them?
Alice Henry Jackson,0:04:16,"I don't know. I can't tell you that. See, we used to be Catholic first, but I don't know what kind of trouble they had, so I go to Church of God now."
Rob Moore,0:04:32,You know Church of God? Church?
Alice Henry Jackson,0:04:35,That's what I go to now.
Rob Moore,0:04:41,"When you saw, when you used to see Father Cataldo, did he used to sing in Nez Perce, too?"
Alice Henry Jackson,0:04:48,"Oh, just what we learned him."
Alice Henry Jackson,0:04:54,But they didn't sing very good. They used to make me start sing first.
Rob Moore,0:05:01,They used to make you start first?
Alice Henry Jackson,0:05:03,"Uh -huh. That's the way they do now, not the Church of God. They make me sing."
Rob Moore,0:05:10,What other songs do you sing?
Alice Henry Jackson,0:05:12,"Oh, I've got quite a few songs. This is another one."
Rob Moore,0:05:18,"When you saw, when you used to see Father Cataldo, did he use to sing in Nez Perce, too?"
Alice Henry Jackson,0:05:30,"I don't know. I can't tell you that. But they didn't sing very good. I go to Church of God now. They didn't sing very good. They used to make me sing in Nez Perce, too. We were naked but he moved, oh, no. We were naked but he moved, oh, no. Go down the pike, and we, just there, just there on the other side. Uh -huh. That's where we'll be, then. I see."
Rob Moore,0:06:07,What's that one called?
Alice Henry Jackson,0:06:09,"When the rulers call up hand. Oh! That's the same one you sang the first time, I think. Uh -huh."
Rob Moore,0:06:15,Did they teach you songs like Rock of Ages and things like that in this verse?
Alice Henry Jackson,0:06:20,No.
Rob Moore,0:06:21,What else did they teach you?
Alice Henry Jackson,0:06:25,"Jesus Christ, the Lord of the heavens, He gave His hand to the Lord, and He gave His hand to my Lord,"
Alice Henry Jackson,0:07:12,"and He gave His hand to my Lord, and He gave His hand to my Lord,"
Alice Henry Jackson,0:08:06,"and He gave His hand to my Lord, and He gave His hand to my Lord,"
Alice Henry Jackson,0:08:44,"and we quit. My husband quit, so we both quit. His name was Paul Jackson."
Rob Moore,0:08:53,Paul Jackson was your husband?
Alice Henry Jackson,0:08:54,Uh huh.
Alice Henry Jackson,0:08:55,He died. My father's name was Lan Henry.
Rob Moore,0:09:00,Lan Henry?
Alice Henry Jackson,0:09:01,And he died. And my mother's name was Agnes.
Rob Moore,0:09:05,What was her Nez Perce name? Whose?
Alice Henry Jackson,0:09:09,Your mother's.
Rob Moore,0:09:12,What was her name?
Alice Henry Jackson,0:09:14,I hope I didn't spend so long.
Rob Moore,0:09:17,What were the early days like when you were just a child? What was it like? Was the tribe on the reservation all the time then?
Alice Henry Jackson,0:09:29,"We used to always have church. When I got married with Paul, we'd come to Catholic church. But I don't know what happened to him, and he quit. Well, what about when... And he quit with Church of God Church."
Rob Moore,0:09:51,"In the early days with the tribe, when you were young, did the men still do a lot of hunting, and did you still go gathering camas and everything?"
Alice Henry Jackson,0:10:00,"Yeah, uh huh."
Alice Henry Jackson,0:10:01,"They used to get camas, and they used to go out hunting. They'd have deer meat, and you'd have dry deer meat and eat that."
Rob Moore,0:10:13,What kind of houses did you live in then? Me?
Alice Henry Jackson,0:10:18,"No. No, when you were a little girl. We had a tepee."
Rob Moore,0:10:22,Did you?
Alice Henry Jackson,0:10:23,Mm hmm.
Alice Henry Jackson,0:10:24,"But when we had that tepee, then my grandfather... My father went and got one father that can build a house. So he built a house. He built a pretty good house, and Daddy helped him. See, Daddy was a white man. Mm hmm. Uh huh. And he helped him, and so when he got through, he was upstairs to it."
Alice Henry Jackson,0:10:50,Mm hmm.
Alice Henry Jackson,0:10:51,"Now, my son's living in that house now."
Rob Moore,0:10:56,Where would you go to gather camas? Would you pack up the tepee and take it with you when you went to gather camas and everything?
Alice Henry Jackson,0:11:04,"A long time ago. Yeah, a long time ago. Yeah, we used to take the tepee with us."
Rob Moore,0:11:08,Where would you go?
Alice Henry Jackson,0:11:10,"Any place up in the mountains, hunting or something like that. They used to go. My husband used to be a great hunter."
Rob Moore,0:11:19,With a rifle?
Alice Henry Jackson,0:11:20,Yeah.
Alice Henry Jackson,0:11:22,"We had to wash the rifle already. Uh huh. Uh huh. I used to dry meat. Oh, that dry meat's good."
Rob Moore,0:11:31,How would you dry the meat?
Alice Henry Jackson,0:11:33,"Well, you just take it and take a knife and cut it if it's about this size. And cut it and open it this way and open it this way."
Rob Moore,0:11:47,Does it kind of make little strips out of it?
Alice Henry Jackson,0:11:48,"Yeah, not strips. Wide ones. About this wide."
Rob Moore,0:11:53,About a foot wide or something?
Alice Henry Jackson,0:11:54,"Yeah, about this long. Uh huh. And you put it on there. We used to dry it on the smoke."
Alice Henry Jackson,0:12:02,Uh huh.
Alice Henry Jackson,0:12:04,We used to build a fire underneath.
Rob Moore,0:12:07,How long would it take to dry it?
Alice Henry Jackson,0:12:09,"Oh, it took not too long to dry it. See, fire."
Alice Henry Jackson,0:12:16,Smoke. Uh huh.
Rob Moore,0:12:19,Did you used to tan the hides and everything too?
Alice Henry Jackson,0:12:23,Mama used to tan the hides.
Rob Moore,0:12:26,Was that very hard to do?
Alice Henry Jackson,0:12:29,She used to tan the hide.
Rob Moore,0:12:33,Was it very hard to tan the hide?
Alice Henry Jackson,0:12:35,"It's hard. See, you first gonna soak it."
Alice Henry Jackson,0:12:40,You soak it.
Alice Henry Jackson,0:12:40,"When you get the deer meat, you just take it and get a knife and cut it and sew it. About this long. And then you take it and soak it. When you get soaked in it, then you can... Well, we have some kind of iron. Take that."
Rob Moore,0:13:01,"Oh, to scrape the fat?"
Alice Henry Jackson,0:13:02,"Scrape it, yeah. Scrape it this way."
Rob Moore,0:13:07,Up and down?
Alice Henry Jackson,0:13:08,"Yeah, yeah."
Alice Henry Jackson,0:13:10,"That's what we used to do with the meat. I mean, skin."
Rob Moore,0:13:14,Then what would you do with it? How would you make it so it was tanned?
Alice Henry Jackson,0:13:17,"Well, we used to get some kind of a..."
Alice Henry Jackson,0:13:21,"Well, it was when they used to hunt like that. We'd get the brains from the deer. And we'd mix that brains with a little water. And then we'd soak it in there."
Rob Moore,0:13:35,And that tans it?
Alice Henry Jackson,0:13:36,And then you take it and you... We used to take a stick and put it over a pole or something and turn it.
Alice Henry Jackson,0:13:47,Dry it up.
Alice Henry Jackson,0:13:49,And we'd open it up.
Rob Moore,0:13:52,"Oh, you'd twist the skin around the stick so it got real tight and all the water ran out?"
Alice Henry Jackson,0:13:59,No. Just a little bit.
