speaker,timestamp,words
Sam Schrager,0:00:01,"This conversation with Hattie Wilkin Johnson took place at her home in Kendrick on August 4th, 1976. The interviewer was Sam Schrager."
Hattie Wilken Johnson,0:00:22,"Well, that's what comes down to the potlights from up on the camera area."
Sam Schrager,0:00:26,Is that where you were born?
Hattie Wilken Johnson,0:00:28,"I was born there. And then, let's see, there was Frank and Mary and Herman. They were born before I was up there. They were some of them that lived down there, the Pine Creek. And that was Rancho Father. Got the homestead. It was, you know, when they went around and surveyed some of those fairs, they filed on some of them. And he bought that though. It was in 1886 they came here. My father and mother came from Minnesota. They came, they were trained down to her perforia. You know, they had to come on the Great Northern and the Northern Pacific. They came from Spokane and they went down towards Jefferson here just almost right away. But of course they were on that other, that's where they had the lottery ticket. And then from Downton Perry they came up on a boat to Luskin. And from there up, one of the ship first down there, they brought them up here on the hill. They got to Juliero and then came up on the, up here on the hill."
Sam Schrager,0:01:43,How did they know where they wanted to go?
Hattie Wilken Johnson,0:01:46,"How did they know that's... Well, they talked to the Watcherford brothers up there. There's one homestead on each side of where Father's Place was just etched in there."
Sam Schrager,0:01:57,"The Watchers, they wrote to him and told him that that was the place that he could finish up to, oh, what do they call it?"
Hattie Wilken Johnson,0:02:10,"You didn't get that land, you know, living in it. Not homestead. Homestead, yes, they homesteaded it then. And the Watcher brothers, they wanted him, you see there's one on this side and the other one was on this side. And they were in there and then for the others, it went down to the pot ledge and there was another man had it homesteaded over there."
Sam Schrager,0:02:33,"Were they friends or, were they friends from back in Minnesota?"
Hattie Wilken Johnson,0:02:37,"No, they were back from Germany, I think. The father came from Germany to Minnesota in 1872 and then he and Mother weren't married until 1876."
Sam Schrager,0:02:52,Was she from Germany too?
Hattie Wilken Johnson,0:02:54,"No, no, she was born in Milwaukee. Her mother and her grandfather, they come by boat, I guess, down to New Orleans and they come on up the Mississippi River up to Milwaukee. And she lived there until she was 14 years old. And then her folks moved to Dakota, Minnesota, right close to Dakota across the line there. But they moved to Minnesota."
Sam Schrager,0:03:26,To do what?
Hattie Wilken Johnson,0:03:27,My father came. He didn't come until two years later after Mother and then they were there already. And then he came from Germany and some more German folks there that he was acquainted with. And then they worked there and he didn't have any land that he really landed and worked around there for until 1886 when he came here to Idaho. Then he always set it to a place and then of course he had his farm from there on.
Sam Schrager,0:03:59,Where had your mother's people come from?
Hattie Wilken Johnson,0:04:02,"They came, my mother's people, they came from Germany but just where, I don't know. My nephew's been trying to find out. Her mother had been married before and she had a, oh, she had one boy and a girl and her husband, he died with a, with a, a, a suction. And then she lost a little boy too with that. And then she, her father was living there and she said she just couldn't stand to stay there in Germany and she brought that little girl and her father. And they came around by boat to New Orleans and that's where they come up to Mississippi to Milwaukee. And then she married this, this man up there. I have to look at him for a minute. Oh, that's okay. You know what, that's it, but anyway. Just when, it doesn't matter. And he had one daughter too. Uh huh. And they lived there, there, we'll walk, until my mother was fourteen. She was born then and some of the brothers were born there too before that time. So I don't know, they must have came there about eighteen. Or fifty sometimes because my mother was born in 1860. And, uh."
Sam Schrager,0:05:25,Well what year were you born in? How? What year were you born?
Hattie Wilken Johnson,0:05:29,"1897. In 97. Uh huh. That had, it's been quite a while ago but then another year. I couldn't believe it when I came over here. I never thought how old I was until, uh, three years ago, it'll be three years this fall. I was up on my ranch near the river, you know. I just, just living the life of the ride. And my husband passed away in 1950. But I had lots of friends and we'd go, and my nephew that, he's been here, he's writing a little story about the whole Wilburn family. And he's going way back, getting all the dates and data all brought around. And he'd come up every fall and after his father passed away too, that was my brother. And of course his brother came up too. And then we went on a trip back to Montana. That falls through the Rocky Mountains every fall for about ten days or two weeks. We just took it all in. Well it was, I enjoyed it. I enjoyed my place up there. I just had a big garden. After my husband passed away, we didn't have, I just kept one cow and then I raised the cows, you know, the heifers. But I had chickens and all up to hill. I thought you had to, had pneumonia with the flu, you know, that's flu going around. And then of course the neighbors said that I shouldn't try to do that. But I lived there. Had raised a big garden. Had lots of fun."
Sam Schrager,0:07:09,"Can you tell me about growing up near Cameron, what it was like when you were a youngster?"
Hattie Wilken Johnson,0:07:15,"Oh, I, well we were all busy and all working. All the children, they had to get in and help. We went to school and we had a mile to go to school up at Cameron. And there's quite a few of the girls here. There's five of us. There were until this last year. They started school the same time at Cameron, at the old schoolhouse there. About the real old one, but then it was fairly old when we started school. And well, we went to school. First it was seven months of the year, then eight months, then finally nine months when we finished up there. And well, we, in the wintertime we'd put on our leggings and high -end galoshes to walk up there. There's the snow sometimes like that. We studied and it was really the teacher, there was Whitliff Smith for many years. And he really made us study."
Sam Schrager,0:08:16,What was his first name?
Hattie Wilken Johnson,0:08:18,Whitliff. Whitliff R. Smith.
Sam Schrager,0:08:21,He made you study?
Hattie Wilken Johnson,0:08:24,"Oh yes. They had the classes. My little morning we had, the first thing was reading and then spelling and arithmetic. We had that before noon and then we had geography. And then I have to get up in the physiology, history, and of course I had singing along there too. We had just everything and we had to take our books home and study it."
Sam Schrager,0:08:57,"I still got the old geography, would you like to look at it?"
Hattie Wilken Johnson,0:09:00,"Oh sure. I brought some of the things over, I hadn't unpacked everything after I came over here three years ago. So we stayed here until 1898 when they got the ethics of the railroad to go on down."
Sam Schrager,0:09:17,You mean the railroad was stopped because it was Indian land?
Hattie Wilken Johnson,0:09:20,"Well they come up to here, that was Indian land and then they went back and forth and they got a lot of old people coming down. They had a carrying green up there or anything. People were going to Spokane or any of the stops from here on up to there. And then it was after that, of course I wasn't old enough to remember that, that my sisters and brothers, you know, they told me about it. They had big hotels down here, three of them. And my older sister was seventeen years older than I was because she worked down here, she was coming from a hotel. And that is after I was older that I remember, you know, when she was down at nineteen or so. Or nineteen hundred I mean, she had a three years old nineteen hundred. And the father and mother, they were married twenty -five years, is it nineteen or one. You know, all that length of time. I just remember all that. And they had these, there were so many of those men, they come here and they were building the tracks. And of course, they started building, they come down the green down there off the ridge and then they got busy and they built this, Walter Goss rode up towards Cameron. And it was, I remember I could just say to them, you know, I was just a little girl then. Of course I remember going down to Kendrick with them in the buckboard or sometimes in the wagon."
Sam Schrager,0:10:55,What was the ride like? What was the ride like from Cameron down here?
Hattie Wilken Johnson,0:11:01,"Oh, it wasn't very good. It was a narrow road and they had a turnout at the side over the edge of the canyon, you know, that comes through down the lower place. And of course they had the floods up there, you know, flash floods, you know, they just washed that out and that road just didn't the same. But the road is good now that goes up there. But it was steep, you go around for a hill and then another, especially if you're stuck on a grain truck or a grain wagon, not a truck but a grain wagon. Four horses. You had to be having a good driver up there to keep them."
Sam Schrager,0:11:39,Was it scary for a little kid?
Hattie Wilken Johnson,0:11:41,"It was scary. It was scary. I come down there, oh, when I was about 11 or 12 riding up on a grain wagon up high. They floated up high and there were lots of grain wagons to come from down here to the warehouses from all the way up to Southwick and way beyond that. They'd go down in the morning and most of them made two loads a day. Except on moment one where they lived back up for them and they'd be just one day there'd be one and the next day there'd be two loads that they'd come and then they had this shoot that was over in this corner where the pilot makes its bend. And they'd shoot it off the top of the, they'd go into the way up there on the hill and set it down at the warehouse."
Sam Schrager,0:12:32,Did that come off Potlatch Ridge?
Hattie Wilken Johnson,0:12:36,"Yes, it came off the Potlatch Ridge and there were two warehouses down below."
Sam Schrager,0:12:40,How far was the top of the shoot from Cameron?
Hattie Wilken Johnson,0:12:44,"Well, over the shoot goes from Cameron was about three or four miles. It went on the other side of where we lived and then over, right along the top of the hill."
Sam Schrager,0:12:53,And then to the shoot?
Hattie Wilken Johnson,0:12:55,"Yes, and then down to the shoot and the shoot was just in this corner. Here when you go out you look where that river makes, Potlatch makes that turn. It was right in there."
Sam Schrager,0:13:05,By how big do you think that pipe was?
Hattie Wilken Johnson,0:13:09,"There was no pipe. That was ropes or wires or whatever. I don't know what it was. But up there. And they'd come down off that and the wheat tracks would come down off that pulley. Oh, it was on a pulley. They would go down and then they'd go back up empty and they'd put more wheat sacks on. They'd just keep that. I see. So it was just a pulley system. Have you been down from North St. Davenport, you know, they used to have those shoots come down over the hill with the grain. Yeah, I've never seen them. No, never seen them."
Sam Schrager,0:13:43,Did it work very well?
