speaker,words,tags,timestamp
SS,What had she said?,,
CM,She reported that he had said that it was too bad we couldn't be represented.,,
CM,"Since our representative was avery sick man. And he had said it repeatedly,",,
CM,that he wouldn't be there. And probably he belived it and then it wasn't,,
CM,"true, he armed his facts and the other man's gonna sue him for saying",,
CM,"savinn he was misquoteo. something he shouldn't said, so",,
SS,Did she work for the Tribune very long,,
CM,"yell, she worked in the Clarkston efface for four years probably.",,
SS,Did she enjoy it?,,
CM,"ran a little paper in Juliaetta for a while. Then she Oh yes, very much, she ran",,
CM,a,,
CM,worked on the ClarLston paper when she down here. They asked her to work,,
CM,and she did. Then that man went over to the Tribune and she went too. And,,
CM,worked for a while. She liked it.,,
SS,Did she actcually run the Juliaetta paper?,,
CM,On yes. And she wrote her first editorial and she was quite pleased with,,
CM,it. She said she hoped that when the Green took on a more somber hue that,,
CM,"she would do certain things and the girl setting the type, thought, she",,
CM,"didn't like this 'somber hue' business, so she said,'take on a more rosy",,
CM,"shade', and mother was horrified.(laughs)lt wasn't a bit what she wanted.",,
CM,"She was almost in tears.""My first editorial and its ruined!""(laughs) Because",,
CM,the girl setting the type didn't like the idea of a somber hue. So(laughs).,,
CM,"And then of course, I grew up around newspapers somewhat. And the arguments",,
CM,"Rthey used to have over people, two people were getting married and generally",,
CM,somebody on each side wanted the bigger schpiel. And they would come and tell,,
CM,"her something more to make another inch on the thing, and something else.",,
CM,In those cases she'd try to make the space equal. Because there you were.,,
SS,"Was that the substance of the Juliaetta paper, the social news?",,
CM,"well, it was largely the local news. Local things, because it was a weekly",,
CM,"and people would get, there were some comments on national things. I'm sure",,
CM,"when we were at war, WWI was on, why you, probably certain things. But, and",,
CM,"news, oh general nature, too, but you didn't try to compete on the basis of",,
CM,"the daileys. You didn't belong to a wire service, you were that small a paper.",,
SS,She didn't get the filler?,,
CM,"Oh, you get filler, but you didn't get the wire service. When mother was in",,
CM,"Lewiston and the Tribune was starting, they began to get their wire service.",,
CM,"First it was just a small little bit and from that little bit, Mr.",,
CM,"Albert  Sr. could make a whole front page. He was very good at it,",,
CM,"course  was very conden  the whole thing was just a telegram, just",,
CM,"extremely convinced. And if one word was wrong, you might lose your meaning.",,
CM,And it came by telegraph to Walla Walla and was phoned into Lewiston. Lewiston,,
CM,handled the telegraph business but there was no  here.,,
CM,"And so once in awhile, if she took it, she'd check back if it didn't make",,
CM,"sense and say, Now you haven't got that: ""Repeat it. Check back. And so on",,
CM,and so forth. No. And she would argue back and make them go back and check,,
CM,"maybe back further, ma^be back up a little bit on it. But for a while they",,
CM,had hired somebody that was court stenographer type of thing to take it. But,,
CM,he just took it down. They liked it better when she did it. Because she was,,
CM,very careful about...,,
SS,The Tribune?,,
CM,Oh yes.,,
SS,Careful about ohat?,,
CM,"The wording. Because one word could make a difference, a meaning when it was",,
CM,"such a short, brief bit that they were paying for. You paid for how much you",,
CM,"got. And they were paying for a small amount. It'll be very condensed, and",,
CM,in this condensed state if you made a mistake...,,
SS,Then they would take that and blow it up and rewrite it? You could do that,,
SS,without changing the meaning?,,
CM,Oh yes. He could do that. He was very good. Albert  Sr. was quite a,,
CM,scholar. All his books had it in the flyleaf of stolen from the library,,
CM,"of Albert . And he really was, he was a scholarly man. Very bright.",,
CM,"And really quite a brain. He was very good with writing. Course, he did it",,
CM,with a flourish of the '90's. He liked to talk about the Lewistonians. Spokane,,
CM,"couldn't say Spokantonians very well, so they  Spokanites, and that",,
CM,"wasn't as good, Spokanites, wasn't as pretty and good a sound, so he liked",,
CM,to play that up. But he was really a scholar. And read well,,
CM,"educated man. And a Southern Quntleman, really.",,
SS,Did he educate himself?,,
CM,I think it was William and Mary.,,
SS,That's a good school.,,
CM,Oh yes. I that school. And I think in the family that has,,
CM,"quite often been the school. I think the father, the first ones at least,",,
CM,went there.,,
SS,Didn't they have a newspaper in 3uliaetta for a while?,,
CM,Yes they did. They used to go up and edit the paper and one at Kenririck. There,,
CM,was enouoh money to be Bade in Lewiston so they did these other things too.,,
CM,one day they were here and one day they were there.,,
SS,But they were headquarted in Lewiston?,,
CM,"rleadquarted in Lewiston. And when Lewiston was big enough, why he worked in",,
CM,Lewiston.,,
SS,Did you hear how they got started in Lewiston?,,
CM,"Not exactly. There were quite a few people coming west, coming northwest.",,
CM,"And Lewiston was kind of a center. They maybe looked at the map, too, and",,
CM,"decided. And they came up the head of navigation, as it were, probably came,",,
CM,"I think they came in on the boat with a printing press, probably. And tried",,
CM,it. Liked it and stayed.,,
SS,Was it the Tribune to start with?,,
CM,"I think it was, but I'm not sure.",,
SS,id they always have liberal convictions?,,
CM,"Yes they were, of course, Southern, Democrats. However, they had been North",,
CM,"enough not to have, really, you know, reflect prejudice or",,
CM,anything that way.,,
SS,What state were they from.,,
CM,"Well, here from Texas, but I think they had come from farther east originally.",,
CM,And their father was a professional lobbiest. Their father.,,
SS,Albert Alfred's father.,,
CM,Uh huh. Was a professional lobbiest. In Washington D.C. That was his business.,,
CM,"And their sister that I met I know lived in Texas, Mrs. Evans. But I think",,
CM,farther,,
CM,they were from. I always had a feeling that they were the you,,
CM,would find in Virginia. But they had come west and at that time they came,,
CM,"here from Texas. But they were a Southern family. And my mother was Miss Laura,",,
CM,"Mrs. was Miss Georgia. And they always, that way. But they were mora.",,
CM,liberal than some Southeners. Because they had come north and mixed. And,,
CM,some of the periudices that some of the South had. That was quite often,,
CM,"true. Now, there was a lawyer here, Mr. Reid, Dames Redd, was from the South",,
CM,"too, and he was from I think, South Carolina. And they were very stron friends,",,
CM,"hey were very much alike. Brains, educated, Southern people. And now, he",,
CM,"was much more liberal. But when his daughter was up here visiting, she was",,
CM,"the old South and a black, would say, nigro(sicJ she would really, sne",,
CM,thought they should step off and stand in the gutter til she walked by. That,,
CM,was her feeling. Very definetely. They were not anything that way. Butcher,,
CM,father didn't have that feeling. He had lived in the North. He had become,,
CM,"more liberal. And of course, they stayed Democrats.And the Democratic party",,
CM,"is more or less a liberal party. But they had become more liberal on race,",,
CM,quite a few other things.,,
SS,Were they very active in early day Lewiston's affairs?,,
CM,"Oh yes. They, well they didn't run for office, but they were keenly interested.",,
SS,The,,
CM,"Oh yes, always keenly interested in the community. As I say, they didn't themiy",,
CM,interested,,
CM,"selves run for office, but they were very keen. Oh yes, and they liked certain",,
CM,people.,,
SS,Was the Democratic party very strong here?,,
CM,No.,,
SS,It sure was u p north.,,
CM,"Well, no, it wasn't. It wasn't so strong.",,
SS,They sere the minority.,,
CM,They were the minority and it may have been something about supporting the,,
CM,"underdog, too. One man my mother knew very well came through here. He was",,
CM,editor of the poetry journals and things and came judging at fairs. He was,,
CM,"also, Southern gentleman. And he said he always belonged to minority party.",,
CM,When he was in Louisiana he had been a Republican. But as soon as he moved,,
CM,"over to Pierce County, he was a Democrat, because the Democrats were in the",,
CM,"majority. And it may have been a little of that, but I think that truly, that",,
CM,was the only party.,,
SS,Did your mother have the cha nee to go to college?,,
CM,"Well, probably. There weren't colleaes around",,
CM,Palouse she went to what was called Spokane College. But it was just like,,
CM,going to high school. And 'bout the only ones that graduated that'd do anything,,
CM,that you'd consider that way were the ones that'd been out to preach. It was,,
CM,"a Methodist college. And after she had come to Lewiston, finally she thought,",,
CM,she could quit and go to the Normal. But the job wouldn't be as good as what,,
CM,"she had when she got through, so she stayed with what she had.Moscow was just",,
CM,really a new college. Pullman was a new college. She remembered when it was,,
CM,"located. When they were going to locsce Pullman she was Appalcusa,",,
CM,"they would get the college, fit was going to go to Whitman county, and actually",,
CM,"the lay of the the best was'palouse. But they thought, well we'll",,
CM,"enter it, so they wanted a good price for their land and so forth. Colfax",,
CM,"had wanted it, but they didn't have a good location for it in their narrow",,
CM,"valley, and they had the county seat. Ann Pullman really got in and worked.",,
CM,"And they offered them this, that and the other to locate, so they went there.",,
CM,"And of course, at that time Moscow started, and it was a small, it was a",,
CM,rather small school too. There were a lot of things called colleges that,,
CM,weren't really colleges. Lewiston had had oneA times. It was completely,,
CM,gone when she came here. And it was calle- a college. And President Turner,,
CM,and his son had school at Palouse and boarded at my grandmother's,,
CM,place. And she had attended this school.,,
SS,President Turner of thd defunct Lewiston college?,,
CM,Oh yes. name had been Turner. And one of his daughter's had married the,,
CM,"salesman, rather cultured people, but I questioned how much of a",,
CM,college it was.,,
SS,It was private?,,
CM,"Yes, it was private. And there were a lot of those around, but actually, I",,
CM,don't think 'they were too much. They were in a tent.,,
SS,How did she meet your father?,,
CM,"Ch she was sent by the telephone company to Burns, Oregon. The company was",,
CM,"buying up little companies, and they bought that one. And the man that was",,
CM,"the Northeest traffic manager, Mr. Bush liked my mother very much. He was",,
CM,"considered quite difficult. They were all afraid of him, more or less, but",,
CM,some way or other my mother was rather  I guess didn't have much,,
CM,to hide and he liked her. And when they decided they wanted a man for manager,,
CM,"in Lewiston, well they wanted a place for a brother-in-law of some other man,",,
CM,so she cuyli lave stayed here as chief operator.,,
SS,Had she been manager?,,
CM,"Oh, she was manager, definitely. And she didn't want to do that. But she",,
CM,"could go to Portland, take this training, and then be a kind of a field rep«",,
CM,"resentative, which sounded like, and it was, a good job.",,
SS,This was a relative of...?,,
CM,Well they were sending a relative here.,,
SS,To be the manager?,,
CM,"Uh huh. He had too,..big an idea, about being a manager and he had to make up",,
CM,the money he took. So after a while was ttihe manager and they gave,,
CM,it back to a woman.,,
SS,Woman was in kind of a vulnerable position.,,
CM,"Oh well yes. You know, there weren't too many jobs open for women. And they",,
CM,"thought that a man for a little while, but as I said, they burned their",,
CM,fingers on that one quite a bit. He being a relative of tuo officers of the,,
CM,"company, they didn't let him go to the penitentiary, they made up the money.",,
CM,But he didn't stay as manager. But in the upset mother had gone to take this,,
CM,"job and her job would be to go in where they bought a company, and standardize",,
CM,it and put it into regular shape.,,
SS,Is this where she had the hard time getting the room at the hotel?,,
CM,"Oh yes. It was in Bums, Oregon. The next place she would have gone would have",,
CM,been Yakima. Companies were new then. And...,,
SS,"She must have been pretty good manager, had good skills.",,
CM,Oh she did have. She could train an operator and she could standardize the,,
CM,books and do all of that.,,
SS,Do you think it was unusual at the time for women to get in that position?,,
CM,"Well, there weren't too many opportunities, let's say it that way. There",,
CM,"were plenty of women, probably, that could and things, but there weren't",,
CM,"too many opportunities. There were not very many places open. Women, there",,
CM,"were women sure. You could be a doctor or you could be a lawyer,",,
CM,but it was very unusual. Had a pretty hard time in school.,,
SS,What were the qualities that made her a good business woman?,,
CM,"Well, probably, this may sound funny, but she had to be very exact",,
CM,"in detail. And she was a great, she was a very energetic worker. She was very",,
CM,"persistent. She set her course, she stayed there. She was very determined",,
CM,"to go on and finish anything she did. Very, very determinsed, easily",,
CM,"turned aside. And her mother was a businesswoman. She'd become a milliner,",,
CM,"which was one of the few things open. And maybe it was a little bit of the,",,
CM,"you know, the Quaker women were a little bit that way. They were inclined",,
CM,to do that. ^they were from a Quaker heritage. To a degree. And you can,,
CM,"look back at the Quakers and they were, every once in awhile, the women did",,
CM,"quite a bit. They were rather persistent in the, they did do quite a few things.",,
CM,"They were, and they were strong sufferages. That was a Quaker trait. And",,
CM,"while my mother waBn't a Quaker, and her mother, because she wasn't raised",,
