speaker,words,tags,timestamp
,It is difficult to read who is talking; please see the PDF transcript for more clarification.,,
,"the room was over the mill and everything, and then Munson was in",,
,between Bloom-,,
,What was the name of that fellow who used to run a saloon there?,,
,At Bovill?,,
,Charlie Black and—,,
,Alec.,,
,"Alec Black, he died, too, didn't he?",,
,"Oh, he's been dead a long time. Adair, was another one. lie had an",,
,other joint there.,,
Sam Schrager,"Were you there in Bovill, when they had those saloons going before",,
Sam Schrager,prohibition?,,
SS,"Was Bovill a different kind of town then, before prohibition?",,
SS,Kind of wild and wooley. (chuckles),,
SS,What was the fellow that run the general store there?,,
SS,"Oh, Parker had one.",,
SS,Who?,,
SS,Parker.,,
SS,Joe Parker—?,,
SS,"No, no.",,
SS,Not Joe,,
SS,No relation to that feller at all.,,
SS,"Joe was at Bovill, wasn't he? Joe Parker?",,
SS,"Well, he was at Lewiston, used to come to Bovill. But he was born at",,
SS,"harvard, don't know whether he was born there or not, but he lived there.",,
SS,He was the guy that used to be a ranger? Used to be in the Forest,,
SS,Service? Or is that somebody else? OK.,,
SS,"No,he worked for the Potlatch. He didn't work around there til after",,
SS,the Clearwater absorbed the Potlatch.,,
SS,"Oh, yeah.",,
SS,It was all— what do they call it now? Clearwater—,,
SS,Who was that?,,
SS,What do they call that outfit up there now? Clearwater-,,
SS,"Clearwater Timber Company,",,
SS,I guess that's it. It used to be Potlatch and then the Clearwater—,,
SS,"Well they call it Potlatch fcrests, Inc. PFI, that's the combination,",,
SS,but there's the Clearwater Timber Protective Association.,,
SS,T)M- Tnat was before the Potlatch Forests. There was Rutledge and Potlatch,,
SS,and Clearwater. Three different outfits. And then now it's all th one..,,
SS,"Potlatch Forests, Now.",,
SS,"Did you ever hear why they put them all together, instead of keeping",,
SS,them apart?,,
JM,"Well, everything in the fbtlatch Forest— Bovill closed down, wasn't",,
JM,"much doing at Potlatch, and then the Clearwater was doing all the",,
JM,"work, practically, so they changed the whole thing into Potlatch Forest-",,
JM,The idea was a big coutfit could save money and do it better than a,,
JM,"smaller outfit. Now, they found out that they were wrong, and the",,
JM,smaller outfits done it better than bigger outfits.,,
JM,Small outfits can make more money than even the big outfits could.,,
JM,"Down there now, I guess they got several mills around there. There's",,
JM,one in Pierce. I don't know whether that mill at Bovill's dead or not.^,,
SS,"I always wondered about why they ever shut down the Elk River mill, be",,
SS,cause it seems to me they're getting a lot of timber from Elk River,,
SS,country. Then they wanted to make it all in one. ^Make it all one great bigthe,,
SS,"outfit down at Lewiston could handle the whole thing, see. They could handle everything,",,
SS,"in fact, they couldn't get enough timber. They",,
SS,had to take the whole thing in order to get enough timber to keep that,,
SS,"thousand mill going. They cut five hundred, half a million feet a day.",,
DM,"Well, the Potlatch mill was z^oA*bA 1930 and its still going yet.",,
DM,That's forty years ago.,,
SS,You mean they set that thing up just to run that long . Did they set,,
SS,"that up just to run til '30? .Well, the Potlatch mill was built in 1905 or '06.",,
SS,"1905, yeah. They was going to abandon it in 1930, but its still going.",,
SS,Even though their ideas didn't pan out. That's when Jones come out,,
SS,there wasn't it? And took charge of it in 1905?,,
SS,"Yeah. He was in the woods, and old Bill . was in Potlatch?",,
SS,"Yeah, that's right.",,
SS,"And now, everything is in Lewiston.",,
SS,What do you know about that when they first came in? What did they,,
SS,"say about? Had they gone out before and checked the timber over, got",,
SS,as much timber as they could? Did they have that all set up in advance?,,
SS,"It was all cruised and bought maybe a year before they started in, see?",,
SS,"They cruised it first and got the amount of timber and so forth, and",,
SS,"then they bought it, then it took about a year after that they started",,
SS,in. They have to do that to get it by the timber. couldn't afford,,
SS,to go in unless you had the timber before hand to build the mill and,,
SS,"spend all that money, you know, you'd have to have the timber bought",,
SS,"first. So the cruisers went in there, maybe worked a year before that.",,
SS,"know, I think it was ab out 1900 they started cruising it some.",,
SS,"That's right. Just like when the Clearwater started, you know, why",,
SS,"they had, they musta had twenty five thirty cruisers in there for two",,
SS,"years before they started up. You couldn't operate any other way,",,
SS,"'cause you had to have the timber, you couldn't go ahead and spend the money.",,
SS,"Let's see, the Clearwater, that was gonna be sold two or three times",,
SS,before the mill started. I was down there once with old Bill,,
SS,"I don't know when that was, about 1920, I guess, there was about a",,
SS,"dozen cruisers there, and there was a combination of outfits. Winton",,
SS,"was one of 'em, and there was two or three others, they was going to",,
SS,"buy that, and then they had all these cruisers in there, there was ten",,
SS,"of 'em. I was with Bill Helmer. And then, we didn't get any more than",,
SS,through and they didn't want to,,
SS,Where was that?,,
SS,"You remember Comerford, the old horse doctor that used to be up there?",,
SS,Remember the horse doctor for the Potlatch Forests?,,
SS,"Well, there was one at Bovill, er- Palmer-",,
SS,"Palmer was Comerford was there— well, he was way back when",,
SS,Jones was there.,,
SS,"Well,Palmer was there when Jones was there. What did you say his name",,
SS,was?,,
SS,"Comerford. Comerford, yes.",,
SS,He was the doctor at Potlatch.,,
SS,"Potlatch, yes, horse doctor.",,
SS,"No, I don't know whether he was—doctor in Potlatch, I can't remember",,
SS,his name.,,
SS,"I heard they took good care of the horses, Potlatch did.",,
SS,Old Palmer-,,
JM,ooine of the finest horses in the world.,,
SS,So they had full time vets there for 'em?,,
JM,"Sure. Yeah, hell, they had lots of camps and lots of operations, you",,
JM,know. They had to have horses.,,
JM,At Bovill they had about ten camps and they had about ten teams or,,
JM,more in each camp. That would be about a hundred teams. Two horses,,
JM,"to a team, that would be over two hundred horses.",,
SS,"You knew Bill Helmer, then?",,
SS,"Yes, I worked with him.",,
SS,Did you?,,
SS,I heard that he was really quite a good cruiser.,,
SS,I don't think they made 'em any better.,,
SS,He was one of the best in those days.,,
SS,"He was conscientious, he never went out the door and put it down in",,
SS,"his book, he went to the line every time. He didn't pass up anything.",,
SS,"And Chilte, he worked up at Bovill and Elk River, both, didn't he?",,
DM,"He was check scaler, he and Dunavan.",,
DM,"Ed Chilte, yes.",,
DM,"And after they got out of it, why then Parker was the next one. He",,
DM,worked for that realty outfit down there in the Madison Pacific Realty.,,
DM,"He was, I don't know whether he's still there.",,
DM,"Joe Parker, yeah, he's still in real estate with the New Madison, down",,
DM,"stairs, uown on the ground floor. New Madison apartments.",,
DM,First and Madison.,,
DM,"First and Madison, yeah. office, the name of that",,
DM,office is—,,
