speaker,timestamp,words
Sam Schrager,0:00:02,"This conversation with Macy Groseclose Nye took place at her home in Indiana on March 11th, 1976. The interviewer is Sam Schrager."
Maeci Groseclose Nye,0:00:20,"Down the street there, they called him the sponsored school of healing. And he had old seven -ray doctors under him."
Maeci Groseclose Nye,0:00:35,"I've got the names of all of them down here, the doctors."
Sam Schrager,0:00:40,"What was the, what kind of, what does the foster school of healing, what did they do?"
Maeci Groseclose Nye,0:00:45,"Well I'll tell you what they had was a cancer cure. And that really worked. Because my mother lived to be 94 and when she was about 80, about the age of me, she had cancers come all over her face. And Dr. Foster healed every one of them. And that's what he was, was a cancer doctor. And this town had, oh you know, boarding houses, one on the corner there, one down the street, big one up there. And there was people from everywhere that came here."
Maeci Groseclose Nye,0:01:21,"Do you know an old fellow that's got a store at Pullman, a big store, named Bismore?"
Maeci Groseclose Nye,0:01:30,"Well, his father had a store at Kamiah and he came here in the early days to be doctored, him and his wife. And that, the history of this town, having all these people here. Everybody's house had somebody boarding in it or staying. To be doctored. Yes sir."
Sam Schrager,0:01:50,"Well, what do you remember about what kind of cure they had?"
Maeci Groseclose Nye,0:01:56,"Well, he had this cancer cure. Of course, I don't think that he claimed to cure them after they got really, like you know, medicine doesn't cure them now after they get going. But when they was first come on, he could cure them."
Maeci Groseclose Nye,0:02:12,You never heard of him?
Maeci Groseclose Nye,0:02:14,"I heard of him, but I didn't know anything about what the Foster School of Medicine did. Well, they called the Foster School of Healing and he built that big concrete building down there. Nothing's in it much anymore. It used to be a store. And this town was a good sized town and they had all kinds of buildings that went to the depot down there on both sides of the street. And then this street that went this way and the one that went that way. But so many doctors. With all those doctors, they must have had an awful lot of people getting cured. Sure they did. You bet they did. This town was a big town in them days. People tell you that it wasn't so, but it did so."
Sam Schrager,0:03:03,"Well besides cancer, were there cures for other illnesses too?"
Maeci Groseclose Nye,0:03:07,"Oh yes, yes, yes. Dr. Foster treated all kinds of ailments. It didn't matter what and all these doctors that studied under him, he had hiss from the Palmer School of Healing someplace in the middle west. That's where he graduated from. And I'll tell you what made him leave here. This old E .W. Porter we was talking about. Well he had this little one horse bank down here and they moved it across the street over there. That was the first Methodist church we ever had. We had in that pool hall. And anyway he built him a new bank building on the corner. And well he was kind of crooked old Porter. He got to be a bank examiner so you know him. Well anyway he and Foster got into it, something other in the bank about him. A stealing foster bank, which he did, and they got in a fight and he knocked Foster down and broke his leg. And next week Foster left here he went to Clarkson and built him a beautiful building down there and had his school healing in Clarkson until he died."
Sam Schrager,0:04:19,Did that take some of the life of the town with him right then?
Maeci Groseclose Nye,0:04:25,It ruined it. It ruined it. The businesses couldn't make it so they just had to fire and burn them. This whole side of this street from that old church there down there was all full of business buildings and they burnt every one of them. And they burnt all of this side too.
Sam Schrager,0:04:44,Well when you say they burnt you mean they just caught a fire?
Maeci Groseclose Nye,0:04:46,They just set it to fire. They just set him a fire. And of course this town didn't have much water. They had that big spring on the corner up there. My dad piped the town that little round reservoir but that wasn't a drop in the bucket you know what it was. Half the town burned.
Sam Schrager,0:05:03,Did they know who set the fire?
Maeci Groseclose Nye,0:05:05,Sure they did. They paid the insurance to him.
Maeci Groseclose Nye,0:05:12,I could even tell you the names of them. Well you don't have to tell me. We can forget about the names but what happened is what is what's important. Well that's what happened to them. They had the three hotels. That old building that Chuck Nobles got his store in was the Palace Hotel. That's what it was built. And they had a brickyard down here by the railroad track and they made all these bricks. And this town made all these concrete blocks too that they built the Palace Hotel.
Sam Schrager,0:05:46,When that fire came was it just one fire?
