speaker,words,tags,timestamp
SS,SCHRAGER: The first thing I was going to ask you about Grandfather,,
SS,Lieuallen. And I thought I'd ask you first off if you know how he,,
SS,happened to come to Idaho?,,
SS,LILLIAN WOOPWORTH OTNESS:  I don't know very much about it. I know that he,,
SS,belonged to a family that had moved west and had settled around Athena,,
SS,"and Weston, Oregon. And several of them came up here, according to",,
SS,"family tradition at least, to look over the location. And the others",,
SS,"were farmers, he didn't care for that, he liked the cattle ranching.",,
SS,"And they came up here, and of course you've heard all the stories about",,
SS,"how the grass was nigh and all over the hills and so on, and he thought",,
SS,that this would be a wonderful place to raise cattle. And so he came up,,
SS,"and first, I guess, was on a tract out near what I know as Munson farm",,
SS,"out in the Robinson Lake area. And brought a herd of cattle up here, and",,
SS,"in one of the hard winters, what was it. . .",,
SS,"I'm not sure, I think it was around '73 or '74.",,
LO,Something like that. I think maybe that's about right. And they had,,
LO,"heavy snows and the ground froze, and the cattle couldn't get to the feed",,
LO,"and he lost forty-thousand dollars worth of cattle, which was a goodly sum",,
LO,in those days. And apparently it was about that time that he decided,,
LO,to try something else—the store and that sort of thing.,,
SS,"So he was probably one of the main stockmen in the country, if not the",,
SS,"main one, when he came that herd.",,
LO,"That might be, I just don't know.",,
SS,You know when they say that in the History of Ndrth Idaho that he was the,,
SS,"first man to settle in the valley, Paradise Valley, do you know if that's",,
SS,so or not?,,
LO,I really don't.,,
SS,The summer of 1871. . .,,
LO,"Yea, that1 was the time that my mother always said that the family came.",,
LO,"But I really don't know, he was one of the early ones, certainly. And at",,
LO,one time he and Russell and McGregor and Deakin owned property that adjoined,,
LO,at Sixth and Main Street—it was a four corner place. And he had the,,
LO,property west of ^ain and north of Sixth at that time. Now I suppose that,,
LO,was a homestead that he took over from somebody.,,
SS,"Did neafor, was it Neff that he got it from? This is what I've heard, I",,
SS,don't.,,
LO,"I don't Rnow whether he got all that land from Neff or not,or whether it",,
LO,was just the store. I thought from what mother had told me that it was the,,
LO,store he acquired from Neff and the post office went along with it. But,,
LO,I don't know whether Neff had the homestead or not.,,
SS,But do you think the reason that he went into town and started a store,,
SS,"was because of that hard winter, probably?",,
LO,"I think so, that's what I've understood from my mother as the reason. And",,
LO,apparently he was very public spirited and civic-minded and interested in,,
LO,developing the town. And was busy in whatever was going on that way.,,
SS,"Well, I wonder if the town was just his store to start with?",,
LO,"I think it was a little more than that oh, maybe to start with, but later",,
LO,"on the store was located at First and Main, y'know where the Bank of Idaho",,
LO,"is now, and White's Drug Store was across the way—you've seen those",,
LO,pictures with that. Dr.  had his dental office in that same block,,
LO,"too, north of First Street. I heard my mother tell about how she used to",,
LO,play with Margaret McP alley. They lived there within about a half block,,
LO,"of each other. This was while my mother was still living there, on First",,
LO,"before they built the house on Almon Street. Before that, she told me once",,
LO,they'd been in a house that was located where the old post office is,,
LO,now.,,
SS,"Wheny had the store, did they live right by it? Or was it a cabin?",,
LO,"Well, I had the impression that it was very close there, and Mother used",,
LO,"to be in the store quite a bit, I guess, as a little girl, and she told Me",,
LO,about how the Indian women would come in and they'd be so fascinated with,,
LO,her red hair. They'd want to hold her and play with her because she,,
LO,"had red hair, and she was pretty small at that time, must have been.",,
SS,Do you remember anything else that she said about what the store was like?,,
LO,"No, she didn't say a great deal about what the store was like. This also",,
LO,was during the time when they had the Indian scare and they had Fort,,
