speaker,words,tags,timestamp
,"TOM PLATT: Well, if you'd give us some idea what you're looking for or what",,
,you're thinking about. Kenny said something about the town.,,
,SAM SCHRAGER: I think your early recollections of the town would be a good,,
,place to start.,,
,DAVID HICKMAN: I was born and raised right in Genesee. Tom came there when?,,
SS,"Oh, I was born there, but of course, we went back to the Salmon",,
SS,River and stayed there. I never got back to stay there until,,
SS,1909 when I started to school; the fall of 1909. And I was there,,
SS,during the school term for three years and then wasn't back until,,
SS,I started high school.,,
SS,"Your family had a place on the Salmon, too?",,
SS,Yes.,,
SS,Were they ranching there?,,
SS,Cattle. Dave lived there all the time. He knows a great deal,,
SS,more about it than I do.,,
SS,What was this town like when you were just a kid?,,
SS,"DAVID HICKMAN: Oh, every business house was filled up. Every place along",,
SS,the line had something in it. My dad ran a livery stable there,,
SS,and that was just about the east end of town as far as any business,,
SS,"was concerned. But across from us was a creamery, up the line a",,
SS,"little ways was a hardware store, furniture store and then just",,
SS,"keep right on going through town, every place was filled up. Every",,
SS,"thing was lively. There were two or three blacksmith shops. Later,",,
SS,"of course, some of those turned - a couple of them turned into",,
SS,garages. But at that time they were blacksmith shops for shoeing,,
SS,horses and fixing farm equipment. I don't have any idea how many,,
SS,"places there were that were actually places of business, but I can",,
SS,remember when there were a couple of grocery stores and two or,,
SS,three- two merchandise stores. Mercantile stores where they hand,,
SS,led dry goods and this type of thing. And my recollection of the,,
SS,thing that I like to remember about it is that where we lived,,
SS,down on the flat was right in the area where they had the old,,
SS,ball field at one time. And the city ball field was right close,,
SS,"there. But it was also the place where the Indians came,A moved",,
SS,"into town, or came in for a celebration they came down and stayed",,
SS,right down on that flat close to us. And they would go back and,,
SS,forth across there from town. Seemed like the recollections that,,
SS,I have mostly of Genesee is the old horse?shows. Three days a horse,,
SS,"show every spring, and usually two days of rain, so they were always",,
SS,assured of a good crop. „Lots of big horses; lots of draft,,
SS,horses and quite a few head of Herfords and big cattle of some kind,,
SS,"there that they were raising, and lots of big, old Percheron and",,
SS,"Belgianshire horses. And of course, there at the livery stable",,
SS,there was always two or three stud horses that were standing there,,
SS,during the season to take care of the mares. But I can remember,,
SS,especially those horse shows because you were always assured of,,
SS,"at least two days of rain out of the three, was in June.",,
SS,It sounds like it was a three day affair and that was quite a big,,
