speaker,words,tags,timestamp
,SAM SCHRAGER:  I first wanted to ask you about the name of the town you grew,,
,up in and where it was located in Norway.,,
,"ED RAMSDALE: Well I grew up a place they called. Well, you mean the real",,
,Well that was Ramsdale. That's the name of that. And then the nearest,,
,shopping place where they had the store and a church and a school and where,,
,the steamers used to come in tne ocean they called,,
,And it was about seven English miles I think from Ramsdale down to,,
,Ramsdale was the last place in that valley. There was a valley went on through,,
,there and it went in two lakes. And the place where I came from was the last,,
,place right up again the mountain. There was a mountain right,,
,around like that.,,
SS,Your last name is Ramsdale and that's the name of the place. Is that how it,,
SS,worked?,,
ER,Yes. that's how it worked. I might tell you about my dad. He came from a,,
ER,place they called  And his name was  But when he married,,
ER,"my mother, my mother was an only child^ and she inherited the farm there,",,
ER,"you know, and then Dad, he changed his name from to Ramsdale. So",,
ER,still have that name of the neighborhood there. There was about four,,
ER,there in that neighborhood with that same name.,,
SS,That's how it works. Each neighborhood has it's own name and the people,,
SS,who live there have that name?,,
ER,"Well, that is the way thev had it in the old days. And now my bother",,
ER,"there, inherited the homeplace there and he had all girls. He didnt",,
ER,have any boys. So one of his daughter's got the homeplace that I growed up,,
ER,And she married afellah by the name of on.,,
ER,his name to Ramsdale when he married her.(Laughs) There's still Ramsdale,,
ER,there.,,
SS,I guess that's how much more important the land is there than here because,,
SS,to have your name go by the land,,
ER,"Yeah, they really think a lot of their home farms—their homeplaces over",,
ER,"there. It don't hardly ever go out of the family, very seldom. They try to",,
ER,keep it in the family. Some of 'era don't operate the land but still they,,
ER,any,,
ER,"keep it, just to keep it in the family. And it's hard to buy land over there.",,
ER,There isn't hardly anthing for sale. And you never see any ads in the newspapers,,
ER,"about land for sale or anything, very seldom. And last summer I was over",,
ER,"there and the neighbor there, he kinda wanted to sell his place. He didn't",,
ER,"have any kids or anything; he was gettin old. So I thought, Well, I'd like",,
ER,to buy that to the old homeplace and make it abigger place.' But,,
ER,they have a law there you gotta be a citizen of the country to buy land there.,,
ER,So I couldn't buy it.,,
SS,How big was the homeplace?,,
ER,Oh just a small place. But a lot of pasture land and wasteland in,,
ER,"them mountains around there, but cultivated land is just",,
ER,"if they had there Around, oh eight, ten acres cleared about all And then",,
ER,they had milk That's how they used to make living off of the farms,,
ER,back there they would grow hay ad a few oats and vegetables grow,,
ER,there,,
ER,"good there,like potatoes and carrots. All kinds of vegetables grow real good.",,
ER,And then hay  the cows and then sold milk.,,
SS,Where did they grow the hay with eight acres of,,
ER,"Well, they growed enough there to feed, oh—six or eight cows, somethin like that,",,
ER,Of course they cut some of thajwild hay there too in the old days. They'd go,,
ER,"up on the slopes, you know, t on the mountains and cut wild hay,",,
ER,"grass, put it un That was good cheep feed. Everybody had a few sheep them days",,
ER,"too. And had goats too when I left there, quite a few goats.",,
SS,It sounds pretty much like the old days around here—the early days.,,
ER,"Yeah. Similar, I guess, in the beginning here. We used to cut the wool",,
ER,"off of the sheep there and they'd spin it and make cloth out of it, make",,
ER,"thread and knitted socks and stuff, you know, out of the wool off the sheep.",,
ER,"And the same thing we'd butcher maybe a cow, or a younger animal, yearling.",,
ER,"And we'd take the hide and tan that and make shoes out of it,",,
ER,there,,
ER,"leather. We got the bark off of the trees, off of birch or ash, you know. And",,
ER,we usti that bark for tanning the leather. Made our own shoes; I didn't have,,
ER,"any boughten shoes until I come over to this country, made em at home.",,
SS,Did it take a long time to tan leather and make shoes out of it?,,
ER,"Not very long. Well, fiat they let the hide dry, kind of. Then took it",,
ER,out to an old kind of a pond they had there and put the hide in the pond.,,
ER,And you let it lay there till the hair slips. It actually kind of starts,,
ER,"to decay, you know, and the hair'll slip. And you get all the hair off of it.",,
ER,"Then you put it in a wax, you know and put bark in there—you grind the bark.",,
ER,And then put it in there—I don't know how long they ha the hide in there.,,
ER,"Oh, probably a month or two.",,
SS,What kind of a fit did you get out of a pair of shoes like that?,,
ER,"Oh, good, real good. We had good shoes. Yaah, they fitted good. We'd measure",,
ER,"the foot and make the last, you know. We just did the whole thing. So it",,
ER,had like a regular sole on it?,,
ER,"Oh, yes, yeah. We used wooden pegs, you",,
ER,know for fastening the soles oniinstead of sewing em on. Had them pegs about,,
ER,"that long..Throw them in, then you took a rasp on the inside and th 'made",,
ER,"rough so they wouldn't slip out. They were good, tight shoes. They were water",,
ER,"proof. That leather was real good—it really held the water out. Of course,",,
ER,"we had to grease it a lot, you know. Get the fat into it. Used grease off of",,
