speaker,timestamp,words

Helmer Ringsage,0:00:00,"I don't know if I told you about how they run away. Oh, yeah, you told me all about that. Well, That was the thing that I had I guess I told you about how I had to walk. Yeah Okay. Well, that's it. That's enough for that. Well now wait about these ponies. Well"
Helmer Ringsage,0:00:19,"All they were Indian they were Indian ponies the Indians had a lot of them there And there was one day That was when we left the old cabin the one that dad first built when he homesteaded And an old Indian buck come by there and of course poor mother dad was out harvesting Mother was kind of scared of him, you know, not little devils We wasn't only eight nine years old. I am I was the oldest and else he only had about let's see 97 Wait now for the father's aid or nine the assignment the third boy would be Let's see. No, I mean he was he'd be two years old. He's just a baby So Well, she just he mostly want some deep see he couldn't talk English Boy she fed him Potatoes cooked some potatoes. We did have potatoes that we'd raised during the summer See we read blood that ground is raised good vegetable. That's all we had one where to live up practically Potatoes rutabagas and carrots Those kids full of vinegar, you know, we just run around we didn't dare go out doors I told that before I guess about willing had one pair of shoes a year And The old man We did when they bought him, you know brought him home while we can all three of us started circling around with him He made us come in take him out. Now is in October when it's cold weather, too"
Helmer Ringsage,0:02:03,"No, we had to do our playing in the house No chores then no no chores then no dad only had Well, he had a cow and two cayuses. That's all he had."
Helmer Ringsage,0:02:17,"No, that's what I'm telling you how he's trouble It's all he had that first winter He didn't have feed see the feed hurry to feed his ponies. He had raised enough Hey on that 12 acres that he had seated and he had butchered this cow sold half of it to To buy this hazy The first year and the next year he had hanging up to sell to buy seed flax seed To solve that's how he's trouble and I was a little boy then had to walk them tracks four o 'clock in the morning. I guess I told you that"
Helmer Ringsage,0:03:06,"Well, they did I'll tell you you had to be careful you had to get one that wasn't branded You get one that's brand of them Indians could make you trouble It was not gonna mind a dose once for it for one you picked one With an SP brand on it Brown NATO Well could write up bucking horse to a tee, you know He rode that thing over the park and he he got by with it cuz he went over there Indians over here didn't catch him See and he trained that horse up But that horse led in the bucket, but he wrote him he broke him right And trade democracy."
Helmer Ringsage,0:03:45,"You said that your dad got into horses You said your dad got into horses and that's where well he got into horse raising After that what put him on his feet After a few years, he just kept he seemed everybody. I tell you what the army come in there One time and bought horses, you know how much one farmer got for his horses He got $600 for a nice gray span of they were half -purching $600 they were well -matched arch necks. Oh they were they were a Regular prize winners they kept running the prices over the old man Rogers was the boy the soldier and Dad sold horses for around $250 to and $250 a horse four and five hundred dollars a span That's what put him on his feet."
Helmer Ringsage,0:04:42,The grain didn't bring it what little crop he had ingrained.
Helmer Ringsage,0:04:45,"I didn't bring Well, yes, it was it was a Fella name a settler had a stallion and he bred his mares to this stallion See and kept raising them saved all the mares he could he'd have four five six coats a year After he got lined out see That's how come and he wasn't the only one old Amos Fredrickson was another one Raised horses to say well putting your all a farmer started raising them that could see But the great big farmers they didn't they'd rather buy them and to raise them a lot of them did or they didn't Just wasn't interested in raising"
Helmer Ringsage,0:05:35,Why was it that he did that it was easier for him to make a little money raising horses then that Off of a little crop from his ground. Oh That didn't bring nothing compared to horses He just fed the fish that the stuff he raised is still better more money Defeated to these horses.
