speaker,timestamp,words
Clarice Moody Sampson,0:00:09,"Well, you know, my father—am I right, the way I'm talking?"
Clarice Moody Sampson,0:00:18,"My father, you pretty much always had to ask him for money. He didn't just—but you could charge and he'd pay the bills. But like we youngsters, of course I was the last one, and if anyone would have had an allowance, I'd been the one because he had liberalized his way of thinking about his family so much. My brother, who was five—Morris, who was five years older than I. We did so many things that our older brothers and sisters couldn't do. We weren't told, you have to be home at 1030 from a party. I was never told that in my life, but we didn't go and stay on earthly hours or anything. But my older brother and sisters, even if they went to a dance, they had to come home at 1030. Of course, the dances started earlier, but that was just the rule of the house. But as far as money was concerned,"
Clarice Moody Sampson,0:01:33,"there wasn't a lot of it, but we had to ask. And I think I showed you a check the other day my father had written on. He was the one that had one. But he never said, you can't have it, but you had to ask for it and sort of say what you were going to do with it. But with running the house, my mother was never restricted as to what she could buy or anything. But she just—of course, once every year when Creighton's had their red tag sale, she would go in and buy so many sheets. Well, she made the sheets, you see. She brought the muslin and made the sheets way back when I was a child. And so many white tablecloths and like yardage. And then I think it wasn't charged on a monthly basis. It was probably paid twice a year, the account at Creighton's store. And as far as the groceries were concerned, we had—the man would come around to our door each morning to see what we wanted. We always had a charge account. And Mama would order what she needed and they would deliver it later in the day. But of course, you didn't need to go in because there were no fresh vegetables or anything. You didn't need to go in to see what you wanted. It was just a matter of staples and things like that that you ordered. Because if you had the vegetables you had, they were canned and in your own cellar rather than by being in bins at the store."
Clarice Moody Sampson,0:03:52,"But my dad every night would spend—he'd read the evening papers after we'd had supper. And he'd read the papers, the daily papers. And then he'd go to his desk, which was in Papa's and Mama's bedroom, and sit at his desk as long as it took him to account for all the day's spending and put it in a book, in a ledger. And that was done every day. That was never—and he knew exactly the amount of money that had been spent or that had been given to his child, or if he'd given Mama any cash. I know in that book that I'm going to let you see at register, wife, two dollars. Well, now I don't have no idea what Mama wanted to spend two dollars for, but that was the way it was recorded in the book, wife, two dollars. And as far as our schoolbooks and school supplies, Hodgins were the only ones who had school books in those days. And we got what we needed and charged it, and my dad would pay the bill. And we weren't extravagant because, I mean, buying junk and stuff we didn't need, we knew we should get what we needed and that was it. And my mother's health wasn't very good. When I was a little child about eighteen months or two years old, she was taking my oldest sister out to visit friends in the country. And some boys came along on horseback wearing chaps, what they call it, chaps, and yelling and shouting and having fun. And it frightened the horse and he ran away. And he went off of the road down an incline. And I don't remember this, of course, but it broke my mother's collarbone and somebody brought her into town and I guess got the horse and the buggy and so on."
Clarice Moody Sampson,0:06:33,"I had wanted to go so bad with Mama that morning, but she left me at home with my other sisters. And it was very fortunate that she didn't have the baby sitting in her lap or something while she was driving. But the way they—and I think it must have been Dr. Watkins, I don't remember. But the next door neighbor came over to help when the doctor came and he had her make out of muslin and an old sheet or something. Two big donuts stitched them together and my mother's arms were put through the holes. They stuffed them with cotton. And my mother's arms were put through the holes and they laced them together front and back to hold that collarbone in place. Well, as a result, it mended across at the end. It didn't heal directly the two parts of the bones together. One was on top of the other. And she always, always had aches and pains in that collarbone, you know, damp weather or anything. But it must have been neuritis. It probably pressed on a nerve or something. And so years later, I remember this, Dr. Gritman did an operation on Mama's collarbone and sawed the bones apart and wired them together. And she was that way the rest of her life with her collarbone wired together. But she was never, from the time I was about, oh, I judge, I was eight or ten, she had to have some very severe surgery. I think it was for a kinked bowel, but a kinked colon. But it was very serious surgery and they despaired of her life. But my mother always went to prayer meeting every Wednesday or Thursday night, whenever it was at our church, they had the midweek prayer meeting. And so that particular night, they turned it into a prayer service for Mama. And she finally recovered. But it was such a big incision they made in her abdomen that she was never strong again. And so I remember my father got her—it was bigger than my little girl rocker, just a neck -sized rocker. And she would sit in that because it was hard for her to sit in an ordinary rocking chair. And she had wore what we called dressing sacks. They were like our house robes now, only they were short and she wore a skirt underneath. But her abdomen was quite big always after that because of the surgery. I suppose the muscles never recovered from such a big incision. And so she always wore a dressing sack. But some dressmakers, we usually had our clothes made at home, but a dressmaker made her a fancy one. And I can remember it was wool, light -weight wool, gray, and it was tied with a ribbon around the waist and had a fancy collar. So that was sort of her dress -up clothes while she was recuperating from her surgery. So my mother never could do heavy housework or anything after that. And after everybody had their chores to do in our home—"
Laura Schrager,0:10:52,What did you do?
Clarice Moody Sampson,0:11:00,"Well, I do not remember so much, only I always had to wipe dishes because we wiped them then, you know. And I can remember having to wipe dishes after supper. And my oldest brother was in the Philippines then because he graduated from college in 1901. And he took his degree in absentia because he was sent to the Philippines. And I have a picture of Albert telling Mama goodbye out on the front door porch. And she had this dressing sack on that I have told you about. And Albert stood there in his overcoat and with his suitcase. And he had for some reason had gotten a wide -brimmed hat like—well, we always thought of Teddy Roosevelt wearing them, you know. I do not know why. It probably was a Stetson, a good hat or something. But he was sent to the Philippines by the United States government. He was a civil engineer. And he had charge of lighthouse and bridge construction in the Philippines. And it was considered a very fine job. And it was, I think, President Taft was president then. And they had a great deal of social life in Manila. And my brother kept polo, polonies, you know. Their houses were built up and the animals were in the below. But they were built up for—well, it was healthier to live up off of the ground because I do not know whether it was swampy ground or what it was. But Harry and I visited Manila in 1963 on a trip to the Orient. And we were at three to four weeks' voyage to get there, you see. And when my brother, older than I, Morris, who was five years older than I am, he was in prep school at the university. Well, he was at the age he just did not think he was getting any place. And my father was pretty lenient with Morris like he was with me. And Albert wrote that if Morris wanted to come over there, he knew he could get a job. And so Morris, I think he was eighteen or nineteen. He had not finished prep school. And he went over there. My father let him go over there. And he lived with Albert in his home over there. And of course, they kept Filipino boys to do their work. And Morris really just thought that was the height of perfection to have a Filipino boy come and hand him a book or his cigarettes or something, whatever he wanted to be weighted on. He just ate it up. And Albert had told him, you had to have your white clothes all made to measure. They wore whites entirely because of the heat, white ducks and so on. I think they were all duck material. And so he told Morris he could go to his tailor and have him make what Morris thought he needed. Well Morris liked clothes awfully well. So he went all out. He had everything. He had just everything he could use. And then after he had been there a little while, he got a job with the Manila General Hospital, which was a huge hospital, as chief clerk. That was who kept the books and the accounts and so on. So he did all right for himself, even though he was very young. And of course there was a great deal of social life, which he enjoyed. But when he was—and my oldest brother Albert then had to come home in 1908 because his health was getting bad, the climate and his work and all. And even before he could come home, he went to some health clinic on the coast or some place, or San Francisco, I don't know where, because I just was young enough that I didn't pay much attention to build himself up a little before he ever came home. But he arrived home in time for my sister Ethel's wedding, which was in December of 1908. But in 1911, Morris, who was still over there and working as chief clerk in the Manila General Hospital, became very ill and had to have surgery. And it was evidently a gallbladder operation. Well, my mother and my father didn't know about this surgery ahead of time, but they wrote—somebody wrote in the meantime that he was in the hospital and had had surgery. But in February of 1911, the cablegram came to my brother Albert, who was living in Tacoma then. He had taken a job with a big construction company. In fact, he built that big famous depot in Tacoma that has been made a national landmark or shrine, national monument. And the city of Tacoma is keeping it, although it isn't in use as a station anymore. But it's a beautiful building with a big dome on top. It's beautiful. Whenever I've gone there, I always admire it with great pride, because my brother built that, the company he was with. But this cablegram came to Albert that Morris had died of septicemia, which was blood poisoning, of course. And they were to have a funeral service there in Manila, and then his body was to be sent home. So about the middle of March, his body arrived in San Francisco, and my brother and my father went to bring it home. And he was buried in the Moscow cemetery at the age of 22, which was pretty sad. And my mother never quite got over that. It was just a bop broke her heart."
Laura Schrager,0:19:00,Was Morris sort of her favorite?
Clarice Moody Sampson,0:19:03,"Oh, no. Because he was young. He was just her boy. Of course,"
Clarice Moody Sampson,0:19:11,"when we were kids, we always said, Mama favored the boys in the family, and Dad favored the girls. You know how kids are. But to Mama, her boys were just perfect, and they were good to her. But my brother Albert, my two sisters were in college, and he was so good, he sent them money every year. And they bought nice material and had a new ball gown every year, a party dress, because they were in college and maybe Dad could not always afford it. And having two in college at the same time was expensive in those days, for their family income as it is now. But Albert always did that for the girls every year, and I know they were so proud of the dresses that they had that Albert had sent them the money to buy the material to make their party dresses."
