speaker,timestamp,words

Sam Schrager,0:00:01,"This conversation with Byers Sanderson took place at his home near Bovill on October 16, 1975. Byers' brother, John Sanderson, was also present and participated in part of the conversation. Your father decided to come out here in the first place in his country.",
Byers or John Sanderson,0:00:33,"My father… well, he came out, he was a sawmill man. When he came out here, he was running a sawmill for, he had a sawmill down to Kendrick. Then from Kendrick, he moved up to Princeton and he saw the timber for the Princeton when they was building. By the way, there were two buildings still standing, that big Red barn. Then the big house, you start up the hill, is there going out of Princeton there? Which way, towards Harvard or towards Potlatch? Potlatch. Oh yeah, that's right up at Hampton. Yeah, that big house, he saw that lumber. Then he located up on, they called it the Beeson Meadows there at that time. Then they left the Beeson Meadows and went over on Rock Creek out of Potlatch. Then they come into this country.",
Sam Schrager,0:02:19,He was working with a sawmill all the time?,
Byers or John Sanderson,0:02:21,"Well, he had the sawmill himself.",
Sam Schrager,0:02:25,"Oh, it was his mill?",
Byers or John Sanderson,0:02:26,Yeah.,
Sam Schrager,0:02:26,Did he bring it out from the Midwest?,
Byers or John Sanderson,0:02:28,"No. No, I think he bought it from a fellow named Hoskins, the old Hoskins Sawmill.",
Sam Schrager,0:02:42,What kind of size was that? What kind of mill was it?,
Byers or John Sanderson,0:02:47,"It was a circle saw. It's a good deal, them old-fashioned mills, you know. Then he sawed the timbers for the Potlatch coming in here. He sawed the timbers for all these trestles and things coming in on there. He sawed them. He sawed them. But then he went assistant superintendent for the Potlatch here when they first started. Him and old Tilly Pelton. He became an assistant superintendent for them. Tilly was a camp foreman and his dad was a foreman over all the camps. He had the shops. Then he had 14 donkeys to look after. Then he had done all the ordering in the warehouse and run the shops. They run him to death. He was pretty busy. He'd get up lots of times at four o 'clock in the morning to go up and get his bookwork and stuff done. He was... well, he had that big warehouse. He had a hundred thousand dollar stock that he had to keep up. Then he had all the shop work too. That made lots of work.",
Sam Schrager,0:05:15,Was he expected to go out there and check on the foreman and see how the camps was being done at the same time?,
Byers or John Sanderson,0:05:21,"He had these donkeys and things. They'd break down. Somebody seemed to be at that time, he was about the only man that was in the country to handle things like that, to break them up.",
Sam Schrager,0:05:49,He started at four. When did he get home?,
Byers or John Sanderson,0:05:54,"Oh, he heh, it was all hours. Lots of times he'd work till nine, ten o 'clock at night. There in the office, they had an office in the shops. He'd work to get the books caught up.",
Sam Schrager,0:06:17,Did he have a kind of pay to go along with that kind of responsibility?,
Byers or John Sanderson,0:06:22,"Oh, yes.",
Sam Schrager,0:06:24,He got a good wage.,
Byers or John Sanderson,0:06:34,"Yes, he got some. He had a good money at that time. He... they was... at that time, the old men got all of their clothes and German rubbers, socks and jackets and mac and old pants.",
Sam Schrager,0:06:59,He got that for free?,
Byers or John Sanderson,0:07:01,"Oh, yes… yes, they got that, you see, being a foreman. All the foremen got them at that time. They... old Jimmy Costello would run the warehouse and Dad went down one time to get his clothes. Old Jimmy was a kind of a peculiar old fella. He didn't feel just right. He'd get pretty ornery. Dad told him what he wanted. Well, he says, I'm not going to get him to you today. Well, Dad says, I want him today. No, he says, I'm not going to get him to you. Well, he says, I'll go CTP. He went out, started to go out, and Jimmy'says, oh, he says, Charlie, wait a minute here. He says, come back here. He says, I'll get him to you. Well, Dad says, all right. He'd get him to him. Them old fellas sometimes, they was pretty hard.",
Sam Schrager,0:08:44,"Well, who was your father responsible to? Was it T.P. Jones or was it Deary? Which one of them guys was he reporting to?",
Byers or John Sanderson,0:08:53,"Well, it was T.P. Jones then. Dad was T.P.'s right-hand man for years there. That is after they started… you see, they had their shop. They had five Marions,… four chaise,… 14 or 21 donkeys,… and then they had the chaise burnt the slabwood at that time. They never had coal. Later years, they got coal, but they had they. You'd see them old chaise coming along and see the sparks going 100 feet in the air, cinders. Then we made a respirator and put on the front, and it caught the sparks on the count of four spires. They'd set fires a dozen a day, but they had to have somebody put them out right along, faltered the engines right up.",
Sam Schrager,0:10:24,"Did this, the equipment you put on, how did that work? The new stuff you put on to stop the sparks? Did you just put a top on it or what?",
Byers or John Sanderson,0:10:34,"No, it was a big cone. The sparks come up in the smoke stack and they'd hit this cone and they'd whirl them. Whirl them, and then they had the screen. Then on the outside of this cone, they'd drop down on the inside of the stack. Then every so often, they'd pull the plug out and stop and clean the spark outfits out. They'd be out when they'd get out there.",
Sam Schrager,0:11:12,They had to have a man going along with each train just to put these spires out?,
Byers or John Sanderson,0:11:17,"Well, no, they kept track of the sparks. If they started the fire, they'd just phone. They had a woods phone. They'd phone and tell them where the fire was and they'd put it out. Sometimes they'd follow up with one of these hand scooters that'd pump back and forth. They'd put the fires out.",
Sam Schrager,0:11:56,"What was it that made your father decide to come to this Idaho country in the first place? Did he, had he heard about the Potlatch coming out or how did he'decide to come?",
Byers or John Sanderson,0:12:10,"Well, no, he was a miner too, a mining engineer. He'd come out and he'd done lots of mining around like the Buffalo hump. He was in the Buffalo hump there. I think it was 1893, along in there. The person wasn't the person at that 93. He followed the mining on a side issue. Then in 1904, he'discovered the copper cane here in the hoodoos. That's the place they got that rich ore out. A few years ago, these college kids went in and relocated it that he had dug out. They made $30,000. When dad had it, it was 20 miles into Harvard and there wasn't no railroad or anything to ship out ore.",
Sam Schrager,0:13:48,Did he ever tell you how he'discovered it? How it came about getting in there?,
Byers or John Sanderson,0:13:54,No.,
Sam Schrager,0:13:56,Did he work it?,
Byers or John Sanderson,0:13:58,"Oh yes, yes, they worked it for years. T.P. Laird was in with him. Old Bill Deary was in with him. After Bill died, Laird took over. Laird went in with him. They kept it for years. Then the conditions were so that they couldn't get their ore out. They just throwed it up and let it go. Then this ore was laying there that they had hand-picked. That's when them college kids come over.",
Sam Schrager,0:14:53,They just found the ore right on the ground?,
Byers or John Sanderson,0:14:55,"Yes, they had it piled up as big as this room. They come in and just located it. Went and the railroad then was into Harvard, you see, up to Bovill here. It had been for years. They hauled out the high grade ore and checked it out and they made $30,000.",
Sam Schrager,0:15:28,Did your father work this mine himself? Did he hire people to do that?,
Byers or John Sanderson,0:15:33,They had five or six men working there for 20 years. They got this high grade out of what they called the blossom. That's the peak of the mine. It was leached out from below in the ore body and deposited in what they called the blossom.,
Sam Schrager,0:16:08,"The prices weren't good enough to make it worth their while to take that pile out in the first place. No, at that time it wasn't. But no, that high grade ore that they had there, it had paid off handsome. Well, as far as the company first coming out here, the Potlatch Lumber Company, what did you hear about how they found this country in the first place?",
Byers or John Sanderson,0:16:52,"Well, old Bill Deary is the one that found the timber. When they was back, I guess it was Cloquet, Minnesota. The Weyerhaeuser, they'd buy when they'd earn any money, make any money, why they'd put it into timber back there. They bought all the timber that they could get. Then when Bill Deary told him, he'd work for them back there. He says, I know where the finest white pine timber that there is in the world is known. They wanted to know where it was. Well, he says, I'll tell you where it is, but I want to be in on it. He says, if I'm not in on it, I'll get it myself. Well, they jumped at the chance and they come out and they took saddle horses and come up and they come up on top of Beals Butte. They looked the country over and old Charlie Weyerhaeuser says, we want the whole thing. Well, they got a lot of it. They got it for practically nothing, you know. I don't remember what they paid for it, but it wasn't much.",
Sam Schrager,0:18:32,How did they get it? Who did they get it from?,
Byers or John Sanderson,0:18:35,"They bought it from the state, I guess. They'd have to be the state that they bought it from.",
Sam Schrager,0:18:46,Where did you learn that about Bill Deary telling him about this country?,
Byers or John Sanderson,0:18:54,"Oh, Deary used to come up and talk with Dad lots. And he'd tell Dad different stories and things about... Well, the Weyerhaeusers said they were just common people. They was all business, but at the same time, why they had a different class of men than they are today. They had to find a good man. Well, they wasn't afraid to make it known. They'd put him in. Now, like, they'd come out and if they was doing a good job or something, why they'd go and buy him a good suit or something nice and give it to them. That is the old system of having to pay off, I guess.",
Sam Schrager,0:20:23,"Well, when you say they are common, you mean they were still close enough to being poor themselves that they knew what it was?",
Byers or John Sanderson,0:20:34,"Yes, yes. When they started out, back east there, they had even deprived themselves of stuff to buy timber. They used to be a man here. I don't remember what his name was. I'd know it too if I'd hear it. It was raised back there and they'd buy oranges to eat. The Weyerhaeuser, my land, what do you buy oranges for? Why don't you put your money into timber? Well, they were skidding it back there, probably a dollar an acre. But they were that way. They put every nickel that they could rake and scrape. Then, later years, he told this fellow, I wished I could think of his name. He was an old man when he was out here. I know him well. I used to like to hear him tell the stories. He'd laugh. The Weyerhaeuser would laugh and shake their finger at him and say, I told you, when you were spending your money to put it into timber, now he says, I can buy oranges and you have to go with a halt.",
Byers or John Sanderson,0:22:38,"Well, he was right. They made their money right there.",
Sam Schrager,0:22:52,Do you think the laws in those days about buying and cutting timber were such that a family like the Weyerhaeuser could just start with about nothing and just cut and go?,
Byers or John Sanderson,0:23:09,"Yes… the laws at that time, they never paid much attention to the timber. You could buy timber for practically nothing. And everybody would go in the woods and cut their wood. There was nothing ever said. They'd even cut good tamarack trees and make cord after cord and pile it up and let it season. They never had any laws regarding the timber. The first fire patrols that they had in here to watch the timber was a fellow named Fritz Lindhart, who used to be at Harvard. He had an old motorcycle. He'd go out on this motorcycle. Of course, there was only just little old pack trails through the country and that's what he'd do. He'd go up the pack trails. But if he had a forest fire, they would be lucky if they got anybody to fight it because there was nobody in the country to fight it.",
Sam Schrager,0:24:53,He just rode around looking for him?,
Byers or John Sanderson,0:24:56,"Well, yes. He might have well saved a hunter because he'd had a certain trail that he'd go. He'd go up into the hoodoos and then he'd come over and take the trail down here at Harvard. This little old town used to be up here.",
Sam Schrager,0:25:37,Using the ... or the slab towns?,
Byers or John Sanderson,0:25:41,He'd come on through and go on the trail and go back over to Harvard where he lived. That is about his territory. But there wasn't any fire patrol that they got today at all.,
Sam Schrager,0:25:57,Was he on the company payroll?,
Byers or John Sanderson,0:25:59,"Yes, he was on the payroll at the Potlatch. That's after they had bought the timber, most of the timber in here. Then they bought lots of the old homesteads that was here. They bought them. Fellas had proved up on their homesteads and the Potlatch had bought them out.",
Sam Schrager,0:26:35,Do you think they were reluctant to sell or were most of these guys just not to get it?,
Byers or John Sanderson,0:26:41,"Oh, yes. They'd sell out for practically nothing. There was lots of snow at that time. Of course, where they had the meadows, there was a lot of those old fellows that stayed right there. Most of the old homesteaders sold out the Potlatch after the Potlatch got to go on a little bit. Today, they owned 90 % of all of it.",
Sam Schrager,0:27:25,You mean the land and through this country? What about the Forest Service?,
Byers or John Sanderson,0:27:35,"Well, there wasn't any Forest Service then. But now the Forest Service, they took over lots of the land. I don't know how the Forest Service took over their ground, but you see the railroads that come through the country. They had given thousands of acres that there wasn't entitled to at all to get the railroads to come through. And they're having trouble over that even yet today. They took it up and tried. I don't know whether they got any of it back or not, but now you take the Milwaukee land. All the railroads that come through the country, they had given thousands of acres to get their roads through. Of course, they had millions of acres then.",
Sam Schrager,0:29:08,Do you know what the thinking was about building a whole company town there at Potlatch along with the mill?,
Byers or John Sanderson,0:29:21,"Oh, they built the town theirself, the Potlatch did. And they rented their houses out to the people that worked in the mill after the mill got started. By then, they built the town. And the store and everything was run by the Potlatch.",
Sam Schrager,0:29:51,"Did they figure that they'd make money that way, or did they just do it to have a place for the people who worked in the mill?",
Byers or John Sanderson,0:29:59,"Oh, they made money there. That way, after they'd built the town, the store was a Potlatch store, and you'd buy your groceries while they'd just hold it out of your check. And then the houses, they never rented for much. I think it was ten, twelve dollars a month or something like that. And lots of times, the fellows would want to do buildings theirself onto the houses that they were renting. They were a good company to help the working man at that time. They've always been a good company to work for. Even when the wood was here, the families would come in. They wouldn't have any saws or anything. They'd give them a crosscut saw and a axe and a shovel and split them off to cut their own wood. Well, they'd done that to get the people to stay in and work.",
Sam Schrager,0:31:41,I didn't know that they did that.,
Byers or John Sanderson,0:31:43,"Oh, yes… they were very good that way.",
Sam Schrager,0:32:01,"I've heard in Potlatch they would let people charge the store right away once they went to work for them. Oh, yeah. You came in with nothing. Yeah… you could come in, move right into one of their houses. If you're going to work for the company, you could move right in. They'd take everything right out of their check and give them credit, which was a godsend to the people at that time. At that time, if you earned G400 dollars a year, it was doing good.",
Byers or John Sanderson,0:32:50,"You'd take in the Palouse Country in the early day. The harvest in ... was the main support of the whole country. The merchants, old Frederickson and Fuzzy, would carry families through the whole year. Then when they got their harvesting gathering, they'd go in and pay up their bills. Of course, you could buy a different than you do today.",
Sam Schrager,0:33:38,Where was this Frederickson that had?,
Byers or John Sanderson,0:33:40,"He was just in Palouse. He was a big grocery man there. This would be really up until Potlatch came. Even after the Potlatch got their mill built there at Potlatch, the storekeepers there in Palouse would carry them… they'd come in… the people I think were different in those days. They owed you a dollar, they'd come and pay it. They never lost any money. They were only by charging accounts. The same way at Potlatch, when the harbor got started by the little store there run by the Smiths, he always carried all the settlers in there. Sometimes he'd carry them in their ear.",
Sam Schrager,0:35:10,"Was it that the storekeeper knew the people a lot better, knew them personally? Was that why he'd trust them?",
Byers or John Sanderson,0:35:20,"It probably was. They was homesteading. What little work they'd get, they'd go in and pay on their bills. But Flory Smith, he was in the courthouse in later years. But in his home there, he had a little store. Like the mine, they'd go down there. They'd get $75 or $100 worth of groceries. Never thought about paying for them. They'd take every 30, 60 days. They'd go in and pay up. But the whole thing was run on credit. And they made money. Of course, the'dollar at that time was worth a good many times what it is now.",
Sam Schrager,0:36:58,When did your father first go to work for Potlatch? Was it when they were building out through Deary?,
Byers or John Sanderson,0:37:06,"Yeah, dad went to work for the Potlatch back in 1903, I believe it was, in 1904. And that's when the mining first started up in the country. And he'd work up at Harvard. You see, at Harvard, the railroad wasn't in there then. The railroad never went in until 1906, but at Harvard, they'd foot logging the'dump. It was done by the people that had horses. And they'd pull their logs into the river, and then they'd flown down to Palouse in the spring, to the Palouse Mill. And then after they got the railroad up as far as Harvard, then they'd put in a big camp there at Harvard and log that country in there. But they ...",
Sam Schrager,0:38:22,Was this cod? Was this cod or was this Potlatch?,
Byers or John Sanderson,0:38:28,"They were here then, they were logging before 1906, before they built the mill. Yeah, before they got the mill, you see, they was cutting their timber at the Palouse Mill. I think old McCormick is the one that owned the mill down there then. He'd cut their timber for them. Old McCormick was, he was a mill man. They had, in fluming, they had dams every so often. Oh, like at Harvard, they'd have a dam, and they'd hold water until they'd get a big body of water, and then they'd turn it loose on logs and wash them on down to Princeton, and they had that, they worked that way all the way down to Palouse. And at Palouse, they had a big dam. They'd let the logs fill up in there, and then they'd get the men and open up the dam, and they'd shoot them through the dam on down, the water would carry them on down to the mill.",
