speaker,timestamp,words
Sam Schrager,0:00:02,"This conversation with Byers Anderson took place at his home in Bovill on November 13, 1975. The interviewer is Sam Schrager."
Byers Sanderson,0:00:20,I had to get back up where the snow was. I hear my feet crunch in the snow.
Byers Sanderson,0:00:29,Now it's a problem.
Sam Schrager,0:00:33,Did you get overseas during World War I?
Byers Sanderson,0:00:36,"No, I was on the Gulf of Mexico."
Sam Schrager,0:00:42,Our main camp was Pensacola and what was the name of this other place?
Byers Sanderson,0:00:57,"Well, it was out from Gulfport there, out of the Expedition buildings. Our headquarters is there, there's a big airfield there. Then there was Pensacola was the principal airport."
Sam Schrager,0:01:18,Did you enlist or did you get drafted?
Byers Sanderson,0:01:20,"No, I was enlisted. I was a mechanic on the airplanes."
Byers Sanderson,0:01:31,Some difference between them airplanes now and then. You could hear them old crates whistle as they'd come down and regular kites.
Sam Schrager,0:01:45,What did you do as a mechanic on them? Is there much you could do to make them run?
Byers Sanderson,0:01:49,"Oh yes, you worked on the Liberty Motor and the Hispano. Hispano was a French motor and Liberty Motor and then we had another motor. I forget the name. It was some difference in what it is today."
Sam Schrager,0:02:23,"They were made out of spruce, weren't they? Weren't they made out of spruce, part of those old planes?"
Byers Sanderson,0:02:27,"Yeah, they were made out of wood and had wire struts coming down to the side. They were made out of wood and they was, you'd take the potlatch, reserved all the, well the government reserved all the spruce that was in the country here. Had every spruce tree in the country marked."
Byers Sanderson,0:02:54,"They didn't last long though. Of course the spruce, if they'd have a crash landing or anything, they'd splinter up steady, cracking up. They'd bend and they'd break all right but they wouldn't pull apart."
Byers Sanderson,0:03:21,"Well I'd heard that that had something to do with the timber production going on in the woods right then. It did. They were really pushing to get the spruce out of these woods. Oh yes, yes. They was getting the spruce out and picking out choice stuff. That's the airplanes, but they was principally made of old spruce. That's what I say, there's a regular kite."
Byers Sanderson,0:03:54,"Listen, I want to ask you some more about Bill Geary. You mentioned to me that he was a pretty good salesman. Yeah."
Sam Schrager,0:04:06,What's his story on that? He actually did some selling himself?
Byers Sanderson,0:04:09,"Oh yes, yes he sent his, well I don't know whether it was his nephew, I think it was his nephew, that he sent him back east to sell white pine and white fur. He went back there and he didn't get a half a dozen orders. Well the mill was going to either have to shut down or they was going to get something. No Bill, he fired him, put him on another job. Bobby didn't fire him, he put him on another job and says I'll go back myself. He went back and called it Silver Pine. He put it out I think around 18, 20 dollars a thousand. He just sold carload after carload and kept the mill running through them hard times and come out with it and made money."
Sam Schrager,0:05:24,Those eastern dudes didn't know what Silver Pine was or they thought it was something fancy?
Byers Sanderson,0:05:29,"No, they didn't know what Silver Pine was. They thought it was a valuable wood. Well it was and it is. You can take and build a house with white fur and it's the best building material you can get right today for the inside working stuff of a house. It will hold up and after the boards, good boards, it won't crack like the white pine and other stuff. Of course now they've got preservatives that they put on their lumber and it preserves it. Then my white fur was cheap and they could build the inside and the outside of the house and then covered and they had good building materials they could get."
Sam Schrager,0:06:42,"You told me that, did you say that he didn't get along too well with Featherstone? Was he the first superintendent?"
Byers Sanderson,0:06:52,"Yeah, he was the first superintendent the potlatch ever had in here."
Byers Sanderson,0:07:03,"He'd get his men to working, an old building, come up. At that time he traveled mostly by what they called a hack,"
Byers Sanderson,0:07:20,buggy team.
Byers Sanderson,0:07:27,And he'd come up and change his men all around. He'd have his men working doing such things and Featherstone was kind of an independent old cotcher anyhow.
Sam Schrager,0:07:42,"And he said, Bill, he says, why do you always come up and change my men around for?"
Byers Sanderson,0:07:48,"He says, I've got them doing as I want them to do. And he says, you come up here and you wreck my whole plans. Bill says, I want them that way. Made old Frank mad and he says, well, he says, maybe you'd better take the whole works and run it. Well, Bill says, I can do that too. He was a hard -boiled old customer."
Byers Sanderson,0:08:24,"And Featherstone quit and old Bill went to Spokane and he met T .P. Jones coming down this street. And he told T .P., he says, you're just the man I'm looking for. He says, I want you to come and be the superintendent of the potlatch. Did he know who T .P."
Sam Schrager,0:08:49,Jones?
Byers Sanderson,0:08:50,Did he know T .P.
Sam Schrager,0:08:51,Jones?
Byers Sanderson,0:08:51,"Yeah, he knew him back in Cloquet, Minnesota."
Byers Sanderson,0:08:56,Jones was a railroad engineer and he worked in the camps.
Sam Schrager,0:09:02,So what was Jones doing out here in Spokane?
Byers Sanderson,0:09:05,"Well, he was hunting for work when they shut down and stuff up there and he just got to come west, you know. And Jones didn't want it at first and finally old Deary talked him into it. Well, he come down and took over and he was a wonderful old fella to work for."
Byers Sanderson,0:09:43,"He'd argue with it but if you convinced him you was right, he'd give in to you. Most of them fellas won't give in to you, you know, whether they're right or wrong. They wanted it as they wanted. But T .P. wasn't that way."
Byers Sanderson,0:10:07,"Now, like the men working at the camps and up here, Camp 8, that is the first driving outfit that they had in here before the railroad got here. Well, he told the men they could have a saw, a crosscut saw, a shovel, a spittin' maul, and a couple wedges, and an axe. But he says, you take any more and he says, I'll figure it, you're stealin'. And he says, I'll handle it as such. Well, everybody had a saw and a snow shovel and a spade and axe."
Byers Sanderson,0:10:57,"And then they even hauled wood in, loaded on the train and rolled it off at their places. They had houses along the track at Slabtown there. They'd stop the train, roll off two, three logs along for each one, and they'd saw them up."
Sam Schrager,0:11:19,Was that okay by T .P.?
Byers Sanderson,0:11:20,"Oh, yes. Yes, they'd cut those old white pine, you know, dead. Old bed tamerac. They never used any of that wood at that time."
Sam Schrager,0:11:32,When did these families move in to Slabtown and Collin?
Byers Sanderson,0:11:37,They moved in there. That'd go back into 1956.
Byers Sanderson,0:11:51,"They settled up in here. At 1904, I think they started work on the dam for the railroad. They never thought of getting in here, and they made the dam up here. In 1904, I believe it was over until they told me."
Sam Schrager,0:12:10,That was working for potl - until he was working for potlatch then?
Byers Sanderson,0:12:13,"Oh, yes. Yeah, it was all potlatch then. Well, these first men in there at Collin's in Slabtown, now, did you say that the fries were the - They were in there really right early. Oh, yes. They was in there in the 90s. And that was the outpost for the mail being delivered. Old Corwin was the - that lives down here out from Pullman there, was the mail - He was 14 years old driving mail truck. Yeah, I spoke to him. Yeah. Well, Fry, now, was he - did you say that he was independent at first, and he started - he started - he had his own sawmill and not - he wasn't part of potlatch when he was - Oh, no. No, he was never part of the potlatch."
Sam Schrager,0:13:10,"He had a little store in the post office and a couple of three buildings there at - Oh, what was the name of that place he called it?"
Byers Sanderson,0:13:31,"And he run the store, and there was a schoolhouse there. And then old Abe Fry, he had a homestead, and Jake Fry had a homestead, John Fry, and then they all had homesteads right around. And Collins there."
Byers Sanderson,0:13:59,"And they'd come up and turn around there with the mail and go on back down to Troy. They'd come out from Troy. The railroad would come to Troy, usually, and they'd get their mail."
Byers Sanderson,0:14:17,"And old Abe Fry, he sold out. He sold his - he's the one that made the money at that time. He sold his homestead for ten thousand dollars. He come out smelling like a rose at that time. I guess."
Sam Schrager,0:14:38,He sold it to somebody else or two?
Byers Sanderson,0:14:39,"He sold it to the potlatch. They must have wanted it pretty bad for him. He had timber on there that White Pine was four feet through, just like hair on a dog. And then Sam sold his - later sold his homestead. He didn't sell them the homestead, but he sold them the timber off of it. And he got four dollars a thousand for cutting it and hauling it and loading it down to the railroad."
Sam Schrager,0:15:11,"He didn't make out so good as his brother did, eh?"
Byers Sanderson,0:15:14,"No, but he made money at that. You could really do something with money at that time."
Sam Schrager,0:15:26,What kind of people were the Fry's? Were they a real independent bunch of men?
Byers Sanderson,0:15:36,"Yeah. It sounds like they weren't too anxious to go to work for the company. No, no. They didn't work for the company at all. They was an independent outfit. Of course, old Sam raised cattle."
Byers Sanderson,0:15:59,"And he, not in a big amount, but he had a few cattle and he had his horses. He'd done farming and he had his store. And they made a good living. And one of the girls - not the girls, but his wife taught school. So they had no worries at that time."
Byers Sanderson,0:16:31,"And then when the railroad comes through,"
Byers Sanderson,0:16:39,"they picked up quite a lot of work from the railroad, hauling freight and stuff that way. They had a regular freight outfit hauling in."
Sam Schrager,0:16:53,Was there actually much of a settlement at Collins of Holmes?
Byers Sanderson,0:16:57,"Well, yes. They was - I don't remember how many people there, but they was the Fry's. Jake Fry and his outfit. And then there was Abe Fry and old John Fry."
Byers Sanderson,0:17:24,"And then they had the school and the store and it was an outpost. Sounds like a family town. Yeah, it was. Good deal. But there was lots of outsiders that come in there."
Sam Schrager,0:17:41,About when Potlatch came in or before?
Byers Sanderson,0:17:45,"Well, yeah, before the Potlatch came in. And after the railroad got in and everything,"
Byers Sanderson,0:17:54,they'd stop and put their freight off right at Collins.
Byers Sanderson,0:18:06,"But the Fry's, they was pretty ambitious. There was nothing lazy about them at all. They was workers, but they was independent."
Byers Sanderson,0:18:22,"And then when they left here, they went to Moscow and got that old white hotel. They were on the corner at the intersection down there by the service station. And they run that. Well, I guess they still own it."
Sam Schrager,0:18:42,Are there any of the old timers left of the Fry's?
Byers Sanderson,0:18:46,"Yeah, yes, I think the girls are all alive. I run into them every little while there in Moscow."
Sam Schrager,0:18:58,What about Slabtown? When did that come in?
Byers Sanderson,0:19:03,"Well, I think Slabtown was built in - Oh, they was 19 -4 or 5. You see, Sam put in a little sawmill there. And that's where it got its name, Slabtown. And they built a store and a post office. Then they had about a dozen houses there. And old Dave Gentry, he was always a cattleman, but Dave worked for the potlatch when the potlatch come in."
Byers Sanderson,0:19:46,And he bought and sold cattle on the side. He had a cabin across the river from Slabtown.
Byers Sanderson,0:20:08,And he had a lot of people there. They used to have quite a time there at Slabtown.
Byers Sanderson,0:20:18,"They'd walk and last through the steers and ride them bareback. They always had a rope tied onto them so that the steers couldn't gore them though. As a kid, I'd go out there and we'd ride them and they'd get bucked off. Sometimes we had two or three men on the ropes to hold the steers and go in and horn them. They'd ball and bottle them. They had a regular round up there every weekend. Old Dave Gentry, he'd just tickle him to death, you know. He was a jolly old fellow anyhow."
Byers Sanderson,0:21:19,"They'd put up prices for the best riders. The rodeo. Oh yes. It wasn't only just a campaign affair. And at the dam, the lumberjacks would take and put on a burling contest. Yeah, you were telling me about that. They'd get out there."
Sam Schrager,0:21:44,Was Slabtown right next to Collins just about?
Byers Sanderson,0:21:48,"No, no, Slabtown was only about two and a half miles up here. Collins was four miles up."
Sam Schrager,0:22:01,Were they real different from Bovill as towns?
Byers Sanderson,0:22:06,Oh yes.
Sam Schrager,0:22:07,They were just small settlements or what?
Byers Sanderson,0:22:10,"Small settlements. When Slabtown was in there, Collins, Bovill was just one or two little houses down here. Grandma Warren, she had a couple shacks there. She had three log cabins."
Byers Sanderson,0:22:38,And then she sold out to the Huey Bovill. He was going to make a...
Byers Sanderson,0:22:56,"Well, he'd have coyouches for traveling, sightseeing, outfit."
Sam Schrager,0:23:05,Was that a resort? Is that really what he had in mind?
Byers Sanderson,0:23:08,"Yeah, that's what he had in mind. Then the potlatch come in and they wanted to buy the meadows. They put their mail, instead of at Elk River. Later on they put in Elk River. But old Bovill wanted so much for the meadows at that time. He was going to make his fortune there. He wanted so much at Old Bill various as well. He was just going up to Elk River. Of course Elk River wasn't any town, but there was a good meadow there. His cruisers told him that there was a good meadow up there and there was lots of water."
Byers Sanderson,0:23:52,"So they put the Elk River mill in. And at that time they put in supposed to be the best mill in the world, all electrical. Of course they made their own juice and everything. And it was a wonderful mill after it got to going. They had around 2 ,400 people working there. Then they had all the logging camps out there. The logging camps was all donkeys at that time. And later on they turned to electric donkeys. They had steam at first. Then they converted them and put them into electric."
Sam Schrager,0:24:41,Do you remember the Bovills?
Byers Sanderson,0:24:44,Oh yes.
Sam Schrager,0:24:45,What were they like?
Byers Sanderson,0:24:47,"They were a real accommodating old couple. They was English. And they had that accent to the English and they held their selves aloft. Of course the Englishman does that, holds himself aloft. Now Henry Mallory, he was going with one of the girls. And one night they had trouble down to one of these old shops, where the ladies were. Hook shops as they called. He went down to settle the trouble. The girl heard that Henry was down there. And boy, she put the skids on him right now. Henry was just as independent, the Featherstone was just as independent as the rest, they were."
Sam Schrager,0:26:01,He was a Featherstone?
Byers Sanderson,0:26:03,"Yeah, Henry was a Featherstone."
Byers Sanderson,0:26:13,"After Frank put dairy, he took over the post office in Bovill here. He handled a post office for years here. And the Featherstone, the rest of them worked in the stores and things that was coming in new."
Sam Schrager,0:26:42,So they stopped going together right then?
Byers Sanderson,0:26:45,"Yeah, they stopped right there. She wouldn't have nothing to do with him because she was down at the sport homes. And he went down there to quill trouble. Some of them old jacks got down there and got into trouble. He was helped out."
Byers Sanderson,0:27:07,"Oh, look, see my supper house, it's coming."
Byers Sanderson,0:27:15,"Charlotte Bovill. I heard she was sort of the town nurse and general information source for a few years. Yeah, she was."
Byers Sanderson,0:27:30,"Oh, Hugh used to come up and visit with me and then we'd go up on the hill here."
Byers Sanderson,0:27:41,And he'd show me an old mine. Used to be over on the Rob's Creek Divide. He says he used to go up and watch him come out with an old wheelbarrow and put the dirt on the dump. He had a tunnel there. They called it the Black League.
Sam Schrager,0:28:04,"He himself, it was his mine? It was his mine or he just watched it?"
