speaker,timestamp,words
Ada Oylear Schoeffler,0:00:02,Had some education but she got college down there.
Karen Purtee,0:00:06,So then they all came over from Oregon?
Ada Oylear Schoeffler,0:00:09,"No, they started out in Missouri. She was born in Wisconsin but she was the only one, I think, the rest. Then they settled in Missouri and she came from... They settled in Oregon near Forest Grove. Of course, she went to college there. And then they heard about land being open here and they came here to settle. I don't know how they got up on this ridge over here."
Karen Purtee,0:00:32,Which is called potlatch?
Ada Oylear Schoeffler,0:00:34,"Yeah, big potlatch. I'm not sure I'm registering. It seems to be."
Karen Purtee,0:00:39,I had to check my dial to see if it was working there.
Ada Oylear Schoeffler,0:00:43,Is it working?
Karen Purtee,0:00:43,"Yep, doing fine."
Karen Purtee,0:00:45,About what year would this be?
Ada Oylear Schoeffler,0:00:47,That was in 1880 when they came.
Ada Oylear Schoeffler,0:00:50,"Here, anyway. And they were still land open for homestead. Yes, this was all open. They were just starting in to settle up there then. It hadn't been farmed. The Indians had hunted and so on here. But there hadn't ever been any farming done here. And about that time, I guess after it opened up, they could take out 160 acres. That's what you could homestead. But you had to live on it. Show that you were making improvements trying to do something about it. Well then, my father had came here from... They started out from Iowa. He was born in Missouri, but they lived in Iowa. My grandfather heard about the old strike in California. Well, he thought that was for him. He got there and he didn't find the gold. So he had 120 acres of farmland in Iowa. And he went to California and fooled around. They didn't make anything then. They come on up here and settled on 160 acres in homesteaded. Up on Overfix Ridge. Up on what they call the little potlatch. 13 miles. This side of Moscow. Oh, okay. And so then my grandmother, which I never had seen. She died before I was born. She had heard about some school teachers. It was over here. Heard about the Welkers, which was my mother's maiden name. So she took a horse to ride and wanted to lead. So she decided to go back with her to teach school. They were going to open up a school. So that's how she met my father. And he went to school with her. Only she was some older than he was. And she went to school to him and finally he talked to her and noticed her marrying her."
Karen Purtee,0:02:23,"So he got the school arm, huh?"
Ada Oylear Schoeffler,0:02:25,"Yeah, he got the school arm and the ranch with it. Oh, yes. You were telling me. Your grandparents homesteaded up here. Yeah, and an uncle of mine and my mother. They were the ones that were old enough. I think you had to be 21 before you got homesteaded. They were of course beyond the 21."
Karen Purtee,0:02:44,So they all three took homestead?
Ada Oylear Schoeffler,0:02:46,They all joined. They were all right close together.
Karen Purtee,0:02:50,Now was this unusual for a woman to take a homestead?
Ada Oylear Schoeffler,0:02:53,"Well, I don't think necessarily. They were entitled to it. So I don't know. But I don't think there was one family up there we know of by the name of Hepler that the man and woman both homesteaded. But I know the others didn't kind of frown on that. They didn't think it was right. That's all I know about it. Of course I know the people. I remembered the people. But that was before my time."
Ada Oylear Schoeffler,0:03:19,"Well, that homesteading is very interesting because of the improvements and things."
Karen Purtee,0:03:25,Did your mother do her own work?
Ada Oylear Schoeffler,0:03:28,"Well, she didn't. She done all of her own work. She only taught for a little while and then actually married. By that year she actually married, she had her first daughter. Well, then her first child. She never worked or taught after my mother. There wasn't such a thing as a doctor on that entire... Well, anywhere around here there wasn't a doctor. My mother had eight children. She never had a doctor for any of them. My grandmother had sent me out some sort of a book on childbirth. She was what they called a midwife. It was just what she read. My dad taught like that. It wasn't anything with her having those children. Because her mother was a midwife. Well, I'd like to see him have one or two of them anyway."
Karen Purtee,0:04:17,So your grandmother served as midwife?
Ada Oylear Schoeffler,0:04:20,"Yeah. She'd ride a horse. People knew of her then. People would hear about her. She had two older girls at home and said she could do the work at home. They'd see them coming and riding. They knew about that time that the woman was going, they'd go get her. She'd stay there and take care of the baby and do the work, cook her for them while she was away. So, of course, it would be such a long way to go a horseback. It would be way up on Cedar Creek for miles around. She'd ride and stay and take care of women when they had their babies."
Karen Purtee,0:04:55,What was her name?
Ada Oylear Schoeffler,0:04:57,Welker. Mrs.
Karen Purtee,0:04:59,Welker?
Ada Oylear Schoeffler,0:04:59,"Yeah. That's the one my grandfather homesteaded. Of course, my father's name was Euler. He lived up on Little Potlatch. There was a Jess Euler that used to live near Moscow. He got the home place. But he was by the second wife. My grandfather had ten children with the first wife. Then she died. Then he married a woman much, much younger than him. He was in his sixties. He had four more children. My goodness. He was busy. But he was in the, he was, he was a soldier in the Civil War. I have a picture of him somewhere. Here of him in his uniform."
Karen Purtee,0:05:46,"Oh, wow."
Ada Oylear Schoeffler,0:05:49,"Then my father, he was never satisfied. He always wanted to sell to ranch. Well, it was really hers. She put off, put off until, she set a price of $40. That's where she made the mistake as quick as she got $40. She was a woman of her word and she sold it for that. Now, last year, I don't know if I've heard that they weren't so anxious to buy land right now as they were a year ago. If they didn't want to sell that same land, they could have got $1100 an acre for it. Sheesh."
Karen Purtee,0:06:19,"$40, huh?"
Ada Oylear Schoeffler,0:06:21,Doesn't sound like much right now.
Ada Oylear Schoeffler,0:06:23,"They went through a terrible lot for them. Of course, $40 them times went quite a way. But they used to have a credit, you know, where these stores would get credit for a year. And my folks, they thought, they had about a $100 store bill and they thought they had an enormous store bill."
Ada Oylear Schoeffler,0:06:40,They spend that for about a month now.
Ada Oylear Schoeffler,0:06:43,I couldn't have spent that much yesterday going down and trying to pledge them birthday presents for the little girls and for my daughters. Yeah.
Ada Oylear Schoeffler,0:06:56,"She died back in 1950, no, 1914. She died at the age of 57, but my father died in 1951. And he was 91 years old when he died. He didn't take things serious. He'd done more work with his mouth than he did with it otherwise. That didn't sound very good to some of my relatives."
Karen Purtee,0:07:28,"But it's the truth, huh?"
Ada Oylear Schoeffler,0:07:29,"He wasn't speaking of the truth. Ah, yeah. You were telling me that before about some of the times that you spoke up to your father."
Karen Purtee,0:07:39,"I wanted to ask you while we were back and thinking about the homesteads and the Indians and things, you mentioned Mox Mox coming to dinner?"
Ada Oylear Schoeffler,0:07:48,"Yeah, up on Little Potlatch Ridge. We were there one time, my aunts and uncles, they lived up there, had homestead. My aunt and uncle on dad's side, homestead, he was old enough, he homesteaded up on Little Potlatch. And he come there and ate dinner with them. They were friendly and he'd go there. But my sister, she wouldn't take any of the butter after he had taken some because when he got ready to put some butter on something, he took the knife and licked both sides of it and put it back in the butter. And then my sister, Ma, didn't want any more butter. Oh, he served himself and licked both sides of the knife. Yeah, he wanted a clean knife when he went to that. Made sure he got all the butter off."
Karen Purtee,0:08:27,Did you have dinner there when he was eating there?
Ada Oylear Schoeffler,0:08:30,"I suppose I did, but my sister is a year and a half older than I am and I don't even remember it, but she remembered it. But I never had to remember that part. I'll be darned. I remember their house how it was and all of that. They had taken a boy to raise, they hadn't adopted him. We had to help him get in the wood. He was an ordinary kid. Later they couldn't keep him. They let him go back and then he had to go to reform school. I think he's dead though now. They kept him there. There was a big high sidewalk where we had to go down the steps to get down to where the wood was. He pushed us off that big high sidewalk. When I started school that fall, I would have been six years old, but my sister was a year and a half old. We had to help, but then we had to get pushed off the sidewalk. I'll get it together. I mean, that's all I'm going to do."
Karen Purtee,0:09:26,Did you have a lot of chores like that at home? Hauling wood and stuff like that?
Ada Oylear Schoeffler,0:09:31,"Or was that... No, I worked more outside after I was married than I did after. When we went on and on. When I did at home, I wasn't... Well, I was married when I was 17. I was married. I had to work out. I made a living after I was 14. I worked at housework though. I tuitioned them and worked. That's all I knew is just to do housework. I worked for someone there."
Karen Purtee,0:09:57,"Well, that's interesting."
Karen Purtee,0:09:58,Did you live in the places where you worked?
Ada Oylear Schoeffler,0:10:00,"Yes, I had to live in them."
