speaker,words,tags,timestamp
,"SCHRAGER: what you got for working. Sounds very, very-",,
,"OTTO SCHUPFER:   Wages was awful, awful cheap. But there was not many jobs,",,
,"a fellow, he went out and worked. He didn't just loaf all day and drink",,
,coffee.,,
SS,Do you remember what the first job was that you did around here for,,
SS,pay?,,
SS,SCHUPFER:   For cash?,,
SS,Yeah.,,
SS,SCHUPFER:   Riding my cultivator horse out in the field for Herb Miller for,,
SS,"two bits a day. I was just about fifteen, sixteen years old, I suppose.",,
SS,How long? Ten hours or maybe more?,,
SS,SCHUPFER:   It was always ten hours. Nobody ever heard of eight hours then.,,
SS,Henry Ford brought that in. Ten hours and five dollars a'day. The talk,,
SS,was Henry Ford's going to pay his workers five dollars a day and work,,
SS,"'em eight hours. Everybody said that wouldn't work, but it sure did.",,
SS,made some damn good cars.,,
SS,"Yeah, I didn't know he was the starter of that, I didn't know he began",,
SS,that.,,
SS,"SCHUPFER:   Yeah, he was the first one. 1915 he come out with a five dollar",,
SS,day and eight hours a day.,,
SS,"I want to start at some of the early- real early stuff. Now, I remem",,
SS,ber Herman has said that your Uncle Rupert was a- homesteaded the town,,
SS,site of Juliaetta.,,
SS,"SCHUPFER:   Wait a minute, I'll get you something you can read. The town is",,
SS,"right on his place. This isn't Snyder, is it?",,
SS,It says Schupfer.,,
SS,"SCHUPFER:   Yeah, Schupfer.",,
SS,"Then it says Charles Snyder, pioneer rancher in that vicinity suc",,
SS,ceeded in having a post office established. You mean it was named,,
SS,Schupferville and also was called Schupferburg?,,
SS,"SCHUPFER:   Yeah. There is kind of another funny thing, your history says that",,
SS,"was named in 1890, wasn't it? You know Gene Taylor, I guess,",,
SS,don't you? He got a copyright and got it signed by all of 'em and,,
SS,"they got here on the letterheads, dated 1887, it was postmarked Julia",,
SS,"etta. And it was sent, I think to one of the Schupfers to San Diego",,
SS,and it made the trip to the postmaster in San Diego and it made it in,,
SS,"three days, about as fast as they go now by airmail! (Chuckles)",,
SS,Do you want to read some more of this?,,
SS,"No, I want to talk to you, I can read this later, because I've read",,
SS,what Herman had to say.,,
SS,"SCHUPFER:   I can just remember it, the front of it. And they finally built",,
SS,"the schoolhouse up on the hill, the middle of the street down there",,
SS,"where we went to school, and this one down here flodded out. And there",,
SS,"was a fellow lived here oh, about fifty years and he went to school",,
SS,out here.,,
SS,"These floods, were they common?",,
SS,"SCHUPFER:   Not exactly about every high water, the snow melted, it washed out",,
SS,a few things around here. Does yet.,,
SS,I've seen one picture of Juliaetta around 1900 and the whole town looks,,
SS,like it's really flooded.,,
SS,"SCHUPFER:   No, well, Juliaetta wasn't here.",,
SS,I mean Kendrick.,,
SS,"SCHUPFER:   Kendrick was, yeah. Juliaetta, as far as that goes, just a warehouse",,
SS,"across here, grain warehouse and the railroad built across the bridgecreek.",,
SS,"And by golly, the flood come along and the bridge out,",,
SS,"so they lad left this one boxcar over there, and the way they got it",,
SS,"out of there, took a long rope and pulled it out on the ground. The",,
SS,"flood that hit Kendrick, Juliaetta.",,
SS,Do you know the one I'm thinking of that was so- when Kendrick was so,,
SS,"flooded? I think Herman had a picture of Kendrick flodded, you could",,
SS,just see the water all over that town.,,
SS,"MRS S.:   That was in 1904, wasn't it Otto?",,
SS,"SCHUPFER:   No, it was before that, wasn't it? When Heingartner come to the",,
SS,"country. 1901 and 1902, I think.",,
SS,There were three girls that drowned?,,
SS,"MRS S.:   Yeah, they're buried up there on American Ridge.",,
SS,"SCHUPFER:   Yeah, three of 'em- the date's on the tombstone.",,
SS,How did it happen that they got caught?,,
SS,"SCHUPFER:   Oh, they had an old wagon down the street and the water come right",,
SS,"down there and knocked the wheels out from the wagon, drownded",,
SS,"two of 'em, guess it was night, if I remember right. That's how you",,
SS,"can get a good date, on the tombstone. That was 1901, wasn't it?",,
SS,MRS S.:   I thought it was 1904.,,
SS,Were their parents there with them at the time?,,
SS,SCHUPFER:   I don't remember how that was.,,
SS,Were they from American Ridge. Is that where they lived?,,
SS,SCHUPFER:   They lived in Kendrick.,,
SS,MRS S.:   They evidently lived in Kendrick.,,
SS,"SCHUPFER:   See, there was two high waters, and I think that was the one that",,
SS,took out all the railroad track between Kendrick and down here. And,,
SS,they had a train tried to get downtown here and they couldn't- they,,
SS,"were afraid to cross this bridge down here, back up and",,
SS,they got up here a little ways and they seen they couldn't go through,,
SS,"there no more, they stopped right down below here. And later that",,
SS,night there was three railroad cars rolled in with the caboose and,,
SS,gAths they took these darn bridges out. Took this one out,,
SS,"here and one downtown, and that was one day and the next day there",,
SS,"was another flood, I think, I don't know which one it was, I think it",,
SS,"was the first one when the people that drownd in Kendrick. And I Sremember,",,
SS,first these people fell in the creek down here and they,,
SS,"comeout at night. My mother claimed the next year, ""A year ago",,
SS,"had quite an excitement here, high water, hope we don't have it now.""",,
SS,"Well, it wasn't very long til somebody banged at the door here and",,
SS,"by golly, here's the Heimgariners come to the country. The railroad",,
SS,"had only come east, come to settle, and they got as far as Troy and",,
SS,"the railroad wouldn't go any farther so they hired a buggy or a hack,",,
SS,"they called it. How many were there? Eight of 'em, nine of them? And",,
SS,"they drove down this way, now this grade up here, - you didn't come",,
SS,c down it- the Old Heimgariner walked in front of the team with a lantern,,
SS,"and they arrived here-* here come this bang on the door, here that",,
SS,"was Heimgariners, they couldn't get to town, they couldn't get back",,
SS,"to Kendrick and they couldn't get nowhere, were they going to stay",,
SS,"here- so we had them for about a week. And that was in 1902, Bill Heim",,
SS,gariner says they come to the country.,,
SS,"Did your family know them before, or did they just meet them like that",,
SS,that day?,,
SS,"SCHUPFER:   No, never heard of 'em.",,
SS,"That sounds pretty sociable to me, to have a stranger knock at the door",,
SS,and then move in for a week.,,
SS,"SCHUPFER:   And the fellow that brought 'em down, he'd go to Kendrick and he",,
SS,drove up there and got down to the side of the road and had quite a,,
SS,time and he get back here again andAhe got this side of,,
SS,missed the road up there and he opened the back end of his rig and it,,
SS,"was still full of water. ""Well,"" he says, ""I can't get back to Kendrick",,
SS,"and the only thing I can do is to go back to Troy."" So he stayed overnight.",,
SS,I don't knowthey stayed.,,
SS,About how long would a high water like that last?,,
SS,"SCHUPFER:   Oh, two or three days. I think Heimgartner stayed here four or",,
SS,five days. See they was going to settle on Fix Ridge and did and then,,
SS,"somebody come down andjjgot 'em after the water went down, Iguess they",,
SS,"drove through the creek, there was no bridges anymore.",,
SS,Do you remember the time they stayed?,,
SS,SCHUPFER:   Yeah.,,
SS,How'd you have room for everybody?,,
SS,"SCHUPFER:   I don't know probably in the barn, some of 'em. They wasn t so",,
SS,"particular then, they didn't have to have an electric blanket or a",,
