speaker,timestamp,words

Sam Schrager,0:00:02,"This conversation with Otto Schupfer took place at his home in Juliaetta on June 1st, 1976. The interviewer was Sam Schrager."
Sam Schrager,0:00:18,What did you start?
Otto Schupfer or Unknown Speaker,0:00:24,"Well, I started in Juliaetta in 1921. Run a little place down here, but you couldn't make it go. And then it was finally combined to do and started in Kendrick over. About 20, we started, well not 21, we got the, wait a minute, I'm wrong on that. We started on 21, but then we finally, no we didn't start that until 29. Just how, where the space went between there, I don't remember."
Sam Schrager,0:00:54,What kind of equipment did you have in 21?
Otto Schupfer or Unknown Speaker,0:00:58,"Powers, same as all of them. Troy had the same thing and it was all silent then."
Sam Schrager,0:01:08,But it wasn't a going proposition in Juliaetta?
Otto Schupfer or Unknown Speaker,0:01:13,"Oh no, it never was a going proposition by itself anyway. Down here we took in $25 and by trying to get the musicians about $5 and about $15 for the picture and you see about how it goes. I just run it for more for the fun of it. Anything else, and Powers, I guess, Kendrick is about the same thing. It was never a money making proposition, but I figured out for one year we made 25 cents an hour, the four of us working there. That's working there and Herman, he ordered the pictures and that's the other end of it. But still it helped out, keep it make 11. And it was work that wasn't doing other times, it was night work you might say. And then these people wasn't afraid to put in a little extra time, but now you'd have to have time and a half for that."
Sam Schrager,0:02:09,"How often did you show a movie, would it be every night or just on the weekend?"
Otto Schupfer or Unknown Speaker,0:02:13,"Putting every Friday and Saturday until the 4th of July or some celebration where we put in some extra. There for a little while we were on 4 a week, but that didn't work out either."
Sam Schrager,0:02:29,Now about when did you think that the Kendrick Theatre started?
Otto Schupfer or Unknown Speaker,0:02:33,I think in 1929 or 1930. It started in 1918 by somebody else. Big Fish and Rene Dreff were about to write the newspaper.
Otto Schupfer or Unknown Speaker,0:02:46,It started written by Oldfield.
Sam Schrager,0:02:52,Oldfield was the first?
Otto Schupfer or Unknown Speaker,0:02:54,"Yeah, because there was a theater there before. This Oldfield bought the jewelry store in Kendrick and he had the theater equipment, moved it down from Pullman. And he wrote it for a little while, but he tried to make a living without doing anything else, but that didn't work. Then Big Fish, the printer, he run it. He did about the same things. He made another 50 cents that evening, another 50 cents more. He was working in the Gazette office during daytime, that was his job, to show there was something extra, him and his wife."
Sam Schrager,0:03:28,What were you charging admission?
Otto Schupfer or Unknown Speaker,0:03:31,"We charged all from 2 bits and 10 up to 75 cents I guess, about the most. Most of the time it was about 50 cents or 25 cents. Fourth of July we used to have a house full. Never charged over 25 cents then."
Sam Schrager,0:03:53,What about this orchestra? You had to hire musicians?
Otto Schupfer or Unknown Speaker,0:03:57,"There were some musicians down here pretty good. Barbara's wife was a pianist and another fella, he played the saxophone and they generally furnished the music. The way we run it there for a long while, we took in $20, we give them about half of it and we kept the other half."
Otto Schupfer or Unknown Speaker,0:04:17,"If they didn't make nothing, they got nothing."
Sam Schrager,0:04:23,How many people would show up to see you in a movie on a weekend?
Otto Schupfer or Unknown Speaker,0:04:30,"Sometimes 30 or 40, plus the kids."
Sam Schrager,0:04:46,What was the entertainment for the town? Would you say that was the main entertainment for the town at the time or was there other things that were more popular?
Otto Schupfer or Unknown Speaker,0:04:56,"No, there was nothing bad, there wasn't even a big part of them."
