speaker,words,tags,timestamp
,This first conversation with Eugene Settle was recorded at his home in Moscow,,
,"on June 3, 1975.",,
,SAM SCHRAGER: I wanted to know something about your family background and I,,
,"want to know something about your grandparents, where they came from.",,
,"EUGENE SETTLE: Well, of course, my grandparents, I never did know my grand",,
,"father on my father's side, he passed away before I was born and I",,
,don't remember my grandmother on my father's side. She was alive and,,
,"with us when I was born, but I don't remember her, she passed away.",,
,"But my mother's parents they lived in Mississippi, right on the Ten",,
,"nessee border, Mississippi and Tennessee. But my father's parents liv",,
,ed in North Caroling that's where he was born in North Carolina.They left,,
,"North Carolina and came to Mississippi, and that s where my mother and father met.",,
,They were in school together— they wasn't in school together— my fath,,
,er-went to one district and my mother went to another. Where my dad,,
,went to school had a little longer school there and when school was,,
,"out in my mother's district, her and her— my mother was the oldest one",,
,"of the children, her and the next sister, they went over in the other",,
,district where my dad «was going to school then; that's where my dad and,,
,"whatever the length of the term was, mother met, just to get in more schooling. I",,
,guess,,
,in those days they never had school only three or four months out fthe,,
,"then I when we came here, year. 'Course, here in Idaho, lived on a farm six and seven",,
,months,,
,"was all we went to school, too, when I was a kid here in Idaho, in the",,
,country schools. Very seldom— every once in a while we'd have sev,,
,"en months, but not very often, for a long time. Of course in later",,
,"years we did, but in my early school years. Till I was in the eighth",,
,"grade, I guess, or seventh— or six or seventh grade we never went to",,
,"school but five-six months a year, that was all the school we had",,
,in the country schools.,,
SS,What were your parent's parents doing in Mississippi to get by when,,
SS,they were there?,,
ES,"Well, my parents, when they got married, I guess was farmin' there",,
ES,"I don't know. After my sister was born, they went out to Indian Ter",,
ES,ritory. My sister is two years older than I am and she was born in Mis,,
ES,"sissippi, don't know— what married life",,
ES,"they spent in Mississippi, I don't know just what my father— I know",,
ES,he had a team. I suppose he was farming.,,
SS,Was it your mother's mother or your father's mother who was Indian?,,
ES,My father's mother.,,
SS,And that meant that she had— she got land in Oklahoma?,,
ES,"Yeah, that's right. You see after the Civil War the government deci",,
ES,"ded to move all the Indians off of the East Coast, and they set aside",,
ES,so many acres of land in the Oklahoma Territory. And they was gonna,,
ES,give 'em so much land— I don't remember now whether it was twenty or,,
ES,forty— I don't remember just which it was. And they started to move,,
ES,"out there got 'em out resettling -- them^on forty acres. Well, they pretty near",,
ES,"all of 'em out til they got dmm to Louisiana, and then course the—",,
SS,There was the Seminoles.,,
ES,"The Seminoles, they never did make no treaty with the Seminoles. And",,
ES,"grandfather at that time, my grandmother, she was married to my— and they moved",,
ES,"out to Mississippi, when this came up And so, therefore, she didn't",,
ES,have to leave and it didn't interfere with her then after they lived,,
ES,"in Mississippi, raised a family, why then she decided to put in for",,
ES,"her claim out in Indian territory. And she got it, as I say, I",,
ES,don't remember whether it was forty acres or twenty— seems like it,,
ES,"was forty, although I won't say for sure on that. And then when she",,
ES,"got this forty acres, her and my grandfather went out there, built them",,
ES,"a little home on this forty acres, and then he passed away shortly aft",,
ES,"er that, about a year or two after they got there. And by that time",,
ES,my father was married and he went out there with his mother on this,,
ES,"forty acres, and that's where I was born. And shortly after I was bornwhy",,
ES,"then— it was mostly rock, this forty or twenty, whatever it was,",,
ES,"was mostly rock, ""shale"""" rock, my dad called it. Whatever shale rock",,
ES,"is, but I know they talk about making oil or gas out of shale rock.",,
ES,"But anyway, there was very little farm land on it, so he had a good",,
ES,"team so he took off to find work, to make a living, make a living for",,
ES,"his family. So somebody told him about Fort Smith, Arkansas, so it's",,
ES,"not too far overland, so he and another fellow got in the wagon and",,
ES,left my mother out there^and^e went to Tort Smith Arkansas and he got,,
ES,a job there. And that's where he worked most of the time when we was,,
ES,"in Oklahoma, 'course he left the family in Oklahoma. And then that's",,
ES,"where he heard about the Great Northwest. fellow that he worked for,",,
ES,"he and his wife ran K big store there in Fort Smith, Arkansas, and",,
ES,the railroad was completed then to the Coast and he and his wife took,,
ES,"a trip from Fort Smith, Arkansas to Seattle. And he was so amazed",,
ES,"about the open spaces across the state of Washington, the open land .",,
ES,"for homesteading, you know. And so he told my dad that being a young",,
ES,man like he was and raising a family he thought that if he was as,,
ES,"young as he was, that's where he would go. And so, my dad he liked",,
ES,"to hunt, and this fellow told him they'd seen lots of wild game from",,
ES,"the train, they didn't say what it was. And my dad he thought, ""That's",,
ES,"the place for me.""",,
SS,He took your father aside to tell him all about the —,,
ES,"Yeah, my dad was hauling freight for him. Dad was using his team",,
ES,hauling freight from the depot up to the big store. And he come back,,
ES,"my dad in the there whereas unloading freight there, back in the stored and he",,
ES,"came back there while dad was working, and he told him says, ""When",,
ES,"you get through I want to talk to you."" So they set there and",,
ES,"got through, and that's what he was telling about, about this trip he'd",,
ES,just got through making from Fort Smith to Seattle and what he saw on,,
ES,"the trip and what he thought of the country and all that, and what a",,
ES,that out here to make a living,,
ES,great chance he thought it was for a young man there was so much land,,
ES,to be picked up for homesteading.,,
SS,Did he decide pretty soon after to come?,,
ES,"Yeah, he made up his mind then, as soon as he could get enough money",,
ES,together he was gonna come. He would come West. And then in the mean,,
ES,"time there was another family by the name of Hampton, I think that mar",,
ES,ried some relation to this store man. And they decided to,,
ES,"come too, they were young fellows. And this man that was running the",,
ES,store he said he was gonna try to induce his son to come out there and,,
ES,"pick up some of that land, 'course they had no money. And this other",,
ES,"family that was kinda related to this old man by marriage, they had",,
ES,"some boys, and they'd got acquainted with my dad. In fact, my dad",,
ES,"leased some land down on Arkansas River just out of town down there,",,
ES,"just pasture land, and he leased it while he was working for this old",,
ES,feller and he had this team and he could take 'em down there on week,,
ES,"ends and turn 'em out in the pasture. And so this party, they had quite",,
ES,a few stock and so when my dad got this land they got him to pasture,,
ES,so some stock for them. And^tnat was just why he got acquainted with 'em.,,
ES,"And Dad told 'em what he was figuring on doing, he was coming West",,
ES,and so they got quite excited about itt So they went in and talked,,
ES,to this old man to see what he thought about it. And he told him just,,
