speaker,timestamp,words

Sam Schrager,0:00:01,"This conversation with Eugene Settle took place at his home in Moscow on January 13th, 1976. The interviewer is Sam Schrager."
Eugene Settle,0:00:20,"I showed a picture of a sign that was made of tin and it had ducked up on a fence out between our place and school. And there was a train and a fellow running to catch the train in a suitcase and said, going to the Boston. But I never did know just where the Boston store was. And then I heard that I had been reading some memoirs of Earl David, the one he sent for the founders of the David store here. And I heard that there was a memoirs in there. And in that he said, he spoke about this Williamson taking over the Boston store. So in other words, what was Williamson when I was a kid, when I got to know him, that was old Boston. Afternoon and boys."
Sam Schrager,0:01:24,"I was going to ask you, when you came to town with your father, what did he do in town besides get groceries? Did he go and visit and spend time talking to people?"
Eugene Settle,0:01:40,"No, no, no. Just like any other farmer, he'd buy groceries and then of course he'd always visit on the corner and speak to somebody. But my father was a guy that would hang around the pool halls or pastimes like that for the only time. When I was a little kid, when I used to come to town with my dad, we used to come in, of course, in David's store now. That side door on 3rd street, that's why they had a grocery store there. And my folks did all their trading there. We'd always go in there and they always had one of these big potbelly stoves in there, you know. Had a good fire in there. Any time we'd go in there and get one, get the groceries and then get about everything you wanted. I guess we wanted to go anywhere else. But David was the main place that we went. He went."
Eugene Settle,0:02:44,"And in the later years, when I was playing in the years, he always... Ralston's store there, Tomosco Grocer's store, that's why he always played with Ralston's store. But that's funny, why they'd just come down to buy groceries. Of course, you always find somebody to visit with."
Eugene Settle,0:03:10,"But he never was no hands, that's it, hanging around the pool halls and things like that. He never did that. So that's what a lot of them are. They come around and come down and they go to the pool hall and get warm. A lot of them like to play cards. Some of them play cards. Some of them... such as that, pool or something like that. When I was a kid, there was about one, two... there were about four pool halls in Moscow then, the card tables. Where the farmers used to gather when they come to town in the wintertime."
Sam Schrager,0:03:57,Did you know the past time? Huh? Did you know the past time?
Eugene Settle,0:04:01,"Yeah, oh yeah, yeah."
Sam Schrager,0:04:02,You used to go in there when you were a young man?
Eugene Settle,0:04:04,"Yeah, I used to go in there when I was a young man. That's why I hang out. Well, even after I fell in life, we were first married. I come to town in the wintertime, always before we'd go to the past time. We always had a good fire there and we always had a lunch counter there, so you could go there and get your lunch and get warm. Then I tell you another thing about the past time, if there's anybody that you wanted to see, whenever you go to the past time and hang out and have, pretty soon you'd come in. It was sure quite a gathering place for the farmers. It's a place that never closed. And they always had a good fire there. You always get good warm, get warm there."
Sam Schrager,0:04:53,"And everybody, if you come to town, the farmer would come to town, why, as soon as you got his team taken care of, you'd take out for the past time, right?"
Eugene Settle,0:05:02,"Of course, then he'd get warm, get him a hot cup of coffee, and he'd always see all his friends would be there. If you're looking for anybody, well, go to the past time, get your own beer in there."
Sam Schrager,0:05:13,"Well, how come, what made that so much the most popular place?"
Eugene Settle,0:05:16,"Well, I tell you, it was a good place to warm. As I said before, there's too many cars, you know, well, after cars, so just come in there and drive, drive like we would out there, out ten or twelve miles to town, or ten miles to town, with a sled and a team. Well, first thing you want to know, you don't want to go to space and get warmed up."
Eugene Settle,0:05:40,"And as I say, they had a big lunch counter there, and they had lots of pool tables, and I think they had about five pool tables, and I don't know how many car tables they had, and some of those farmers, they liked to play rummy, and what else did they play?"
Eugene Settle,0:06:00,They played a lot.
Sam Schrager,0:06:01,Did they play poker?
Eugene Settle,0:06:03,"No, they didn't play no poker, they had no poker. No, I wasn't in town."
Eugene Settle,0:06:11,"Well, I don't know if they ever did. They might have in early days, they played poker, had poker games in the saloons, I don't know, that was before my time, they were, I don't remember nothing about them."
Sam Schrager,0:06:22,"But past time, that was during Prohibition, right?"
Eugene Settle,0:06:24,"Yeah, that's when, oh, no. Yeah, they had a confectionary counter there, and lunch counter, and as I say, car tables, pool tables, and so on and so forth."
Sam Schrager,0:06:37,Were there other places in Moscow to go if a guy wanted to?
Eugene Settle,0:06:40,"Oh, yeah, there's others, there's, see there's, there was a shorty of corner, used to run a pool, same place, the same kind, and then, and Robins had one, there's all smaller places, and then there's, in at the corner of the Moscow Hotel, where their, where their,"
Eugene Settle,0:07:02,"warrior, no, that was, that was, no, I think that was just billiards, that was just billiards, oh, yeah."
Sam Schrager,0:07:09,Did you shoot pool?
Eugene Settle,0:07:11,"I saw them, but not too much. I had my brother next to me, three years younger than I am, he was quite a pool player, but I played some that I never played much, much pool."
Eugene Settle,0:07:26,"Yeah, I played a little bit, but not much."
Sam Schrager,0:07:30,"Well, when you were a young man, you know, what would you do for entertainment?"
Eugene Settle,0:07:41,"Well, when I was a kid in the..."
Sam Schrager,0:07:45,"Old enough, you know, old enough to go out and do what you wanted?"
Eugene Settle,0:07:48,"Uh huh, well, I was..."
Eugene Settle,0:07:56,"Until after we moved over here to town, and of course we lived, I started high school when I got here, I was at high school, but when we went over in the country there, well, then we had to, we had to play baseball, and after we moved to town here, of course,"
Eugene Settle,0:08:17,"we didn't do too much, as I say, we took in the wintertime, we took in a lot of, but big time was taking in basketball games at high school and university and such as that, and going back and forth over to pool, and for all the school sports in the wintertime, that's what our biggest thing was in the wintertime, and of course, pastime was in the wintertime, and we did quite a bit of hunting."
Sam Schrager,0:08:56,Did you go to movies? Huh?
Eugene Settle,0:08:58,"Did you go to movies in the... Yeah, we went to movies, yeah, that's right, we went to movies too quite a bit, whenever we went, weekend we always went to movies, probably about once a week, sometimes more than that, when it's done with the skids, which is when we used to, plus the Saturday nights we'd go downtown to go to movies, sometimes we used to do that."
Eugene Settle,0:09:27,"And we went to another thing in the wintertime, we had quite a stockout on the ranch and sleigh, and we used to take sleighing parties out there, that was a big deal for us on the weekends, take it like when I was in high school, we used to take university kids over to Pullman and back and forth, and that way, or a different round, or just go off for a couple, three hours drive in a sleigh and party, you know, you had to possibly do that. What would you do with that, you just took up a cutter to the... Oh, we had a bob sled, not the big sled, and probably put a hay rack on it, you know, and put some straw in it, and these university kids, they'd get their first their own blankets, get it in there,"
Eugene Settle,0:10:16,"probably five or six couples, and we'd take them, they usually know where they wanted to go, and we'd take them home. That's why we made quite a bit of spending money, that way we couldn't win a bunch. That seemed like we always had something to do, and if we didn't, why we... weekends, why if we didn't have nothing to do weekends, why then we used, as I say, we used to get a lot of hunting. I just had a letter from a friend, a kid who kind of grew up with us, who we'd known a long time, he lived up to Kellogg, and he wrote me a letter the other day, and he got to talking about the fun we used to have on weekends, and he said, you know, we're going hunting over on this Paradise Hill over here, and up in the Moscow mongrel."
Eugene Settle,0:11:09,"And he said, but my brother, he was climbing up a bank, and my brother had a shotgun, and he got to the end of the barrel full of snow, and he never noticed it, and I don't think, I don't know what he shot at, I think it was a snowshoe rabbit, and it just flowed to the end of the barrel, just bailed it out, just about two inches, you know, just swelled the end of the barrel out there about two, looked like a bell. He said, that's snow on the end of the barrel."
Sam Schrager,0:11:45,"Would you guys go out and camp out, or just go out for the day?"
Eugene Settle,0:11:50,"No, just for the day, just for the day."
Sam Schrager,0:11:52,Did you usually get some?
Eugene Settle,0:11:55,"Oh no, we just did a lot of hiking, there's more, we never got much. Sometime we'd get a, in the wintertime we'd probably kill a snowshoe rabbit or two, and sometimes we'd get a shot at a coyote, but we didn't have just seasonable, but it, but we liked, we enjoyed hiking."
Sam Schrager,0:12:20,So you went afoot and not with horses? Huh? You went afoot?
Eugene Settle,0:12:24,"Oh yeah, oh yeah, oh yes, we went foot."
Eugene Settle,0:12:32,"And when us teenagers, we were out there in the country, we only had saddle horses, and lots of, lots of Saturdays, we'd get on the, four or five of us, get a saddle, and we'd ride into town, just ride around town, and probably didn't have money enough to go to the show with us, so I had to ride around us, and back, just, fast as time went."
Eugene Settle,0:12:59,"You know, I was thinking that we talked a fair bit about other things, but we hadn't talked at all about the farming that you did, your own farming career, which, from what you did mention to me, wasn't all that long, and you didn't think it was that great, but you did farm for some time. Farm, oh yes, we farm, we farm till, till I was married in 24, we farmed up until, I guess it was about 30, 37 I guess."
Sam Schrager,0:13:31,Now along? Well what did you have to start with when you farmed?
Eugene Settle,0:13:36,"Well, I rented 200, had 240 acres of land rented, and I had 8 to 10 head horses, and farming all fit, same thing about that. That was for, for a quit, for a quit, why I, I cleaned my horse off and got a, got a small, small tractor, and I used a tractor the last few years I farmed, I used to have a little tractor, small one, 15, oh."
Eugene Settle,0:14:15,"Yeah, I think farming, I think farming was a pretty good life myself, I liked, I liked, I liked the farm, I liked the stock, I liked the full stock of it."
Eugene Settle,0:14:38,"But we farm, we farm, my wife and I, of course we got married in the Depression,"
Eugene Settle,0:14:47,"and we had a pretty, we had a pretty tough, pretty tough fed, and we, it was cheap, and that's when we quit the farm, and then we quit, and then after we quit the farm, then World War II broke out, and things went up, we just missed it, we should have stayed with it. We talked about it quite a bit, that's the Del Wafer we started staying with, and we wish we had stayed with the farm a little longer, but she think we turned out pretty good, anyway, if we were, she's good."
Sam Schrager,0:15:19,"Well when you, when you say you started in the Depression, you mean the one after, you mean after World War I and the farm crisis went down?"
Eugene Settle,0:15:26,"Yeah, yeah, yeah."
Eugene Settle,0:15:28,Yeah.
Eugene Settle,0:15:30,"We started, we started farming in 24,"
Eugene Settle,0:15:37,"and that's when we, that was during the, right after World War I Depression, and then we quit farming, we quit just, we quit just before World War II broke out."
Eugene Settle,0:15:55,"Well, you, you were saying, you said to me once before that, that the equipment that was coming in was making it harder for, and harder for the small farmers with forests. Oh yes it was, yeah that's why, you know, the last part of, the last part of my farm, you know the tractors was coming in, and of course, a lot of the farms that they bought were pretty good size farms, they'd buy tractors, you know, and then it was making it pretty hard for a farmer to farm with horses to lease land then, you know, everybody wanted to, wanted to lease it, so a fellow had a tractor because he could get the work in and get it quicker than he could with horses. I really don't know how we got a kid to get our work did with horses though, when we got a horse, they got it in, they'd copse, save the cops too, but guys they'd do it so much faster with a tractor."
Eugene Settle,0:16:49,"So horses, well that was, well when I quit farming, that was the beginning of the end of the little farmer. When I started farming there was lots of farmers, farming 160 and 80, not 160 and 80 acre farms, but you don't see those anymore."
Eugene Settle,0:17:15,"Well, some, let's not try to host a town or something like that, but there were lots of farmers that, lots of 80 acre farms and 160 acre farms, and then, well, we started farming but now, but after the tractors, well then the big farmer, the big farmer got bigger, and they just pushed the little farmer clear off."
Sam Schrager,0:17:39,Did you see that happen to yourself?
Eugene Settle,0:17:42,"Yeah, I see it happen to myself, yeah, just about time that, just before we quit farming, it was the same way now, just the same with me now. Now we, I farmed 200 and 240 acre farm that for quite a while, and then I lost that to a fellow that had, that had a tractor, it was the same fellow I ran around with, he was under the parlor, and I lost that place to him, and then we bought 160, and the fellow at the bank that I had this, that I bought this 160 acre farm, they had another 160 acres about two miles from where I live, what I bought, that didn't have no building on it, and he was, he was gonna let, I was gonna get, he was gonna let me have that, but the fellow that was farming was in debt to him pretty bad, and he said as soon as he got out of debt to him, I could have that."
Eugene Settle,0:18:47,"But it's all around me there, it's all, it wasn't the one, oh, we got these old big farmers, those that got tractors, well they just took the farm and had,"
Eugene Settle,0:19:09,"it was pretty hard for a fellow that was farming horses to get in, to lease any land."
Sam Schrager,0:19:18,"Well, with 160 acres of land, that's what you were farming then, when you had, when you had the place, was it hard to make a living with that, or horses?"
Eugene Settle,0:19:29,"Yes, yes, well I'll tell you, if a fellow had,"
Eugene Settle,0:19:36,"a fellow, if he had his, if he had his land here, and he had, he was farming 160 acres of horses, and had him a few cows, and diversified, and a few hogs, he can make a living on it, where he didn't have to depend on wheat and oats and grain alone, you know, where he had a few milk cows and, you know, he had hogs on the side, a few beef, something like that, a fellow could make a pretty good living, a small farmer, but just that's, as they say, that's hard to work with, why you just, straight grain farm, farm was for the grain."
Sam Schrager,0:20:16,"Was that what you did, did you have cattle and hogs too?"
Eugene Settle,0:20:18,"Yeah, we had a few cattle, and a few hogs, I think."
