speaker,timestamp,words

Sam Schrager,0:00:01,"This conversation with Ted Sherman took place at the Elks Lodge in Moscow on March 24th, 1976. The interviewer is Sam Schrager."
Sam Schrager,0:00:19,I'd like to ask you a little bit about growing up in Boise and what that was like.
Sam Schrager,0:00:29,"Just out of curiosity, what was Boise like when you were growing up there?"
Theodore Sherman,0:00:36,"Oh, not different from most towns of 15 ,000 to 20 ,000."
Theodore Sherman,0:00:42,"They didn't have very much in the way of nightlife or anything of that sort. An auditorium was the big treat. They claimed it was the biggest heated indoor pool in the country. I think they were wrong. I think bush gardens in San Francisco were bigger. But to go swimming, I usually went to one of the irrigation canals where, oh, I'd say a quarter of a mile from where the railroad station was built out on the bench, and it's surrounded for miles on every side with people, that we could go swimming without anything on. And in the three or four summers we did that, I never knew anyone to come even close to the point where we had a trestle over the canal. This was the Ridenbaugh Canal. Anybody that went swimming in the New York Canal was taking a chance on dying. It was so big and powerful and swift, it was not safe for a swimmer. But this Ridenbaugh Canal was a very fun swimming spot. We didn't have enough snow for much winter sports. Once in a while there'd be enough that everybody would go out to the hills and do some coasting, no skiing then. Not much skating, one little pond out under the bench. It's probably within half a mile of where the main Boise College buildings are, Boise University I should say. Or another pond larger at the plantation. It's called the plantation now, it's Pierce Park then. And that would freeze over and good skating, but most of the time there wasn't much to do in the winter. Really you pretty much had to make your own entertainment. Streetcars, of course, were one of the things that I miss."
Theodore Sherman,0:02:34,"The streetcar line ran right in front of my family's house. A friend lived half a mile away, also on the streetcar line, and when we wanted a streetcar ride and didn't want to spend the money, the car had to slow down as it went around the corner. And slow enough that we could jump on the back of the car, whatever they called it there. And then when we wanted to get off, it was going full speed, so all you'd do would be to jerk the trolley pole down off the trolley by the rope that hung down. Everything would go black inside the car and the car would stop. A motor would come steaming out, but by that time we were out of sight. And that was how we got our rides on the streetcar when we didn't want to pay for them. It wasn't too adventurous a life there, but it was satisfactory. One of my regrets is that at that time I never knew Boise River, to be clear, because the dredge up just past Idaho City was still operating. That was on Moore's Creek, and it muddied Moore's Creek. And Moore's Creek then ran into the river, and there was no clear water in Boise River. It always seemed that one nice feature when I come back now is that you find that the river is clear, but that never used to be the case. The roads were not what they are now. There are like ten, twenty -two miles from Boise, it was a good hour's drive and you had to be pretty alert on some of the roads that you took there. Idaho City, if you get there in two hours, you're doing pretty well, although some daredevils would cut down the time substantially. But you shouldn't try to go too fast on the kind of roads they had there."
Sam Schrager,0:04:33,Were there many different kinds of people in the city that you would come in contact with growing up there?
Theodore Sherman,0:04:41,It seems like the difference between a larger place and a smaller one is often that diversity.
Theodore Sherman,0:04:46,"There were lots of Chinese, lots of Chinese. There had been Chinese come to the Gold Rush days at Idaho City, and a lot of them had come down and settled in Boise. They did vegetable gardening, some of them were cooks, and some of them ran laundries. We never bought vegetables at a grocery stand. You had a Chinese vegetable man who came around three times a week and everybody went out to his wagon and saw what he had to offer. They ran a good many laundries and some of them were cooks, that sort of thing. But there were lots and lots of Chinese and some very, very beautiful vegetable gardens that they raised in what is now really part of the metropolitan area of Moscow, out where Garden City, of Boise I should have said, out where Garden City is located. There were Chinese vegetable gardens all over in that area. And then as of now, there were a good many basques there. You could see the, if you walk down Idaho Street, or, yeah, it was Idaho, not Banach, three or four blocks from 8th Street, which was then the main north -south street in town, they found one of these great big structures that they played, whatever the game is, and there were always some of them in there, great big concrete structures, the walls standing up there. I can remember the fairs pretty well at that time. Everybody in town went to the fairs. They ran a train out from the railroad station, which was then down in town, not out on the bench, and people clinging on all sides of that train. The fairgrounds, what was then the fairgrounds, was now built up. I don't know just what they had there, but it was fairly close in."
Sam Schrager,0:06:42,What kind of fairs were you?
